,SRD5A3,AKR1C4,CYP3A5,HSD3B2,UGT2B28,HSD3B1,COMT,SULT2B1,CYP3A4,CYP7A1,CYP11A1,AKR1C3,HSD11B2,SULT1E1,HSD11B1,HSD17B2,HSD17B3,HSD17B1,CYP19A1,CYP17A1,CYP11B2,CYP11B1,UGT2B11,UGT2A3,CYP3A7,HSD17B8,AKR1C2,AKR1C1,CYP1A1,CYP1B1,STS,UGT2A1,SRD5A1,CYP3A43,CYP7B1,AKR1D1,HSD17B12,UGT2B10,UGT2B7,UGT2B4,UGT2B17,UGT2B15
CAL-120,0.487649694703903,-0.8265556997375351,-0.7919675802393782,-0.9619040444343812,-0.8235279024137608,-0.7884026584295677,1.1654443418758778,-0.7966908325180845,-0.8843767773292582,-0.9498072961194184,-0.8301336586443929,-0.03073719471380288,-0.5787830286334592,-0.937371157476116,-0.8188953711891186,-0.9002335471700716,-0.6532689272416938,0.5292157345618053,-0.878459948290741,-0.9319607157996525,-0.8003690944587364,-0.7728462754419887,-0.8881683598391918,-0.9675383021962759,-0.8708764284332824,1.1863429276317168,-0.8561354231078251,0.4208562733847945,-0.8818829932937149,0.2601353949959827,-0.6712235255833483,-0.8002899028968758,0.5114710658729154,-0.8187547872648907,-0.9307179731071016,-0.9183096373538524,1.4001410866919175,-0.8699017682706207,-0.6676862465317549,-1.0004279456158531,-1.0213465255601326,-0.8687990272047117
ETK-1,0.6787403314739417,-0.6932236695071549,-0.8453222564381835,-0.8717022729956218,-0.6765234535669182,-0.5993274829845381,1.4553274903517313,-0.5811118667393148,-0.9288063353794456,-0.8787592356573937,-0.7463744876598738,3.2391574907706526,-0.7180274640239256,-0.9297931374124888,-0.7329265241208488,0.8044207517729375,-0.9082994141422971,-0.6482632643130896,-0.8516309467919387,-0.9144905163276864,-0.8833834441933641,-0.8064806897492155,-0.9755841993963592,-0.9633988586713532,-0.8823147923831866,1.1647698613988542,2.813251581260751,3.42668810108176,-0.81441045991356,-0.06801663779305983,0.2206826660178552,-0.8556797249212638,0.718520991586612,-0.9477626264410394,-0.7941407293429611,-0.6613456860188759,1.0622707354393812,-0.8360938770097281,-0.7827725390621902,-0.9866623670670396,-1.0543651282849686,-0.8205160359976335
H2731,0.5945406727034545,-0.420584795354804,-0.7639961954042064,-0.7409868099122722,-0.7393881555094767,-0.8533468273617263,1.2703570746541406,-0.7825576691161765,-0.8799665565877943,-0.901466292466604,-0.8233340658616878,2.2675548546105317,-0.5788999359619241,-0.8786275624742154,-0.8076929500800921,1.1907419387761249,-0.8880115679039,-0.5704510578867857,-0.8188701403518219,-0.9330421787022284,-0.8901138352857605,-0.7542874540218325,-0.9450172493496566,-0.9346273967070744,-0.8763251788129123,0.7053219448868517,0.9674274422471916,1.1276266583612673,-0.9772779069810535,-0.47918939148378,-0.6686071581204087,-0.7986927837108012,-0.14511036361926022,-0.965795895450962,-0.881274185984073,-0.9179225078875048,1.0743813153485235,-0.9184842185137768,-0.8084079144681271,-0.9454052677170643,-1.0156142947072218,-0.8610512849002576
NCI-H441,1.8141603542971767,-0.8005886162710971,-0.8151670231097966,-0.9058453968529314,-0.7871145666380842,-0.7735050886083082,1.581770372279255,-0.5705549022548005,-0.8485418724643989,-0.9122647595192764,-0.8677657711214122,1.1527214541991018,-0.7911796144530359,-0.9408218206449418,-0.5804099515324128,-0.8695555126970196,-0.9170305156417898,-0.5776238403084281,-0.8366338181498268,-1.0087392567454898,-0.7261701661509107,-0.7911198950421171,-0.8884505003944195,-0.9678668371601732,-0.8677332161607633,1.1642406556498492,-0.7832839125129516,-0.19243137026487794,-0.9246806384217914,1.1758346388007288,1.1812429348238538,-0.9008546903377076,0.4117747891752552,-0.8514612327564335,-0.6425920462772123,-0.9759521987400488,0.9974876976636116,-0.7613619215313905,-0.6907684227061798,-0.9532158859917828,-0.9551615119882862,-0.7189093416819688
NCI-H358,1.0013325227481806,-0.7326517570395114,-0.7876773412723713,-0.9142275322859192,-0.8363099201081273,-0.8434130198592416,1.596330215767102,-0.4891612124951637,-0.8670351698069269,-0.8372306217397627,-0.8435285163038694,0.2874890898802209,-0.6357263347293327,-0.6830205498318882,-0.8802179571612244,-0.9266210789420518,-0.8736299660056611,-0.5842923795649434,-0.8984441290899717,-0.8400426526182242,-0.8534458570263008,-0.8771324627836061,-1.0842507979608569,-0.9951822206124517,-0.8799943146931525,1.4428994140727684,-0.8249312942891728,-0.4483044717133786,-0.8045607147575348,1.709203023884717,1.299767763157652,-0.9534178410332091,1.0386036139410426,-0.8164707135250828,-0.7522704790993319,-1.0237550235365953,1.1310598677228272,-0.7854987707035105,-0.8498852058037598,-0.930791758898252,-1.0626114686384025,-0.6894236812681691
LS-411N,0.7691292814967118,-0.14947333960909234,1.8057208632699784,-0.9398068704763368,-0.8202534189676876,-0.6989845538084327,1.4492740468271832,-0.2950057846662902,-0.8853341313043442,-0.9212334142478472,-0.8939073922239104,1.8826312612285976,-0.1960630877881457,-0.7237630013432791,-0.7732457112094222,0.6332818419668119,-0.5916624024158776,-0.5599247046444229,-0.8981689797790723,-0.9081400342367131,-0.9327818519527462,-0.8432777321688903,-1.0664628461471013,-0.9139913698562468,-0.8472751012318219,0.8212887752083584,-0.5485566561240002,-0.36087472831561374,-0.6447140522923068,-0.5736581060110549,-0.5514372368102662,-0.9407201029183286,0.7714832904867354,-0.915830787257227,-0.7362768329758651,-0.9297000434741408,1.5479915862164455,-0.8740607695117661,-0.8254158741477278,-0.9752012641963584,-0.9794753936646646,-0.18873082152319512
NCI-H2452,0.5060830660471239,-0.5505028235819012,-0.806443892493599,-0.8930561319718351,-0.8286386918867646,-0.6571937975028884,1.689104378608154,-0.973357342656414,-0.9146687516366234,-0.9047191489211116,-0.8566326600341758,1.5315967164995972,-0.6500621072791403,-0.9144170799048398,-0.7903243930109562,-0.9394801377006466,-0.7003979292687373,-0.5665368589414587,-0.8512718486116159,-0.8279313447218092,-0.8750196068225919,-0.8626817390123668,-0.9104084690658748,-0.9875358612610784,-0.8299645225869978,1.0567996957169905,-0.8070447031278863,-0.4469729536533221,-0.9486324106384731,-0.4469678291827772,-0.18554929845036655,-0.7698602445388135,-0.056883909287725874,-0.934221382250739,-0.8229268805989817,-0.8994554017613599,1.4825375926488986,-0.7206695321668974,-0.7885424071812199,-0.9377634303538828,-1.0623165073048586,-0.7923810833976588
UACC-257,0.8437351640326068,-0.738275840352691,-0.8094861967238722,-0.9135598190451196,-0.7249677788344068,-0.6718698439634507,2.040730262515458,-0.8133207035497856,-0.7512219446026539,-0.8734567458712096,-0.8690411402775559,-0.6538548136933403,-0.6676260698010129,-0.9423460396165638,-0.7756316184311247,-0.9735051672305948,-0.8808044719801942,-0.16876468418189075,-0.8813561465774057,-0.9862730224871754,-0.8840227821426265,-0.8243005035270616,-0.9826267462425656,-0.9450051279693498,-0.8598188663063321,1.1833158613020665,-1.0055224534250695,-0.7232769781526511,-0.9118260300527083,-0.7967391698283345,-0.2098506058899502,-0.8963626486221288,-0.06867848322317457,-0.8683151132624893,1.0347651729350231,-0.9931519011238156,1.0722967985158007,-0.925014559844037,0.3139097616410039,-0.9654102170691524,-1.0098857542196893,-0.785799438393246
H2369,0.6358268214948581,-0.7561793705455387,-0.7997517233747231,-0.8446398246600173,-0.6934550068571134,0.07569083632888098,1.6198558531081642,-0.87249690183751,-0.823854785270311,-0.8767055028667857,-0.7963239333758076,1.276079560839279,-0.6968921185154024,-0.8523560218594408,-0.8553532921680034,-0.8995183364331357,0.9265516379898427,-0.5623463624619055,-0.8630637095783305,-0.9122551832512916,-0.9652578465284056,-0.9109609386776528,-0.9280542342045364,-0.8614486130363794,-0.7958386061528919,1.1817388865761032,-0.2585685973883213,1.1683335445380865,-0.9225949820592492,1.4493127811734514,-0.3038444891263836,-0.813987082942932,-0.12317326314702542,-0.8973760508840463,-0.8588265814352879,-1.0017345089157457,1.42238711333664,-0.7348079229829765,-0.7756152178725099,-0.9992713533841366,-1.0192349389206146,-0.8620682066122235
H2804,0.6140202572002806,-0.7359653158821561,-0.8294871797010371,-0.8839836388701285,-0.6459094582222275,2.460301065136524,0.968825355430926,-0.9576112955141218,-0.8659544879469646,-0.8877807959573878,-0.8583489184006333,2.987235489743296,-0.7219065120596373,-0.8731333773314134,-0.8127352682775542,1.0482246176913108,-0.9164112503579016,-0.5119156582027666,-0.851707599294201,-0.9203357691955006,-0.9340398933483997,-0.7857175109357492,-1.006897380329423,-0.9055147661222152,-0.8572338991512586,0.2764253043507023,2.2772375289171403,3.1514379427175863,-0.8191278286058853,-0.20386698527880964,-0.11552960414227535,-0.8836869790993651,-0.14702454791406616,-0.8407916853994546,-0.9055415458439632,-0.9176540469137308,0.8923316266289947,-0.8033062384986636,-0.8297649447551424,-0.957635476288234,-1.0378220084605143,-0.8243609740572423
