,EPHX2,XDH,BAAT,MVK,CAT,NUDT19,PMVK,PEX16,HAO2,FAR2,PRDX5,HMGCL,PHYH,DDO,ACSL6,AGPS,SOD1,SOD2,NOS2,HAO1,HSD17B4,CRAT,PAOX,ACOX2,PEX11G,ACOX3,PEX5,ACOT8,ACAA1,SLC27A2,SLC25A17,MPV17,PIPOX,FAR1,DAO,ABCD1,DECR2,SCP2,HACL1,GSTK1,PEX1,NUDT12,ABCD4,ABCD3,PEX11B,ECH1,IDH2,IDH1,DHRS4,GNPAT,PEX2,PEX26,PEX3,PEX6,PXMP4,PEX10,ABCD2,PEX7,ACSL5,PEX13,PEX12,EHHADH,PEX14,AGXT,PRDX1,PECR,ACSL1,PEX11A,ACOX1,ECI2,CROT,ACSL3,ACSL4
CAL-120,-0.3589484429794504,0.3645141834400756,-0.8246923178924308,-0.38556959374578575,0.9830025488916722,1.5705577366772825,0.7426810254815501,0.09960797178745114,-0.8060590207796958,-0.6265548749897866,2.5354193695052056,1.6180194977411286,0.8962499916271504,-0.7931843906728715,-0.9294745193746076,0.8714126935934259,3.0331207940835614,-0.3682409352843973,-0.599537623569272,-1.0077051582913392,1.8894399743907788,1.0397538862233342,-0.8089844833970046,-0.5973120835602146,-0.4145311536381035,0.4137388868392344,0.8408945089538463,-0.11167651004100357,-0.04443419505790189,0.2979114527524728,0.4120707066122481,1.8608627818562824,-0.6751936368938001,1.1626857575581662,-0.873652391604417,-0.3197149384923594,0.6389618978619146,1.254471197018968,1.6959996709045475,-0.3460290751310591,0.18315256931000026,-0.17388893392675422,-0.5005554199387747,0.7498620385015441,0.4571747847832052,1.6991767456735412,0.6592388791249838,1.1558655138313991,-0.026163045191040117,1.569058378623007,0.13018366331777184,-0.7723474060876748,0.14336971527200634,-0.4624278177565969,0.4843672563711569,0.3588927580612334,-0.9833152408577248,0.9751205878737716,-0.7318614713868649,0.4501848827407876,0.4837361217595358,-0.3866006648969344,-0.5386046475953922,-0.7535139218886614,3.42908882088893,0.3635994262317375,0.6483452590699217,-0.02242550308153034,1.0591984235008909,1.206408341530061,-0.5895240148436219,2.152701511077334,-0.15608468891609292
ETK-1,-0.6434806986757106,-0.4034679321630326,-0.8758516215367661,-0.015649370511961136,0.6324081649172595,1.403381667724228,0.8196593626469689,0.00399144218994478,-0.9172052660626095,-0.2315900885833763,2.5763442392724563,1.7548369700655997,0.7127983687709225,-0.3983663136790265,-0.903204599820953,0.8115192624563206,3.278243996749974,-0.13773094597658514,-0.6739870090000782,-0.7931326130820391,1.4061231687697509,0.9664129320654132,-0.7805631003846563,-0.6969875924599418,-0.5540574617460037,0.4948335478212704,0.4766536561862311,-0.22058979991059352,1.1048673693798263,0.8223723098208413,0.3007018390469445,1.9513390691307977,-0.6988142386479829,-0.7262079018008212,-0.8380951350450451,-0.5542878376844215,0.36615963818045416,0.9525587771958536,0.5814717525910656,0.12859425896948765,-0.03848081090367966,-0.7053568710159555,-0.37295149644348574,0.6314614404680282,0.9595847991084976,2.02916512713346,1.4182934472688922,2.5685234808710686,-0.09037807968424393,2.0031564758206883,-0.2231004633525981,-0.6601593040955406,0.37840389885654596,-0.01675666162392991,0.6507038931494906,1.0149470197380601,-1.013832244837881,1.32325506407773,0.7037455957220247,1.2161718416187182,0.4341407026054336,-0.32772303333266395,-0.5011228438865785,-0.8550585382203809,3.5615757749223182,0.7704906108680689,1.6340001691206352,-0.17943447293106451,0.8894651898501252,0.7961391147090755,-0.5864474860366754,1.7476940830302308,-0.4524924225555709
H2731,-0.6175778986726665,-0.18256071047047248,-0.8494254244385824,-0.07036726415569684,0.4615493829851742,1.2673165801724051,0.5945188235049823,0.09386381381770616,-0.8762580037701513,-0.6928957811383645,2.2720960051368064,1.4776972112429865,0.3768717673971176,-0.16226268004447605,-0.8678986297414392,1.0053976205119028,3.519565826586869,0.4750383177508055,-0.5945239158437498,-0.7323532952959054,1.602403374470596,1.375408913362426,-0.8479416565179642,-0.6011146941203219,-0.6496294390459179,0.5034382191871393,-0.07864719152175098,-0.1862861657691427,0.6372914868089068,1.8020976388465637,0.7546703142856692,1.9613298830835983,-0.5903508518546546,0.7242273990932173,-0.8938145213360117,-0.6940651756943299,0.8453522134553689,1.0542857603985492,1.6276247512894138,-0.6698474790917873,0.20446422121035412,-0.3000239808825071,-0.43351870110567664,0.4833097721091218,0.39217246370954173,1.7324887596952594,0.1654164287319786,1.7667763464936113,-0.4497052289572008,1.2005286651752198,0.04681160635917764,-0.7473964788641742,0.7241706899170237,0.37560566013851204,0.1782040290968786,0.293764576901081,-0.942768022638838,1.4575975561816423,-0.7075070196179959,0.7226261279922137,0.5783088514269109,-0.6526178510443982,-0.4505084751851893,-0.7876488329330352,3.5487861249712003,-0.012457345825090385,0.6253771745044739,-0.15435251019739654,0.6935849252327649,-0.4363615339098288,-0.6152966963728771,2.09704132460512,-0.5851766335735371
NCI-H441,0.1143783332634742,-0.1166431491698032,-0.8685046160691875,-0.21991679267577272,0.9383313394192144,1.4232163704454428,0.8507515182888703,-0.17520800692219402,-0.8571656318824196,-0.986777204994348,2.5237590239801166,1.805873748224876,0.7701013258506033,-0.867833205936394,-0.9653163380416592,1.244750154016755,3.056094164037991,-0.3750786484077215,-0.7019239508083844,-0.8245492326816886,1.5492525182600223,0.7646941482823746,-0.8998736759510787,-0.5132255737114306,-0.5544392560889796,0.7303413464726503,0.3723020338976375,-0.27597778185012645,0.6093150626289137,1.4370890400753842,0.5849701731232708,1.7560382503665648,0.13577017616337508,0.6771923605709094,-0.9001727557654481,-0.8137284455082786,0.5859878892296013,1.196387599530414,0.6644768541427929,-0.2641718003643327,0.2442921199824665,-0.6587384269202595,-0.5549335067434628,0.3764528392878545,0.7197560861847121,2.227882362631481,0.4091018229307477,1.9320700460667521,0.051074167990854326,1.5340833668537337,0.10070535620069276,-0.6074711856436456,-0.1756182734986736,0.11154482405837962,0.8183335213784593,0.5720943305658059,-0.9611247997954964,1.0644732364993632,1.5298250400826303,1.1135670412193612,0.51598222643647,-0.4409448709338684,-0.5969778146250134,-0.8024169988971784,3.396484013278804,-0.04765470636441791,1.3228074957612437,-0.01053465643184643,0.8603710664773335,0.6432526030489601,-0.5864888566203474,2.3994334248696414,-0.2940483052190775
NCI-H358,0.3252955037954253,-0.06879323338412384,-0.841037473183299,-0.4511111978067411,0.858842729277318,-0.8820104033771345,1.068942723825144,0.02391463129330024,-0.8591017774802381,-0.8557258482268633,2.804233001222572,1.7767244492284284,-0.2647656158082661,-0.5702355977078017,-0.8224199386488709,1.0353778505876396,2.600451269983122,-0.5912642924772066,-0.6600815092715118,-0.8854679481689289,1.5777370124012131,0.949310852963394,-0.8840290127945409,0.06195587682804728,-0.7117073508167392,0.6799465362981943,0.4550097297113558,-0.32545778160442074,0.2184665921461292,0.9863678996852472,0.4770775035960255,1.7494477343393122,-0.594576262102504,0.4955733940012046,-0.9059186898346959,-0.3815889028242327,0.3937292664337659,1.1477666849157997,0.3914861126130007,-0.3168261465876571,0.18544408984526206,-0.3330482914012978,-0.2492511645608911,0.5335440313563322,0.8287331078075595,-0.5692580394813069,0.8913837311998359,2.1354673854881145,0.11136953021645572,1.457161683026334,0.11483216379741862,-0.7526422943075266,-0.1086282543765514,0.6343382195705783,0.11129467286742603,0.04516315791275816,-1.0365556217870189,1.166622358009642,-0.5943284824405468,1.5053806877529283,0.6395262684740208,-0.7142256778311348,-0.5341234591550648,-0.7588241493916823,3.205248778979662,0.1263455996581189,1.4742194683061265,-0.14471003542742092,1.0293683180880129,0.6601589503999683,-0.6235143661536525,2.142451218470835,-0.5838712741790036
LS-411N,1.1088423897220805,-0.3364016539860749,-0.7870097030253941,-0.5427605975856035,1.3066805672721722,1.6513825909017248,0.8134366766065556,0.12669582951125286,-0.8360863011754902,1.51312566878418,2.6288443359492564,1.6531873432574853,1.4054720005581955,-0.8093325476347859,-0.9073169945373921,0.8523547861142153,2.905929784210669,-0.12736847108270474,-0.4649523523448522,-0.8294163740650285,2.083022742763642,1.4061714600579618,-0.8185337203329679,-0.42607797029782624,-0.14207228563919685,0.2831763738380689,1.0484865694266856,-0.482886894646025,0.474064000127071,1.517534933158853,0.3406766214412438,1.0190446123520494,-0.5891741134817868,1.21721556397867,-1.0035512998588985,-0.5607445311836481,0.8726366609312971,1.3135140890372716,1.3624859637847442,0.02716580035226384,0.534477177341581,-1.0118966210785734,-0.4785738909806284,0.8192381830442544,0.6295462333217003,2.0397836177291686,0.998437171683037,2.1304316132593235,0.2648223335804151,1.8952281481251907,-0.10703918909164248,-0.6393062516006773,0.0007574668393713519,-0.10976969222056228,-0.24564037109616116,0.5263315154815149,-1.0258118824977582,2.03831984875262,2.3057534079820674,0.7345197403930237,0.5042085387703993,-0.5260329101708265,-0.5939660273539963,-0.7861661793726629,3.3634425827611647,1.3760873486148015,0.636213247364296,0.6091218313417471,1.0120272894139355,-0.2655387359047056,-0.65370301955621,1.8070296884786683,-0.5528131222284178
NCI-H2452,-0.633919677664261,-0.7686771348302919,-0.8366205182665633,-0.2289056378157928,0.08774108921539088,1.603784178762374,0.7897369219549267,0.1861754975060498,-0.8269488382829212,-0.11660876789162306,2.619179118971352,1.7173655968222967,1.3919075115310364,-0.31915224173024,-0.9491599822361134,0.9021794373068784,3.2623159001141557,1.013523239436815,-0.6322918320968518,-0.7826070106825129,1.4907736872267359,1.4370081160341863,-0.7235694088951115,-0.6685790545487504,-0.6248008271172827,0.5281829234983748,0.9515450982150448,-0.3307975288810823,0.4458132414182615,0.09962415633281213,0.26273440560380434,2.0704437123996344,-0.7220896539578036,0.9203947767804512,-0.9997379898122096,-0.5003494786317243,0.9852492021824364,1.2272268696955375,0.6667783028740754,-0.3195306004766609,-0.11258319745132324,-0.33041942825477044,-0.6062833400158325,0.1032886995430215,0.5262053307346571,1.140730762524914,-0.008436728541808762,1.1907883157721728,-0.5546597188723394,1.4675555896284729,-0.15971170732324794,-0.6643003043631288,0.6026921312684992,0.5409234161207225,0.23040787570424065,0.6713559024861849,-0.9816934675654052,1.2858322248441496,-0.2704534461499827,0.6376880953869807,1.105265427342332,-0.6191519726192363,-0.5135575516677414,-0.8369422663697911,3.4986327373738453,-0.17461480376657554,0.3579474536592621,-0.2780299073887623,0.5840861603162407,1.362785292987237,-0.7010097312863627,1.2657478200854624,-0.01544154903148769
UACC-257,-0.08418171087854606,-0.7695229287707932,-0.7045108355914584,-0.11782886889342067,1.1545816074219504,1.8346503570652544,1.0984598294359864,0.16348444760063272,-0.8270098393166456,1.0465211709425593,2.463429522842521,1.7328925724478654,0.5022833629679018,-0.8500042257806781,-0.9234546262974682,1.4196557381422197,2.8658434995250315,-0.5339736232437167,-0.689498321713817,-0.8853064441769252,1.4249149942535797,0.5688119539693901,-0.8768601662976597,-0.709026812857818,-0.5973014379779025,0.22389447434411455,0.7165348175751975,-0.06964263579063854,0.6605177103245857,-0.9257183268666624,0.7974070351784975,2.4034670798387734,-0.5876848641888439,0.3820402907452389,-0.9221030754778335,-0.3838635265549527,0.4600631797578205,1.2899016095246,1.224472184445199,-0.24050250478585314,0.1227455614951682,-0.6176095253661943,-0.3420319120055004,0.7034188355081362,0.8284607588729304,2.267142361043944,0.5797250772542998,2.1516639489373826,0.0932427665664413,1.354219936258842,-0.07719022523867565,-0.6659988505050449,-0.12980891605689332,-0.0018415074247181329,0.6767389838005052,0.9337352948410204,-1.0020244174938264,1.2587034730813025,-0.6700437279459417,0.3089985360025864,0.9115223669926324,-0.2947082592835378,-0.5234954648705088,-0.810899955656213,3.1617507882194964,1.230388205976369,1.2196756259512145,0.10963598170595233,0.9096974797418974,0.8293697734840442,-0.515708809652754,2.8082000585427465,-0.5001726058432905
H2369,0.20226174303879785,-0.7966065356393935,-0.8292364141967566,-0.4847891781615391,0.6989842499577816,1.896421497660037,0.6063253340412661,0.14581563218338967,-0.9355080281475794,-0.9178880711064968,2.5637389324877327,1.8858574233581007,1.5618662771271878,0.3485118496150948,-0.8821731265374921,0.1768422550757678,3.0098897120968697,1.4290956479800936,-0.7649784631730473,-0.8761955603844827,1.6108102092647123,1.2710000315533487,-0.7828648780528391,-0.3997587422648355,-0.6415829147622067,0.6635019491748567,0.3579790928830135,-0.5137583194638018,0.5019810564239555,-0.710569246902239,0.6309258291689136,1.9515995501324432,-0.6061625112571364,0.9331855259157684,-0.920053034232942,-0.6475934118097902,0.7484115402268039,1.1826386283262291,0.970231741182757,-0.3074335141321191,0.354547568400374,0.08048847237194473,-0.434996403647295,0.16744108283894166,0.646376720925239,1.854481619539923,0.2992478045536559,2.069785643404556,-0.052341045218498986,1.7651368738603634,-0.038539331036543806,-0.7401044818944648,0.4151729383748428,0.16085374778155506,0.017644459243077185,0.6719090646630821,-1.0017672047018205,1.6141423281186815,-0.370710617902039,0.6204190654505363,0.3378949705909135,-0.5053301462911605,-0.4420932188223326,-0.8930542481147989,3.4610822156376564,0.5870880573203023,1.0645797042713092,-0.03822230085157476,0.6228255016341049,1.0968104489681991,-0.15403682235960034,1.8525964373750736,-0.244955928453887
H2804,0.2594058289721755,-0.7620736647117891,-0.8338236083209055,-0.09718444139037527,0.1717281897747517,1.6781848907395474,1.1694804725454873,0.17056613829754294,-0.8571395715865807,0.1960666424071024,2.606300902126626,1.3429771493541451,0.3729287070710563,-0.5200284284515466,-0.8438143583869965,0.369462599892938,3.1374199630359683,0.11579704217455893,-0.6601217648001976,-0.9601009257189996,1.6848458663389858,1.3703885168562846,-0.8544916787868174,-0.6934558051939214,-0.6382156475159741,0.11668630884254988,0.8230627876663176,-0.4158120177099611,0.3452987726644869,-0.1341108450118666,0.8416846538527235,1.9341464166562363,-0.6477270262823359,0.5189704284441259,-0.9922758800072172,-0.3645570675111661,1.208178857950863,0.87788265143039,0.4643615349431942,-0.6100627396417079,-0.7414666516073866,-0.4248848566643431,-0.4984819550105993,-0.06898208417513771,0.7660956540796839,1.6923468438550104,0.05979666476232187,2.2336190435990857,0.02087352227352656,1.4703629206741753,-0.07002265780925225,-0.6918060464990705,-0.12736824271199482,0.02933814962459042,0.36691102565377975,0.5987277568120832,-0.9968776304158204,0.6101469247741309,-0.6382184305939995,0.8607297485597784,0.5318049580340924,-0.6712312401415245,-0.5116362474546106,-0.8462717359272152,3.558262888527884,0.11593948884146195,0.6174530257577046,-0.01751905928984399,0.5693025892238462,0.8593268389216117,-0.7907233302026219,2.2780512360039755,-0.5475031542562917
