,TSC2,IGF1,RPS6KA6,MTOR,EIF4B,EIF4E,EIF4EBP1,RICTOR,PGF,ULK1,RHEB,BRAF,PDPK1,RPTOR,AKT1,AKT2,RPS6KA2,RPS6KA3,RPS6KB1,MLST8,AKT3,RPS6KB2,TSC1,ULK2,CAB39,MAPK3,CAB39L,RPS6,MAPK1,RPS6KA1,PIK3R5,ULK3,EIF4E1B,STK11,EIF4E2,VEGFA,PRKAA2,VEGFC,PRKAA1,VEGFB,PIK3R3,DDIT4,PIK3CA,PIK3CB,PIK3CD,PIK3CG,PIK3R1,PIK3R2
CAL-120,-0.3795446602505823,-0.8072227247635029,-0.8767399290211582,0.10579987820560988,2.050397211009121,-0.5804677865997679,2.8295765848030454,0.4501499312380259,-0.7442061888542402,-0.6999648286842293,0.7005811129056938,-0.5979925924579317,0.897894373169827,-0.5158648673521568,-0.19985279400177544,-0.4819424240854727,-0.804952845522789,1.5419913980788051,0.3613185847840465,0.8932790925111713,0.4364324540353784,-0.06629373241745093,0.034227564708689005,-0.4136299048239212,0.8443644152648963,0.6544469534894845,-0.4139031943680062,3.573714777457881,0.254584764720762,-0.4747614952256771,-0.7875557925705607,-0.6833777944366515,-0.6369686727355575,-0.04040182567234395,0.4849533584530586,-0.13615583380991358,0.4122164652513519,1.2071468777469858,0.08848128348421973,1.7705298236744007,-0.6406907280038789,0.9746365325339824,0.9873660513528476,0.534576748726534,-0.7809640560641528,-0.8524172464873309,-0.3572494710380825,-0.3426310511824054
ETK-1,-0.4180248589144912,-0.8030587673844656,-0.3713051256539937,0.030525746305379513,1.5879672198891281,-0.8210632699211339,1.9068952635097345,-0.017040825910605094,-0.654801981026017,-0.06827268185172143,0.9748023268168844,0.42995935860563744,0.8411051806982044,-0.6943069191218868,0.1266592331092139,-0.5886272683587355,0.5720004321241864,1.4333254609430977,0.13359398314234994,0.6069646959646281,-0.5448795531082345,0.15068802743514942,-0.0947341673700069,-0.38088839049080064,0.7594249563887814,1.1182205197694308,-0.3744347180018845,3.323423636824056,0.3975693338555972,0.5473748711140506,-0.8197989690348624,-0.6412872083454149,-0.8443035393359337,0.150147232017176,0.5672183998133573,0.051531192352618035,-0.35036539958618884,1.4399012665899398,-0.08779194387465454,1.7898172552928324,-0.6417876055405305,1.9555568538958956,0.4094503601052189,0.037496706500950314,-0.524460852626613,-0.8654864209671396,-0.4833683157757574,-0.4050677602198264
H2731,-0.32624176581224346,-0.8316779620047159,-0.7707528390016399,0.09506309060407568,1.8227419816387216,-0.6615875960971406,1.9738724136832373,-0.06979301468211717,-0.4870874467128541,-0.2819885315908395,1.028093984985869,-0.7754335933876804,0.9892711025813736,-0.6987255184449497,-0.15174020943164618,-0.6640179112916704,-0.3965595020242776,0.8794643999624691,0.7095147448011573,0.6752705812990871,-0.6239843608956496,-0.12140390871310765,0.12643497348980476,-0.3749918764893735,0.6260871537350735,0.3118671424176911,-0.26316959098482395,3.5503561392647573,0.4667006303610834,-0.07858527905274855,-0.8410884136853347,-0.6745673098131579,-0.8078648041663569,0.4482420915359001,0.7455153227462928,-0.12238399279539905,-0.5539231051055934,1.614833455590885,-0.2407883663596755,1.556800131920253,-0.6443644194844482,1.5043571524050936,0.8594187429000945,0.18336718453373124,-0.37757563301429853,-0.8765333670274109,-0.4281227646593607,-0.15702108108980029
NCI-H441,-0.31180855362977444,-0.8159873416004902,-0.22353676177526224,-0.1677459181529349,1.9414043154740852,-0.6247057515005932,2.0113246292872944,0.4675482843091714,-0.6529563679614412,-0.20139066983708226,0.6279224314500943,0.477240781276831,1.2468846146313366,-0.7327530996213504,-0.26570566958600805,-0.5854985495687144,0.20233674861244216,1.7291566015093782,0.6905172217716493,0.2741887491943241,-0.6958193198758809,-0.10343686768118844,-0.16443171794670852,-0.8563213264957711,1.4695528005855325,0.8829574758666384,-0.5246590447651822,3.2959786796907946,0.6704127006499002,0.11385506727248786,-0.7929647301950058,-0.4585895052883807,-0.87493898206172,0.03240936595795205,0.2812696590454431,1.2322996306513625,-0.8029768408507878,1.283230726942129,-0.15000151283089588,1.7059977150349308,-0.4713064903986299,2.8006637333779683,1.2268652508596756,0.3785433051934744,-0.5048386655437213,-0.933630609859046,-0.07774390743676543,-0.28451003525850943
NCI-H358,-0.3300007542088455,-0.8430757035586279,-0.2370255118698955,-0.18179447286972125,2.100094264128478,-0.7955134356315597,2.5769456182139048,0.6237743833480993,-0.4533190088833273,0.2779071524185197,0.3075402432904927,0.047892795948571314,0.9311363532586237,-0.7536901336742481,-0.05201802325830348,-0.4248105610331739,0.3232432688249177,2.025435595277731,0.9584815997677794,0.3283829852419012,-0.7232608504086048,-0.016874728128771672,-0.054653850653545166,-0.7226089700034922,1.7277967534185683,0.5908614322155727,0.0241558786010927,3.627318635947696,0.30552863757628834,-0.11319189558944415,-0.8003529130190858,-0.5275134589043551,-0.7836236917535927,-0.02807101730455708,0.5596840983478284,1.5140689202631417,0.2782418584949869,0.7762441910331801,-0.191169079070174,1.6328372956173225,-0.2453339387280799,2.1385383701867937,0.8113056012150509,0.2604488947523818,-0.65216438457763,-0.8715621277889629,0.4416383048174035,-0.3759062541623136
LS-411N,-0.4901846119260792,-0.7632984306223138,-0.8016302412946349,0.042960892671571375,2.049010651534129,-0.7975783294286252,2.086368659222855,0.09567076293023803,-0.49701199405385704,-0.36499141571357213,0.14854494085158265,-0.08196609676428873,1.0678326937871672,-0.7561137658070235,-0.24251542886789626,-0.6497916729249831,-0.6943330299245424,1.756609840055967,0.5501986175949979,0.5789782382894963,-0.8267961689333675,-0.3129192594756962,-0.3035897018655469,-0.8320269341677008,0.7443517564333562,0.4836942612484981,-0.4348388290888588,3.9287887751899975,0.5281396400601249,0.1660794158213361,-0.7380098373948586,-0.4190017247822166,-0.9521762597195272,0.03177415349515686,0.4030945030650857,0.9811121203989456,-0.9011536684245764,-0.7950993179221014,0.2575405535559408,0.83295495125576,-0.7207817579785165,3.0539383189210816,0.8412287390884277,0.23400217589226124,-0.8168373886640627,-0.8488851561535736,0.3625898147259357,-0.315113364159437
NCI-H2452,-0.3555395962810773,-0.8152370417214918,-0.943198528558692,0.1000301686244262,1.804355639024784,-0.7599040310805177,2.549781904090624,0.21712245452597545,-0.8028800794993549,-0.3204045822124302,1.2744907358096218,-0.3329735262677015,0.9356370129788464,-0.7236812040447679,-0.2078611696528301,-0.6172414110572932,-0.32266290511113543,1.4646385136820488,0.4517109810611117,0.8324407433997764,-0.3753643941962525,-0.1366643626530173,0.1084779304804271,0.026824975316960962,0.3811065240920236,0.3383250667796434,-0.5659022299471245,3.4675626811162763,0.5485088606794144,-0.15436563603915307,-0.7810246909336291,-0.4406760562417446,-0.8299886882726575,0.2825948018900986,0.2268051203419852,0.43425245159654857,-0.6340186954059567,1.9259318486802872,-0.3432883985421872,1.9273473483634405,-0.6865469766465245,1.8561603328122664,1.1604717518938303,0.17486977984787494,-0.4429466925798285,-0.8109860852430577,-0.1596184972839978,-0.314793690336176
UACC-257,-0.4738981851076182,-0.8052434929270647,-0.9938407390701351,0.2637950159070584,1.9434812909863417,-0.8559620263085016,1.9143366692985904,-0.3204431082884077,0.9041921108625264,-0.6307161098916598,1.254813476296495,-0.4590973762124978,0.9912632604625052,-0.7007102581054728,0.1034372484054456,-0.4156948757425929,-0.8198936095332048,1.4655828698669384,0.09815858769069984,0.92755950237998,-0.20350358457046905,-0.17367188494911734,-0.2551315892400042,-0.6372972494924741,0.4840260817682141,0.4198127773087068,-0.4103842670917116,3.2616593274732835,0.7572535381033558,0.07203473141150467,-0.6943889672456175,-0.23950898733249945,-0.8208218847045576,-0.2061944967321777,0.4869627764639685,-0.3773881016549295,-0.7220897666679856,-0.6652856650985679,-0.4205848501537541,2.0716966539156254,0.27933463228855104,1.8796777082245368,0.3312185599443601,0.6625406578276586,-0.0535754824600499,-0.8888615239730282,-0.1797654584160006,-0.23280851377457995
H2369,-0.44275886825935856,-0.8009926084809159,-0.8842795892188972,0.09366300668730927,1.9392751981736729,-0.7624994232678093,2.422752887655032,0.4434497253326572,-0.713276633512284,0.4819484362883481,0.4792049704545932,-0.4941771265845692,0.7374576879045716,-0.7214448390417401,-0.15119158549319922,-0.6524623508563833,0.6534345053180017,1.489438769970385,0.5233412598879034,0.38243888689053895,-0.07910532007774926,-0.2712225576058132,-0.017103646196801017,-0.2395239816895963,0.6247565045516364,0.26262041498512817,-0.452863174726985,3.4751701155247225,0.3546276216895768,-0.24614358527301475,-0.7896764876803988,-0.6828305341517416,-0.8743284889645114,-0.6525247871747459,0.2782223198404428,1.0429309187507891,-0.1956123991674326,2.0672964693530087,-0.14250455278206675,1.9810543697037104,-0.691032607776449,2.762989870434841,0.7841199206958448,-0.033848076739364866,-0.37027626072364944,-0.7936449523991068,-0.3732720210721264,-0.3378489135883645
H2804,-0.1908127619615332,-0.8154948988360905,-0.8900125641797672,-0.03616029911559057,1.7002122475534691,-0.7731181383523494,2.1653817609324166,-0.3418134586366327,-0.7396247599687992,-0.10668427458441093,1.241294481591372,-0.6538816474444307,1.1003552511536838,-0.6937038572970381,-0.07058561604041526,-0.6048940168676246,-0.11783811524758725,0.3747394540415649,0.5736438157949247,0.9161400376662696,0.19688997202868425,-0.2523304976570964,0.06114648561447035,-0.4946089339071524,0.586018355989708,0.2628231971577309,-0.35853415605615463,3.1124845711616986,0.13328015511769925,-0.2370857719876033,-0.7472125042240992,-0.6605820678139742,-0.7418903080819579,0.27245875235645595,0.7135139884079117,0.2444610976242824,-0.6865828592415982,0.4626476460674732,-0.348076436629682,1.4996895725349453,-0.4288977530377384,2.263722848302269,0.3947720845654773,0.08200578811682839,-0.6854649035487371,-0.8565138313212369,-0.4312594649685069,-0.27335239188478433
