,CALM2,CALD1,CALM1,CYP4A11,CALCRL,PTGIR,PPP1R14A,ROCK1,PLA2G6,PLA2G2E,PLA2G10,BRAF,ITPR3,MYL6B,PLA2G2F,EDNRA,GNA12,GNA11,GNA13,PRKX,GUCY1A2,MYLK,ADCY3,MYL6,CALML5,ADCY2,ADCY1,PLA2G4E,KCNMB3,PRKACA,GNAQ,PRKACB,PRKACG,GNAS,CALML3,PLA2G2D,PLA2G12A,AGTR1,MYH11,CALM3,PLCB2,KCNMB2,ADCY8,PLCB1,ADCY9,PPP1R12B,ADCY6,ADCY7,PRKCB,RAF1,PLCB3,PRKCA,ADCY5,PLCB4,MYL9,ARHGEF11,KCNMB1,KCNMA1,RHOA,PLA2G3,PPP1R12A,PRKCG,PRKCD,PRKCE,PLA2G2A,MAP2K2,CACNA1D,PLA2G4A,PRKCQ,PLA2G5,PLA2G12B,MAP2K1,CACNA1C,ARHGEF12,MYLK2,CACNA1F,CACNA1S,ADCY4,PPP1CC,PPP1CA,PPP1CB,MAPK3,ACTG2,PRKG1,PLA2G1B,MAPK1,RAMP3,RAMP1,ACTA2,RAMP2,ITPR1,ADORA2B,ITPR2,ARAF,NPR2,AVPR1A,AVPR1B,ROCK2,NPR1,ADRA1D,ADRA1B,ADRA1A,KCNMB4,PLA2G2C,ARHGEF1,MYLK3,CALML6
CAL-120,3.0529492415243493,1.1894433169930698,2.507628534831807,-0.6808576477877409,-0.8894070082518412,-0.7910054003516974,-0.6232943501529149,-0.6553834927038531,-0.6657835805259128,-0.7039974159764619,-0.9760416175009524,-0.5979925924579317,-0.030940672691282468,1.2997511222371076,-0.8563236653599502,-0.7203548834950259,-0.23260508615856734,1.9588174390557067,-0.6210174060047703,-0.009488127225370702,-1.0715758638000337,2.3458039186473902,1.1202081080833304,3.0991264363715265,-0.836582235924515,-0.8757481625021469,-0.6798152905265832,-0.7890022743646651,-0.5826317181594631,-0.6784512920953805,1.278850664485513,-0.12687051832271462,-0.654325187767558,3.3732460502143957,-0.7316602047754526,-0.7709207460673351,0.8649723530946268,0.7374192734936806,-0.7410701005565834,0.4960791000677928,-0.8410267277913479,-0.8310306835264766,-0.7077193384081467,-0.9952210133063484,-0.5549190005269101,-0.8724078424245891,-0.3556607111977109,-0.6852223908157266,-0.8598842831717439,0.9048466647021476,-0.06710599842684792,-0.245701092160002,-0.9325949452319598,-0.8247955092132357,0.8667542519458855,-0.6478916101093161,-0.7658970264145559,1.2939478812608265,2.846229085676413,-0.7224649188639339,1.0966590001589076,-0.7831122737775845,-0.03365152225453906,-0.1723530676335141,-0.8594288614059078,1.9428200748275049,-0.9907102819046646,-1.0514522660900054,-0.8870942145888768,-0.9437674858307312,-0.8740885470537951,1.5889586870449508,-0.9096473438901092,-0.06829461337433723,-0.8074010374770259,-0.6423919249589134,-0.7460302155710885,-0.8163910921494271,2.6007751449411587,2.0327199014131763,-0.4213803407393366,0.6544469534894845,-0.8718047822902545,-0.5055841637279135,-0.8294230167564386,0.254584764720762,-0.7571137510739945,1.6734731152995581,-0.6090761120386383,-0.8667639016907269,-0.6956277347833403,2.026839030615356,-0.8271766077478018,0.03481131212472676,-0.4783871588622706,-0.8213578312538931,-0.7706925645696882,0.4257778234670643,-0.8026715678068284,-0.7532021506626996,-0.8229242668056399,-0.8305871624675549,1.0294744254405008,-0.8477441127438223,-0.6037041174701329,-0.7368507799818294,-0.6513650857226001
ETK-1,3.2486296780654382,1.4046694423285668,2.6482924484120773,-0.5885541635751603,-0.927659945138058,-0.7047439988805723,-0.3694354242570815,-0.7546889566919888,-0.6767046940981807,-0.9087447588077048,0.395072383934248,0.42995935860563744,0.5317967967428799,1.2242458433104872,-0.9644294320683839,-0.8282840658133372,-0.18927959283501766,1.7026811917969245,-0.5441081603363422,-0.12683764141526238,-1.0263857967850825,-0.04956715303254056,1.244822042793608,3.3913442244989183,-0.9400540944616924,-0.8473645723491787,-0.7127029641946577,-0.6125778961222424,-0.5841091725126367,-0.7194000136624761,1.2156903198653906,-0.18238817592854964,-0.7344656305842422,3.364873422532959,-0.7200753015414014,-0.8018124512249273,1.0676691742649835,-0.9156336661853708,-0.7617407785635668,0.3352856435292844,-0.8131655622832074,-0.8043445740551803,-0.7809562093665241,-0.7718806989668794,-0.5154597075170482,-0.7798575768868816,-0.3049678122413211,-0.43036216968462376,-0.7821007727003433,0.7020272276858314,0.010458131797234252,-0.39963966733559103,-0.9001130491367473,-0.7023412823859003,0.7701417748803289,-0.5060395863989151,-0.8199452672600872,-0.7991107755700416,2.5288634260574945,-0.6729067076108366,1.027200403927157,-0.7505054316116957,0.6713190475203972,0.2183677196384474,-0.7987808747419632,1.5809167664755956,-0.9046864726741418,-0.6732506945072283,-0.592831063063485,-1.0387554691303704,-0.8779779186936199,2.02799378906126,-0.9406139743340124,-0.4079536319813569,-0.7541956117183949,-0.6458546950074215,-0.7162140049205141,-0.6038269730380169,2.493745296818487,2.632470946531496,-0.4825372717385096,1.1182205197694308,-0.8933429284192368,-0.8163071909982376,-0.926042079067813,0.3975693338555972,-0.7413280967248831,1.2467381991838808,-0.14730168797526585,-0.8016804701302507,-0.5372480176803583,1.9108087025624052,-0.7419766084873222,0.33932625638779457,-0.4984611562386945,-0.816493259949277,-0.8516482172010278,0.090651405856095,-0.8203181755227373,-0.7644476979071362,-0.8428077218998555,-0.8184776274730552,1.708972738986598,-0.8188838596873644,-0.3900328695222109,-0.7218931705801055,-0.6224763987522802
H2731,3.296675649208044,1.1270981070904469,2.3776449201730934,-0.6759385763835932,-0.8781290703503868,-0.6647069388744398,-0.7730756875585926,-0.7545226428567798,-0.7320471851400012,-0.7771294588236071,-1.0804976396613264,-0.7754335933876804,0.4615007425021106,1.45126214773549,-0.9211055253526876,-0.8756356288167658,0.5555869725244519,2.043823321688893,-0.6484355503421945,-0.2033313768000739,-1.0912199801671478,2.288103584639562,1.2105839555844256,3.3633536952997574,-0.9566716091283116,-0.7966735920972908,0.5576172839475156,-0.8178021555875638,-0.480216518705397,-0.4847361456152967,1.331451747196528,-0.08539070392550371,-0.7275353981358128,3.3056756877527853,-0.7233951794983854,-0.8369097860864038,0.6921809198311195,-0.9495884256773888,-0.7195773834671781,0.20515465393690435,-0.7992484194290387,-0.8455847454973279,-0.7768896859039048,-0.7732044036381496,-0.020720593013681732,-0.8328490243005481,-0.4089693650984996,-0.5726417001982175,-0.7525382834330454,1.1135111322846425,-0.17396924272081726,0.6734231696706534,-0.7599241614382289,0.16831385697593085,1.0020209655267878,-0.492776092115189,-0.8877404311931617,-0.3036428624629184,2.4088826655510847,-0.4257460241607632,1.405148547145426,-0.7608390346223795,-0.1731553736243683,0.250840939373196,-0.7416387123366234,1.8069608813025064,-0.8801738949542911,-0.8393929534902811,-0.8322358564197958,-0.9360304851065157,-0.8470604261995194,1.3149922194525154,-0.8554280541743314,-0.4152779137164609,-0.6282542473497699,-0.5288675635040292,-0.7149518126991187,-0.7810256979095048,2.6938948839859096,2.1586324093436096,-0.3242464018989292,0.3118671424176911,-0.8648287735901461,-0.7833204074665056,-0.7944181853473764,0.4667006303610834,-0.7390722959528678,-0.5929644984832356,-0.4552908431412042,-0.914188215095877,-0.4418427700864057,2.097391815815163,-0.6374381883708439,-0.11617673540724364,-0.4704936559522153,-0.8625316219358623,-0.8905688415904291,0.5052404795722087,-0.8216752760290098,-0.8226909555433158,-0.8670669532032022,-0.764795567066317,-0.10747492079945267,-0.974736713715495,-0.6196015761868572,-0.6367235819841743,-0.7544130018124615
NCI-H441,3.4922933610478832,-0.8179042747145381,2.325708291028299,-0.4516492641729475,-0.8976287246144811,-0.8028127232567585,-0.7071374836654418,-0.7537390889587374,-0.7205994214637768,-0.7161440388783268,-0.7559127401776198,0.477240781276831,0.41154474354794396,1.30723485115607,-0.981076887675956,0.22651892043527105,-0.27678955669050354,1.4899549642978955,-0.5487971615340771,-0.12313304451322998,-1.0497399573032795,-0.15161572977021415,1.5367064112232358,3.1760209417668634,-0.8932595708478543,-0.8260447054573172,-0.6176814553672658,-0.8777051683894529,-0.14443274847226306,-0.7650292595911261,0.998339232009359,-0.7009703744973171,-0.7621262200803886,3.3778448426574985,-0.740287115451123,-0.8251047113713851,1.582449696816324,-0.9736351337802384,-0.7474406285949582,0.23941754943833596,-0.8467922699686409,-0.7928209378008959,-0.8776772097809287,-0.4137432725757009,-0.3937693927900531,-0.4715704388445096,-0.5217586180535277,-0.3710242784282325,-0.8297087830459828,0.9307471911980078,0.047181768982734885,-0.3502615548914809,-0.8285839799504329,-0.7590816674650094,-0.554830486360433,-0.6350175753626237,-0.8329862119745632,-0.818995420056596,2.577016718354288,-0.7149331958298955,1.554213124150548,-0.8452648290987299,0.7064685126487431,0.3636414815514844,-0.8982763860066665,0.9329538478919084,-0.8859511489369415,0.8527634822959449,-0.8387026469282016,-0.9466690005806256,-0.8386665546466497,1.8116381417690188,-0.8990277767201378,-0.01847493349817818,-0.8320506267567591,-0.5400976558176731,-0.7689758557542743,-0.7763358049007021,2.7575849597449063,2.3400929361510734,-0.23869298507748396,0.8829574758666384,-0.8134153030122431,-0.7187780968961498,-0.9154706018066876,0.6704127006499002,-0.5632099817702357,1.5115492968234947,-0.5982971431919332,-0.8663585268403511,-0.42473095920027415,2.374837594253752,-0.9274393668480508,-0.1939819066756263,0.10380444546914816,-0.7745477446926289,-0.8336904566817299,0.8280104194012401,-0.8744016087061497,-0.7229902155415788,-0.6997046387144115,-0.8547474688263519,1.8922574675239008,-0.8159627871854117,-0.5120470732646256,-0.8682310455945264,-0.6735617454391638
NCI-H358,3.3528275162361285,-0.19944828228799452,2.4876845734977757,-0.5721160742133053,-0.9063373475791096,-0.7717600107599148,0.3869549705883104,-0.8977743458550912,-0.7335375793108632,-0.7496029457504015,-0.12144023247333473,0.047892795948571314,0.09300924589876357,1.342979227389434,-0.9870765773875192,0.7464701260360164,-0.46379808427305996,1.140504541878803,-0.5879125674186237,-0.01242724165613067,-0.8995051657612233,0.5580411545823494,1.0762347637913396,2.8007714298168285,-0.9634705179653484,-0.8625297561305286,0.16059801371355076,-0.7703363998517201,-0.458246052239476,-0.7460264884047975,1.1112600614214074,-0.03861385085110898,-0.8119595283999252,3.194111588352162,-0.7344863126226708,-0.7830431673144463,1.78003330541997,-0.9227466165552748,-0.7688009663038755,-0.12512257186767906,-0.8626970728570821,-0.8100724586303417,-0.8470230774569049,0.19117946259854468,-0.42235032146246737,-0.7489036816478981,-0.27202491482074803,-0.3235148738411798,-0.8365145975712129,0.6072135995516039,0.03331856327535982,0.22820352238433414,-0.8648575559922765,-0.2515176117389434,-0.6698401267193865,-0.5441665343418377,-0.8203008100665116,-0.7244051954453881,2.4793179219143227,-0.5661155090588481,1.376091356288217,-0.7894832640413467,0.8647145917803994,0.7616978368282764,-0.9162027729064398,1.082929831298524,-0.7818958344120408,0.5306415366028854,-0.8045271964995928,-0.9593689196925784,-0.9132874851965946,1.9452322977593564,-0.9460043120237801,-0.08552002574960321,-0.7229268438590899,-0.6760813010331371,-0.7481439644542967,-0.6713981212999189,2.7268814520643816,2.0464961862271758,-0.12889379757019806,0.5908614322155727,-0.8735845679715145,-0.5967406748643219,-0.908357049626692,0.30552863757628834,-0.7293468192296856,-0.3251868032298149,-0.3901672758682253,-0.8547199533020813,-0.3030747098850401,1.9590619784023036,-0.8928125955605728,-0.014021040959124124,0.13793982455653914,-0.8758925697680477,-0.8182498827850352,0.7185123281856249,-0.9065266916737836,-0.7972170962749243,-0.6416487271612074,-0.8327877728543781,1.0614981635564749,-0.849262160152628,-0.40445266482008696,-0.5806383651554408,-0.8939103627850005
LS-411N,3.1368673823542266,-0.8503358093888481,2.5054438264428436,-0.5806248220244524,-0.9101504686042988,-0.7359635977240606,-0.7648248277836417,-0.6696995135271452,-0.725925341565091,-0.8440821934310992,0.7405080105475171,-0.08196609676428873,0.30792462858045816,1.115914444119096,-0.8188275601014824,-0.8289368363926447,-0.25267015780321805,1.4742093103539824,-0.6557250668919651,0.24008740080601,-1.0229122679185312,-0.7471363504755819,1.2169137405546342,3.0884614376242223,-0.9716378733491622,-0.8699500737857779,0.9000359738931872,-0.8060558077519586,-0.588138969611975,-0.7492424351953667,1.3472266845226923,-0.7536140345273097,-0.7472563480640524,3.1143354728751507,-0.7728415900897507,-0.8149408224202429,1.1552204156662071,-0.9738415190237538,-0.7902583341152686,0.0835784757999067,-0.8252399049657492,-0.9137905780993042,-0.7839596049088862,-0.7547532040506328,-0.4926398162698664,-0.8317208165117166,0.2731382767418529,-0.27217798054987435,-0.8145502558515936,0.6534312803956329,0.3103556230183169,-0.08130942838191382,-0.8091269812208928,0.7385101236417758,-0.5697847240523953,-0.4920088846108959,-0.8090155591493507,-0.7121329792424502,2.6887935525438094,-0.591939388468414,1.1956475525900516,-0.7835736997112148,0.6666491075908056,0.2836959920875529,1.987673997126572,1.3183433692471571,-0.7788145351953081,-0.3433377346981353,-0.5323196204291053,-0.9697881478494604,-0.9447567646428618,1.8648442801490044,-0.9629545114112122,-0.12273808543651515,-0.7507478527193554,-0.6477660221705167,-0.8770582950763355,-0.7075433233713426,3.005525604776225,2.1186011901225594,-0.4077864176578668,0.4836942612484981,-0.8444566197542017,-0.8131724450342996,-0.9538201922333904,0.5281396400601249,-0.7541704045958674,-0.8294183124111388,-0.8240087994829524,-0.9402844882982788,-0.6603034371682446,2.045450386454993,-0.7599401493459873,0.08203770334224564,0.3805074626206582,-0.7452108098415007,-0.7236961972988336,0.7634536205156275,-0.7777598973527691,-0.8115496012822225,-0.8762318567978371,-0.8357176894283277,0.9404114565750584,-0.9681524583928754,-0.5615428694546366,-0.8536464726405679,-0.5007594089468782
NCI-H2452,3.191601611188496,1.9104708797439796,2.378162884101812,-0.5104488978664521,-0.8866064080275162,-0.7680557601647646,-0.7507404984624662,-0.7477445765370341,-0.7797411285576464,-0.9078402091405282,-1.0314576612955844,-0.3329735262677015,0.5083867570242881,0.5906675060875975,-1.1146431805502082,-0.8009656669519193,0.5557413717849725,1.6400947379550668,-0.6050907881072061,-0.22721232965823696,-1.0605382211966805,0.9390507740002272,1.5141228594189018,3.3144353042999675,-0.7421373302603795,-0.7743003938053024,-0.6065239546777987,-0.7032262729584419,-0.4064266749324823,-0.6452435927900988,1.0049315677563442,-0.1809493330546448,-0.7149489808767246,3.3606597725453997,-0.8361979497441067,-0.8184698693357149,0.42655085206378335,-0.8993046896856381,-0.7173648541837088,0.1705581369264669,-0.8460713325520388,-0.8402938338598216,-0.9263919771828658,-0.7539700861604864,-0.3606145022142127,-0.8521587201624905,-0.5305719669820655,-0.5131725058526982,-0.8497532105166448,0.30033039646165405,-0.11057951697855592,0.10019246927535053,-0.8778705138179269,0.5343925092389925,1.2310267247401454,-0.4784149313823426,-0.7584022670094261,0.26260181004409844,2.42997293920123,-0.6975026246895457,1.4132796853758651,-0.783535283218563,0.1443751389990612,0.2927041582864301,-0.7798127147929521,1.4594221269364345,-0.8485252980034506,-1.1306168569740265,-0.7751424944695822,-1.0056604109183558,-0.8530206525925407,1.7385066518646413,-0.8775058155462905,0.004926770268689514,-0.8528922743823525,-0.5221395563338193,-0.8814260817712796,-0.6038890715469784,2.514499438678596,1.9977910062190103,-0.5019313728062356,0.3383250667796434,-0.7990136118886328,-0.8590732693889956,-0.9070297254140784,0.5485088606794144,-0.6690418837946119,0.7354301853015934,0.6666885788440347,-0.9045614379972812,-0.6082088938227982,0.6914592198625139,-0.7288177609019285,0.13900441631942434,-0.5284798498417352,-0.8375941676701084,-0.8012047407571079,0.5453095035644463,-0.7653743131840138,-0.8326476644639459,-0.7987680550129724,-0.8146046178500213,-0.05689962362143969,-0.8243706763521149,-0.7146650464442587,-0.6575790232618784,-0.5957541549633595
UACC-257,3.0256767109833014,0.049512501243727636,2.49506855821935,-0.5917903661941609,-0.8444588907177534,-0.6503642939427287,-0.7006184831685756,-0.971604203430092,-0.6891906307323885,-0.8421921823794553,-0.6657284930986713,-0.4590973762124978,0.27240087182372746,1.4018639112956188,-1.016975700528982,-0.8689801085944043,-0.34064736048422795,1.6571288149188277,-0.4223154803864964,-0.3160382285827913,-1.0904036219780635,0.470372804407854,1.2613188241917048,3.0153181468638164,-0.8167699894445254,-0.5487957931353078,1.993117732421708,-0.729162526916241,-0.5439914484376879,-0.5743692795425096,0.8886205363553505,0.35160257937611256,-0.7392199079329052,3.3054586149368923,-0.7443193145943737,-0.8326095050458759,0.5729738597507309,-0.959886406961778,-0.7916100842576538,0.569109677257734,-0.7110609526522981,-0.8453940387387731,-0.803708910974226,-0.79328888628428,-0.2112420177555362,-0.5843913917569348,-0.2991199706174708,-0.6552108187346377,-0.6537941516128597,0.4626853245173175,-0.5110766650626987,-0.5030246240113396,-0.7885731146898931,-0.3833885496067346,-0.4680581150726811,-0.4496316739558201,-0.8115466700139148,-0.7130507878318734,2.3980299837054075,-0.630517058011103,-0.7175727306150271,-0.7315298695396689,0.8255515236177172,1.1127853853387886,-0.8639815752092663,1.6389289008705468,-0.7221869948653433,0.41440734473047375,-0.8593779219829989,-1.016975700528982,-0.8121299738923274,1.4920891032672825,-0.8723915852474939,-0.38186464491000305,-0.798603971851724,-0.53828235067554,-0.7265335269072044,-0.7674076783270078,3.0052939295815477,2.0777689682815117,-0.5563936439149799,0.4198127773087068,-0.7123339193672015,-0.8731982088028875,-0.9039535783833654,0.7572535381033558,-0.7571280720833771,-0.5106393296917614,1.817386819804768,-0.27913880559168835,-0.3167083742677149,0.19387029695287206,-0.8013917384396685,0.17370790712272907,-0.40449455126642975,-0.8025226480437833,-0.8226229298040492,-0.5669832824201168,-0.8045322773453486,-0.7729114548580303,-0.7624566768643074,-0.8167459870394926,-0.2821285002915012,-0.9167305398531204,-0.4330310806861085,-0.5153590191670927,-0.7133071026525576
H2369,3.0916719356215383,1.6285942133765503,2.1434350810263516,-0.5263425000330305,-0.8675848109123172,-0.7433276198757819,-0.7722564546203777,-0.7001653341451352,-0.7162037504932596,-0.7220725925915448,-0.9977374621168436,-0.4941771265845692,0.3890103468123517,1.0538224617779148,-1.0503910109821537,-0.883377383217607,0.33598603738671995,1.3436366194513063,-0.6474161718727233,0.0018002208058185297,-1.0586484838368455,2.6468119755771555,1.680456962564557,3.108362472737078,-0.8279801518861528,-0.8928757910639887,0.004980226308451243,-0.8095652934713573,-0.6257098877742256,-0.6049501934502494,1.3669016331755115,0.5788888410259995,-0.7371957869808202,3.1254933232669537,-0.7742837734990925,-0.7866889334961574,1.7429172222706808,-0.3976904124267619,-0.8050701700098667,-0.4152737105561847,-0.8228510059307507,-0.8625646661532888,-0.7260353675921927,-0.9612234756778856,-0.12638299994389082,-0.6930286124202105,-0.3452824988242441,-0.3656345228630463,-0.775919823797341,0.7248507230584516,-0.3960025708208996,-0.32850586303632456,-0.9298410029078202,0.7978209123643938,0.880028951099916,-0.5352779712947378,-0.8794937233816786,-0.3642818896248326,2.56291969253438,-0.6968921185154024,1.1987682815529104,-0.7666078629955184,-0.02425076950972589,1.0043758284074809,-0.8955801739204582,1.5689479178731216,-0.8844340190125195,-0.6738365749163685,-0.8207877334658737,-1.001245100320141,-0.835288320363869,1.6167083729494922,-0.9149498472120232,-0.1987970430974687,-0.8280907193947479,-0.6429222863105994,-0.9269051305602408,-0.7234662229320352,2.81399143520468,1.7840308542965482,-0.4999383508852132,0.26262041498512817,-0.9228976364449664,-0.8258017704848546,-0.8919687022887408,0.3546276216895768,-0.6868126092968461,1.6788814635595537,1.6330636799879552,-0.8457599420592138,-0.2505323708693817,1.5295622561782258,-0.5963138153040659,0.16017014510848818,-0.01964159810242817,-0.8209344674977977,-0.9522413854955458,0.5169083084338644,-0.8572621163631482,-0.8213714736884519,-0.844512125640372,-0.8309030909567654,0.0004810787502129718,-0.8469312041021748,-0.6499429337223576,-0.8749900764287645,-0.8317285134784118
H2804,3.0287023972305334,0.632742555723241,2.232842552432209,-0.4955866841810633,-0.90365411476531,-0.7140645971540031,-0.8282246260922137,-0.8496428625895006,-0.6882234132537078,-0.8758677641187036,-1.081298112774123,-0.6538816474444307,0.5064148954237336,1.0142105493323943,-1.0186628764311243,-0.8979370089890157,0.3637217904285026,1.6883548639591293,-0.7877149027542082,0.14106790079141635,-1.080041867812221,1.4924060722938908,1.1885961622008634,3.3182598502188565,-0.9351445062461348,-0.7896480110263362,-0.4011081155948106,-0.5981763268124624,-0.3300010597953012,-0.6335838250791648,1.7748594598757197,0.037417570691581366,-0.7164047056769286,3.204653057794608,-0.8202856317679825,-0.7994730469565093,0.39913774537693947,-0.8827156086449695,-0.7125745272609917,0.21303907453752247,-0.5192330623126676,-0.8634899435560913,-0.7141203000405323,-0.6395859219941844,0.0913745429735691,-0.8031178584169469,-0.17372681643090765,0.3082058205806011,-0.8288123207029022,0.9891072695734257,0.2719238655148328,0.2425843506999755,-0.8560797455361249,0.2332788016987352,1.2355153491287525,-0.3093432652744695,-0.7896489390251299,-0.4972860497149491,2.3943830700242965,-0.6564723436515414,1.4744827986403333,-0.7279161867896468,0.10073889385384684,-0.2611623181973883,-0.8012064954386725,1.3963003958057107,-0.92054385536145,-0.7927701690661619,-0.8234678737118987,-0.974930126497612,-0.8737120679201582,1.5377013449030346,-0.904782862519354,-0.3825880000450768,-0.8200693538660202,-0.5689840722277715,-0.7403191693898159,-0.7810567887522382,2.691773608843138,1.9678523604873952,-0.3864103820772829,0.2628231971577309,-0.8419168258509138,-0.8367001231055474,-0.8711955551376541,0.13328015511769925,-0.6974917132741705,-0.8015550864076461,2.6495497509691663,-0.9094745172306948,-0.5226471505895725,0.4779503604117168,-0.8730594914541691,0.29881565103818736,-0.20863064048241345,-0.868811428890646,-0.6886700038340458,-0.0712386236745727,-0.17047507789251254,-0.7149377723871945,-0.8544343214818544,-0.8108552855256865,0.2917958640852369,-0.7712128571870507,-0.4125789622071533,-0.7067611722599746,-0.7911750295976948
