,TFDP1,NOG,TNF,GDF7,INHBB,INHBC,COMP,THBS4,RHOA,CREBBP,ROCK1,ID1,ID2,RPS6KB1,RPS6KB2,CUL1,ID4,SMAD3,MAPK3,RBL2,SMAD4,RBL1,NODAL,SMAD1,MYC,SMAD2,MAPK1,SMURF2,SMURF1,EP300,GDF5,SKP1,TGFB2,TGFB1,IFNG,CDKN2B,PPP2CB,PPP2R1A,ID3,SMAD5,RBX1,FST,PITX2,PPP2R1B,TGFBR2,AMHR2,LTBP1,LEFTY1,AMH,TGFBR1,SMAD9,LEFTY2,SMAD7,ROCK2,TGFB3,SMAD6,BMPR2,GDF6,BMPR1A,BMPR1B,ACVRL1,ACVR2B,ACVR2A,ACVR1,BMP4,E2F5,BMP2,ACVR1C,E2F4,SP1,BMP7,BMP8B,ZFYVE9,BMP5,BMP6,ZFYVE16,THBS3,INHBE,THBS2,DCN,THBS1
CAL-120,0.800739332019663,0.14185869352413016,-0.7960448465884994,-0.7463827021360735,-0.4049538318337088,-0.87111583235214,-0.6306165134725228,-0.2887749565880969,2.846229085676413,-0.0320480516664802,-0.6553834927038531,1.7848694712902853,-0.6180809047539263,0.3613185847840465,-0.06629373241745093,2.005091389925523,0.8402968482648623,0.18566599087671248,0.6544469534894845,0.2792586036335269,0.6279163217927376,-0.5706585547734958,-0.7844248230326215,0.9148167798924004,3.104120229567743,1.0261984078484807,0.254584764720762,0.9054496725206834,-0.3867176157277291,0.3542162947583245,-0.8290366691319058,1.0172447090168475,-0.7249845268875778,-0.3421328614785551,-0.9384311328786108,0.3599032904847141,2.0742579418555893,1.012618991128882,1.8437075584562936,0.7765558627361363,2.2410195517460654,0.6009255621828675,0.8201806229881776,0.4470051612472978,-0.6301196180160414,-0.7550654651796455,-0.6607092842335066,-0.7522981068201042,-0.5877453754940851,-0.8555751017966253,-0.909074979027118,-0.8508359778144197,-0.7323348456602303,0.4257778234670643,-0.8940765440331558,-0.6192909382443421,0.7219577950043853,-0.7751274257803523,-0.00239003247178812,-0.8393077757640591,-0.6606898859902518,-0.4011128199923604,-0.18262228043375292,-0.19305735797185347,1.8142419440316264,1.4174812236944707,-0.8740038737060664,-0.7739445441894851,-0.30968790598767115,0.4212339415908556,-0.7929522754820789,-0.8235041319344911,-0.6014885947992353,-0.05405927754719133,-0.7711669992615484,-0.5151936724862962,0.5541133909247614,-0.5462349086620503,-0.9339590969711988,-0.7100442602380201,0.4623179482283194
ETK-1,1.0484881115577398,-0.4861144771122745,-0.7023522070818511,-0.7362930223269684,2.68591738699339,-0.8511961202815717,-0.7834209970785431,-0.633258139759962,2.5288634260574945,0.3235791712465376,-0.7546889566919888,2.1391471626766125,-0.41037981438483584,0.13359398314234994,0.15068802743514942,2.138340098121887,-0.517577838024982,0.4655461927641602,1.1182205197694308,0.14396352979508106,0.05200592418369933,-0.4580799033635892,-0.7901979463052332,1.241472597256023,2.12334269141489,0.31378073785754795,0.3975693338555972,1.1638769312696675,-0.1157672333932241,0.26978192824138314,-0.8534072071724209,0.5712930775845285,-0.5004653069159419,-0.4772448275451359,-0.9837970341197656,-0.6145097927659318,2.3639344516538032,1.0212576752692304,0.4970479591602147,0.2435898975787314,2.418080734146837,-0.3084932569183265,0.7934891818355874,0.22410564676707528,0.4060222082474997,-0.7935067391299456,-0.4870835121591397,-0.7894671681186486,-0.6937746762221717,-0.6659156849658946,-0.9661604235443524,-0.8139116626980925,-0.8014443938910988,0.090651405856095,-0.8719332934277084,-0.02618493239435676,0.8535608522941155,-0.7538069535555946,-0.4366113957359056,-0.862526459077117,-0.6222359378430902,-0.16994204770823265,-0.2804839713923341,0.11825488408341812,1.747726837365248,1.4482659358448364,-0.6464699462110216,-0.6017114793038931,-0.2018067954188466,0.6805100568815625,-0.8505747103277145,-0.8068726719007424,-0.906297656314314,-0.9196241275141348,-0.6758785809198317,-0.8614616397763296,-0.2874232158845231,-0.51944406430101,-0.9770702929251176,-0.8606895588707842,2.1687720252408123
H2731,1.093534363855006,-0.8134570476279092,-0.7348817399151673,-0.782668416583861,0.4831967029585845,-0.8724441513115534,-0.8256570589159574,-0.3147705285949153,2.4088826655510847,0.6508008841545262,-0.7545226428567798,2.597969677829145,1.629714200091982,0.7095147448011573,-0.12140390871310765,1.993939441065155,1.2931755106467449,0.6336204041833391,0.3118671424176911,0.015572285867805397,0.1945359842352952,-0.502988267244379,-0.7997590196870181,0.8153170224519282,2.4070746104530985,0.6112853635868659,0.4667006303610834,1.1237838360431447,-0.01077471023005125,0.5688645920054424,-0.5561097139967253,0.7336999721155624,-0.6053908314727988,-0.4709955729403355,-0.8530032840643409,-0.9789805485075082,2.5608682178972524,0.8512296622013712,2.2789647165924727,0.6404758640308926,2.444264047020676,0.5545584151499021,0.4222163875380112,0.12402722998033165,-0.1956815096068859,-0.7916062147618426,0.0003196275031577476,-0.827751141821582,-0.4182609885768616,-0.5427973160493198,-0.8076230870167295,-0.789847640269141,-0.7485052586481958,0.5052404795722087,-0.8689131667080494,-0.01798275047802324,0.967175886775434,-0.5438493662793216,-0.09542277750618283,-0.8573176942173882,-0.6131408871774857,-0.31001273953989184,-0.2436646692811381,0.5385946845621292,1.6045899690046233,1.6813746039055997,-0.7885075763196575,-0.8347933551886844,-0.05413499734575942,0.14406144489298345,-0.6579890321362677,-0.5400772716928011,-0.8257987403877862,-0.8340942771691333,-0.8555969057730771,-0.4792374354522786,0.4400185324805741,0.05674917082130071,1.5225037979397662,-0.8157742825567238,0.7029102832770524
NCI-H441,0.7187399574735932,-0.7659435927839476,-0.8085461427863829,-0.6752712070124776,1.6804018258963596,-0.9136440023514898,-0.6152426285345284,-0.7203703072680144,2.577016718354288,0.3300006053043416,-0.7537390889587374,2.679244477089623,-0.740853576465033,0.6905172217716493,-0.10343686768118844,2.1759003853749364,-0.6349542168274528,0.8570995637935005,0.8829574758666384,0.7068726429246966,0.5850584315599998,-0.540705015981688,-0.8253230634329835,1.1322678949967346,3.0326177589054333,0.7997728075121331,0.6704127006499002,1.8210516224738007,0.1775257324337024,0.5779094479742364,-0.9369284768464631,0.786235771087401,-0.8725783332915343,-0.21078299801698866,-0.8908968422490614,-0.28045067829684944,2.2939255143116193,0.6858577253133987,0.8929459644601881,1.046137778896444,2.399272948703107,-0.7048142847083478,-0.03717638105164845,-0.08935077723333472,0.6003222315209445,-0.7418322959001403,-0.7580702825135793,-0.7335923687364232,-0.6643603165045373,-0.7797007888555392,-1.0369362380426492,-0.8111539986489442,-0.695065052411656,0.8280104194012401,-0.8708206883311798,-0.8584376048479037,0.6210082225105751,-0.7513241352417409,-0.3535663357543273,-0.9289284960312656,-0.7131294846236472,0.2215822470841608,-0.007650767466997655,0.7124717460633738,0.5786432483587607,1.8549561638679108,-0.7646737880916094,-0.7310864834386429,-0.1987763100763804,0.5418411385778047,-0.8438683967018861,-0.7541679901546302,-0.7435311022097747,-0.7668340072568132,-0.911561651692952,-0.42691466914284815,-0.2298852812873424,-0.21107724885167012,-0.9525605442048314,-0.7536301851712843,0.17360184348458824
NCI-H358,0.530632878024133,-0.8337669779912791,-0.6749680092768712,-0.8159584658214072,2.664937014483696,-0.8766623385033142,-0.6711411203452983,-0.38423578255790425,2.4793179219143227,0.4850687772097664,-0.8977743458550912,2.9413291654545453,-0.5134071624398571,0.9584815997677794,-0.016874728128771672,1.7367997102732111,0.9102651213970636,1.2651569617191585,0.5908614322155727,0.18153236886319554,0.5093036115634252,-0.8465488361348655,-0.8190697949054009,0.5028167280563054,2.640094624338945,0.3573419991984905,0.30552863757628834,0.8975928565902201,-0.0416765953753013,0.5243813049821994,-0.8593012359006442,0.5551214148262212,-0.7282840110169696,-0.5557874405944584,-0.9371565484798238,0.7379962603508257,2.642134797272039,0.9650403307370296,1.0406973121651584,0.8588230853610429,1.8991014939027375,-0.7270153254158334,1.4311145336423403,-0.17130478088172274,0.10330224524505584,-0.75525250814624,0.0810952701822735,-0.7583661925698109,-0.7825299169398545,-0.7309274043607878,-0.9325075701326764,-0.8342810534609565,-0.49080549627878295,0.7185123281856249,-0.7138158543671527,-0.22428652774726665,0.8178393975390605,-0.8263867465584834,-0.6242916418017311,-0.5575440375768156,-0.7343330923247074,0.2529993581436193,0.14736891139661,0.4639573503763377,1.0889593778592963,2.648932245444901,0.8635095411106377,-0.5311311021291826,0.037237894248557266,0.6178482562013307,-0.7851831528574741,-0.7619695271184201,-0.9266441905066679,-0.8807111161659312,-0.9426947150739592,-0.7104653465698031,-0.3071702808874059,-0.4972670136173386,-0.9949140726747636,-0.8525924589771018,-0.2466887561035985
LS-411N,1.0647158350910366,-0.8040893200186846,-0.8362563767125443,-0.6025686256413282,-1.0214069678420408,-0.9666850254242991,-0.5613450518012677,-0.937486590650681,2.6887935525438094,0.5307882230967228,-0.6696995135271452,2.6309838409557385,1.5385755423956913,0.5501986175949979,-0.3129192594756962,1.9614002196056053,-0.7167256406597693,0.20179125579460047,0.4836942612484981,-0.06494382189357839,0.5468995108996568,-0.6055567919349949,-0.8208110550647878,0.9828220806015489,3.256922672688148,0.6045113290021176,0.5281396400601249,0.2610155730214698,-0.15053760074820874,0.4984423017239042,-0.7495222409126412,0.6122396786313861,-0.913979860463824,-0.4801150865267178,-0.8374039044286853,-0.16706072745109354,2.3892802421892445,0.6144815969314342,2.328285874180779,0.5870944268386297,2.1390982107228984,-0.6152062954880515,1.9228482304784944,-0.3146010378274537,0.5083351773006684,-0.748718652646009,-0.013143614875179621,-0.5860659930644715,-0.5360065174931801,-0.5358674938724077,-0.8744154239647148,-0.8388584070750686,-0.7213508096025193,0.7634536205156275,-0.8593614077875843,-0.10032233153306863,0.2661096460141077,-0.9110722650034264,-0.22325690230772585,-0.8434123769400285,-0.7842292814730364,-0.12760652513918486,0.6426275541566512,-0.018676027362301686,2.569071322969287,2.2383205061668243,0.5718874907822203,-0.7917051254548567,0.1700670765076133,0.20150963010349732,0.8600056176203827,-0.4857363045813365,-0.6900170230248929,-0.9518732595085514,-0.9676537194417264,-0.6008964405306858,-0.3459453484407373,-0.3840657628642984,-0.9140446429316488,-0.8693796271259416,-0.3656271775165009
NCI-H2452,0.6964821455866631,-0.0798501158908866,-0.8109661678998319,-0.6973522174545974,-0.9548955877571416,-0.9925954876864892,-0.6732613528578514,-0.6091759463609845,2.42997293920123,0.4313546546317911,-0.7477445765370341,2.0896929626079346,0.8701822150066292,0.4517109810611117,-0.1366643626530173,2.1006077027769554,1.1568405871292895,1.1446838030649948,0.3383250667796434,0.27892834267005023,0.5973019057180693,-0.5920581243379557,-0.8258232935218659,0.7997625475185803,2.8030084903483057,0.7755909593271971,0.5485088606794144,0.7052185134790327,-0.2481519150170343,0.4085535348039537,0.6892212042626823,0.8320192443642216,-0.8024415662779262,-0.2893402887869656,-0.9869534474667959,-0.8319864125545301,2.597652318229152,1.2147071988261764,2.035560494497017,0.8241648978626196,2.2402293640041706,-0.5786649935240121,0.2795615020450559,0.0043484984232475725,0.9409875074609332,-0.8235305185273627,-0.22270130514319356,-0.7021401664520583,-0.6042690854076443,-0.7172801394415842,-0.8141765293504014,-0.8508489743232241,-0.6960568389136389,0.5453095035644463,-0.8535497456185637,-0.6932766142706486,1.1034132124894749,-0.4529496202268271,0.016805995189654217,-0.80349286172578,-0.8095615199006029,-0.5803309696300586,-0.3346767813010588,0.7327108770042544,0.5773716402965474,1.089742029883607,-0.8086387567023564,-0.8505651990185671,-0.07999323238921631,0.3617542529674388,-0.7238537841671175,-0.7337047780623964,-0.7522242130917635,-0.8363884409965792,-0.9040098001688612,-0.4629261775278829,0.9864940451543728,-0.5886612044972148,1.4189444137980154,-0.7960065514791558,-0.018165584905011054
UACC-257,1.1911840500353406,-0.8167448360838068,-0.8561805916353357,-0.8118655620868145,-0.8832870268888374,-0.7800368242022555,-0.8451670670354007,-0.6418388724599521,2.3980299837054075,0.29148630199752035,-0.971604203430092,-0.31346806718842685,-0.7389501498571782,0.09815858769069984,-0.17367188494911734,1.7302538613370728,0.3238790989477344,0.11596759735620918,0.4198127773087068,-0.07840152944481621,0.5242238515001348,-0.5634887595668924,-0.8339453982365715,-0.5588211090360423,3.042809999428858,0.9223075248475344,0.7572535381033558,-0.18763771277865493,-0.4269890496548551,0.5801167903165992,-0.8368422907078524,0.7744238623112897,-0.8451090454371593,-0.40015803045480974,-0.840572119387834,0.07994302064509179,2.0991224689508146,1.0801914921142963,0.5527044453998046,0.7130458568253257,2.3362653719729964,-0.5755421510919685,0.09943103520185136,-0.08538170283451729,-0.07778353895784529,-0.6454431233061277,0.048421530959814135,-0.8626094739253338,-0.6708612436642583,-0.290386930160648,-0.7389236042337668,-0.8682177799275295,-0.663397382652865,-0.5669832824201168,-0.7746526530408264,-0.6455702198456453,0.9521806801789928,-0.8158750748510952,-0.4993481732749893,-0.8023374650634505,-0.7052726084648431,-0.029192778973848938,-0.12286546718521392,0.8440127509228038,-0.7885877001005578,1.4721012835407776,-0.8003984752618366,0.008374994026043176,-0.3041021951689632,0.424067854458089,0.7096421038491041,-0.03516953483865363,-0.663304374317581,-0.9384743099111325,-0.6175186716570071,-0.2276673656325181,-0.5728182521234593,-0.6677870424169158,1.9190209445390527,-0.6298218497450643,-0.3717241509979853
H2369,0.5008817528245241,-0.5305875013084266,-0.6524406428128969,-0.7659655036188929,-0.71519505281323,-0.8642454175519563,-0.6742590584226971,0.10993522943073196,2.56291969253438,0.2293368853765421,-0.7001653341451352,1.4396396244315266,0.34648668643650804,0.5233412598879034,-0.2712225576058132,1.8417998319913285,-0.31315271082545404,0.21487101739866146,0.26262041498512817,0.07398634081941005,0.7169088655806088,-0.6652223537831429,-0.8482837274075347,1.1975042200143928,3.1967860125076766,1.1449661860980205,0.3546276216895768,0.7882904369196749,-0.22680279291272226,0.3382506361694041,-0.7699495395411663,0.969016809468214,-0.19723703169163298,-0.4671991782851333,-1.0660522139885558,-0.8203082682507428,2.625648552384161,0.9346725516063614,1.6031032173251702,1.0734573665563911,1.9776254064718133,0.6529335246728314,0.15564202192891444,-0.09114598199196096,0.5247265750551097,-0.8192976125649609,0.14958655587731715,0.07097220320816844,-0.6964826029287469,0.31717346731001433,-0.938274808060678,-0.8295090601465919,-0.5353957657337406,0.5169083084338644,-0.8495230600585891,-0.6276318397073943,0.5567325163031793,-0.8242554711240202,-0.33553795963151795,-0.9365083191975808,-0.695763964008377,-0.15262564340987678,-0.3847946410393348,0.3225250332960537,-0.4060237347937395,1.580179423632889,0.5658797579657465,-0.7992352999349515,-0.29057064156289875,0.2504593775193534,-0.7994551522482078,-0.6601273618407936,-0.575851190037768,-0.8695396493973964,-0.8159915944496187,-0.5131332929878262,0.06852789654203081,-0.4774714958729057,0.8708127736854073,-0.7542411522451675,0.6381347439839644
H2804,1.1269786420689425,-0.7886330177409616,-0.7569817100754294,-0.6866717969745878,-0.8675781203304009,-0.8229407056529199,-0.7720022517156808,-0.6577690651565771,2.3943830700242965,0.7188231677713263,-0.8496428625895006,2.930806468264752,1.1175216979393974,0.5736438157949247,-0.2523304976570964,2.1657846033261743,0.7709835982142675,0.8488112846450278,0.2628231971577309,-0.12500893320066664,0.3990213575222811,-0.6947150990979271,-0.8421737910587243,0.9154371545739308,2.719929996827676,0.5746944367034615,0.13328015511769925,0.05578085169009519,-0.13131992835841927,0.33953351564350565,-0.8230194436643821,0.974384070960843,-0.8035217968686563,-0.2155950909729008,-0.9713634414235044,0.3818993251904657,2.6627091595747623,1.0014732961483988,2.267682487830488,0.6752440050820229,2.3523173411244045,-0.4511333916274493,1.1029557636686684,-0.06811964085080753,-0.4554599520523258,-0.7410930698742602,0.2630560973042931,-0.2579819060779121,-0.6410542645012854,-0.7370080586732729,-0.7799345659179666,-0.7735546348221068,-0.6143387679838245,-0.0712386236745727,-0.8829167401005129,0.5874138903103951,0.6710572014591633,-0.7796266498570343,0.4292631162945456,-0.8665119227256337,-0.5896196990109644,-0.584325277629357,-0.15162149026954222,0.21485598643222967,0.8750219567063333,2.0313934421210718,-0.3326915266634287,-0.7884244714786285,0.28453158870984196,0.5631455771217622,-0.6788490229050343,-0.6980530143318315,-0.8527065346647722,-0.8458301003369731,-0.7929558698440876,-0.5608043088231194,-0.3271873596464798,-0.06752784348444298,2.214811907343744,0.24825486138591796,0.03160940623898823
