,ATP6V1G1,UQCR10,NDUFA4,PPA2,NDUFS7,ATP6V0A1,ATP6V0B,ATP6AP1,COX5B,COX4I1,ATP6V0A4,ATP12A,NDUFA2,NDUFA3,NDUFA1,UQCRQ,ATP6V1H,LHPP,ATP6V0D2,COX7A2L,ATP6V1C2,COX5A,TCIRG1,UQCRHL,ATP4B,ATP6V1D,ATP4A,SDHA,ATP6V1A,ATP6V1E1,NDUFA4L2,ATP6V1B2,ATP6V1B1,ATP6V1C1,COX10,SDHB,SDHC,ATP6V1G3,COX7B,COX7A1,COX7A2,COX6C,COX6B1,ATP6V1F,COX7B2,ATP6V0A2,UQCRB,ATP6V0D1,COX6A2,UQCRH,UQCRC2,UQCRC1,NDUFB3,NDUFB1,NDUFB2,NDUFA10,NDUFAB1,ATP6V0E2,NDUFA8,UQCR11,NDUFA6,NDUFV3,ATP6V1E2,COX6B2,PPA1,COX4I2,ATP6V0E1,NDUFB10,NDUFS8,NDUFC1,NDUFS1,NDUFB6,NDUFS4,NDUFB7,NDUFV1,NDUFS6,NDUFB9,NDUFS5,NDUFS2,NDUFB4,NDUFS3,NDUFB5,CYC1,COX11,COX15
CAL-120,2.444637151448741,2.8733904930529093,-0.6447093265064474,0.4435836356770872,1.7308698198696195,-0.3111661348281338,1.746501097699762,1.3802553297956643,2.991194144154429,2.0166516884007937,-0.8568126793276205,-0.6994112843161069,2.433607102253712,2.7683912792686582,3.2245784661831887,2.41106727253836,0.8878934867365924,-0.4005243323100362,-0.7545941967309095,2.542796661393852,-0.8424553466971605,2.6826577950954915,0.6212338701462254,1.4032489349214117,-0.8967108583123682,1.7938689068677809,-0.9056776433724076,2.350565733128812,0.5212609704234512,2.1116326027793866,-0.7802441001443418,1.038994798995902,-0.6975920984028622,1.1989235479537141,-0.4093645222355122,2.1404517631618005,2.0504776745272717,-1.0632881223404265,3.0585939433393534,-0.8497623857468113,2.8097836575150064,2.2199991338679492,3.1053503423166378,2.3656697059208818,-0.8374617668584183,-0.3753649709405177,-0.20744404749904927,1.2346952860131195,-0.815999671257176,1.2752729475960891,2.409942168970548,1.582797767956769,0.8961319376153821,2.838756165056861,2.7023922970093333,1.9384051177311241,2.5653847945136445,-0.506610639732252,2.112382150789569,1.1838243213418895,2.44494401772738,0.3502147889645064,-0.3076325142430925,-0.6316341785865126,3.383260472336985,-0.7724331525916579,2.3418846842237584,2.016627954315123,1.6174067919382642,2.670504375577809,1.4319142054248362,2.137418244309324,3.00635689579353,2.5528095777312783,2.06756744039987,2.9171915953050798,2.420188204507182,2.7903749647481497,0.603243628368506,2.882555197423082,0.3742938641187769,2.232485205894013,2.357601087137178,0.828788062199636,0.4029650440328599
ETK-1,2.4744285031934625,2.8981224442848252,-0.5112917205681374,0.2065276731719,1.3227752102905534,-0.3286725994339492,2.1075021680134127,1.815905535337204,2.825921063516269,2.0664140286949064,0.3421441375125839,-0.6533644606376646,2.1171600857048305,2.1369092564886607,3.0599829636622995,2.0861544544851784,1.2643811104543436,-0.3675796430965412,-0.6753649883714575,2.466521466245551,-0.7889757557073226,2.744539001363129,0.9574253089199388,1.2994960181437458,-0.9518801770518832,1.934054178916428,-0.7357923591576303,2.4535378495993614,1.054650027780753,2.357972173201482,-0.8198822005917215,0.9943094509522928,-0.64374939970803,1.1571940096726745,-0.2328138267929533,1.917320051492528,2.2862184265897403,-0.991887279532564,2.804538738886512,-0.9685540358194866,2.9487278804018437,2.1396219978655533,2.9211198296228646,2.8338594799099965,-0.7925441779599633,-0.2641473794228524,-0.3937583658607109,1.7092090968184932,-0.8339261223268104,1.3034011040439837,1.8578990591771511,1.1247845513484107,0.8796609142156095,2.7646531480385024,2.963708113626455,1.6788763822188102,2.7455382835130497,-0.5476615672186802,1.9705555946083182,0.8641487986953673,2.2585049223143407,0.7318596948444502,0.20592787190097606,-0.6853175430271339,3.1328267985040563,-0.895279466060453,2.2969778445968454,1.83142221881542,1.774960721671914,2.8111369437890628,1.4152447391060532,2.115681369170953,2.259836222980017,2.2082636329291554,2.1131358920460244,2.963950715191735,2.2037539582219927,2.7672713128406268,0.7418531470562822,3.0603228594249714,0.1766110226453881,1.942117746517548,2.5860020067504514,0.847943710536941,0.7576027849069574
H2731,2.7363670313105057,2.580119720484297,-0.22295124056182825,0.15306710308658492,1.6863601526883207,-0.4056910896296269,2.1501427672785804,1.1181683901101709,3.0352482967447214,1.917893391695348,-0.5879268963946015,-0.5920747807999478,2.1975915490129583,2.1951711578200577,2.738037624073065,2.1458290402458613,1.1449959338028697,-0.3664669159455205,-0.8109884091513746,2.5544835715272067,-0.7613079867706661,2.6684941406097407,0.8737107437352012,1.0196590430285677,-0.9338254250195229,2.076696714172224,-0.7449748543496223,1.9385232963341184,1.422775561339808,2.439139361678808,-0.7109055682622952,1.916521825478233,-0.8062510720242932,1.3516811298186486,-0.5360383197391609,2.063119274336809,2.036309837732578,-0.9763066886427968,2.7414179859701195,-0.9206338587852506,3.078027005316205,2.1048483900589443,2.8515061105446833,2.2782308225927808,-0.7132822152081425,0.005314760348307379,-0.19312296137991986,1.4918225608215043,-0.6482403238149083,1.0993167699538966,2.2737773286776823,1.1191456509371918,0.8362228512013277,2.386155533800647,2.8697732575790695,1.9784245228489823,2.933719336433084,-0.6554911871395385,2.1543074772849717,1.1115991780581578,2.682132357776581,0.7496648850804194,0.20772492265618092,-0.6673442126668768,2.693709459656424,-0.8939832710456236,2.616696678312173,2.2411118187414503,1.7292848864506591,2.4442777233212225,1.5725044022920172,2.4765600587920935,2.7411759900147716,2.488788871359462,1.7170767657138275,2.9882640771263618,2.3839510160417263,2.8251051400676115,0.5464770479383385,3.2186530400276925,0.33254229833643084,2.283256801910046,2.5666248381720482,1.3323993712533313,0.6233846556136549
NCI-H441,2.4485041271390724,2.9560776201148444,-0.7102232076742715,0.4428453266276313,1.3001842049992676,-0.3585385873031076,1.637596004086836,1.2074834174346718,2.754841124549809,1.9573139139641167,-0.8393260611579508,-0.6870967909404756,2.303074964114415,2.355754735615228,2.846870523171449,1.5139511211329684,1.0385187397653373,0.4852210113209621,-0.7322310999534736,2.4154352945067012,-0.8806558753607551,2.6478370612987656,1.3240877120341312,0.9784150543693164,-0.8682720014044137,1.4364686301960614,-0.8061945139772071,2.0653014800257403,0.8247058126635791,2.060661623782882,-0.8137725189881576,1.1134261665737333,-0.8004809101701067,1.3751887070593525,-0.2962747813206917,2.0066499346484816,1.8911255377332488,-0.92869781516948,2.7189572404426787,-0.9597173910628706,2.728901350146301,2.2169876229254895,2.685778644452493,2.3794429861473514,-0.8111155487676555,-0.29748616470997713,-0.3488802391403901,1.2480079533248607,-0.8786253568871311,1.1275487454609692,1.8589414517528835,1.0071679773080546,0.6562742561022242,2.580866469590068,2.782289279103825,1.5894029342118232,2.760725178487786,-0.4363401211844733,1.8175472144559033,0.8705054581570593,2.612813212808024,0.4828157800541508,0.07595070729272221,-0.8037144991676679,3.3822442628823337,-0.8639369453107298,2.1207473936320165,1.8518094209583496,1.7635733058803171,2.8355021800042928,1.5970974579928865,2.5138133987424705,2.627721760538204,2.1689764701079346,2.1663635438857987,2.693030497789181,2.2529740239266864,2.4645207145001637,0.6067955955666468,2.9661819618412224,0.0687057254517892,2.1522426053683694,2.58135039019881,0.7826618857384535,0.5469880584170528
NCI-H358,2.693902570165206,2.7697972665945687,-0.6720936061764365,0.5647597928212053,1.3485851323690947,-0.6113735769051839,1.2608726435392892,1.170269453052747,2.8929989935726987,1.87551148236914,-0.7928138978703556,-0.6577166878946068,2.0255879661166434,2.4451705723091504,2.8585024942759523,2.2505380121764142,0.9964620684518006,0.3009585460033477,-0.7642719861126464,2.5730851196595164,-0.8918039929557796,2.6838061472632417,0.7422538643788472,1.2986631594980202,-0.9117379983256392,1.671016076678263,-0.9038550595560806,1.7781997168988526,0.4751098635958791,2.009071918778905,-0.8147776245003536,0.6747051982467883,-0.8463833715382799,1.1813469894461173,-0.4499535102187067,1.8383928322958616,2.065695375313951,-1.0195671510539486,2.7289792832605304,-1.0163940255809518,2.771074556892608,2.2383832211439945,2.8163198805104765,2.072486021254869,1.8999127287028392,-0.5137257864244906,0.023786945837513042,0.9817239951340576,-0.8234964712711544,1.9090118089006891,1.3593222015450694,1.2512156219562578,0.3854768677955897,2.7321167811183584,2.4651473940698163,1.6910716268473558,2.8027297117112697,-0.7609673130266836,1.9581499283213533,0.7599429293932667,2.6288059179540397,0.5663005766023161,0.04191938256027671,-0.593439393055037,3.2153796909499124,-0.8137556221826958,1.8548837210272864,2.03375137677394,1.5303408603382869,2.822377530906245,1.4920095594434108,1.7297618876784997,2.5261836835524445,2.0021181312518705,1.6097578455198176,2.6515748221273143,2.4869128167565755,2.371437198634741,1.0187136178592575,3.038390713460644,0.0037639042273789297,2.0854642656164324,2.8022124787652825,0.5755993832242011,0.2331873201940988
LS-411N,2.4476790500825905,2.9014095398109427,-0.5323724694912954,0.51676921299667,1.828415890677824,-0.4225032799840505,1.8468769191327696,0.8394486114039732,3.0453409308637047,2.0146016857880564,-0.8473546839339753,-0.7351390672738186,2.3999615973830317,2.2500908276271936,3.076084519718969,2.3761684511268015,0.7600571156273669,-0.5770234322877013,-0.8748040489505121,2.689699169856486,-0.7407504733760364,2.998211728292564,-0.2307591983329488,1.1317742227287495,-0.7566614849888009,1.5837795742461314,-0.851659021453665,2.277328767726684,0.7674837921099107,2.1112347147306307,-0.8919837964094238,1.085145704390744,-0.6026820503314303,1.0203317712716895,-0.4056345353496956,1.9396888048217973,1.3784966744516511,-1.0171702930282296,2.9627998418312003,-0.9747326865950284,2.9311559809116,2.3258920380043206,3.0383852600014385,2.55100806422128,-0.8991940934475892,-0.02046460433074416,-0.046731462159547515,1.1023812481967,-0.8026714355601663,1.4683441866756048,2.3778880443362085,1.7600917949349777,0.4805592564515177,2.899309481442508,2.8390412746687432,1.902098246925292,2.817115727201947,-0.611091202879152,2.0435869866448124,1.0979065965458268,2.6311759693413244,-0.1275691652749934,0.4951828483557094,-0.723936830113963,3.552296698561161,-0.8264736590283461,2.0535819694118214,2.3290360187494628,1.7155971829644487,2.8699452579655182,1.4960525372972218,2.108314189410431,2.4546500677262046,2.328211822146047,1.7113888277942164,2.933355740183744,2.5614601563500603,2.4501598972842618,0.7641904079745562,3.0469333339813613,0.39416694234702415,2.2760022426251574,2.936345921118156,1.070533693549692,0.868457057740907
NCI-H2452,2.571521478141775,2.7925431308123856,-0.40586873767818415,0.055731068691042655,1.573373135060376,-0.4924631289372913,2.01434607644636,1.3078731439454203,2.9671690539331896,2.1230358728161343,-0.7106956578347136,-0.7537058040124248,2.1558144834331614,2.238315674933168,3.099005065151602,2.1364763922616445,0.9799761719503888,0.01440225537810205,-0.7763596242233969,2.4383829826781223,-0.7609431588019578,2.7099399453255595,0.942996701434732,1.2037224854412385,-0.974306010844278,1.752887989501163,-0.8256265430880478,2.122232487855253,1.2647617193934486,2.554803963863441,-0.781596241942047,1.4143075312131996,-0.8728164082948411,1.1952551915718517,-0.4140070921626054,2.029035821354685,1.9483928841629816,-0.9136689233956028,2.9258286205895496,-0.9520209577660108,2.7421947543787932,2.077941064913489,2.929575261722072,2.310852895956775,-0.8363109494542705,-0.15994303891291806,-0.2168409910657804,1.7036184311502391,-0.8503494448386824,1.1345997452147998,2.155398228676589,1.0934372824480376,0.4409758124612557,2.425481561419621,2.7800529207915585,1.4995760640172235,2.718470333833773,-0.6115362711103841,2.010230570576576,1.1051664655729183,2.375936966378688,0.5884235222697694,0.5545270665497664,-0.7651312542448894,3.3363533374133634,-0.8622813170102037,2.578157191039251,2.0331796186686404,1.6915099396004742,2.267761748635922,1.1055891973864116,2.110112563157447,2.7224618883920066,2.519961116778468,1.9381194531182049,2.7591433879221907,2.2226645778703467,2.7088924078844485,0.5441971053508624,3.0405581379271225,0.37633208893122094,2.234069918788537,2.5479822009521365,0.8639843038812498,0.8337949460332469
UACC-257,2.9184887359666605,2.9481719340517056,-0.3670146311540395,-0.05505854559848168,2.003965105799896,0.34719039469139074,2.6361284550645974,2.1867333523880306,3.140187612603395,2.078384871300765,0.744353861136269,-0.5834444521138605,2.2372295197414838,2.5790357776413604,3.0872538313397504,2.274966642554658,1.6401204067862465,-0.4797485873435365,1.40114411982035,2.7188884122886243,-0.6486670807935808,3.0032308843571287,0.2255837405726764,1.433513295547234,-0.9594788797220392,2.4431252055867367,-0.7600793304212181,2.0301264934239964,1.6390181881684147,2.474982093485249,-0.7513760911481753,2.210778462739873,-0.6043053544023411,1.8763004809557928,-0.4005460322060788,2.19996423827492,2.6000965807849545,-0.9713786851266962,2.7109393472656347,-0.8845838741973672,3.1586938313915085,2.017260222424634,3.1288857604040667,2.862893685787104,-0.7435323165702781,-0.2388484990226284,-0.30838364332996865,1.979263506072344,-0.7975541015700832,1.3504289897477173,2.2900511071417258,1.4733135367643029,0.7255278781426382,2.9872028236879915,2.8616637611095603,1.836468251044399,2.8721241743861112,-0.30739580284395496,2.0307412612350464,1.2198478033638782,2.3115366259019026,0.8747213416810229,0.9398648161045232,-0.7578854588198022,2.778009152367688,-0.8834764264891156,2.233575828285393,2.266098693880814,1.5299590685983395,2.3632109383587125,1.7774902378072794,2.0853057517146163,2.1466716061654028,2.6948654382651718,1.8490398060613604,2.742675248184568,2.5441139016989283,2.7191180985800347,1.0581836066739658,2.9877037974135487,0.5452245770727345,2.2083156042261973,2.730670923961447,1.243542753164227,0.4728718251618034
H2369,2.8823170089958934,2.868711608101212,-0.2927971740162474,0.12544309458160938,1.171852929390189,-0.4599709453114191,1.963479165496156,1.2502619136305757,2.7772770536438567,1.9701922725149197,-0.200428772295502,-0.7086331270260562,2.134621551166526,2.262264709217585,3.0542981186013685,2.0930685780316103,1.0733523331046293,-0.07115764031575733,-0.3522134567316539,2.5825190483535008,-0.7259132991670553,2.675095334025378,0.9974550101892132,1.539038251117527,-0.9392607718112164,1.8062311073564887,-0.7425518939327832,2.1738602959160094,0.9288365364745316,2.43726389507904,-0.7873071593779624,1.7734389037018172,-0.6921355234553762,1.2042650411252065,-0.4815108871444026,2.0307535932066263,2.0398845814352686,-0.8693734013600427,2.785288609013176,-1.0045243280760523,2.810368126853121,2.172804266599406,2.959648804154753,2.5126336243605105,-0.7465089127013753,-0.2468172962987157,-0.30953771533766644,1.146490304426954,-0.8053645055270778,1.729254420259502,1.202290592558927,1.0054653322781937,0.5400716957009838,2.5920764351761707,2.5541635637910516,1.5815327280157965,2.6899054419553545,-0.7856218591610241,2.0625168262696225,0.5827761198699648,2.6874089869307767,0.5667654865102785,-0.4066375102425595,-0.6094222772026288,3.202360222547186,-0.8565028780387685,2.4334425736380925,1.8652972955024578,1.6718011392364538,2.8343940491420465,1.0575032687074517,2.096499837382072,2.6628954292909017,2.3101007177265798,1.7927519966780694,2.9117306758036587,2.29162911086387,2.4197330552448006,0.7536781364307819,2.919589101173691,0.2805759198923791,2.100469909984248,2.4443196628044017,1.0574812373320412,0.4409628788090617
H2804,2.60218983532764,2.86018401058846,-0.3098576488988035,0.154606836567239,1.4821082905437482,-0.12403898757569068,1.9360316377110425,1.5960445151929468,2.9770074369317143,2.1962921522487626,-0.7866852818935864,-0.5393191714647438,2.3076210841602203,2.2697055008645326,3.1297383278942945,2.2815642546461063,1.5261163057661835,-0.5172145005504241,-0.8233910821560955,2.362303348340649,-0.5054070966476767,2.8456515632529285,1.2502148564510007,1.3455345225526143,-0.8432711797085509,1.9358763579366245,-0.7348146432956497,2.5368031046015767,1.6385662703224655,2.43714649422317,-0.8243309557528655,1.3341087773244993,-0.3226281833062409,1.2632067895137638,-0.3633971521301419,2.1845921744231083,2.26198120900245,-0.9334618364253328,3.1067814285300472,-1.0565433555666015,2.6907279915975684,2.4625212414095956,3.0587960940477954,2.137055963347196,-0.7869914466495211,-0.30656811128435385,-0.048186079823063936,1.7591134426658162,-0.8531235899960182,0.9194504665034412,2.4355194336165797,0.9965044471412406,0.939906068408308,2.7156588973025064,2.604833910980461,1.6361517428166057,3.0179386581483834,-0.41269586204531217,2.260232330761025,0.9233717733907372,2.4693625440265023,0.615562632980773,0.2639983664328325,-0.8419679420081252,3.1504416641510837,-0.8465276643110393,2.7548860583491357,2.2139072439773093,1.69362502880225,2.650635661086659,1.6860073438436605,2.1076268073386104,2.656810714752626,2.232893979912124,2.0142527143558624,3.1800216647335184,2.5201878992012947,2.837571549846282,1.061920913777195,3.0863095593251963,0.3988979915391378,2.1680511648452403,2.9447501942675247,0.931041122765104,0.5599633967077012
