,UNC5B,PLXNB2,PPP3CC,PPP3R1,PAK4,NGEF,SEMA4C,SEMA4A,PLXNC1,ROCK1,ABLIM3,PTK2,ROBO1,SLIT2,ROBO2,PLXNA1,ABL1,PLXNA2,PLXNB3,PLXNB1,SEMA3G,ITGB1,SEMA3F,NRAS,ROBO3,CHP2,NFAT5,SEMA6D,RHOD,PAK6,PLXNA3,NFATC4,NTNG1,SEMA6A,NFATC3,KRAS,SRGAP3,L1CAM,CFL2,CFL1,GNAI1,UNC5A,GNAI2,RND1,NCK2,MET,SLIT3,NTN1,PAK1,LRRC4C,SEMA3C,GNAI3,CXCL12,SEMA5A,NFATC2,NFATC1,DCC,CDC42,UNC5D,SEMA6C,SEMA6B,PAK3,SEMA3D,EPHB4,EPHB6,SEMA4D,SEMA4B,PAK2,SEMA4F,RHOA,CXCR4,EPHB1,EPHA8,EPHB2,EFNA3,EFNB1,EFNA5,EFNB3,RAC3,EFNB2,ARHGEF12,ABLIM2,SRGAP1,RASA1,EFNA1,DPYSL5,SEMA3A,UNC5C,NRP1,MAPK3,RAC1,MAPK1,SEMA5B,HRAS,SEMA3B,GSK3B,SEMA3E,DPYSL2,LIMK2,LIMK1,ABLIM1,ROCK2,SEMA7A,EPHA1,NTN4,EPHA5,EPHA7,EPHA3,EPHA2,EPHA4,SEMA4G,PPP3CB,FES,PPP3CA,CDK5,RGS3,FYN,EPHA6,NTN3
CAL-120,-0.611667398165603,0.5543839136454726,0.4886741526831703,0.587589438038193,-0.12155521451848955,0.32778862601254816,-0.02877122477179958,-0.7622385362064696,-0.8520352001312947,-0.6553834927038531,-0.2430136691565036,0.2488854825153072,-0.3688749927569486,1.7986406167688052,-1.0054022896177768,-0.3116162144685381,-0.15530134899420264,-0.4711105057383709,-0.8003183476790335,-0.1112937753910238,-0.7978153979155505,1.9362940560627209,-0.31396522795119386,1.5867513847782557,-0.5424993841226917,-0.8684757319455859,1.5655113779312466,-0.5537103468088216,1.0016289839912922,-0.8331475454247408,-0.06421146945895699,-0.7938902094991014,-0.7060227607106813,-0.8234543127366462,0.3852547368155055,0.8623239999845511,-0.6941665959221077,0.4439892186835192,1.7979359033981488,2.1795844933179893,0.2896229952488029,-0.7418899851110373,1.6992794979965569,-0.810643700790366,-0.4773167180254265,-0.01859844136164757,-0.7160255769145102,-0.8064045493434477,1.0102063425283123,-0.4918537886337351,-0.3113815721972066,1.688119177913452,-0.8578755484761661,-0.7497831503533491,-0.7224632793322932,-0.8598892540824646,-0.6263633145512615,-0.0937094241456486,-0.9953655714116012,-0.7633965959979719,-0.7312962692391021,-0.7304950750723996,-0.4788747248196157,-0.5352402003812929,-0.6001784643537807,-0.8143486101242986,-0.31932291983524264,0.9213121097547208,-0.3254775132609761,2.846229085676413,-0.8974869923016316,-0.6055736357309702,-0.8221756973283555,-0.5553234648850888,-0.6493572713301602,-0.7999019980812202,-0.08496985979223888,-0.5230088316882391,1.4185581093828004,-0.5033851182590204,-0.06829461337433723,-0.7436256026772061,-0.0472018654925554,1.0566748731406217,0.06909083801304595,-0.7659347320029314,1.9565713575894612,-0.7997658541760859,0.07185505924434248,0.6544469534894845,2.47119643127688,0.254584764720762,-0.7656263403775685,1.082836190327067,1.0676067219420458,1.7731053026965045,0.4419912414809231,0.9337545513144722,-0.498014132248131,-0.7180465143838752,-0.3742438492873693,0.4257778234670643,-0.5073557795677387,-0.7952762815580143,0.8139341825814068,-0.6102468022287181,-0.9527835046065896,-0.9210288783712276,0.8240458206507454,1.1479285839213773,-0.901347214504279,1.3040273382901366,-0.7557897760485118,1.524973231608369,0.2901565872811239,-0.12511365872257516,1.099675126965282,-0.8768661179121714,-0.7361941307277002
ETK-1,-0.6361344410431713,1.0584342901819717,0.15677644795219825,0.7456161558662325,-0.2398380516569656,-0.15561312425813106,0.06230100035101953,-0.599267952073667,-0.8923330128128416,-0.7546889566919888,-0.15381997152863658,0.8367529884552836,-0.5535664352040159,-0.2914257714608267,-0.9756379450233688,-0.21571428569955955,0.11491796000585375,-0.4476772697932213,-0.7638890771632161,0.17088822664786465,-0.7357661907853515,1.986350673626605,-0.5072092523706503,1.9604995952736224,-0.6171196655116017,-0.8005645874537219,0.4747418886003105,-0.8115137015836442,1.9788624078090182,-0.4827274694914668,0.2461300111198611,-0.6634439240436943,-0.698203481903435,-0.8769248775950096,0.5477295700188889,0.6590952429722751,-0.7496560229501641,0.3613167703528956,1.4907127284526702,2.3652524237494257,0.5083083605163343,-0.7403102836593681,1.3694852517995089,-0.6764535317460139,0.017681036189749602,0.3151670313350584,-0.2421587741328698,-0.848397858775151,1.4563546056245036,-0.6967822663320901,-0.4375331043678216,1.7372033931581734,-0.8769551435321642,0.11472424624823735,-0.793949081823777,-0.8992826969080987,-0.7347650059320991,-0.17979375770923872,-0.9466668498538672,-0.5593028160990818,-0.7385229598537205,-0.7660979048809645,-0.9170961991754604,-0.4171134851496807,-0.31876336412389344,-0.6704119952722801,0.0077317499392407845,0.9614787128876386,-0.15634744279589285,2.5288634260574945,-0.8100650396775229,-0.8618130468482192,-0.8636984393461442,0.6581823656951503,-0.6012279340333823,-0.737309058096687,0.2647194038337451,-0.7042575545369743,1.3280286417157403,0.2241901755798996,-0.4079536319813569,-0.8325883514591973,-0.4748753615032015,0.9345501476947408,0.8801174252046727,-0.8335308281301315,-0.2436972264558615,-0.8433580028130219,-0.47806627216386205,1.1182205197694308,2.5460191308924163,0.3975693338555972,-0.8270717084523928,1.1893851867654288,0.2373558040366589,1.6941852764365664,-0.5712989159352161,0.8262445361907299,-0.2563353090533605,-0.3976219216546992,1.5522703968913585,0.090651405856095,-0.35464121864036696,-0.3505635471662473,1.418898003001303,-0.9036765961140486,-0.9311612288820796,-0.9931868387702358,0.8317031233181451,-0.7832603458920461,-0.8433883757829809,0.9826347885434216,-0.7430059765020404,1.1094227296385155,0.7664322278078031,-0.37689690063650333,1.2487188357186545,-0.8948210633928967,-0.7139585963425018
H2731,-0.38229124876745796,1.3223526251742568,0.5802422320119615,0.8449107820252452,-0.06644029577018665,-0.4680974009057069,0.2743554508978314,-0.7691481671192305,-0.7705553801760594,-0.7545226428567798,-0.6162706078261918,-0.14305821040784336,-0.4029021019907443,0.9521460136330948,-0.8874010769285713,0.1891998354064094,0.5195856572724936,-0.4685229218844602,-0.8537779165816405,0.051334115342165504,-0.8092216418460534,1.724921573681595,-0.1738620020918641,1.804879139023512,-0.7272590108927588,-0.8255021707598625,0.9133064973643786,-0.7499064273637301,0.15995149666933398,-0.8361586079845654,-0.4251000516839972,-0.8768297444553781,-0.7526440068401704,-0.7217179542163491,0.492268548796614,0.4822517483970864,-0.6965589136327033,1.3665256105876402,1.2220806465598983,2.1150256602865682,1.102573485682063,-0.7571000289951825,1.321574221832743,-0.7339145156309544,-0.3097493917902981,0.16173066758729449,0.10020274716475452,-0.7478717592539328,0.9003502056445528,-0.7844157508525778,0.17353244010155303,1.8032620033212476,-0.7898469312133967,-0.3495868695160901,-0.7193068006628219,-0.6595301960584671,-0.6296101911838838,-0.08586631916000671,-0.9187533290201502,-0.5749431395325033,-0.6322015889307094,-0.7377078369659659,-0.7366164658667129,-0.541870819167536,-0.7776269288141706,-0.7347870719421886,-0.5867967856572928,1.39565426432747,-0.4599783671339188,2.4088826655510847,-0.16347679790944386,-0.6623766111919359,-0.7983234758934127,-0.34208597905670884,-0.5248786775550607,-0.7462085483591141,0.5035625498657527,-0.7576225076736297,1.113315885379529,-0.2905659608703912,-0.4152779137164609,-0.6477466181647049,-0.4483575853824295,1.1650209170968702,0.2882671676770483,-0.7357846040755058,-0.4984074424788113,-0.7879228257814456,-0.4594080848527024,0.3118671424176911,2.79368386503489,0.4667006303610834,-0.7623473643080895,1.3957190977726834,0.15124694587516874,1.9537528661579218,-0.3355169735617579,1.377423246253653,-0.4469731644616921,-0.5390589884479949,-0.547092046779312,0.5052404795722087,-0.6803101759811598,-0.7115055461315487,-0.48035224985181396,-0.8015973585512224,-0.8265601347278146,-0.8897243288738675,1.3119602947731943,0.4277764715470197,-0.8535648307417341,0.96608022614365,-0.7017830737990023,0.8494996361176862,0.2697878633832702,0.7601008782172282,0.08673941991723325,-0.8393392681056986,-0.8178021555875638
NCI-H441,-0.6872964107251497,1.4291591022677648,-0.2059835555807677,0.671462143470626,-0.2617762717398143,-0.7754607295668826,0.3024985272205892,-0.08725289995175438,-0.5951373293772273,-0.7537390889587374,-0.09760499233590247,0.8909028868620577,-0.5413047008180718,-0.7406887614489635,-0.940419676685922,-0.13105079586109197,-0.07933140168785939,-0.6005970402375991,-0.8271456331338828,-0.06831566110049321,-0.8548191830671941,1.457650413631172,-0.4874917032613362,1.250040047216832,-0.7535410330761945,-0.7443589329584805,1.1015232844220852,-0.8546125019995255,0.6889187553306121,-0.1704791068366761,0.3329023725035365,-0.5925752615287815,0.4070237240591522,-0.8828284698516579,0.5009988951635621,1.3593939234001158,-0.680848885382933,-0.4369636911134627,0.7871365621315201,2.335986265046356,0.1595114957220085,-0.850045982402018,1.2625439597595405,-0.6550074695982229,-0.20220373219040685,1.4749841400961992,-0.7287244029724853,-0.7057016137566261,2.0537653184133853,-0.7406478788822101,-0.7655779386462553,1.5857883956991448,-0.9196276757035909,-0.7556093284234447,-0.6368809327366571,-0.7492232485425994,-0.698937035011425,-0.1758487258787335,-0.9942950967397932,-0.5745034045820193,-0.7466961167476199,-0.8158333854547989,-0.9803049446627858,-0.3146506940084275,-0.8469214777661764,-0.7981205004765647,1.4861227389002545,1.1392268204816334,-0.05228775606297908,2.577016718354288,-0.8904139972548918,-0.6364309803585892,-0.8459646575673903,-0.12751693949696885,-0.3456642740991263,-0.7438468966600271,1.0135663998085462,-0.7626258313030895,1.2368674842873295,0.8356213460491566,-0.01847493349817818,-0.686327531666279,-0.5115067724869516,1.4816871651275991,1.3041913603358049,-0.8422522782049835,2.3932386910632566,-0.928377631198342,-0.3598623661965333,0.8829574758666384,2.4066435250136475,0.6704127006499002,-0.8261209248418536,0.2209947943117495,0.3909339884580043,1.6279067943078682,-0.3885595879624352,0.7162908056622506,-0.3510931657229223,-0.5477819545808859,0.9834543008136272,0.8280104194012401,-0.6281477803223285,-0.4520700948046766,0.2126108610129538,-0.96163995422459,-0.9897221501724676,-0.9173629390472792,1.1538037440317144,0.03654256443587111,-0.8284757385757235,0.7978946375204485,-0.7439324621448099,1.5230799007100149,0.5700073549949273,-0.11488874901846476,-0.2785213035236984,-0.8222395956811898,-0.6975787682756589
NCI-H358,-0.6653791440150925,1.0263687811887108,0.1133341603297024,0.7330217672334549,-0.018003303119903263,0.19776776252052544,0.7787849450784498,-0.10170395427666852,-0.8294412279498363,-0.8977743458550912,-0.22779958115063684,1.1068930622481368,-0.3466663780259893,0.5055742445604264,-0.9770620839443088,0.09011455792232842,0.3566484798380913,-0.5435611834896862,-0.7548010677482481,0.1613218212322213,-0.8248857383577836,1.5239940513637609,-0.5425961698945504,1.4746253607378723,-0.8124691654109166,-0.7765764487376476,1.226706032344696,-0.6685552287729052,1.064432235415712,-0.2988441432999552,-0.09318792112553982,-0.5667736697447827,-0.8678328812001816,-0.7550350035234957,0.3620606669226098,1.707660961932456,-0.5462311616689154,-0.5050546621039181,1.1238999348037442,2.0083769563220466,-0.12681016025850414,-0.7284244613168872,1.074645067005422,-0.2726922269872122,-0.7090200746900559,0.3041660832358926,-0.6817493641129914,-0.5320246079521012,1.7739665550828314,-0.6393969644266977,-0.5462311616689154,1.6204853316919394,-0.9011098810581436,-0.3794178307345033,-0.7454902913908993,-0.8398839785401375,-0.7407225747860081,-0.15347757639587056,-0.990558204085737,-0.5622945016824199,-0.7458174933657812,-0.8860833857030816,-1.0117297119912418,-0.4430839910911786,-0.7557559093875014,-0.6994022762813562,1.3284283082206347,0.6793553170149684,-0.493899635179019,2.4793179219143227,-0.9241672086743516,-0.771658061149024,-0.8551783538292598,-0.0558209066551162,-0.28879575770562943,-0.8731845566263756,0.9918282060715206,-0.4913535510476087,1.2308138120368102,0.5320271884517631,-0.08552002574960321,-0.8134774376965528,-0.562543872967322,1.7728780925507974,1.6086456740374582,-0.8097565690323748,1.3193887941718057,-0.9191433354199756,-0.5042738630514988,0.5908614322155727,2.376178543120388,0.30552863757628834,-0.7931984385655043,-0.039190101288340655,0.5183878672249274,1.8301107859906025,-0.5584494981419883,0.9611939487583572,-0.6133467278470661,-0.5372051162080088,1.3844854983906696,0.7185123281856249,-0.6258181998378165,-0.3784378993639945,1.2103294916717238,-0.9686983532255716,-0.9476968425514384,-0.8382876018106445,1.4166913083630104,-0.5207893804729727,-0.9727782755335792,0.7105725941996609,-0.7273532119269636,1.5168640378636915,0.03995549695361212,0.2328856788309724,0.8048074793599901,-0.9156676530609696,-0.6680965766409221
LS-411N,0.02915218757580795,0.9166631239376244,0.6102058000785681,0.6866831691116626,-0.3434267164368792,-0.12669077312468446,-0.0917146977998533,-0.7595023735070152,-0.8757340181233763,-0.6696995135271452,-0.5323724694912954,0.5597384926940134,-0.3695728886383257,-0.8729157525826909,-1.0233073016536345,-0.30440270812683073,0.37297209217774935,0.05937641295942761,-0.8159871746654648,0.4607133559952477,-0.6998221856658059,1.403993183042962,-0.3817398538817845,1.3307944797542282,-0.4215025301979071,-0.7907183422107622,0.6874831775415614,-0.8912467194932756,0.8426234036217005,-0.22978207953829502,-0.15778669568882925,-0.7705664498690572,-0.8851027648193802,-0.6190622970665577,0.38744234943728495,0.8977517412016167,-0.84993844751141,-0.049700686576206486,-0.3196956217629475,1.7601608415792886,-0.7957068252786834,-0.7385944790182561,0.6888740463011648,-0.6369551801852814,-0.1447463390615654,0.5056677471773661,-0.7482978253133193,-0.754406997494497,1.3849160999203998,-0.6755669260445597,-0.6735957020328484,1.5815184370964317,-0.8996572314726679,-0.8125857120131309,-0.8292062942455088,-0.5674240589334928,-0.676081033971859,-0.28136081987855865,-0.904963451175835,-0.6466450033719602,-0.6767208865543769,-0.7954642199004556,-0.9676899131539878,-0.15523492591961938,-0.6678187351863785,-0.6308803165453031,0.2554606152386286,1.025005430772231,-0.4064983968400516,2.6887935525438094,0.8025617841195958,-0.8663917840440907,-0.7866437232119291,0.4480917838540328,-0.3164352551710965,-0.3691437997526884,-0.7207676841615878,-0.8071997981714049,1.293721491249474,1.5046969579912817,-0.12273808543651515,-0.6188430480191346,-0.7357886374808256,0.8020162039619376,0.5043435160011879,-0.8906495835830812,0.387208101327092,-0.8962675445503904,-0.6231034120857927,0.4836942612484981,2.5265829149444534,0.5281396400601249,-0.7822581665857717,0.7081041907948731,0.15060540600379585,1.991497971604648,-0.8810882225277882,1.068019000198546,0.16909277367856346,-0.6143400512931372,1.9254006582311287,0.7634536205156275,-0.7503583219081692,-0.5615981349759804,-0.2825836388392545,-0.9415944195479752,-0.9299999932869076,-0.9073340956329432,0.7246154118356266,-0.8091302628149637,0.019231600400582773,1.1860568860720222,-0.4057162677109775,1.2675580514914555,-0.03795618322018456,-0.2600298573068109,0.9868839130820148,-0.9706108213345356,-0.6353451502326831
NCI-H2452,-0.6866388396503686,1.2631477720673754,0.6097697323772127,0.5156737189830976,-0.29986578290691657,-0.6902510714437111,0.0580698806558991,-0.7279851195532446,-0.6592052197285933,-0.7477445765370341,-0.6710357954852014,0.34923292837157444,-0.2394073168863605,0.5226524489882415,-0.9157110989207096,-0.013098180645357484,0.4648295992891375,-0.4102369102911383,-0.8361010339697478,-0.0999430811705979,-0.8079617599288912,2.7055822487808885,-0.3359009140662098,1.1393357611865211,-0.6108355430146675,-0.8405076697169629,1.3157705104651376,-0.7933688294897207,0.8991810183700724,-0.7700389876256936,-0.014740044725121484,-0.7994458534390338,-0.4001352281109416,-0.756686074977718,0.4896866573472318,0.5879673768544635,-0.7200298050691261,0.5885655924102392,0.9167856243877603,2.0986581701669893,0.6657300109636147,-0.7551292716505464,1.3990438590186811,-0.805596869969182,-0.4362350243710131,0.877831337518587,0.5902819491207263,-0.7778839465117297,0.9199233291909608,-0.5924527552905834,0.6120046616376799,1.4342255465689182,-0.889695702358073,-0.7646147346286769,-0.7865197789346675,-0.6709011261755897,-0.6403028773954059,-0.0690304360844752,-0.9710902931701628,-0.5287947119665796,-0.6803750533127338,-0.7218517315163259,-0.33209429747746483,-0.6635167775351266,-0.8690228341728786,-0.7877843583807209,0.40678257181305305,1.37862226011994,-0.4759316364553552,2.42997293920123,-0.624599232074328,-0.7925403971640997,-0.7579545900615581,-0.3363101389817574,-0.6293271061606852,-0.5911563271536991,0.6097555653764083,-0.7995030256553666,0.907415902373851,-0.3059558349830066,0.004926770268689514,-0.4836403134749714,-0.04367676788952027,1.123350419399081,0.4723241948211861,-0.7906660418044995,-0.7290185020206524,-0.8076749565700556,0.4111915375799589,0.3383250667796434,2.6942865242565985,0.5485088606794144,-0.7744234292067891,1.1931770656516067,0.5560169038990613,1.5664204256900591,-0.8331405623895664,1.0948974854809836,-0.3136209577036371,-0.68161417971065,0.09836422443645756,0.5453095035644463,-0.7446157431091827,-0.7779788232297458,-0.4310209708831549,-0.8383649721372693,-0.9464102213169188,-0.9014917894749972,0.8263131949833811,-0.7069760971097239,-0.8883384929491428,1.0372322708424515,-0.7827892772476512,0.9832393698470784,0.524971048020716,0.057344338798765764,-0.02009866582740437,-0.8850844634047011,-0.6674998793536723
UACC-257,-0.6251373924822339,0.8793321859487301,0.2289131802539772,0.9334381880202888,0.11454419679629844,-0.8954786257284603,0.23694677868785002,-0.6855889420942027,0.6764231967605703,-0.971604203430092,-0.34287084985757205,0.4776119845113764,0.019103798589496672,-0.8072344887887117,-0.7020804159648348,0.35527026849125243,0.1233794726866641,0.07937924966572904,-0.7750334248451115,-0.039219227303819514,-0.7717491966484268,0.7068001751855457,-0.5808724848538145,1.7438123860969132,-0.6575475704843685,-0.6953698820815825,0.7272593976449653,-0.3052578477729368,-0.3316074256833126,-0.8815140424131793,-0.12505543433736194,-0.8036864490434835,-0.7462500693891089,0.9239095143611792,0.6998677032352968,0.461570293006893,-0.6973371298137184,1.653434952561915,1.0186559946691616,2.0245463179829817,0.1964093093642431,-0.6779686604155909,1.2370027862820006,-0.8076655904724955,0.7882155336401769,0.4781384636001962,-0.7143335814388437,-0.7691400996042722,0.921991485384723,-0.5554429137603032,-0.3903138110627721,1.6023168861037729,-0.8995925387419279,1.3092476174551462,-0.5855887511044076,-0.6966546362500889,-0.7643817565443471,-0.12096196340846135,-0.8854192225498145,-0.6400003678055483,-0.6082382575182641,-0.17042852471092387,-1.0065590555266173,-0.5166706533614275,-0.8451807867977047,-0.8058034043837997,-0.3948701685788347,0.913290257157792,-0.1678282485726185,2.3980299837054075,1.3046882813491372,-0.7753771970135969,-0.7237102756838825,-0.6799705609455144,-0.6550934884130639,-0.7444884569114203,0.14586710980445358,-0.6065273945441595,1.1446110672854743,-0.5862532976330794,-0.38186464491000305,-0.7697816969565751,-0.14227453868727968,0.4617435903434398,-0.32108759298789197,-0.8786769774058214,-0.7037422996376212,-0.8493544304743957,-0.6893245950267994,0.4198127773087068,2.5445795223269005,0.7572535381033558,-0.8048760258926108,0.9897057775020668,0.6045820504415018,1.7367129533190655,-0.8154269107703251,0.5911382924057624,0.0612409786734389,-0.689731027816524,0.7098024549026203,-0.5669832824201168,-0.4087114157607199,-0.6987648701944649,-0.5768575850611304,-0.8613112538068834,-1.0008607211685672,-0.7011046278606552,1.0274451494262316,0.5734185098271591,-0.9258187545818788,0.9798141438305474,0.3568864015597367,0.42252463037964,0.9099867461691284,-0.41210670353892576,1.1796613542190295,-0.9689962999524576,-0.7513191709473668
H2369,-0.4423242150013072,1.0343518271692222,1.1137573522711923,0.4648833523956536,-0.4318021128783499,-0.5818030665455967,-0.14413407454686342,-0.6912097567186747,-0.5114789199313375,-0.7001653341451352,0.23970882568727625,0.7078090008210841,-0.15830808650148867,-0.2860536701013893,-0.951703375954614,-0.3278373839830599,0.6492618264655017,-0.3559490541033521,-0.8078023164548592,-0.24485328673455906,-0.8046886521964279,2.1225187970515003,0.1133248838148994,1.1337516076882892,-0.5452225291585894,-0.89093309831169,1.065084004611535,-0.7402619320701616,0.9163713716151732,-0.8615566456226887,0.09565628148582513,-0.8217906915423466,-0.7127847394179884,-0.8641229860712583,0.31068764646734603,0.8620638067442004,-0.5743996015260645,0.047038818054038915,1.5287798349548831,1.8294774874619049,1.309069422842029,-0.6995003558528033,0.98391524428943,-0.8544146960824531,-0.34528524899321084,0.045608914952586524,0.2090137764498156,-0.8272144524661226,0.9896041808098848,-0.7317088423800336,0.691623724803488,1.2820857848245335,-0.8167308855037909,-0.4497205376186345,-0.6863104526472774,-0.7078299252599468,-0.7350680910919549,-0.08953463563842731,-0.9588335622175456,-0.57674606656624,-0.7220098758982133,-0.3197864421663483,-0.8168769659433256,-0.5915791961911201,-0.7543944258962098,-0.79786673382332,-0.2001550385646936,1.0520499418506262,-0.5340826237948422,2.56291969253438,-0.7909601274288278,-0.8688308494674787,-0.8353832769452622,-0.6148271758657544,-0.7817139194071044,-0.6332116577081772,0.3541202478484604,-0.7658474519000594,0.345897037553967,-0.16735102220912412,-0.1987970430974687,-0.5326618940819813,0.20729444878117773,1.2744421834944335,0.1996572692849949,-0.7959573267069063,0.6979034945251315,-0.8129752309290308,-0.3944945585789145,0.26262041498512817,2.67986321891239,0.3546276216895768,-0.8045425934663222,0.4120349900412952,-0.30562253664386724,1.9941827456154837,-0.6552591105673935,1.2274282925929176,-0.367591100411975,-0.4637366762946447,-0.062023714385632735,0.5169083084338644,-0.6688904907202793,-0.9182647574171832,1.5025819073702045,0.04973791859067261,-0.9348072209828276,-0.9003555042178789,0.6890541893736047,0.2580467906895738,-0.9333958221673958,0.9321089114412611,-0.7858430459113216,1.405160528381142,-0.2847558176053793,-0.09416614881978247,1.8866319220254963,-0.8645124185882981,-0.6785784020217094
H2804,-0.4473331493230223,0.8309881182299813,0.7003334883779747,0.8140144922366889,-0.005473298368855039,-0.6709644044428323,0.10098927398956332,-0.6741982639663667,-0.7078589434050981,-0.8496428625895006,-0.6427638462871074,0.902740710377961,-0.5044063061978743,0.7254564508030976,-0.9701711057778406,0.4298684759431338,0.3108279410952096,1.046662545010146,-0.7954165484151466,-0.2321798413905007,-0.8203242729765398,1.7157145991879543,-0.012164267017878514,1.5529699611461252,-0.7012316154531669,-0.8765614902828154,0.8542015530114059,-0.7053737277377777,0.9449438900878149,-0.8795152778418334,-0.2926023718277583,-0.843749219392,-0.8355417193385902,-0.7724417622300109,1.0169065837341071,0.71502459917081,-0.6741171028724526,0.8108887604142746,0.8573191821783456,2.0227335534463693,0.7870270250326533,-0.7259178003915798,1.2286983163664948,-0.8360607181612801,-0.33848134695381865,0.2483936695261297,0.6751494855809297,-0.8533780035515292,0.6868543476832634,-0.3596337836580442,-0.1347608633970641,1.3881100410006737,-0.2906560240755607,1.555623572089867,-0.6823531155854866,-0.6682676234176473,-0.7775914943192287,0.05946878180403752,-0.9778087737050144,-0.6527741761634738,-0.6564474456413503,-0.6874380383695315,-0.8470335187035111,-0.4392113741339426,-0.20673216663137414,-0.7348859830307309,0.03895773231562489,1.0013990016027097,-0.5201720607161165,2.3943830700242965,-0.8023376006127102,-0.7487535943061141,-0.8083660024593977,-0.4078990927590693,-0.29699074128857594,-0.7285225612216761,0.1263906204407723,-0.6977225751294674,1.4365563810390836,-0.32443160868309906,-0.3825880000450768,-0.4827861176939085,-0.29292825919833515,0.8648371061186572,0.8901690941879744,-0.6118562968235751,-0.7988578273781344,-0.8650598038966042,-0.5811197498493046,0.2628231971577309,2.5822166518278937,0.13328015511769925,-0.8095807051259639,1.4435399452741482,0.015091631987672981,1.7018665374170965,-0.6529813467284362,1.4723595993891578,-0.417205951336044,-0.3221079763861601,0.15841348670104108,-0.0712386236745727,-0.707197910716552,-0.718842584681383,0.4822280261826796,-0.2346925204956527,-0.888931629715382,-0.9190995939868292,1.2156750448625255,-0.32488958458263195,-0.8084103572201524,0.7699003857676869,-0.7109238561793999,1.2439173450560286,0.5497201079099854,0.12601913485534222,0.15531734844332815,-0.8731281454569668,-0.6661264427549106
