,GP1BA,COL6A2,COL6A3,COL5A2,COL6A1,LAMA1,VWF,HSPG2,TNN,FN1,ITGA9,GP9,COMP,CD36,CHAD,GP5,THBS4,ITGA4,ITGA3,ITGA2B,ITGA7,ITGA5,COL5A1,COL4A6,ITGA11,SV2C,COL2A1,COL3A1,COL4A1,AGRN,COL4A2,COL4A4,ITGB4,RELN,ITGB5,ITGB6,ITGB7,LAMC2,ITGAV,ITGB1,LAMB2,SPP1,LAMB3,LAMC1,COL1A1,LAMA4,LAMA5,LAMB1,COL1A2,ITGA10,GP6,ITGA8,LAMB4,TNR,CD47,SV2A,CD44,DAG1,LAMA3,SDC3,ITGB8,ITGA6,ITGA2,ITGA1,SV2B,TNC,COL11A1,LAMC3,COL11A2,HMMR,SDC2,SDC4,COL5A3,THBS3,COL6A6,THBS2,SDC1,THBS1
CAL-120,-0.8277438347444358,-0.6317338529208818,-0.7459768220668889,1.1310726915053282,-0.5507614116848357,-0.8103309492118279,-0.7110280620178625,-0.020868411586359173,-0.8854842532024138,1.0822588308975154,-0.8898567894647326,-0.7072014529433688,-0.6306165134725228,-0.9043192541046706,-0.7958922723381191,-0.8633853769775653,-0.2887749565880969,0.0463206859465791,0.09244478435230967,-0.7463849057685006,-0.8347563335725519,-0.6147335707199766,-0.7645849775715071,-0.10471484897658866,-0.7728669401824929,-0.9435925508981272,-0.8704802772829846,2.0716010144135595,-0.3432401112564761,-0.49403195509480896,0.2293930826507789,-0.7907644192252374,-0.2275309154240783,1.0656550269343799,0.3883973049934869,-0.9504517289521606,-0.6833406302030632,-0.5371127429502175,-0.3249023251645329,1.9362940560627209,0.9880098472976052,-0.860259205480751,0.28233081070155536,1.143295144221517,-0.8659451025753669,0.018738137300023903,0.08493985829184594,0.6048354157014049,1.2962454169073565,-0.8736110612135684,-0.8597663997549716,-0.8076833799288934,-0.7916248030317201,-0.7908777939299982,1.430533245301841,-0.7238747090863183,2.0059053204871597,0.1850380043114158,-0.8536693932858964,-0.483994916624961,0.012600235798529768,1.7626247190569757,0.9815055746181393,-0.8311807084052381,-0.8978799317168066,0.18309869768489254,-0.8937482687649101,-0.7494322177950464,-0.7246075920125391,1.5892606215359883,-0.2949261485770721,1.7616803524713072,-0.7442061447270011,0.5541133909247614,-0.8459631200931818,-0.9339590969711988,0.09383606751969806,0.4623179482283194
ETK-1,-0.8159779025080495,-0.7804358705358891,-0.8025799797910198,-0.7368326766741851,-0.6027746857627208,-0.8426074727100091,-0.7364862859036905,0.5422781145837051,-0.8457259460491758,1.0927086329675777,-0.932776450369254,-0.7944430579693594,-0.7834209970785431,-0.9280537137727468,-0.7130989065599509,-1.011718894975425,-0.633258139759962,-0.8412185989609842,0.14229359249513296,-0.8278505429900913,-0.6080747072355374,-0.6047509348712464,-0.7315548877063983,-0.8270840291684843,-0.7192418504144732,-0.7771926911171738,-0.926102858541614,-0.9195274842415674,0.7877609675894411,-0.4738856989840052,1.70302432243088,0.29955631793030435,0.11170666993172253,-0.7933412264491567,1.6761937744810147,-0.09099042768044356,-0.6837527206691977,0.8278128488287031,-0.2504136842326495,1.986350673626605,0.3780424017608335,3.0451047147850114,1.5209020645717863,1.5526702806363204,-0.8234741277994714,-0.5185724902022143,0.3229289097503972,0.5608246013834024,-0.8324104395103441,-0.8952298221326339,-0.9638130792996972,-0.7915083879769759,-0.716562745819025,-0.8194103150063765,1.176787484016057,-0.7749040045243286,1.0618094447235764,0.3299103086303,1.3449766248173367,-0.3231105033159584,-0.3830943338352469,0.6773146618679514,1.158777661994942,-0.797241872555165,-0.8131514771336303,-0.4934694168049209,-0.9339289166746118,-0.7555947725602261,-0.8048202393225657,1.1764456731471111,-0.608268145372198,2.2991896283493443,-0.8008631791193281,-0.2874232158845231,-0.8106869489646781,-0.9770702929251176,1.5101037987097008,2.1687720252408123
H2731,-0.7626654408796221,-0.4028311672389472,-0.7716530767379892,-0.5540532744947037,1.2671481829065698,1.5583678680654065,-0.8073776921325054,0.2035104356397527,-0.8067403371607942,0.2498201839274985,-0.8886400288804981,-0.8590960375177027,-0.8256570589159574,-0.9975950351357776,-0.7772426808078446,-0.9339528748950264,-0.3147705285949153,-0.8434992976957904,0.7837906112639994,-0.7951304376319235,-0.4988833430028888,-0.3956673519694872,1.2823213455165217,-0.7737606256820386,-0.663911835440769,-0.873388350040932,-0.8578277660412692,-0.7670874339164854,1.2583344500323206,-0.4761703015933869,1.706080955236105,-0.7236315483947546,-0.06494490322567069,-0.2015077646207586,1.6754394428385695,-0.964148410680808,-0.7574489228614882,-0.7562281219956098,-0.4058102582342173,1.724921573681595,0.3751733000832204,-0.7276359914250524,-0.5064812379383384,1.2986326305916234,-0.7931928267952917,-0.5774139885401084,0.13883470785786522,0.19646418422102604,-0.8739282624132992,-0.8431261690358852,-0.8735670029112135,-0.9217063530699432,-0.6930049840594075,-0.8330062948098435,1.3204186063927226,-0.3458717499437754,1.6294080255606709,-0.09762758287034104,-0.5525927609163384,-0.4841932636378123,-0.7194668068953589,0.16238917705883815,-0.6302731689570757,-0.9642679456231472,-0.8937950850574808,-0.7423128715159816,1.2923183984125275,-0.6158187827781589,-0.7560787057491308,1.9177681833807867,1.5515842877597992,2.1613638750088917,-0.7646223550757789,0.4400185324805741,-1.0230813135134789,1.5225037979397662,1.2218112507639507,0.7029102832770524
NCI-H441,-0.7627060067381417,-0.2867612260809289,-0.6671075674092958,-0.7628820463796095,-0.12976510846431333,-0.7544662689010153,-0.7905463335900781,0.3769733658013823,-0.8829701087133787,1.4965763702214072,-0.9231008913595159,-0.7369433429841881,-0.6152426285345284,-0.9226285878488124,-0.7964073191654869,-0.9900488486366652,-0.7203703072680144,-0.8283513602185241,0.6606923606965248,-0.7578041667158513,-0.7286908332028835,-0.6442147175010112,-0.7193161492478148,-0.8515618554632947,-0.735198943054164,-0.7577342264329195,-0.8425390614645708,-0.8666861120531798,-0.7031658572371701,-0.5223615781017382,-0.5811221005095845,-0.8812873638398571,-0.23134993390509834,-0.8236878574990557,2.0309736513607075,-0.0977785159145014,-0.6057467446978729,1.3121726623093202,0.36323562430378215,1.457650413631172,0.6019578704645931,-0.8430528767880697,1.3597667037722607,1.4255244896086745,-0.7532108304577964,-0.7396353625777216,0.12598074996964545,-0.8929437763976017,-0.8274177281509517,-0.8612223207671597,-0.9497198567119876,-0.8460362741507208,-0.7558376046993321,-0.8305543377117414,1.6645247450544367,-0.8249553976426823,-0.7092049539909786,-0.08184284286888062,0.8875057851021305,-0.34472537635695594,-0.780389097883672,-0.3827935803054596,1.598275884735909,-0.601976498192727,-0.8508571528713803,0.9182099949485032,-0.9049851760557892,-0.919577830756908,-0.8364820611407404,1.7525912612802796,-0.7225901233115991,2.798206297261493,-0.8259418868383915,-0.2298852812873424,-0.7842420695140898,-0.9525605442048314,1.7267014483675598,0.17360184348458824
NCI-H358,-0.8559461818809121,-0.7152876853127312,-0.7886813353392527,-0.8192592270851836,0.08854548851355121,-0.751725152157643,-0.775519289685322,0.25615595828801296,-0.8415751310980928,0.5162328500518387,-0.9368408092824944,-0.9380483361745884,-0.6711411203452983,-0.9188521775903769,-0.9435813436988838,-0.9709752047542608,-0.38423578255790425,-0.8529473618444616,0.7599374948231941,-0.810371838829991,-0.7347344853878516,-0.7346874619960376,-0.6483078807766209,-0.8742966779751892,-0.8193286147238046,-0.9005498649875342,-0.9498596412004964,-0.8867257763433648,-0.7208054616098583,-0.3513838261461857,-0.7037170616009398,-0.8584409372265609,0.04807386379134726,-0.9241527753670756,2.273608539439841,0.9707947336220538,-0.677239621147217,1.246915105018641,0.0075125862331092905,1.5239940513637609,1.092720674777058,2.482799050088309,1.4529587601721137,1.7109583342622436,-0.8167236841174508,-0.7953422825174078,0.7471153625749649,0.3343498793950898,-0.8026313130652413,-0.8812507836393977,-0.9786794183700996,-0.5797531904033443,-0.7444496426739671,-0.8335060244516829,1.3201439023589585,-0.7951840062279227,0.8531062090749358,-0.17937727646212165,1.5104572405875756,-0.5260138586597783,-0.8204097661918316,1.4240770666678275,0.5636094664307233,-0.7848845321576169,-0.731912043130686,1.7262546455496022,-0.8953768242872624,-0.8598499391258007,-0.7851957335662442,0.4008466453432169,1.1750933032986548,2.4808787712957394,-0.7840601661168174,-0.3071702808874059,-0.8630908498381039,-0.9949140726747636,1.8889516398858532,-0.2466887561035985
LS-411N,-0.5807387969607072,-0.787255448505825,-0.8345632914959388,-0.8992525383744329,-0.4722034674749188,-0.7350764395514318,-0.7746148776134203,0.3827993737892113,-0.8868241225156086,-0.0012087878484729952,-0.8412368095405361,-0.9138687518938716,-0.5613450518012677,-0.9113404785601591,-0.8470270525782093,-0.9295929110106304,-0.937486590650681,-0.8828366255160023,-0.4473638778822975,-0.8113032324977462,-0.5543206783141336,-0.7128955108230509,-0.7070082140742932,-0.8232217384837408,-0.7196081735638975,-0.8733715145349754,-0.9034396609790524,-0.8908415996074784,-0.7012362729634803,-0.4544809234565316,1.1737571787993728,-0.933598299795638,0.02366492810300772,-0.7930649413733956,1.8246735394365807,-0.5546972825022601,-0.6147590322956695,-0.31378450952840203,-0.691349576327335,1.403993183042962,0.44071246553194704,-0.8725709683435008,0.7900535085859758,0.6863246435151943,-0.8288540197227682,-0.8628872011012423,-0.23988980727957054,0.465861705915722,-0.8242124146037669,-0.8762057316653841,-0.8042956193234618,-1.0002318400670054,-0.8506271809103355,-0.7735038261308843,1.136816870363318,-0.7039955313089838,1.9098590730997465,0.05299593983197013,0.5320401648754242,-0.2271840007754509,-0.6372759080325954,2.317277902581062,1.3531190597197635,-0.9552844966595571,-0.8838161413493576,-0.5688342473441431,-0.9073807111922908,-0.7188542346087193,-0.708141635143693,1.8389570718202275,-0.7277337454283029,1.7525740194219823,-0.7354419111963912,-0.3459453484407373,-0.785118815414347,-0.9140446429316488,1.124511771140765,-0.3656271775165009
NCI-H2452,-0.6765544186742148,-0.20653662400217027,-0.7345185017050495,-0.7379770784833666,0.650534220657036,1.9453008809590269,-0.7995003866316747,0.8396059328027919,-0.7966395998347602,0.42809636333007106,-0.8468480802578316,-0.8304223605855964,-0.6732613528578514,-0.9812764541762556,-0.8326108268387564,-0.8692178004323968,-0.6091759463609845,-0.8850464660893457,0.5473894113460871,-0.7045856509463503,-0.6578489438077979,-0.049835348078982565,1.5489742166035878,-0.7471764939597542,-0.6277567566161966,-0.8091940891639452,-0.7580799633466099,-0.2921533178128021,1.3538739793341028,-0.2864582986720903,1.9725319404316335,-0.7906142364510718,0.012907220933069945,-0.8002976979061264,2.3945588510370017,-0.9360898956769113,-0.8298482889741817,-0.7169440786245878,-0.09795792891079326,2.7055822487808885,0.5192786267340014,-0.7854369909832294,-0.09372034518186156,1.6598601918368658,-0.8731680710384077,1.4963814636210326,-0.02751716033514948,0.6090440152019408,-0.4752121021355902,-0.8870104622144347,-0.9063688898274184,-0.7492338948706266,-0.7197992450642969,-0.8053543739909398,1.6057695461222683,-0.8119521534092169,1.9536977579974708,0.09932572322907987,-0.4745894711005013,-0.38658063854320257,-0.7135298305055825,0.7442930653530424,0.5732222878492852,-0.9462875254497688,-0.7155721748726955,-0.4100485390466551,-0.8968833065782693,-0.6407871819567623,-0.7306877272945191,1.818852303615676,0.09585874875819413,2.5729882849787917,-0.6526571640499643,0.9864940451543728,-0.6886614082239929,1.4189444137980154,0.11395647890353296,-0.018165584905011054
UACC-257,-0.7761477662452855,-0.6827023183708131,-0.7440730457410241,-0.05298135728238417,-0.2896626506529469,2.0825940931714046,-0.6677038609736984,0.4011181000639592,-0.8195449260029112,2.647825467172187,-0.2699405710783969,-0.8016692651189038,-0.8451670670354007,-0.946485626583986,-0.6606028474265335,-0.9563486341117964,-0.6418388724599521,-0.4921101936854054,-0.5788268549552484,-0.7305566584646387,2.2190017358918013,-0.669300425479718,-0.7674871239116489,-0.8926450668517025,-0.6901490174055535,-0.7746810443617862,-0.8648085199641428,-0.8991056715183111,0.09710845896508584,-0.38756699765498703,1.1050762452496192,-0.8347794955905049,-0.7445107636831466,-0.8553608078164181,1.8671201638351391,-0.8841587635042452,-0.6713725398644114,-0.7898139319935207,-0.2348571028103196,0.7068001751855457,0.8584842688488238,2.2640274053126155,-0.0171661910529962,1.1674679694296588,-0.8461141433110413,0.18710049556763805,-0.7488784700674981,-0.3666357745214893,-0.8415473114034956,0.1203117510650938,-0.8008841410451921,-0.7514883896860179,-0.6467878999294402,-0.8052208716688547,1.4645665542277804,-0.6725387354077315,2.002901905737717,0.007792358489302232,-0.8131484816736425,0.2721142060468695,-0.5973736892789753,0.8039149994715615,-0.13688359332952854,-0.8116126515012576,-0.6780439810862128,0.969694075329292,1.5967564774582343,-0.3843518643155122,-0.6512726193699148,0.06474397506158157,-0.13934488867401268,1.2695929496690133,-0.11926248679032465,-0.5728182521234593,-0.6800938414995613,1.9190209445390527,-0.43358409381930857,-0.3717241509979853
H2369,-0.7301832690574414,-0.03050898084437438,-0.8105561316816038,1.1713666229334452,0.7502716008868533,1.4678936395838242,-0.7894661884397934,0.6533861755095877,-0.8813047618410937,2.0773603385444903,-0.8602707582554839,-0.8184509466739939,-0.6742590584226971,-0.9702697467852704,-0.9057221300811406,-0.8902383508490997,0.10993522943073196,-0.8974000675174708,0.1759465083225166,-0.7700974578917387,-0.5537881165513919,-0.3800312398423048,1.048298291510796,0.7327969178031062,-0.7692990151096505,-0.9357517585234356,-0.8274742556719297,-0.005487605936742314,0.17618131566107145,-0.448928124976932,0.7019341964821172,-0.8309099890124163,-0.6271239351400193,-0.9106723603163028,1.331304289508258,-0.7860802038729654,-0.7230605388286809,0.477718212205692,-0.1454806744113722,2.1225187970515003,0.7783191529008745,-0.8306710471823568,-0.3438984700561935,2.1092594490772028,-0.7793994120324109,0.2722165129533708,-0.4218504731215534,0.1543673121463281,1.1655444501031924,-0.8869023192169447,-0.925052371196942,-0.8842821149031279,-0.7858046798071026,-0.8046594160619418,1.897359974112776,-0.7453618238768704,2.271120142432881,-0.22856302068405934,1.0922325368294272,-0.5602970657884991,-0.8183694037484261,0.4843786115017885,0.8507868465206296,-0.8164007612996992,-0.8827199958350493,1.426809272330414,-0.5609464853486399,-0.8602095284271011,-0.7358370866500008,0.3028518986746693,-0.3832844948066499,2.1066551328322367,-0.7705529979301889,0.06852789654203081,-0.8075814165461686,0.8708127736854073,-0.3530288906063573,0.6381347439839644
H2804,-0.6406932789398124,-0.5711242766780212,-0.6092866773471096,1.8638480468318308,0.22103822669350726,0.9681781072667691,-0.8100803606150626,0.3871529026865173,-0.8010392793314258,1.0949737140575004,-0.8773002181895229,-0.8307108785835206,-0.7720022517156808,-0.9483746232170228,-0.8849512261567545,-0.9448026562180636,-0.6577690651565771,-0.8657877975985601,0.268776398500481,-0.7047843681475613,-0.6830310547498313,-0.3971508371600096,1.5543961827935762,-0.8170620087002178,-0.6984890428991787,-0.8018763360801439,-0.7940437094276519,2.9626700897483333,1.9222794215474217,-0.4944412779073557,2.2542564960741163,-0.6419530692152657,-0.4863329401040762,-0.8067235102568338,1.965522511379141,-0.9617882033913084,-0.6684832630621511,-0.6420813502400168,-0.3134753362539721,1.7157145991879543,0.9960897138732806,1.1022996363789914,-0.12922225435462056,2.5619095678418113,-0.5817448624182846,-0.8362164167060595,0.5884883062835005,0.7340000710094294,0.15189297595613882,-0.9181146024754226,-0.9097082976215352,-0.7911824182313373,-0.6720492134514146,-0.8488898340423016,1.983888901931257,-0.7924344883466123,1.814422776891157,0.5085862844905507,-0.3948932456837135,-0.5583493924771288,-0.8279172651775171,0.6824836832088343,0.5115269335886652,-0.9618975938320036,-0.7999165486462557,-0.709388937909254,-0.4550432943692516,-0.7322438983738387,-0.7065743386898546,1.3566266859639442,2.1664440582790183,2.3104363698507697,-0.7517630842924835,-0.3271873596464798,-0.7911824182313373,2.214811907343744,0.04338801325091169,0.03160940623898823
