,JAM3,PPP2R2D,MAGI2,MPP5,TJP3,MYH13,EPB41L3,MYH14,CTTN,MYH15,MYL7,CRB3,CLDN20,AKT1,AKT2,MYL12A,AKT3,NRAS,EXOC3,CTNNA1,JAM2,CSNK2A1,CLDN18,LLGL1,LLGL2,CSNK2A2,KRAS,CLDN17,PARD6B,MAGI1,GNAI1,GNAI2,MYL2,VAPA,MYL5,SYMPK,MYL10,IGSF5,ASH1L,YES1,MAGI3,GNAI3,CLDN16,MYH3,MYH2,MYH4,MYH7,MYH6,MYH9,MYH8,MYH11,MYH10,CDC42,ACTN2,ACTN3,PARD6A,PRKCB,PRKCA,CLDN10,CASK,CLDN8,CLDN2,CGN,CLDN6,MYL9,TJP2,CLDN5,CLDN1,RHOA,MPDZ,PRKCI,ACTN4,PRKCG,ACTN1,MYLPF,PRKCD,F11R,PRKCE,CLDN19,PRKCQ,CLDN15,PRKCZ,CLDN22,ACTG1,RAB13,HRAS,CTNNA2,PARD6G,TJAP1,SPTAN1,PPP2R2A,CTNNB1,PPP2R2B,RRAS,CLDN11,PPP2CB,PPP2R1A,MYL12B,PPP2R1B,MRAS,CLDN4,EXOC4,CLDN3,RAB3B,ACTB,TJP1,SRC,PTEN,MYH7B,HCLS1,CDK4,AMOTL1,CLDN14,CLDN9,PPP2R2C,CTNNA3,EPB41L2,EPB41L1,EPB41,PARD3
CAL-120,-0.7019047617355773,0.5377777063400347,-0.4033007585897199,0.4602035474471964,-0.8683395352697332,-0.7132145330433368,-0.8355716252547959,-0.5802590256364554,1.3450428357969242,-0.9075906874679608,-0.7165836208962448,-0.5025093704397466,-0.7304983623242409,-0.19985279400177544,-0.4819424240854727,3.3764312134607946,0.4364324540353784,1.5867513847782557,0.9168769278254649,2.2856297150963103,-0.4020178437326124,1.198978974040424,-0.8812265492085006,0.09497977413062483,0.2530939855476408,1.3070345841484838,0.8623239999845511,-0.7945976401068526,0.15711499036058724,-0.7470700657681859,0.2896229952488029,1.6992794979965569,-0.8088025668073281,1.0351831222151302,0.29303638684960803,-0.29449180097973066,-0.6169873480676766,-0.991180568181144,0.4329828662707214,1.6776198078980535,-0.2711051008561721,1.688119177913452,-0.8562070352477477,-0.7515387734809581,-0.866692646662996,-0.9915124445960236,-0.8594275002853006,-0.6387823563915337,0.5121435126785857,-0.9533638041840304,-0.7410701005565834,0.9474091003448694,-0.0937094241456486,-0.8629336032151217,-0.7928848963726551,0.3431419086062387,-0.8598842831717439,-0.245701092160002,-0.9086218759884662,0.20539317039840946,-0.9852196341947652,-0.8299034691299144,-0.4344787778331927,-0.958435539276898,0.8667542519458855,1.068622023291773,-0.8400103869494462,0.9744447150656632,2.846229085676413,0.5680440554622154,1.7595168922087214,1.1197094807464507,-0.7831122737775845,1.532067287582289,-0.4580348678696077,-0.03365152225453906,-0.10037539677047626,-0.1723530676335141,-0.7739953505637066,-0.8870942145888768,-0.4532826945075151,0.27429108707079924,-0.7001869884059803,3.5671285504874595,2.4158551643983155,1.082836190327067,-0.956814039299832,-0.41867842216530576,0.0010626592119542006,-0.3740090059414021,1.9216927239116728,0.8319328535716037,-0.4735559577095134,3.005371639179561,0.2439424552054325,2.0742579418555893,1.012618991128882,3.36434998519618,0.4470051612472978,-0.6210055930974137,0.11223881163688318,0.3282359620304983,-0.44197899683652975,0.05111844638585845,2.801423410907538,1.2962085938637595,-0.2965019099885951,1.265501791663064,-0.8664798278133806,-0.8870176260791937,3.1818716648663687,0.5382788480196941,-0.7248011377218966,-0.6570884281913578,-0.5947517078817488,-0.8331199941054415,0.8793923928062224,-0.4542616750453128,-0.6034674057677708,0.4306238936796644
ETK-1,-0.7302871222647126,0.9564704766209248,-0.6144788221578669,1.0416485127690636,-0.6965246039190497,-0.7986967423639472,-0.8513070866564748,-0.439088539535372,1.539787144825139,-0.9554689621807372,-0.5683546272308437,0.8251691325858729,-0.7776038404093344,0.1266592331092139,-0.5886272683587355,3.054865105132212,-0.5448795531082345,1.9604995952736224,1.3382159560611369,2.131274079014876,-0.82198849961076,1.3652114838246103,-0.8227775941385377,0.5662235193300995,1.6654570612095103,1.2772451163337195,0.6590952429722751,-0.7116144754849246,0.7845851876005165,-0.8108548581696776,0.5083083605163343,1.3694852517995089,-0.8791581110890248,0.3237718188104233,-0.7406888756854949,-0.37148068379988397,-0.6820082090666116,-1.0543574021702098,0.07056387681515768,1.1298559337541991,-0.4685345815203009,1.7372033931581734,-0.9097418470148182,-0.8719661727108918,-0.917584357881403,-0.939000377173004,-0.6753024977508897,-0.6563525542399076,0.7223264331614416,-0.8895324241468177,-0.7617407785635668,0.9535942341368532,-0.17979375770923872,-0.8502224561807541,-0.6381383055339934,0.433133889572264,-0.7821007727003433,-0.39963966733559103,-0.8319435495548227,0.5208998098855879,-0.9252834002312426,-0.6477894452467395,1.5775869249378585,-0.814135296947932,0.7701417748803289,1.8265332037712352,-0.9766720436124244,0.952544347520082,2.5288634260574945,0.16255581744773734,1.8199595948234093,0.8250789985615447,-0.7505054316116957,2.012978225364432,-0.5285589577196582,0.6713190475203972,1.3503533042872171,0.2183677196384474,-0.7500267827474641,-0.592831063063485,-0.0015072758079999445,0.9564751681489609,-0.8147155011095315,3.740175053533856,2.4513965458002023,1.1893851867654288,-0.9087846374850608,-0.7161261847341094,0.21873150209125214,-0.31379055755294105,1.7458119984431444,1.3261202141964368,-0.7885203775203878,1.7831421608716158,1.0578691344651898,2.3639344516538032,1.0212576752692304,3.3544209066226456,0.22410564676707528,-0.7383173567268081,2.884230339625232,0.15269434403374094,1.1789526841520828,-0.6780239910118642,3.1976371415033866,1.956771691386073,0.5350129974637066,0.9081998545605426,-0.8212371614789787,-0.8703562151246047,2.057544437926905,0.9450405100372292,-0.7709425844569386,-0.5328545888675063,-0.7222314098608327,-0.8066505218697501,1.3106876428840335,-0.10471288350743738,-0.5644267268059912,0.44818024839848136
H2731,-0.5071734486302735,0.8788870211030853,-0.3622807253940693,1.1568739573660458,-0.9230472585310452,-0.7758983954062959,0.6473582735543281,-0.6126246658812492,1.2628554723602199,-0.8661809220540273,-0.4905380356953582,-0.6501024524024502,-0.7710869478283708,-0.15174020943164618,-0.6640179112916704,3.3254016602478425,-0.6239843608956496,1.804879139023512,1.1247880423778558,2.1113685536082265,-0.7158385121483848,1.0776176555655994,-0.8756989820907457,0.31189023234793284,0.3448094564161621,1.1968401437612757,0.4822517483970864,-0.6469400327519235,-0.4705460107573372,-0.767848151620039,1.102573485682063,1.321574221832743,-0.789847640269141,0.408212124395461,0.2473498471443569,-0.10204105288116444,-0.6746230598420963,-0.9555795660239084,0.4665247192347655,1.1652196046127772,-0.3648445732453885,1.8032620033212476,-0.8636648477018696,-0.5123486820976694,-0.6184170659147652,-0.8874819778270481,-0.8026479601029951,-0.28027962990338,0.577673826011303,-0.8050090698822073,-0.7195773834671781,-0.026586038756593117,-0.08586631916000671,-0.8665620031608225,-0.6267454600892226,-0.2000026467584244,-0.7525382834330454,0.6734231696706534,-0.9248856321301816,-0.23061435010047895,-1.0203431324280174,-0.7752710663253475,-0.7316567432006071,-0.8734476462748582,1.0020209655267878,0.9037327354644944,-0.8854133843407653,-0.6913056224367955,2.4088826655510847,0.7984099619712091,1.8871536892027323,0.9344095556888078,-0.7608390346223795,2.0180229482891283,-0.6117111950620856,-0.1731553736243683,0.21723065873903813,0.250840939373196,-0.7867939233566371,-0.8322358564197958,1.0687099086613578,0.6254724227823826,-0.6037432823272377,3.6505503333987352,1.2878001391326828,1.3957190977726834,-0.8131373236943368,-0.4289628326940281,0.2605288050614582,0.14008430305607913,1.882032107774384,1.1927718519053019,-0.4371718294764767,1.5694630570360149,-0.6738860415510572,2.5608682178972524,0.8512296622013712,3.452373305208167,0.12402722998033165,-0.7472316833792174,-0.4044068308218404,0.35883158952337824,-0.6398753125383042,0.6604890971921076,3.1420449715854173,1.140174082418122,-0.004757062499117007,1.100927029529028,-0.8521766019461885,-0.8216589135603913,2.362112511297713,-0.01671177616075048,-0.6664656259083208,-0.7483795052267697,-0.1806505911746608,-0.7139984360744497,0.8628948560368728,-0.4132720913466983,-0.7048114643147787,0.34880939085229024
NCI-H441,-0.8653003321561237,0.9452018093097664,-0.6181668026048455,0.9176706527806472,-0.3578753693457184,-0.7777953166796415,-0.7696683672799451,-0.4696269092599644,1.7894868974758054,-0.954750923879056,-0.4711223345887832,0.4277888273067754,-0.8054006348758247,-0.26570566958600805,-0.5854985495687144,3.0078510216558665,-0.6958193198758809,1.250040047216832,0.8583141634315865,2.8143537272621404,-0.8587006471979096,0.718617642822299,-0.8960237091317361,0.3096772263287877,1.2682028449573517,1.0694899397205555,1.3593939234001158,-0.860950740294621,0.6130650898833271,-0.6482220649280311,0.1595114957220085,1.2625439597595405,-0.8651810955590382,0.5757560081750595,-0.3456413549867178,-0.2673165141166367,-0.91553546988745,-0.9633166493995295,0.6987147222743731,0.8642129023875409,0.3745412501586735,1.5857883956991448,-0.8559014756636985,-0.8930892262055165,-0.7481667370685006,-0.951006229553942,-0.8149660250643935,-0.4706345279481176,1.0813902118370124,-0.8421835802914327,-0.7474406285949582,0.6460095773252011,-0.1758487258787335,-0.9269344300664292,-0.7165815588102638,0.3601566529433584,-0.8297087830459828,-0.3502615548914809,-0.07359374787594082,0.4897996869754171,-0.7886314812259346,-0.7245778060682384,0.8952240986215309,-0.9303542367371476,-0.554830486360433,1.328511548018804,-0.8673965335979534,0.17525976308163138,2.577016718354288,-0.6133316267323626,2.039661364011292,0.6766374088632562,-0.8452648290987299,1.2797073402002834,-0.5340199815829029,0.7064685126487431,1.3747699055848808,0.3636414815514844,-0.7906817799521376,-0.8387026469282016,-0.15304302240136292,1.033048306847233,-0.8249035972425247,3.7680420128006427,2.0401811322971586,0.2209947943117495,-0.8317265346425639,-0.48295009231771097,0.1998203513127087,-0.4647004305238941,1.8395743038065069,1.965975481119222,-0.8111792730578463,1.328511548018804,-0.7696398208837568,2.2939255143116193,0.6858577253133987,2.9599601511078086,-0.08935077723333472,-0.8585719378222019,1.9779955536666989,0.7458243884683642,0.5165369528869381,-0.6628988741471498,2.722534048146595,1.719640466637234,-0.14840273821591876,1.0348888570464778,-0.910919203922068,-0.8548261379403528,1.9335633505692351,-0.505604245156586,-0.7427633501779262,-0.36770296672830977,-0.7967080107894458,-0.7728986736953016,-0.550086207980735,-0.090483317383433,-0.3224685481710348,0.2818458061182959
NCI-H358,-0.7905798407111961,0.4598163775915227,-0.7396368541372459,0.8609404990950134,-0.18286179497571095,-0.7747461385755959,-0.8289773342853589,-0.4343996371369676,1.1021858235668478,-0.9319898171097186,-0.7435199760398505,0.4798874209004202,-0.726117722698293,-0.05201802325830348,-0.4248105610331739,3.2688072824663683,-0.7232608504086048,1.4746253607378723,0.6962010730048791,2.841512226231837,-0.9024020774181112,1.6246984775726634,-0.8956361341962167,-0.12673459073200108,1.3543955264596403,1.22011809741367,1.707660961932456,-0.7548922634792943,0.4407432715612203,-0.7142643471937739,-0.12681016025850414,1.074645067005422,-0.8517946538762851,0.6862087737292503,-0.4451195128494209,-0.12181406098850485,-0.9897698208117668,-0.945945787434313,1.0888070927628046,1.4008173747597084,0.08899317404952399,1.6204853316919394,-0.8901939494468699,-0.8820244318677416,-0.8496688406649724,-0.8262155976611717,-0.6660928714112917,-0.6299473443855863,0.5841041635027161,-0.8214902968472587,-0.7688009663038755,-0.5971960458260127,-0.15347757639587056,-0.8804582303789072,-0.7673554100216768,-0.05084004657742782,-0.8365145975712129,0.22820352238433414,0.1342594905040269,1.17495014016481,-1.031693693941728,-0.7413340386509834,0.7256082780497398,-0.8905332654668621,-0.6698401267193865,1.6695889372118118,-0.9580889531065604,-0.14898928590232274,2.4793179219143227,0.2176526932400332,1.8049673884143849,0.5194845797707421,-0.7894832640413467,1.2039487877348545,-0.6274539937162957,0.8647145917803994,1.4684661121345723,0.7616978368282764,-0.7835047281291616,-0.8045271964995928,-0.5791226308113334,0.7635144773996845,-0.7808319513735857,3.6348973990331066,2.085439428427057,-0.039190101288340655,-0.9189823448909504,-0.5997200941556217,0.16017204584220562,-0.5510019134617478,1.8869475448327644,1.9316286308543449,-0.8398275333214767,1.2430305175297618,-0.7587872454795157,2.642134797272039,0.9650403307370296,3.2132718705276284,-0.17130478088172274,-0.9021301666532604,2.3170606840486645,0.2338117958226309,1.437110526804835,-0.8086272003381909,2.1565153807355792,1.6358182521811806,-0.3916242677527833,1.2274596407423148,-0.8716785594350618,-0.9007629400538112,1.9529142056956148,0.13552792824866092,-0.8218559892033359,-0.5648923658015044,-0.787751465828264,-0.7761652997801972,-0.6977490274952566,-0.3679088328639514,-0.5759329734502039,0.4468019030751651
LS-411N,-0.8778509856947968,1.0048261019551412,-0.5293889715044825,0.5383013164311126,-0.0937640965309154,-0.6930801448667223,-0.8230115407543316,-0.2915745721927719,1.0832432643848435,-0.8783035289382849,-0.7015688001228284,0.9068095202148344,-0.721368756874927,-0.24251542886789626,-0.6497916729249831,3.110276071187982,-0.8267961689333675,1.3307944797542282,0.8810414669968051,2.2442348121410127,-0.8678871172669521,1.3113605638513022,-0.8598899414119151,0.262541870768577,1.1399004682978982,1.3836744421960512,0.8977517412016167,-0.7808894584119731,0.03558057234661713,-0.6811066521815935,-0.7957068252786834,0.6888740463011648,-0.8234898424536348,0.44207544837140905,0.3343585776701238,-0.23934690113325666,-0.8638109196627702,-0.9813893675697491,0.5824863876597179,1.4936908211619286,0.10186495322829417,1.5815184370964317,-0.8285558755496868,-0.5308419376231645,-0.8364645047765931,-0.4499159028917398,-0.8146630114608698,-0.6453596158750179,-0.06156008364084086,-0.8283359097950903,-0.7902583341152686,-0.13792464342721944,-0.28136081987855865,-0.908878390128372,-0.8044100441668649,0.6597501287283546,-0.8145502558515936,-0.08130942838191382,-0.859127028820533,1.075511927242641,-1.0117112121695324,1.2483693729004552,0.04627198872194553,-0.9224986414655866,-0.5697847240523953,1.1239424947943841,-0.9491832549588516,0.9875848651822692,2.6887935525438094,-0.6287648665435233,1.592275461308814,0.7127050490302986,-0.7835736997112148,1.1586456558882074,-0.5022829096864414,0.6666491075908056,0.6316324134649066,0.2836959920875529,-0.7748579726644848,-0.5323196204291053,0.08765926911544167,0.9488788038957008,-0.7966339026537006,3.5833569055260885,2.0074249861326185,0.7081041907948731,-0.930336361996706,-0.6501036902369846,0.025739672374075047,-0.3299982004522849,1.8758587589874651,2.019553040187649,-0.8575520421495847,0.924926585638294,-0.8312543395559926,2.3892802421892445,0.6144815969314342,3.3202321639297527,-0.3146010378274537,-0.8030834034674081,1.9341225688423955,0.39199464266985096,1.0962460863638446,-0.7259210237511645,2.7207517149905325,1.4457649319830403,-0.16964189192464293,1.0462840168461314,-0.7813127595403908,-0.8204930137133951,2.201801686746017,-0.4925245716059354,-0.7392866882157767,-0.6042487759118228,-0.7028309732432251,-0.8256058565733191,2.1867266946306816,-0.1335312085708547,-0.4896275972834571,0.6731056635774512
NCI-H2452,-0.5687327375899982,0.9736498701251388,-0.4752251367384984,0.6218675725405577,-0.8947842238956514,-0.7355123191706354,-0.3634167332155019,-0.5343272389478995,1.4373513861735734,-0.958835852277004,-0.5642614871633165,-0.7390882013615749,-0.7333464060463272,-0.2078611696528301,-0.6172414110572932,3.167899209491457,-0.3753643941962525,1.1393357611865211,0.9289863235640958,2.4294457728244048,-0.8660532812056471,1.1233038458349534,-0.8227859923525577,0.10125399099783336,-0.15083903859864428,1.541969713444365,0.5879673768544635,-0.7721226196456766,0.3887832895098151,-0.7601685422060952,0.6657300109636147,1.3990438590186811,-0.7620606139492843,0.7647956764968659,0.7401293849268438,-0.379635693592285,-0.7144195788467004,-0.9800004702621736,0.5048607535375785,1.43651183895553,-0.4717423475538564,1.4342255465689182,-0.7933683016849822,-0.3916734024096639,-0.8062418071149539,-0.8686806210307104,-0.8154410042531851,-0.5945911846368669,1.3020288078727995,-0.829369421588018,-0.7173648541837088,-0.7855108350756147,-0.0690304360844752,-0.8482765613470965,-0.6619846968409462,-0.03338225888619002,-0.8497532105166448,0.10019246927535053,-0.937323052469088,0.1874060855868223,-0.9235011203184499,-0.7872189259290733,-0.7720112528458776,-0.9787503029847696,1.2310267247401454,1.1831796288391776,-0.6337122050691539,0.8267590771175902,2.42997293920123,0.40004126327433703,1.9844742178965693,0.8094516987179663,-0.783535283218563,1.7130923259067246,-0.6361981862030793,0.1443751389990612,0.4927726409867168,0.2927041582864301,-0.7887609803287435,-0.7751424944695822,0.5342620549659948,0.5901172051178053,-0.7673651838681615,3.616943143877368,2.3405136090195886,1.1931770656516067,-0.9205869988758508,-0.6112860676101867,0.20252339026486746,0.08778394455472703,1.349353203614953,0.9191310614354068,-0.8040671054172674,1.6313030916523237,1.1423573230427502,2.597652318229152,1.2147071988261764,3.292519218651908,0.0043484984232475725,-0.4601864069670889,-0.5866613282892751,0.4563411432714843,-0.6270368776737059,0.6033624576262524,2.9035893667150847,1.5285684573979672,0.1627791346669145,1.6285473102434969,-0.8155205232873151,-0.7947195687804426,2.1959186990872066,-0.4532418561350469,-0.7695363903050214,-0.7361175909345432,0.9912911837828002,-0.8073202130380953,1.131380839896117,-0.3594155153435214,-0.5160784951241312,1.2609774214050695
UACC-257,0.6917398403728523,0.3148895621110214,-0.3082488791560929,0.6186713561317754,-0.9979648050411838,-0.8111974677430309,0.5796558573435545,-0.5070015413400689,1.0739228668560823,-0.909401641248614,-0.6214246400940756,-0.7642602878770781,-0.5220061902766634,0.1034372484054456,-0.4156948757425929,2.5447876947786305,-0.20350358457046905,1.7438123860969132,0.6118720564702137,1.9911123016768,-0.8908268996074252,1.3086589816645184,-0.9000190542030958,0.3043246212159412,-0.35974195476635074,1.1034747865187582,0.461570293006893,-0.7857210798480393,-0.5501534386937234,-0.7802853166927273,0.1964093093642431,1.2370027862820006,-0.7809709074155805,0.2369535329682387,-0.14770226043711215,-0.105421681001103,-0.6420546453876597,-0.8528677863900334,0.01941509342854737,0.4675051429688637,-0.6868762519864415,1.6023168861037729,-0.8449925275004037,-0.7077528447883098,-0.888129940412544,-1.0412504360349504,-0.6918065237414436,-0.6525001189351965,0.2267703698636608,-0.9789164064613158,-0.7916100842576538,1.007954594430061,-0.12096196340846135,-0.8242444378587445,-0.7670166289747677,-0.2202209315260083,-0.6537941516128597,-0.5030246240113396,-0.9033097032040754,0.02260955727128556,-0.9653733392447594,-0.7746963467460529,-0.6640823870135864,-0.9233267507207416,-0.4680581150726811,-0.25995940185458344,-0.8861251506827943,1.2353066689723506,2.3980299837054075,0.6696708431224755,1.1128124608186605,0.5527639555982773,-0.7315298695396689,1.5713551462319568,-0.5420709531276195,0.8255515236177172,0.8088610502037482,1.1127853853387886,-0.7685421056407541,-0.8593779219829989,-0.034155866629153465,1.0109647793832102,-0.8560065328617077,3.734232260423753,2.3050953119010136,0.9897057775020668,-0.8898547056344818,0.7225662755616236,0.4105482556216533,-0.3246229536941263,1.358511560998651,2.5880288683142822,-0.7846132278000238,0.361627007859908,-0.7791876657710619,2.0991224689508146,1.0801914921142963,2.9084226489081333,-0.08538170283451729,-0.4332341838380471,-0.41036861316806217,0.26879147155086625,-0.8195178894285836,-0.8133210235942038,2.7662245055215413,0.5034236312080679,-0.19576820824959795,1.0792095221970226,-0.9598464259570652,-0.8239389005770903,2.3613011013151404,0.4143230706898874,0.10240922914486912,-0.8633385786468519,-0.8119008767420165,-0.7952925287636338,-0.2154829504237554,-0.5820584712769954,-0.6381829443982253,-0.2262716176513865
H2369,-0.5923832746486467,0.6141442403978189,-0.39200257384914106,0.963416231248386,-0.9283562340740584,-0.7512706575151479,-0.8273844585442408,-0.5607003313690605,1.2508182690248852,-0.9081421572911896,-0.6665037320557134,-0.6676378478796152,-0.7442463504479109,-0.15119158549319922,-0.6524623508563833,3.3937457650117815,-0.07910532007774926,1.1337516076882892,0.945827742255872,2.432821180489138,-0.7900244727399819,1.2368224046462282,-0.8402559934325345,-0.008694208261554183,0.0809953875436318,1.420275350783095,0.8620638067442004,-0.6791101079758283,-0.025607086884264173,-0.8924688210233819,1.309069422842029,0.98391524428943,-0.820660210893078,0.9639639000996012,0.8422939935679746,-0.4560980575094962,-0.8964617531925972,-1.0524175432404872,0.4989353440646108,1.7503355841157653,-0.7117733631639183,1.2820857848245335,-0.6857061157192262,-0.6899037017536511,-0.8614911006988264,-0.8719044547481164,-0.7043760631603744,-0.5182370606205001,0.4461330819140974,-0.7763763504600626,-0.8050701700098667,0.2778623654949295,-0.08953463563842731,-0.8562143837437188,-0.7074309775462814,-0.051933138439117385,-0.775919823797341,-0.32850586303632456,-0.8355394707454823,0.9303067281194436,-0.9420292792405954,-0.7500045465141337,-0.7297920674528735,-1.0238665735823926,0.880028951099916,0.6767391198124741,-0.8195224372613085,2.118573940182283,2.56291969253438,0.4961839113322444,1.7867402506454524,0.3926891638648465,-0.7666078629955184,1.8503783023136984,-0.6424877379044716,-0.02425076950972589,0.4228808153200516,1.0043758284074809,-0.7791641571100929,-0.8207877334658737,-0.18621512538980656,0.44500740874863853,-0.7572152442737947,3.4447953907626347,2.1027964429970063,0.4120349900412952,-0.919820654655235,-0.5033272283489574,0.20018535530727105,-0.29273024754126337,1.869179938228534,1.461760634841589,-0.8106506896409251,2.10951204013349,-0.1973307739306996,2.625648552384161,0.9346725516063614,3.3127344525558606,-0.09114598199196096,-0.31286779627670824,-0.451811028626791,0.6739571225133162,-0.6782479882045941,0.17390584969241613,2.821717945768678,1.5157159965570774,-0.21164382369364865,1.5905035514662869,-0.7934786420048823,-0.871904819651288,2.0259994531597103,-0.18753103551187872,-0.7090512672608373,-0.5776987807093077,0.4131210582793629,-0.7903577383446687,1.740050017771449,-0.4680758230502072,-0.6078801058666607,0.30193958439362384
H2804,-0.4811691709425545,1.0374954629798434,-0.5719380852432012,0.8841885442018997,-0.8079104473464265,-0.7956046598777171,0.5621148032651124,-0.6248044160372997,1.413491765856407,-0.8819024989487478,-0.6396496554452383,-0.6363444479214185,-0.7147949873060852,-0.07058561604041526,-0.6048940168676246,2.9792442308576064,0.19688997202868425,1.5529699611461252,1.4238788228353891,2.4693826697994514,-0.8493253423609433,1.4026002990590285,-0.8540317734212125,-0.08226329067091198,0.25246582282398805,1.3607405257390384,0.71502459917081,-0.7536604111168099,-0.5803682182224754,-0.8823261802189325,0.7870270250326533,1.2286983163664948,-0.8186465498806296,0.3230268314599132,0.13865657513394264,-0.2863997279908245,-0.7657964932741853,-0.9686738391876026,0.5909915483618288,0.3435428047143158,-0.8018763360801439,1.3881100410006737,-0.8400099008282762,-0.7216579507280882,-0.8505390003974966,-1.0563537926422857,-0.8435806174854665,-0.3444063965508739,0.7098011570695331,-0.8926122042564997,-0.7125745272609917,1.043735724517511,0.05946878180403752,-0.5846225301989539,-0.7046985528251593,-0.2440227966928576,-0.8288123207029022,0.2425843506999755,-0.8495843757065901,0.7209635852801809,-0.8771587964079776,-0.7055261959651329,-0.7745359042364215,-0.9612993647590062,1.2355153491287525,1.4118186189287196,-0.9231948880205668,0.022625771340851832,2.3943830700242965,0.1064332859298268,2.5378695042446755,0.7739922524966268,-0.7279161867896468,1.8062763374135016,-0.6451834118942862,0.10073889385384684,0.4341496622320348,-0.2611623181973883,-0.7424515994968806,-0.8234678737118987,-0.3085871120207917,0.5277760602247915,-0.6732398340671452,3.6792829724544704,1.6648229974807618,1.4435399452741482,-0.9206001042106544,-0.5045872737686913,0.4046641081413869,0.4257251427041481,2.084716872703026,1.2310694005799854,0.08741339963730926,1.1000659639453318,1.00549916521943,2.6627091595747623,1.0014732961483988,3.056593541027423,-0.06811964085080753,-0.7525829627320104,-0.21866028751922356,-0.1257322786434493,-0.7063121838519759,-0.7525294505838509,3.075515978263032,1.2699717501101562,0.6110604195115704,1.4665344439720087,-0.8700260130892811,-0.9050146895668648,2.4243450424407778,-0.1480912749510988,-0.7760680472345683,-0.7496248056348814,0.9588432048509358,-0.7673173657476449,-0.1006191196692158,-0.25173568440944616,-0.5333592367353974,0.32584681454168657
