,F2,F2R,VWF,KNG1,FGB,PLAT,SERPIND1,MBL2,F3,F5,SERPINA1,PLAUR,F7,PLAU,F10,F9,TFPI,F8,KLKB1,CR2,MASP1,C9,A2M,CR1,F12,F13A1,F11,C8A,F13B,C7,C8G,C8B,CD59,SERPINA5,FGG,CD55,C6,C5AR1,C5,BDKRB1,C4BPB,C4BPA,CFH,CPB2,CD46,PROS1,SERPINF2,PROC,FGA,SERPINE1,PLG,SERPINC1,C1S,C3AR1,C3,C1QB,CFD,C1QA,C1R,C1QC,CFI,SERPING1,MASP2,THBD
CAL-120,-0.7290787972360508,-0.8547891633717574,-0.7110280620178625,-0.924416245364217,-0.8535466531433203,1.7661252055446117,-0.8223757811477961,-0.9513529968729824,2.42011409804096,-0.8382835611669864,-0.9299330450595292,0.10681855506165558,-0.7970378841539599,1.0513277954497582,-0.8654994979828952,-0.8514463726237386,3.3132514431610467,-0.11943613124591845,-0.713512532931389,-0.864807910418684,-0.8104125040830317,-0.902098518505618,-0.7618001575631048,-0.936335401104,0.22287500678900374,-0.8536292329492596,-0.8547880087848249,-0.6874397418100604,-0.949713294637313,-0.8184085840547948,-0.6870249498582897,-0.8397500512520506,2.777370162470888,-0.9243178156909378,-0.8899259045488346,1.9951313139095888,-0.8276153516919179,-0.8665601698678936,-0.3168811977530904,-0.9055087661543788,-0.8652089455899845,-0.9126349049056084,-0.565062112235694,-0.869979139242685,1.5430312537349424,0.6866303741138812,-0.7353172533420932,-0.9563311785799342,-0.9380380615366392,0.9050634463597872,-0.8701319937237787,-0.8409350787005062,-0.6680743724385251,-0.8804900742340457,-0.5605192666672205,-0.7625079493773275,0.117988538100248,-0.5646916677041398,0.12876223669698622,-0.7719244633344596,-0.7629353121331565,-0.9077349139365412,-0.6914318767070236,-0.400165302630848
ETK-1,-0.7266701530556567,-0.9633750836077072,-0.7364862859036905,-0.9471017673191492,-0.8485421775825452,-0.3114127957796057,-0.7392686633744292,-0.9613089650709712,2.7593619514893217,-0.8565574398549541,-0.9162136526064149,0.8659765492047043,-0.8305644575935185,1.7543873656783204,-0.8152931470492929,-0.8203941316051004,2.3641579076687567,-0.07518976182538249,-0.6047484478514886,-0.6791677045144029,-0.7957439434031971,-0.9556244734957772,-0.6742150090858577,-0.9839804166852228,0.21574319488276827,-0.778410406549499,-0.9997587278432966,-0.7166253691970201,-0.9697821733988864,-0.8667707278004868,-0.672370108521915,-0.8247503644512333,2.318514361236,-0.8473499676540999,-0.931999139096704,1.9486810339199463,-0.8688448669070363,-0.8654162386844321,-0.5260444953021469,-0.9214071502547676,-0.2834040196930134,-0.9047034536812276,-0.3758120974383168,-0.8299939171619971,1.5844344845784741,0.1934154012572343,-0.4311039704125987,0.4870924549009434,-0.9634845533608204,1.5874040964175269,-0.9306019801817484,-0.8489816166096069,1.1536373518411631,-0.8467316184709566,2.0923273601750667,-0.8021763531134791,-0.6038024593102093,-0.4716364689090851,0.9909124924962448,-0.7147124081723614,-0.5467346902344749,-0.7665954861486489,-0.7515150274977822,-0.4455628078002089
H2731,-0.6236008812260186,-0.617597077912701,-0.8073776921325054,-0.8603567701245023,-0.8461478427420841,-0.005086368642588084,-0.7862751960508424,-0.9263172795906852,1.5454595883579418,-0.8221114513692281,-0.8871476707796387,0.7275290886850296,-0.7792609762601104,-0.071462596426591,-0.5695198842937621,-0.8201264333711835,-0.06454825345923555,-0.2305876065185268,-0.5956113308658174,-0.8043764768381026,-0.6911897073374993,-0.9434948297861436,-0.6068845150586623,-0.8230564578015581,0.217303761413722,-0.8312440393406185,-0.9176242955288648,-0.44436033850377016,-0.8993125692196606,-0.8022634207863729,-0.782980055614669,-0.7296628048089011,2.00342663980952,-0.9099461531747914,-0.8821441464380583,1.5637976284622066,-0.9196104940514638,-0.8046633299477242,0.22638171921038003,0.6248720642182749,-0.6997849797200358,-0.9121698543419396,-0.4349382265380562,-0.7987867083562356,1.3891925156711071,0.675125504603442,-0.7695052232314157,-0.4512960221501936,-0.8910274682012733,2.044123238374861,-0.7460096931892684,-0.8038114163749912,1.3924696930529967,-0.7944257779403721,0.06920071349822017,-0.7853371528145405,0.6543996222531911,-0.2837766511535394,1.4092141829369351,-0.7432652297124452,-0.6286271694526125,-0.8366011518587768,-0.7855220125855985,-0.5388005165565843
NCI-H441,-0.7401466696693787,-0.8808017079676891,-0.7905463335900781,-0.8837812197590662,-0.8212693121046175,2.772699099569371,-0.8470528658137224,-0.8818895523015964,0.3025061546407614,0.3830148791179537,0.9374288757598864,0.9784333158633312,-0.8099313146272349,2.377459234105552,-0.9479041833818694,-0.8573406396709349,2.115986638311133,0.12339810448582587,-0.4884259350934373,-0.8429247883667282,-0.7528004657631564,-0.8915082376951581,-0.7386402099630499,-0.8218930962352241,0.8788316592831665,-0.8445079764743405,-0.9928990075261852,-0.6663964493637791,-0.9125697333329876,-0.8343768337494688,-0.7195273068989618,-0.7381159568020289,1.9039755452724172,-0.5964658022802892,-0.6205849011701036,3.1957843806706467,-0.875392451031502,-0.8998011896631166,-0.36413883607495146,-0.7161456631254294,-0.11422459870822944,-0.7150091683067611,1.217623903495898,-0.7763264072078082,2.490363803360732,1.483736319602581,-0.6344120135708973,-1.008204582790947,-0.9054270389830992,-0.7397706343539471,-0.8070215524102529,-0.9084206300394934,-0.88702033700095,-0.9551011352317588,-0.629943797775,-0.8068287400911732,0.32667950319954964,-0.586184582992568,-0.2993402400139253,-0.9275257324795204,0.4880108653151424,-0.8049208435214862,-0.7476174642372749,-0.564029107180953
NCI-H358,-0.7213710387557496,-0.8058086347628758,-0.775519289685322,-0.937413476342546,-0.7733972182169702,0.867589761408693,-0.7399744984143276,-0.9661374853206024,0.3095120893545705,0.8858280932992562,-0.9437587016592704,1.08000442223488,-0.8499764933682173,2.4841490949376817,-0.8483606821588507,-0.834841421872,2.149041254325406,0.13376845866098322,-0.5943441826740647,-0.614476168696073,-0.7231231588593201,-0.986835411605306,-0.7620067622868192,-0.870732435410325,0.9938043387880332,-0.8132263150173124,-0.9682574685159294,-0.7354480717541697,-0.8861652158318186,-0.8040379193306522,-0.8442141459560648,-0.9143344221594916,1.663034615651904,-0.7723122879914956,-0.8809417993516933,2.6457947756993416,-1.0007199350675988,-0.8119595283999252,-0.31229229547734183,-0.9185370329675296,-0.8502851449940758,-0.9522412545040192,1.129929069051243,-0.7942688919096867,2.3557134885615616,0.6544745494066354,-0.7094365232786894,-0.7208797028316661,-0.9401575439373324,-0.7217576560104778,-0.7656075109752479,-0.941932760143771,-0.7862122132287204,-1.0001992808585136,-0.5044068411104023,-0.9066246512166736,0.3939666356540945,-0.4623817661558975,-0.33400161263535383,-0.8156108313811139,1.1681701975016523,-0.9036572508573082,-0.7800300868611719,-0.7286251974399042
LS-411N,-0.7308107219133835,-0.8718014708315655,-0.7746148776134203,-0.9447489442116196,-0.8325297380045029,-0.6632481964387423,-0.8299904463383796,-0.9031002127403664,1.06059140355647,0.8232265928051253,-0.7885321078965692,1.1868949104999695,-0.7796354585277044,-0.6302066894840281,-0.5135270876253065,-0.8135671675797719,0.2684300714931569,-0.4380884959361971,-0.6907968267859831,-0.8209188709432677,-0.7869497941663491,-0.8964127484989567,-0.6645842967481059,-0.9138886953113556,1.8691051852139804,-0.8435612615267246,-0.956387927001684,-0.7344943258235942,-0.8438787919352615,-0.8200681964025117,-0.5554561181858043,-0.8554037128594271,1.8816404732097742,-0.7914002215771502,-0.9180519598901484,2.367489030615914,-0.9449505248088449,-0.8475537708526284,0.8850198567289999,-1.0271964021565876,-0.722805939714473,-0.8262793999416919,-0.7718205084770747,-0.7741128922099709,2.1948007176784268,-0.4581328003585426,-0.701637007526159,-0.08718672267287994,-0.9298351071721821,-0.7182014142502784,-0.8473742264578336,-0.8833313208515178,-0.9057322250447212,-0.9350052338933288,-0.9098196615421668,-0.8655928705577964,0.5275263860991868,-0.41241285817786016,-0.6618359268029385,-0.7623076684974269,-0.5795541174566509,-0.8472130639836679,-0.755975776094148,-0.7996163445378136
NCI-H2452,-0.6932936238307142,0.2755134103939821,-0.7995003866316747,-0.9483800709399566,-0.7973665169447307,-0.5524432539886797,-0.7762894692132101,-0.9316091826965672,1.8321435875435064,-0.8027948189118392,-0.8241106971310267,0.8012538202562217,-0.8158107576082406,1.3280155271988447,-0.8458654637247041,-0.8031684764491841,2.2245754502866144,-0.4730633539985099,-0.5340496094922821,-0.8039815830089965,-0.7609921868200228,-0.8734771499775908,-0.6835898305600017,-0.9379360007620344,-0.27113601470966536,-0.8388679885561827,-0.9454124510980556,-0.6818232491348165,-0.8797830177568167,-0.8388021660781424,-0.7562813727150429,-0.7763503096956035,2.688424218768669,-0.68324144196362,-0.9332535016928488,1.134734896071066,-0.8699565864415585,-0.9101924498271688,0.32932996169574075,1.5381895601803115,-0.8847748686878811,-0.956683740714636,-0.5208771537931985,-0.7807629233750136,1.5153187914057262,1.0402955972723962,-0.7348109587269107,-0.9513510773361872,-0.8769262531003056,1.944396185705808,-0.8699109801339671,-0.8285702895953801,2.879893200607768,-0.74198053385887,2.7172369036563198,-0.8372871800589027,0.35555391097974604,-0.5239246021358118,2.289393647744957,-0.7582350764164428,-0.4742449612444632,-0.5642907944350122,-0.7228703780084963,-0.32572527908713034
UACC-257,-0.6789614187476695,-0.6570366387921126,-0.6677038609736984,-0.9007926478776932,-0.858529197533889,1.6913590229997535,-0.7124744554564721,-0.9041791795926236,-0.4980274694572184,-0.8176614067074189,0.16395363318068346,0.6555702492664176,-0.7887814316479304,-0.693730734994155,-0.8687183497764841,-0.8454504188935735,-0.7210708082307822,-0.2628045365202573,-0.7225119237818683,-0.8839735596816564,-0.7660421530063862,-0.9768827659546544,2.7805906371280917,-0.8956806344303845,0.6150335311903444,-0.9025565738457848,-0.9397613910017178,-0.7533308460321368,-0.9401999041916932,-0.8282465835803136,-0.7142709967760484,-0.8889453858001098,2.6116925496360373,1.0944141372944656,-0.9134541951239321,1.018681903909027,-1.0270909586375805,-0.8624776480463759,-0.7632094028091564,-0.9291221868331312,-0.8470716175565595,-0.9886832084517904,-0.7051663351915946,-0.5201073273755534,1.3450427385291517,1.3939538194384784,-0.6227113877085669,-0.9354698950207334,-0.9053406754388228,-0.67388930664134,-0.9119303728699014,-0.9785117795372732,2.2871856633187617,-0.051082833878464316,-0.687225451015197,-0.8389262791573014,0.05305776480047271,-0.4046485519161601,1.4684880464401902,-0.8411613679407848,-0.5136038316621501,-0.9036010033723184,-0.8064847090125215,-0.5274346980111232
H2369,-0.7076939470954314,-0.9105840749963108,-0.7894661884397934,-0.8800352724833749,-0.8436454233319665,0.9608782012811944,-0.8365014257149427,-0.9012348940709888,1.8195911612156936,-0.8873568204361132,-0.8186257274408262,0.8277556100918496,-0.8197834247857633,1.238364466049342,-0.8052378296220206,-0.8692319348670657,1.9762729131901329,0.4433902978488004,-0.4841393087081209,-0.7006677660887424,-0.7192535109682952,-0.8331239087493059,-0.6703805811356104,-0.9640993390060472,-0.18021342019914413,-0.8624531545154753,-0.9473670227868763,-0.6645618808902231,-0.9699355425941985,-0.8269872568229657,-0.7302655889034324,-0.8266332490134409,2.371140337790879,-0.7754275038287106,-0.8947594526449891,2.5047305976610517,-0.7911127091495521,-0.7506171547347078,-0.07120803021043097,1.1032469681590698,-0.6308928112190616,-0.9618707363045784,0.8375082681491919,-0.7136536371501588,2.0590763953781797,1.4264026265455372,-0.7091821266190904,-0.9727120594172418,-0.90327001263952,1.9325559968100403,-0.8566852483296665,-0.9448923649530164,2.7818222875488567,-0.6449015086417884,3.2081601967932336,-0.8789218623739943,-0.3444457569138353,-0.4837905698232518,1.9268962765622542,-0.8277417846631131,0.642028114401381,0.6819019546448611,-0.7674402177536189,-0.15883884555497227
H2804,-0.6026051512350458,-0.34069649890091325,-0.8100803606150626,-0.8604909540528571,-0.8480619346809884,-0.5692107693383581,-0.7737863429425087,-0.963465365371669,1.451955420372425,-0.8385067149740841,-0.605802157589262,0.8742084470660496,-0.7592552736002379,-0.6907587279989085,-0.8739626721347522,-0.8349597814428342,0.2043807475272919,-0.4012782699822553,-0.6726645404774486,-0.7915385103325701,-0.7246881119909044,-0.7899682440786808,-0.7654779927005391,-0.8545133956116331,-0.06409308760451507,-0.8740710487103627,-0.9585695679152798,-0.7457266032084003,-0.941971555058708,-0.8373729699855654,-0.7055869204225722,-0.7251474640469859,1.7812727741325425,-0.8773198429992449,-0.9305273150579972,2.8076995763232118,-0.942252594511328,-0.7664088595202971,-0.4655863805011933,1.9728466351002982,0.4939975327452738,1.7630514595007147,0.13255874878372734,-0.7120295187581059,1.6663699374908492,-0.2353474525449236,-0.7556617743660298,0.32828114455916513,-0.9071617757182148,1.1219459475712918,-0.8549892027715119,-0.7844921893181162,2.8595443526370987,-0.8848539341387304,2.1337339930703,-0.7441043263185018,0.34305315379608275,-0.3596048131979261,2.5456393520772327,-0.7988860484597111,-0.33435604517679873,-0.9284252834547164,-0.7033335593534447,-0.5843796516546745
