,TRIP6,CASP8,CHUK,TAB3,CXCL1,RIPK2,TNF,BIRC3,CCL2,XIAP,NOD1,CARD6,CCL13,CCL11,CCL8,CARD8,CCL7,MEFV,MAPK9,MAPK10,MAPK11,MAPK13,CASP5,IKBKB,NOD2,MAP3K7,CASP1,CARD18,TNFAIP3,SUGT1,MAPK3,PSTPIP1,NFKB1,NFKBIB,NFKBIA,MAPK1,CARD9,MAPK8,MAPK14,MAPK12,IL18,RELA,PYDC1,TRAF6,HSP90AA1,PYCARD,TAB2,NLRC4,IL1B,HSP90B1,NLRP3,NLRP1,BIRC2,CXCL2,HSP90AB1,TAB1,IL6
CAL-120,1.675941232294397,-0.09970353089763187,0.5166852250413664,-0.6014091302853813,-0.5795205617518083,1.6089291359406528,-0.7960448465884994,0.1259893164856586,-0.8120278835665644,1.115557094824291,-0.3320978892552974,-0.8141711453816357,-0.6513164179272473,-0.8934382553497863,-0.8347916376383051,-0.02336734031205912,-0.9150654391404688,-0.9506479313942544,0.41549824167551397,-0.7725418357065711,-0.6856681132324752,-0.20671144389370147,-0.9251125877521544,0.7853695563017683,-0.804174314105183,1.1882574970739932,-0.8122610559914114,-0.7978428377794521,0.6186794366326571,0.6724944155583512,0.6544469534894845,-0.7086264561451083,1.4046785469175604,-0.4434575404816248,1.6043266203368904,0.254584764720762,-0.7933318670898538,0.05289881033707378,0.2661296077443237,-0.07212634530282812,0.2719805730119004,0.17742717424225202,-0.8273415166987663,-0.34274408287749386,2.1947939784326485,-0.7494609155127181,-0.041377614946418194,-0.9221716965234156,-0.7667418437688517,2.4858144571718466,-0.8103967206340102,-0.597105741861404,1.8174222346300224,0.7820148339122756,3.018083222777858,-0.6811270595938386,-0.3737713803047819
ETK-1,1.9193534299346635,-0.1490011304985307,0.5239541577125508,-0.29244547436736146,-0.4799801046101092,1.6631981421392574,-0.7023522070818511,0.1387051445425817,-0.7857706239240803,1.1171978599094088,-0.12735847131056718,-0.426880789448556,-0.7862616458723855,-0.8686325574629017,-0.9004540161462002,-0.5495764823959153,-0.9543796576329748,-0.9398416559350766,0.23252535614873684,-0.6866703641770378,-0.7002220663907687,1.4992384159293035,-0.9776281524958312,-0.2222664049408303,-0.8848344052376251,1.2939197082530656,-0.05967800369364685,0.19128499505129776,0.2455403536188465,0.8342813786652403,1.1182205197694308,-0.7282472547865415,1.5244976134388952,-0.1629994792273173,1.8917337079863108,0.3975693338555972,-0.7646735495275653,-0.06189087109587045,0.3235601864751037,-0.05439148075713941,1.3878565006329928,0.22592445980755305,-0.7538504479205218,-0.4764393716980545,1.6402064070308109,1.5867457642804328,0.5547115398935378,-0.7994452186314712,-0.44400653152937497,2.2845966365958206,-0.6025033553064829,0.06858444887827535,1.4644635849936667,-0.07153497420561547,3.208945501824549,-0.7174252570414263,-0.1965722444884984
H2731,2.388633220958525,0.1824777109212319,0.9321636329647176,-0.8241339525270565,-0.6124126897066364,0.8626641975633186,-0.7348817399151673,-0.2762867642574724,1.1054746592779463,0.9771943877972306,-0.36855557973862624,-0.8301146682257945,-0.9610080940253224,-0.8618169720147444,-0.8583236122895469,-0.5013577020911522,-0.8160434176091158,-0.9594020864689956,0.7054452224023271,-0.7601163252707807,-0.4686436049320844,-0.7208695298833155,-0.8326806960414439,-0.14990082944574756,-0.8735657830204029,1.8740611800474416,-0.5596832933526007,-0.6900890365391282,0.2998596640787387,1.1383515456323003,0.3118671424176911,-0.7675785214790836,1.6759030277451683,-0.33691879946220504,1.6566352613367126,0.4667006303610834,-0.7044598740914872,-0.3113054403255434,0.4521366517667533,0.6666704728877562,-0.4919453344316858,0.00876718148268978,-0.7969933234409823,-0.3560044821153663,2.163648345634213,1.808284785635375,0.6609644942912379,-0.8644995239488308,-0.2878233522389346,2.029637800093031,-0.8443914713703343,-0.7431440529656548,1.5638282271584738,-0.2644626900643618,3.314827156706928,-0.7492307518888087,-0.6020014852698086
NCI-H441,1.8906886327672456,0.3089523012616001,0.5561089125342571,-0.7064208382969,-0.5093705282408381,1.1222948643895796,-0.8085461427863829,-0.1791115480996048,-0.7594571306548307,1.586274786305892,-0.06383000468645651,-0.6799450254975784,-0.8741379863995069,-0.9068360811758004,-0.8553759147211902,-0.2613124547589954,-0.8219916580000723,-0.9481178598597769,0.6951323573052699,-0.9083686048427996,-0.4511159265601075,1.652648570389608,-0.949190043521888,0.7690312459708287,-0.7756590857923383,1.1770352324169313,-0.8612934274124465,-0.6832547910393528,0.10909294428579372,0.8171440574940351,0.8829574758666384,-0.7423723359506849,1.6885368679713544,-0.38188165768696825,1.6625748981344504,0.6704127006499002,-0.8112770305301699,-0.32726911965707123,0.34129450765135844,-0.2988925070410021,-0.5516478064079121,0.3500745034258357,-0.7827317468082703,-0.4093712019818891,0.6216700529942623,-0.8066536714970373,0.3277326929363089,-0.9156829718850537,-0.7646009139374927,2.345765154363105,-0.8542675950159067,-0.7995027476592045,1.5314841827018104,1.4279798366835694,2.911984714682516,-0.6030962433662154,-0.6521247317943243
NCI-H358,1.1564809943664356,0.237091339351624,0.5403676801635996,-0.4155281841581792,-0.6109770233690921,1.747545554225316,-0.6749680092768712,-0.2743724466838799,-0.8437223860052623,1.8020505320399476,-0.11704005941741333,-0.7301369988776243,-0.7446382947382938,-0.8090573499095013,-0.9343393538461444,-0.13102029906355553,-0.8755182253927476,-0.9373786410248159,0.9786930455857376,-0.6928921167528485,-0.7156648437261258,0.9493846457945164,-0.8615565581169059,0.16141018418366074,-0.889389714601669,0.9622333774028284,-0.7008736204161491,-0.8750071251381716,-0.620746370332845,0.7919613064366651,0.5908614322155727,-0.7578791053466001,1.722068530552285,-0.3182464407166861,1.7699829477499964,0.30552863757628834,-0.8506296945814197,-0.3425528615569144,0.3945532510847872,-0.2560965802292562,0.7578556253046622,0.2051817638160682,-0.8209659135457333,-0.6672691932166179,2.0604622736887293,-0.7402863665522604,0.4862651646153981,-0.9574753044497716,-0.6298209136740572,2.445512155115073,-0.7841030288928672,0.5079099233540088,1.8634154394187232,0.3353073439090103,3.141871590255158,-0.6060915505617098,-0.5511876418501324
LS-411N,0.9500636803786322,-0.2338569292705988,1.1454809662876608,-0.6412769794660681,0.2438910471566884,1.3085677682339965,-0.8362563767125443,0.10429397695262163,-0.7649014534907144,1.5080675301020463,-0.0842262795374678,-0.8055897677564147,-0.8069721465415581,-0.8178026656066434,-0.8128914056559035,-0.234412314907174,-0.8279200809169461,-0.897385037149653,0.4134818691378309,-0.8276983363413841,-0.5470153791969675,0.33180756067464146,-0.6406435633763597,-0.09434969114365796,-0.6907554038857057,1.3234029196112274,-0.8753979564416832,-0.8044344713969044,-0.31045433935698635,1.3510676435736058,0.4836942612484981,-0.6316628655260634,1.9274742460604932,-0.17607397952838502,1.4571389097525504,0.5281396400601249,-0.8318775335518398,-0.05129340966893639,0.10766455646165378,0.27356411640083994,-0.4830112558252028,-0.12575313564745538,-0.8281208555653952,0.2056692750798685,2.572517546990152,-0.7690903206993115,0.06974437522583213,-0.9571833697756916,-0.8219408472839309,2.4229364365192443,-0.7930455449653221,-0.8627536119704121,1.4703302909154137,0.6110729625834478,3.0949931045226493,-0.6441499635186866,-0.8756833709705798
NCI-H2452,2.0037010426483297,-0.5504474327643829,0.8335748759741254,-0.6534703404594838,-0.36743617816031904,0.8731569849605733,-0.8109661678998319,0.057070211080106965,2.036347890351164,1.1411356109631348,-0.3155788745913272,-0.6323323740694077,-0.8006641243797806,-0.8674725536981313,-0.861887656089597,-0.5144587192794745,-0.7840060448006684,-0.926950833122712,0.5452651818438474,-0.968519916012312,-0.5017416438869874,-0.3939960434735176,-0.9789613869484944,-0.05817698140061575,-0.7992597298748518,1.5941423121138667,-0.22429728074105346,-0.7741351229228046,0.2895952343379295,0.6178446624026683,0.3383250667796434,-0.7714566619013759,1.8671452599095533,-0.3755182444203927,1.5417467536427367,0.5485088606794144,-0.8344994898237361,-0.3579664114752496,0.1892486769078852,0.5229232475125958,1.0070813007280328,0.12648673917348285,-0.819558501996066,0.10861066157631928,1.4775282820666107,1.3831272373156625,0.4747044225738056,-0.8705341523886384,-0.2810064758570126,2.274776041856041,-0.8229700611326488,-0.4007558612593824,1.590163497031965,0.21476227456437905,3.0208258825470464,-0.7348546226575552,-0.7536820051533711
UACC-257,1.8101955440053212,-0.016975187062175982,0.5411284211981153,-0.6234443505632293,1.0282557265259853,0.9263368979658624,-0.8561805916353357,-0.8636282989720995,-0.7816868940212477,1.052623022027156,-0.2738529311406024,-0.6161848112810018,-0.5159508382649355,-0.8655918891199091,-0.9178682491274258,-0.2357663184334121,-0.8540447416321609,-0.9203155185600254,0.19850769147560268,-0.7810287062332645,-0.556972220769759,-0.6133351255929667,-1.0101505787018688,-0.2630518933393641,-0.9249019148615849,0.6590581368716922,0.5952314794168222,-0.7218833273656224,0.09489774774724133,0.653875561735521,0.4198127773087068,-0.7938612910523509,1.4221700404381803,0.03951084964031961,0.9123966398789995,0.7572535381033558,-0.8149286937804788,-0.5715990167442143,0.32497727602057064,0.05482263654381995,-0.7870413709891441,-0.11633637393946088,-0.6732112436781492,0.17230670727062067,1.161296461673266,2.4230129057185703,-0.1252924696081957,-0.9015609522509098,-0.8333947097096436,1.913098609193835,-0.7998627255376013,-0.7997337179947998,1.2950088718638906,-0.4880625025399648,2.906057052865749,-0.5347231209547104,-0.7433212368554334
H2369,1.6913765509408825,-0.16941712336643494,0.6751362027222036,-0.5372674155337581,0.6156343548320928,1.7141517306570513,-0.6524406428128969,0.7527658129116811,2.84831527604123,1.369298226211502,0.2279112687325989,-0.6767878078398597,-0.767319470370343,-0.8299138495443213,-0.8114233111355491,-0.2211370836338948,-0.5677041706016921,-0.9089963683635591,0.5676509489988268,-0.7942798885366557,-0.6905552603854218,-0.4493613879077095,-0.9215870737710172,0.06951338730415428,-0.8874540694408487,1.3614049983169572,1.4826998370451292,-0.6992156482364887,1.179650241331331,0.4753360139069652,0.26262041498512817,-0.7958966668665152,1.967446970617737,-0.4114681630941088,1.983322740846145,0.3546276216895768,-0.8716323898719395,-0.31128607220835897,0.4919243989200915,-0.008771997303482411,1.6220508283657138,0.1114131103707035,-0.8369804567414895,-0.10193301490313934,1.8452073920355532,1.313930154800581,0.4340703174914527,-0.7744700939822984,1.091827244419604,2.3679710548986566,-0.59443944859208,-0.3749274823714912,1.8259426418009932,2.3302104760831424,2.814090245440706,-0.6584573584571878,1.5933799242731814
H2804,2.370919301943313,0.04030725745712358,0.5183670561180405,-0.7747051503697278,-0.6315303543073718,1.1573768290198725,-0.7569817100754294,-0.09926989299343483,2.601542454001855,1.1290636023515128,-0.1258110111447749,-0.6484002409639543,-0.8114767692107145,-0.8671042458508401,-0.8368942387800071,-0.4981320856899967,-0.9099993770017291,-0.9954777747707152,0.9739827351301936,-0.8679387867631445,-0.5751769346543611,-0.7550530057797646,-0.9413583967304988,-0.10064538878499704,-0.8560787087121383,1.0917354482616135,0.1676350405615811,-0.7155403861511778,0.009610699838099479,0.8073352624739418,0.2628231971577309,-0.7260807493574153,1.8783926256508516,-0.28399117071767954,1.832623433103522,0.13328015511769925,-0.7839671477125834,-0.5772427068055138,0.06920177595775415,0.14300282052086305,1.2302521243023403,0.029063061578386437,-0.7346878054674393,-0.3115021192403104,1.5825132205986807,1.7084119548965726,0.022763050418231998,-0.8544213717431199,-0.123940785007638,2.3708959210573264,-0.7532903792890151,-0.7143161330408151,1.2743602683446544,0.7662689368470311,3.2592643771330585,-0.6605777455712004,1.1998812763519966
