,CASP10,CASP8,CXCL10,CHUK,TRIM25,TNF,IFNA5,IFNA4,IFNA2,ATG12,TBKBP1,FADD,SIKE1,RIPK1,MAPK9,IL12B,MAPK10,ISG15,MAPK11,MAP3K1,IL12A,MAPK13,IKBKB,MAP3K7,IFNA21,IFNA6,IFNA7,IFNA8,IFNA10,OTUD5,IFNA14,IFNA16,DDX3X,NFKB1,NFKBIB,NFKBIA,IRF3,IFIH1,MAPK8,MAPK14,MAPK12,RELA,DDX3Y,TRAF6,TRAF3,TRAF2,IFNB1,TANK,CYLD,TRADD,ATG5,DDX58,PIN1,MAVS,IFNK,DHX58,TBK1,TMEM173,IFNW1,AZI2,NLRX1,IRF7
CAL-120,-0.8994683858509454,-0.09970353089763187,-0.8252433897704127,0.5166852250413664,0.13793839458772386,-0.7960448465884994,-0.9589444796499303,-0.9341323782696423,-0.8997282229560329,0.29474927433852194,-0.7381886186939798,1.3371632117030074,0.5762849733721055,-0.0902221244237364,0.41549824167551397,-0.9016793329365927,-0.7725418357065711,1.7271494619077776,-0.6856681132324752,1.1196034056878348,-0.08153295019275793,-0.20671144389370147,0.7853695563017683,1.1882574970739932,-0.8698977003760783,-0.9299603279760346,-0.9301320775588748,-0.7327143067059684,-0.9408303331344628,-0.09164115862029863,-0.7066604670964651,-1.028274657656592,0.4456981683850075,1.4046785469175604,-0.4434575404816248,1.6043266203368904,0.7503725961151372,0.03858240412851231,0.05289881033707378,0.2661296077443237,-0.07212634530282812,0.17742717424225202,-0.8851590818532533,-0.34274408287749386,0.2391050384808645,0.01567863296285042,-0.6146269643148139,0.5822871804294144,0.6647635448418269,0.08974500754158768,1.0623448721463784,-0.4301464173747904,0.7458941290038399,-0.6336151890931954,-0.8870397856867822,-0.5357453126026172,1.766367862596311,-0.6519847995678955,-0.7734681988336709,0.4452063935079236,-0.2716180422505088,0.11021422206984596
ETK-1,-0.6842320957946475,-0.1490011304985307,-0.7377568144454579,0.5239541577125508,0.21048759523939534,-0.7023522070818511,-0.975692107756758,-0.909866035386338,-0.9804481182337836,-0.3345985377226185,-0.7268503439304459,1.6224629699072506,0.4596726265914042,-0.093503593760726,0.23252535614873684,-0.8573297545789439,-0.6866703641770378,2.208789932522328,-0.7002220663907687,1.4198735298404137,0.15664251132684048,1.4992384159293035,-0.2222664049408303,1.2939197082530656,-0.8021056806848386,-0.908967479374076,-0.897853916460254,-0.6878148912207644,-1.0328527390449147,0.3680772801676783,-0.6731264427428885,-1.0151136558137193,0.3534679454695824,1.5244976134388952,-0.1629994792273173,1.8917337079863108,-0.04294347891620212,-0.08611286468697144,-0.06189087109587045,0.3235601864751037,-0.05439148075713941,0.22592445980755305,-0.9138973873807339,-0.4764393716980545,0.12026705716795245,-0.07938988801521091,-0.7511240362035912,0.8167869531316554,-0.23438890730349554,0.5371169771324021,1.6348097059953346,-0.015953392369764362,0.37763361132468615,-0.3083502978409809,-0.9506415144269184,-0.21681739747910192,1.2017082787098212,-0.72897195323421,-0.9102288922120992,0.5710478952883663,0.07069565532843178,0.7650231115370488
H2731,-0.8782499858904889,0.1824777109212319,-0.6606855451973425,0.9321636329647176,0.047207065412145165,-0.7348817399151673,-0.8779545041606341,-0.8178021555875638,-0.8875686915006064,0.3595802375327721,-0.6209081528831308,1.3996629320517595,0.4874677365917248,0.26272198302292343,0.7054452224023271,-0.9279538964953254,-0.7601163252707807,1.6922040109025815,-0.4686436049320844,1.3589452618872897,-0.5284743872307905,-0.7208695298833155,-0.14990082944574756,1.8740611800474416,-0.8371017290047882,-0.9274242133288559,-0.7986246888870417,-0.7074814704545709,-0.9503586496371229,-0.13081816965793225,-0.7265939263301598,-0.8097560739724211,0.3690171711255224,1.6759030277451683,-0.33691879946220504,1.6566352613367126,-0.25569305712287016,-0.24115724161137794,-0.3113054403255434,0.4521366517667533,0.6666704728877562,0.00876718148268978,-0.929431249568708,-0.3560044821153663,0.5651846209423511,-0.11685094136297686,-0.7720768799585738,0.9964134863978101,-0.13129709582614987,0.10192288398174157,1.6567241160714767,0.17920584613140292,0.8447855005357615,-0.5908019507110431,-0.8638754905182273,-0.1493330503952948,1.7092070824403165,-0.5729534596434566,-0.9631159227013572,1.2925686163578385,-0.7135233941978906,0.6438095843244349
NCI-H441,-0.7173831035656554,0.3089523012616001,-0.6913171059071469,0.5561089125342571,0.1882965452181616,-0.8085461427863829,-0.9913286627632906,-0.6275425234800015,-0.8858115954316121,-0.08569296861200394,-0.7227877157816107,1.5413084537405763,0.292659182376394,0.2336350846480659,0.6951323573052699,-0.875359959640365,-0.9083686048427996,2.0281983354375885,-0.4511159265601075,0.8797652379154971,-0.5963809701481404,1.652648570389608,0.7690312459708287,1.1770352324169313,-0.8612371218685944,-0.9228653911916648,-0.9025911887616188,-0.6982584710052605,-0.9141343365712404,-0.2746846941329543,-0.7185091315259376,-1.0280881938692026,0.03944395528512833,1.6885368679713544,-0.38188165768696825,1.6625748981344504,-0.22276877435195924,0.06396058289524346,-0.32726911965707123,0.34129450765135844,-0.2988925070410021,0.3500745034258357,0.1184531095170435,-0.4093712019818891,0.19450703228671976,-0.2680764586146946,-0.7925727389320001,1.1132483004604106,-0.14951163050746072,0.5372123236221861,1.2098941230499152,-0.186971603205372,-0.0863428116361456,-0.6551551194640399,-0.8040042513077366,-0.16636901771905346,1.4167486631650332,0.4978241558722888,-0.9110291957616078,0.7764300531332394,-0.12608887527934898,0.8357275250999076
NCI-H358,-0.8185955741990253,0.237091339351624,-0.757186504320311,0.5403676801635996,0.3920083411091315,-0.6749680092768712,-0.9562142775676982,-0.8766944225670159,-0.95670835818628,0.2578698002580165,-0.6959558002268149,1.4606580283713546,0.6978928651169467,0.09567652108336007,0.9786930455857376,-0.8777040039472971,-0.6928921167528485,2.7677914187415262,-0.7156648437261258,1.3311859601321834,-0.6859959172081962,0.9493846457945164,0.16141018418366074,0.9622333774028284,-0.8380912282431879,-0.8695280167980707,-0.9899933751947304,-0.5918291939915741,-0.9331954693820298,-0.080620164614575,-0.7972338600892738,-0.9471637847408754,0.4026441114732366,1.722068530552285,-0.3182464407166861,1.7699829477499964,-0.18874804018398467,0.4187828523396319,-0.3425528615569144,0.3945532510847872,-0.2560965802292562,0.2051817638160682,0.8538233788184344,-0.6672691932166179,0.22347447842184665,-0.3540389235645296,-0.8119595283999252,1.2690973033334256,-0.2920600765669833,0.30907183389120885,1.098841258703097,0.4476997597401991,-0.3044596453396042,-0.6249910066398641,-0.979012927332459,-0.2232841665346568,1.4489319887934156,0.9702534150213408,-0.8152203585287368,0.8714224002362854,-0.3302133874439667,1.1311133836430916
LS-411N,-0.8501837920982159,-0.2338569292705988,-0.4255976590440868,1.1454809662876608,0.07079263992322754,-0.8362563767125443,-1.0321737804248452,-0.6637549245941133,-0.9884707789257088,0.15234661047763762,-0.6389780459543893,1.0825883285842617,0.6140386732853893,0.014106150892673013,0.4134818691378309,-0.8591932803068673,-0.8276983363413841,1.1899726041546157,-0.5470153791969675,1.0392780978751273,-0.6856742131265217,0.33180756067464146,-0.09434969114365796,1.3234029196112274,-0.9438548973270744,-0.9232367495152816,-0.8989845412170274,-0.6864710902396597,-0.9057322250447212,-0.04107980254572447,-0.7114142384701502,-0.9224999995100824,0.5628382350356661,1.9274742460604932,-0.17607397952838502,1.4571389097525504,-0.1500709952475851,-0.10809290446269072,-0.05129340966893639,0.10766455646165378,0.27356411640083994,-0.12575313564745538,-0.943826233664052,0.2056692750798685,0.509177766922115,-0.22167177816060185,-0.7379318282117454,0.7373328373190083,-0.2567113828716833,-0.10904187423631166,1.7616572803807644,-0.3722036344517457,-0.05524587818342806,-0.6207661268796726,-0.8427283039872977,-0.3982074801683292,1.6177392922145384,-0.6324750686129214,-0.950728590760445,1.1041116447263657,-0.17381387582419128,0.4740030550481705
NCI-H2452,-0.7973182993682975,-0.5504474327643829,-0.6744075305746919,0.8335748759741254,0.4970760425678804,-0.8109661678998319,-0.9318561027979628,-0.7303195559659362,-0.903962179321712,0.1569814373823205,-0.5628683583521638,1.4678725814755045,0.21020643753046508,0.09963602985781203,0.5452651818438474,-0.7573761859179963,-0.968519916012312,2.0398657325241145,-0.5017416438869874,0.9695415199183679,-0.58545163868569,-0.3939960434735176,-0.05817698140061575,1.5941423121138667,-0.8808796526031178,-0.9103354742719116,-0.8085747267250714,-0.7238040946584521,-0.880935222902002,-0.05950364890958856,-0.6456923040687255,-0.8948809439983146,0.2191576210261952,1.8671452599095533,-0.3755182444203927,1.5417467536427367,-0.3086470475078691,0.4218140085349396,-0.3579664114752496,0.1892486769078852,0.5229232475125958,0.12648673917348285,1.4338022573455125,0.10861066157631928,0.3492488050711634,0.1856947279874721,-0.7352258405435499,0.7425468999332289,0.963086987446218,0.43495077982286784,1.407134994176122,0.5386240007782621,0.5753359302638404,-0.4143659309227419,-0.8353535051827108,-0.007782574010219738,1.6573331561908142,-0.21148158635155476,-0.7866285816488706,1.4455530508594927,-0.19601067701557692,1.0974740894395203
UACC-257,-0.862736330084167,-0.016975187062175982,-0.6756262608776776,0.5411284211981153,0.10438487815877022,-0.8561805916353357,-0.9183891281336714,-0.8043899145481408,-1.0142046485039309,-0.19839823138181706,-0.7383401864176891,1.4764157736247718,0.4390465126384402,0.2272949143279741,0.19850769147560268,-0.9387165585249037,-0.7810287062332645,1.1582388684617309,-0.556972220769759,1.7079821272952995,-0.6856836900631109,-0.6133351255929667,-0.2630518933393641,0.6590581368716922,-0.8607714532744276,-0.8442782193910765,-0.9320451182294252,-0.7575443665022613,-1.0055224534250695,-0.005410598311546719,-0.6693299575668162,-0.8437039040828832,0.4317131750965923,1.4221700404381803,0.03951084964031961,0.9123966398789995,-0.17719561706605436,-0.17381703412435615,-0.5715990167442143,0.32497727602057064,0.05482263654381995,-0.11633637393946088,-0.9109745280256316,0.17230670727062067,0.2441044136968226,-0.350907758968001,-0.8345592003564327,0.16455961667562205,-0.17653032577410602,0.3835232705146472,0.6999229347502173,-0.7281503885283226,0.6172158214449104,-0.37631210768976864,-0.9316903992449902,-0.31677676002506344,1.1215900194077206,0.23129159659953502,-0.7876115646254467,0.5467744692835812,-0.08846707692049532,0.7008520010009719
H2369,-0.8756019058813037,-0.16941712336643494,-0.7361964534552172,0.6751362027222036,0.7533209424160954,-0.6524406428128969,-0.9397562807564244,-0.7361143821129053,-0.8194474455024272,0.3702692372480125,-0.4384688162231623,1.3118232223640804,0.29148134263520403,0.0388562325682067,0.5676509489988268,-0.9042344027602724,-0.7942798885366557,1.742698133482668,-0.6905552603854218,0.7660972417337365,-0.3651994012356078,-0.4493613879077095,0.06951338730415428,1.3614049983169572,-0.824431468542693,-0.880294525101105,-0.879864790183523,-0.6052722482133196,-0.9998217497710836,-0.03132566878504082,-0.7774138380765231,-0.8391139208718822,0.7230448200337978,1.967446970617737,-0.4114681630941088,1.983322740846145,-0.04941652921190177,0.3742428859012707,-0.31128607220835897,0.4919243989200915,-0.008771997303482411,0.1114131103707035,1.4638000167724918,-0.10193301490313934,0.7865084609193128,-0.08783267920836668,-0.7596859546867633,1.0623305085595895,0.6324813074611727,0.1743669547351839,1.4717353244693565,0.2033408573309819,0.07342218434957586,-0.6162058775094035,-0.9585810667751276,0.2667791198937686,1.7121473457117178,0.05315236052395297,-0.9049751511176172,1.5123788083204397,-0.26307317276576075,0.4255921632080702
H2804,-0.7576718188350396,0.04030725745712358,-0.4683897955213739,0.5183670561180405,0.577917409115961,-0.7569817100754294,-0.9577742499900938,-0.9271754288734244,-0.9686749118274752,0.29823551541618915,-0.5401545260405133,1.5405802768008137,0.18377519506819529,0.12274828303154765,0.9739827351301936,-0.8561430510332572,-0.8679387867631445,3.2022446874069206,-0.5751769346543611,1.1102783734798682,-0.4016676051951532,-0.7550530057797646,-0.10064538878499704,1.0917354482616135,-0.8641651721925386,-0.9249889764714118,-0.8964177895564559,-0.8018016760287449,-0.9949072828056532,-0.045128148850671665,-0.6226455496736518,-0.9592928215224568,0.23793461435077515,1.8783926256508516,-0.28399117071767954,1.832623433103522,-0.0906782285308966,0.7456655232391874,-0.5772427068055138,0.06920177595775415,0.14300282052086305,0.029063061578386437,0.9545378524816206,-0.3115021192403104,0.1998853804024814,0.1990427538242885,-0.6382154431817518,0.7506741118087442,0.053438032180094686,0.3159572994553421,0.6675475485919745,0.7777849959646846,0.3855310206897229,-0.4576276245321874,-0.8984266553154688,0.7368820201660277,1.4531217091444724,0.5277092590053347,-0.8857945098187044,0.7568042808225124,-0.04827622978604617,2.119739777229144
