,CXCL10,CHUK,IFNA5,IFNA4,IFNA2,POLR1D,RIPK1,POLR3K,AIM2,IKBKB,CASP1,IFNA21,IFNA6,POLR3H,IFNA7,IFNA8,IFNA10,IFNA14,IFNA16,POLR3C,POLR3G,POLR3B,POLR3F,NFKB1,NFKBIB,NFKBIA,IRF3,TREX1,POLR1C,IL18,RELA,ZBP1,POLR3D,RIPK3,IFNB1,IL33,PYCARD,POLR3GL,IL1B,ADAR,DDX58,MAVS,TBK1,TMEM173,POLR3A,IL6,IRF7
CAL-120,-0.8252433897704127,0.5166852250413664,-0.9589444796499303,-0.9341323782696423,-0.8997282229560329,1.304500311778992,-0.0902221244237364,0.20905414355979604,-0.8895542121717502,0.7853695563017683,-0.8122610559914114,-0.8698977003760783,-0.9299603279760346,0.3807565966892792,-0.9301320775588748,-0.7327143067059684,-0.9408303331344628,-0.7066604670964651,-1.028274657656592,0.7387678019157344,-0.1404542463190508,0.3871481479290895,0.406565120239747,1.4046785469175604,-0.4434575404816248,1.6043266203368904,0.7503725961151372,0.8019067504251809,0.7620550128573591,0.2719805730119004,0.17742717424225202,-0.8206621002784211,0.12643518857108402,-0.8255359392620755,-0.6146269643148139,-0.9172782513980716,-0.7494609155127181,1.234491909937718,-0.7667418437688517,0.4745777471460915,-0.4301464173747904,-0.6336151890931954,1.766367862596311,-0.6519847995678955,-0.1731404317776279,-0.3737713803047819,0.11021422206984596
ETK-1,-0.7377568144454579,0.5239541577125508,-0.975692107756758,-0.909866035386338,-0.9804481182337836,1.3552389457309035,-0.093503593760726,-0.007687093152723193,-0.9193405117131612,-0.2222664049408303,-0.05967800369364685,-0.8021056806848386,-0.908967479374076,0.2867756993336272,-0.897853916460254,-0.6878148912207644,-1.0328527390449147,-0.6731264427428885,-1.0151136558137193,1.230388171152173,-1.0252554228774355,0.7466318806436393,0.3092485357309323,1.5244976134388952,-0.1629994792273173,1.8917337079863108,-0.04294347891620212,0.3284822346908389,0.5585577347828897,1.3878565006329928,0.22592445980755305,-0.7858762143122405,0.053434974740080785,-0.7433155365035816,-0.7511240362035912,-0.9579889429891516,1.5867457642804328,1.3224100391675002,-0.44400653152937497,0.8033382371474208,-0.015953392369764362,-0.3083502978409809,1.2017082787098212,-0.72897195323421,-0.5617992960867014,-0.1965722444884984,0.7650231115370488
H2731,-0.6606855451973425,0.9321636329647176,-0.8779545041606341,-0.8178021555875638,-0.8875686915006064,0.792037416325195,0.26272198302292343,0.17743297659323373,-0.9504737306349196,-0.14990082944574756,-0.5596832933526007,-0.8371017290047882,-0.9274242133288559,0.6849793569532611,-0.7986246888870417,-0.7074814704545709,-0.9503586496371229,-0.7265939263301598,-0.8097560739724211,1.0630814825158743,-0.9313274971220894,1.0168039182266917,0.3435357283134831,1.6759030277451683,-0.33691879946220504,1.6566352613367126,-0.25569305712287016,0.221563146340078,1.0484817945589526,-0.4919453344316858,0.00876718148268978,-0.7940519694020653,0.13527608767935684,-0.9163541201150271,-0.7720768799585738,-0.9582131555978952,1.808284785635375,0.9509465196376172,-0.2878233522389346,0.4793802750205646,0.17920584613140292,-0.5908019507110431,1.7092070824403165,-0.5729534596434566,-0.5692568111816967,-0.6020014852698086,0.6438095843244349
NCI-H441,-0.6913171059071469,0.5561089125342571,-0.9913286627632906,-0.6275425234800015,-0.8858115954316121,1.2902246046031964,0.2336350846480659,-0.0023427330022006603,1.508193179894319,0.7690312459708287,-0.8612934274124465,-0.8612371218685944,-0.9228653911916648,0.4131356636429697,-0.9025911887616188,-0.6982584710052605,-0.9141343365712404,-0.7185091315259376,-1.0280881938692026,0.8419870703272727,-0.4958290447141406,0.77675976746408,0.19935585902098446,1.6885368679713544,-0.38188165768696825,1.6625748981344504,-0.22276877435195924,-0.4654235922280897,0.7898678478757309,-0.5516478064079121,0.3500745034258357,-0.8464543031174245,-0.030579373843975445,-0.7421191952431845,-0.7925727389320001,-0.8669068180293258,-0.8066536714970373,1.811696130983648,-0.7646009139374927,0.7107014406358116,-0.186971603205372,-0.6551551194640399,1.4167486631650332,0.4978241558722888,-0.6821153674166346,-0.6521247317943243,0.8357275250999076
NCI-H358,-0.757186504320311,0.5403676801635996,-0.9562142775676982,-0.8766944225670159,-0.95670835818628,1.6006392629041106,0.09567652108336007,0.06557134556889271,1.511111002172001,0.16141018418366074,-0.7008736204161491,-0.8380912282431879,-0.8695280167980707,0.004959991768811108,-0.9899933751947304,-0.5918291939915741,-0.9331954693820298,-0.7972338600892738,-0.9471637847408754,1.0357116411412242,-0.8525857167179977,0.7713298516112457,0.617650885585412,1.722068530552285,-0.3182464407166861,1.7699829477499964,-0.18874804018398467,-0.01945037605899685,0.6410638020083353,0.7578556253046622,0.2051817638160682,-0.7978476319715071,0.544562445305988,-0.8876485606255715,-0.8119595283999252,-0.8056212650865384,-0.7402863665522604,1.6578903342710247,-0.6298209136740572,1.075868589778392,0.4476997597401991,-0.6249910066398641,1.4489319887934156,0.9702534150213408,-0.5942887330982528,-0.5511876418501324,1.1311133836430916
LS-411N,-0.4255976590440868,1.1454809662876608,-1.0321737804248452,-0.6637549245941133,-0.9884707789257088,2.0237416493816633,0.014106150892673013,0.08056271812962723,-0.8864273205945497,-0.09434969114365796,-0.8753979564416832,-0.9438548973270744,-0.9232367495152816,0.1053501439245945,-0.8989845412170274,-0.6864710902396597,-0.9057322250447212,-0.7114142384701502,-0.9224999995100824,0.7039535920502072,-0.5599982216919296,1.28280514719395,0.19927201713279927,1.9274742460604932,-0.17607397952838502,1.4571389097525504,-0.1500709952475851,0.3024877633321812,0.8507751154150943,-0.4830112558252028,-0.12575313564745538,-0.9771491845899216,0.05217543080255933,-0.9296636389112533,-0.7379318282117454,-0.7492810356565559,-0.7690903206993115,1.3174031733565146,-0.8219408472839309,0.5987002025045834,-0.3722036344517457,-0.6207661268796726,1.6177392922145384,-0.6324750686129214,-0.4162026031837232,-0.8756833709705798,0.4740030550481705
NCI-H2452,-0.6744075305746919,0.8335748759741254,-0.9318561027979628,-0.7303195559659362,-0.903962179321712,1.5233717428277336,0.09963602985781203,0.04059201299932207,-0.8378918134612514,-0.05817698140061575,-0.22429728074105346,-0.8808796526031178,-0.9103354742719116,0.34881791703229986,-0.8085747267250714,-0.7238040946584521,-0.880935222902002,-0.6456923040687255,-0.8948809439983146,1.037084612725435,-0.8232879665768387,0.7616120156749586,0.455784559991305,1.8671452599095533,-0.3755182444203927,1.5417467536427367,-0.3086470475078691,0.4797811547760966,0.8275921509793595,1.0070813007280328,0.12648673917348285,-0.814928215814028,-0.07036078712467649,-0.8479658841911111,-0.7352258405435499,-0.8527923467441446,1.3831272373156625,1.0238140857250544,-0.2810064758570126,0.6248979132559663,0.5386240007782621,-0.4143659309227419,1.6573331561908142,-0.21148158635155476,-0.4608778547659943,-0.7536820051533711,1.0974740894395203
UACC-257,-0.6756262608776776,0.5411284211981153,-0.9183891281336714,-0.8043899145481408,-1.0142046485039309,1.7838643095959257,0.2272949143279741,0.3838305455772803,-0.9000353894369323,-0.2630518933393641,0.5952314794168222,-0.8607714532744276,-0.8442782193910765,0.7188125227508595,-0.9320451182294252,-0.7575443665022613,-1.0055224534250695,-0.6693299575668162,-0.8437039040828832,1.298890523409443,-0.3734604813561301,1.2891591991069278,0.4722319378008052,1.4221700404381803,0.03951084964031961,0.9123966398789995,-0.17719561706605436,0.208133497457694,0.9138779564363891,-0.7870413709891441,-0.11633637393946088,-0.8970885751312059,0.24505446809924736,-0.8435025790069519,-0.8345592003564327,-0.8287417024846138,2.4230129057185703,1.240682226724167,-0.8333947097096436,0.6823666105739021,-0.7281503885283226,-0.37631210768976864,1.1215900194077206,0.23129159659953502,-0.6155780506014995,-0.7433212368554334,0.7008520010009719
H2369,-0.7361964534552172,0.6751362027222036,-0.9397562807564244,-0.7361143821129053,-0.8194474455024272,1.0866186040773256,0.0388562325682067,-0.15555044902949727,-0.8780776861388434,0.06951338730415428,1.4826998370451292,-0.824431468542693,-0.880294525101105,0.04404755940975173,-0.879864790183523,-0.6052722482133196,-0.9998217497710836,-0.7774138380765231,-0.8391139208718822,0.909625753571434,-0.7704724129909226,0.779004488633055,0.4509772574305213,1.967446970617737,-0.4114681630941088,1.983322740846145,-0.04941652921190177,-0.1967489164237253,0.9637961227022468,1.6220508283657138,0.1114131103707035,-0.9290552102563138,-0.2561765767276409,-0.9244979539465668,-0.7596859546867633,-0.3806588312642446,1.313930154800581,1.6387424689669212,1.091827244419604,0.928249000797066,0.2033408573309819,-0.6162058775094035,1.7121473457117178,0.05315236052395297,-0.6339734826879502,1.5933799242731814,0.4255921632080702
H2804,-0.4683897955213739,0.5183670561180405,-0.9577742499900938,-0.9271754288734244,-0.9686749118274752,1.4451010647017273,0.12274828303154765,0.43922063702431263,-0.7130460411063123,-0.10064538878499704,0.1676350405615811,-0.8641651721925386,-0.9249889764714118,0.5682951586005864,-0.8964177895564559,-0.8018016760287449,-0.9949072828056532,-0.6226455496736518,-0.9592928215224568,1.160793923994502,-0.8351425127164549,0.8273943797640205,0.4925320798455006,1.8783926256508516,-0.28399117071767954,1.832623433103522,-0.0906782285308966,1.1117575544251337,0.914246290593846,1.2302521243023403,0.029063061578386437,-0.8807113433906154,0.8309664803837863,-0.8661062265404345,-0.6382154431817518,-0.9422810263556196,1.7084119548965726,0.8404583840324636,-0.123940785007638,1.3666203600757152,0.7777849959646846,-0.4576276245321874,1.4531217091444724,0.5277092590053347,-0.4157223462104835,1.1998812763519966,2.119739777229144
