,SOS2,RAF1,PRKCB,PRKCA,PDPK1,TNF,MAP2K4,PLA2G3,FCER1G,MS4A2,FCER1A,PRKCD,INPP5D,PRKCE,MAPK9,MAPK10,PLA2G6,IL13,PLA2G2E,PLA2G10,MAPK11,MAP2K2,PLA2G2A,RAC3,MAP2K3,PLA2G4A,MAPK13,PLA2G5,PLA2G12B,MAP2K1,VAV1,MAP2K7,MAP2K6,AKT1,PLA2G2F,AKT2,AKT3,NRAS,GRB2,MAPK3,RAC1,SOS1,PLA2G1B,MAPK1,CSF2,PIK3R5,HRAS,MAPK8,IL3,MAPK14,MAPK12,GAB2,KRAS,SYK,PLA2G4E,BTK,PIK3R3,PIK3CA,PIK3CB,LCP2,PIK3CD,PLA2G2C,PLCG1,PLA2G2D,PLCG2,PLA2G12A,IL4,FYN,IL5,PIK3CG,VAV3,LYN,PIK3R1,PIK3R2
CAL-120,-0.06812203037807682,0.9048466647021476,-0.8598842831717439,-0.245701092160002,0.897894373169827,-0.7960448465884994,0.4093350893851053,-0.7224649188639339,-0.6845226993068297,-0.9047318988340928,-0.8084997843454307,-0.03365152225453906,-0.6951110330203739,-0.1723530676335141,0.41549824167551397,-0.7725418357065711,-0.6657835805259128,-0.8229827322127975,-0.7039974159764619,-0.9760416175009524,-0.6856681132324752,1.9428200748275049,-0.8594288614059078,1.4185581093828004,1.1296933568114542,-1.0514522660900054,-0.20671144389370147,-0.9437674858307312,-0.8740885470537951,1.5889586870449508,0.4010128740887251,-0.1552367558147919,-0.3987919483151497,-0.19985279400177544,-0.8563236653599502,-0.4819424240854727,0.4364324540353784,1.5867513847782557,1.7384334665473555,0.6544469534894845,2.47119643127688,0.6091940496088567,-0.8294230167564386,0.254584764720762,-0.5254915675369273,-0.7875557925705607,1.082836190327067,0.05289881033707378,-0.8994377565430001,0.2661296077443237,-0.07212634530282812,-0.6153499645591913,0.8623239999845511,-0.7368748602616118,-0.7890022743646651,-0.8814638136386495,-0.6406907280038789,0.9873660513528476,0.534576748726534,-0.9030110497904495,-0.7809640560641528,-0.8477441127438223,-0.07873698009542318,-0.7709207460673351,-0.603285050180305,0.8649723530946268,-0.9004650618664787,1.099675126965282,-0.8233339327189736,-0.8524172464873309,-0.4485453870208259,0.4931645778213014,-0.3572494710380825,-0.3426310511824054
ETK-1,-0.05867897052132225,0.7020272276858314,-0.7821007727003433,-0.39963966733559103,0.8411051806982044,-0.7023522070818511,0.739484350313902,-0.6729067076108366,-0.6968261093575266,-0.8981989975718403,-0.8253341755724072,0.6713190475203972,-0.6607491549905924,0.2183677196384474,0.23252535614873684,-0.6866703641770378,-0.6767046940981807,-0.9212578077960859,-0.9087447588077048,0.395072383934248,-0.7002220663907687,1.5809167664755956,-0.7987808747419632,1.3280286417157403,1.2833214508718578,-0.6732506945072283,1.4992384159293035,-1.0387554691303704,-0.8779779186936199,2.02799378906126,0.026109836928637515,-0.1904125277207122,0.08646530188239229,0.1266592331092139,-0.9644294320683839,-0.5886272683587355,-0.5448795531082345,1.9604995952736224,1.965573307595224,1.1182205197694308,2.5460191308924163,0.4710837889353912,-0.926042079067813,0.3975693338555972,-0.6034212396976375,-0.8197989690348624,1.1893851867654288,-0.06189087109587045,-0.9276088500659068,0.3235601864751037,-0.05439148075713941,-0.32373592217661723,0.6590952429722751,0.4990128889754546,-0.6125778961222424,-0.9557966166980258,-0.6417876055405305,0.4094503601052189,0.037496706500950314,-1.028159234806978,-0.524460852626613,-0.8188838596873644,-0.029395606455651837,-0.8018124512249273,-0.02123732492865516,1.0676691742649835,-0.9453673687087992,1.2487188357186545,-0.8932753925570729,-0.8654864209671396,-0.6984496265761017,1.5461409552480925,-0.4833683157757574,-0.4050677602198264
H2731,-0.13925938705960852,1.1135111322846425,-0.7525382834330454,0.6734231696706534,0.9892711025813736,-0.7348817399151673,0.4523991510577427,-0.4257460241607632,-0.5020663678781904,-0.8014155892628447,-0.7072158380727187,-0.1731553736243683,-0.7785321924636095,0.250840939373196,0.7054452224023271,-0.7601163252707807,-0.7320471851400012,-0.934435959066167,-0.7771294588236071,-1.0804976396613264,-0.4686436049320844,1.8069608813025064,-0.7416387123366234,1.113315885379529,0.5583891145136358,-0.8393929534902811,-0.7208695298833155,-0.9360304851065157,-0.8470604261995194,1.3149922194525154,-0.7518111326414794,-0.0899817921687686,-0.35483601475051824,-0.15174020943164618,-0.9211055253526876,-0.6640179112916704,-0.6239843608956496,1.804879139023512,1.7545902111161853,0.3118671424176911,2.79368386503489,0.6304226359503814,-0.7944181853473764,0.4667006303610834,-0.6136854091068912,-0.8410884136853347,1.3957190977726834,-0.3113054403255434,-0.8165008511908303,0.4521366517667533,0.6666704728877562,-0.4967915998422813,0.4822517483970864,-0.7524475312447307,-0.8178021555875638,-0.93259765401063,-0.6443644194844482,0.8594187429000945,0.18336718453373124,-0.8348585540453827,-0.37757563301429853,-0.974736713715495,0.33049680357990585,-0.8369097860864038,0.11806006090506055,0.6921809198311195,-0.8769121903636289,0.08673941991723325,-0.7874110139690391,-0.8765333670274109,-0.7210787115168686,0.8989324183481682,-0.4281227646593607,-0.15702108108980029
NCI-H441,0.5382853286208211,0.9307471911980078,-0.8297087830459828,-0.3502615548914809,1.2468846146313366,-0.8085461427863829,0.9963293671781348,-0.7149331958298955,-0.6245888448643261,-0.9494275129626732,-0.8151925651555585,0.7064685126487431,-0.7424496816211447,0.3636414815514844,0.6951323573052699,-0.9083686048427996,-0.7205994214637768,-0.8322702465234134,-0.7161440388783268,-0.7559127401776198,-0.4511159265601075,0.9329538478919084,-0.8982763860066665,1.2368674842873295,1.336586847650448,0.8527634822959449,1.652648570389608,-0.9466690005806256,-0.8386665546466497,1.8116381417690188,0.5510687107046673,-0.299709854347971,-0.19733235486264464,-0.26570566958600805,-0.981076887675956,-0.5854985495687144,-0.6958193198758809,1.250040047216832,1.5628792001345369,0.8829574758666384,2.4066435250136475,0.8117920748457881,-0.9154706018066876,0.6704127006499002,-0.5697096341124959,-0.7929647301950058,0.2209947943117495,-0.32726911965707123,-0.9535135995222874,0.34129450765135844,-0.2988925070410021,-0.05720205893421046,1.3593939234001158,0.6202237622919242,-0.8777051683894529,-0.9848921367892872,-0.4713064903986299,1.2268652508596756,0.3785433051934744,-0.9226946623683616,-0.5048386655437213,-0.8159627871854117,-0.09686169429772952,-0.8251047113713851,-0.4323241623917872,1.582449696816324,-0.9515658388799888,-0.2785213035236984,-0.8637928097333835,-0.933630609859046,-0.7356424509577657,1.902316498468153,-0.07774390743676543,-0.28451003525850943
NCI-H358,0.4434159208745114,0.6072135995516039,-0.8365145975712129,0.22820352238433414,0.9311363532586237,-0.6749680092768712,0.7039883073040333,-0.5661155090588481,-0.8833264932913252,-0.9688865419060032,-0.9092396614769612,0.8647145917803994,-0.7056580952129358,0.7616978368282764,0.9786930455857376,-0.6928921167528485,-0.7335375793108632,-0.8707561687246166,-0.7496029457504015,-0.12144023247333473,-0.7156648437261258,1.082929831298524,-0.9162027729064398,1.2308138120368102,0.5901069724847514,0.5306415366028854,0.9493846457945164,-0.9593689196925784,-0.9132874851965946,1.9452322977593564,0.7318029677901593,-0.2746561013489696,-0.14026482604854296,-0.05201802325830348,-0.9870765773875192,-0.4248105610331739,-0.7232608504086048,1.4746253607378723,1.8717155328633968,0.5908614322155727,2.376178543120388,0.925976895938038,-0.908357049626692,0.30552863757628834,-0.5646233660620755,-0.8003529130190858,-0.039190101288340655,-0.3425528615569144,-0.8763311445862804,0.3945532510847872,-0.2560965802292562,-0.4720378783070376,1.707660961932456,0.4556922548320143,-0.7703363998517201,-0.8326185159127484,-0.2453339387280799,0.8113056012150509,0.2604488947523818,-0.90690131295493,-0.65216438457763,-0.849262160152628,-0.3251140594548515,-0.7830431673144463,-0.15695661910805933,1.78003330541997,-0.8778019986305227,0.8048074793599901,-0.8158322970225148,-0.8715621277889629,-0.048996072447186505,1.6860832875005862,0.4416383048174035,-0.3759062541623136
LS-411N,0.15373766511871415,0.6534312803956329,-0.8145502558515936,-0.08130942838191382,1.0678326937871672,-0.8362563767125443,0.6888125939785422,-0.591939388468414,-0.768425869339424,-0.8479023730602907,-0.8508478240688088,0.6666491075908056,-0.6721013199497649,0.2836959920875529,0.4134818691378309,-0.8276983363413841,-0.725925341565091,-0.8691027317021834,-0.8440821934310992,0.7405080105475171,-0.5470153791969675,1.3183433692471571,1.987673997126572,1.293721491249474,1.1083471732710912,-0.3433377346981353,0.33180756067464146,-0.9697881478494604,-0.9447567646428618,1.8648442801490044,-0.676387864635883,-0.2443155443594405,0.17443903095640095,-0.24251542886789626,-0.8188275601014824,-0.6497916729249831,-0.8267961689333675,1.3307944797542282,1.5186990991164293,0.4836942612484981,2.5265829149444534,0.6872106998083425,-0.9538201922333904,0.5281396400601249,-0.5578116558428702,-0.7380098373948586,0.7081041907948731,-0.05129340966893639,-0.9084750744950856,0.10766455646165378,0.27356411640083994,-0.1753683979621821,0.8977517412016167,0.6554952241207912,-0.8060558077519586,-0.9390228390677062,-0.7207817579785165,0.8412287390884277,0.23400217589226124,-0.9168545905075955,-0.8168373886640627,-0.9681524583928754,-0.35371910956130226,-0.8149408224202429,-0.5580807539549724,1.1552204156662071,-0.9349729950174898,0.9868839130820148,-0.8199187879259914,-0.8488851561535736,-0.7614818849656112,1.5357657594311986,0.3625898147259357,-0.315113364159437
NCI-H2452,-0.2112724762202742,0.30033039646165405,-0.8497532105166448,0.10019246927535053,0.9356370129788464,-0.8109661678998319,0.5085430982462517,-0.6975026246895457,-0.6772304588305034,-0.8628855276136647,-0.8003096190769529,0.1443751389990612,-0.7647686912464102,0.2927041582864301,0.5452651818438474,-0.968519916012312,-0.7797411285576464,-0.8542825412058482,-0.9078402091405282,-1.0314576612955844,-0.5017416438869874,1.4594221269364345,-0.7798127147929521,0.907415902373851,0.7241821838548194,-1.1306168569740265,-0.3939960434735176,-1.0056604109183558,-0.8530206525925407,1.7385066518646413,-0.6794183505582603,-0.12598229925874915,-0.5243149856711672,-0.2078611696528301,-1.1146431805502082,-0.6172414110572932,-0.3753643941962525,1.1393357611865211,1.240538159782116,0.3383250667796434,2.6942865242565985,0.7666650003646698,-0.9070297254140784,0.5485088606794144,-0.4740801168615,-0.7810246909336291,1.1931770656516067,-0.3579664114752496,-0.8740037760599944,0.1892486769078852,0.5229232475125958,-0.5573265089791763,0.5879673768544635,-0.7774983816809841,-0.7032262729584419,-0.9462343425305996,-0.6865469766465245,1.1604717518938303,0.17486977984787494,-0.8845182695449905,-0.4429466925798285,-0.8243706763521149,0.4012792702266202,-0.8184698693357149,-0.2834564089912421,0.42655085206378335,-0.8484711131341821,-0.02009866582740437,-0.8907580049170137,-0.8109860852430577,-0.6969567765229187,1.3597680923431672,-0.1596184972839978,-0.314793690336176
UACC-257,-0.2334447129826095,0.4626853245173175,-0.6537941516128597,-0.5030246240113396,0.9912632604625052,-0.8561805916353357,0.3302303290134198,-0.630517058011103,0.16523181045955673,-0.8457024397463853,-0.6854905796149636,0.8255515236177172,-0.6259308752268757,1.1127853853387886,0.19850769147560268,-0.7810287062332645,-0.6891906307323885,-0.90300815651968,-0.8421921823794553,-0.6657284930986713,-0.556972220769759,1.6389289008705468,-0.8639815752092663,1.1446110672854743,0.8777352675875217,0.41440734473047375,-0.6133351255929667,-1.016975700528982,-0.8121299738923274,1.4920891032672825,-0.7334612959182046,-0.10335086254156416,1.187397030668386,0.1034372484054456,-1.016975700528982,-0.4156948757425929,-0.20350358457046905,1.7438123860969132,1.879861540626689,0.4198127773087068,2.5445795223269005,0.4226719388125876,-0.9039535783833654,0.7572535381033558,-0.6076427928782875,-0.6943889672456175,0.9897057775020668,-0.5715990167442143,-0.894440685554085,0.32497727602057064,0.05482263654381995,0.5088749135071083,0.461570293006893,-0.16040310506207087,-0.729162526916241,-0.5897619098512789,0.27933463228855104,0.3312185599443601,0.6625406578276586,-0.8973793463693109,-0.0535754824600499,-0.9167305398531204,0.531666245914294,-0.8326095050458759,0.02431113942042716,0.5729738597507309,-0.7581200888943073,1.1796613542190295,-0.8939545028827834,-0.8888615239730282,0.17460415793634151,0.22491974613220495,-0.1797654584160006,-0.23280851377457995
H2369,-0.000956360756488668,0.7248507230584516,-0.775919823797341,-0.32850586303632456,0.7374576879045716,-0.6524406428128969,0.43061512465006097,-0.6968921185154024,-0.6066297245018547,-0.89622277302461,-0.7880042399113367,-0.02425076950972589,-0.7625620582043543,1.0043758284074809,0.5676509489988268,-0.7942798885366557,-0.7162037504932596,-0.9090480271050836,-0.7220725925915448,-0.9977374621168436,-0.6905552603854218,1.5689479178731216,-0.8955801739204582,0.345897037553967,0.280253876676878,-0.6738365749163685,-0.4493613879077095,-1.001245100320141,-0.835288320363869,1.6167083729494922,-0.07215352065641048,-0.1601402976591038,-0.3134216259867869,-0.15119158549319922,-1.0503910109821537,-0.6524623508563833,-0.07910532007774926,1.1337516076882892,1.5561468189968968,0.26262041498512817,2.67986321891239,0.6442177574535978,-0.8919687022887408,0.3546276216895768,-0.5821552988009551,-0.7896764876803988,0.4120349900412952,-0.31128607220835897,-0.8025323211085524,0.4919243989200915,-0.008771997303482411,-0.4731182093503966,0.8620638067442004,-0.7517777334289917,-0.8095652934713573,-0.9434713063653988,-0.691032607776449,0.7841199206958448,-0.033848076739364866,-0.8881792900134864,-0.37027626072364944,-0.8469312041021748,-0.009231463053394808,-0.7866889334961574,-0.24414780742350276,1.7429172222706808,-0.9214037990745372,1.8866319220254963,-0.8050346205886096,-0.7936449523991068,-0.7573883912906048,1.2499817927085564,-0.3732720210721264,-0.3378489135883645
H2804,-0.5397462460605524,0.9891072695734257,-0.8288123207029022,0.2425843506999755,1.1003552511536838,-0.7569817100754294,0.2700276650542075,-0.6564723436515414,-0.6009746940885855,-0.8778292335217068,-0.7710602305432759,0.10073889385384684,-0.7381098655340813,-0.2611623181973883,0.9739827351301936,-0.8679387867631445,-0.6882234132537078,-0.8854406970772007,-0.8758677641187036,-1.081298112774123,-0.5751769346543611,1.3963003958057107,-0.8012064954386725,1.4365563810390836,1.0938507028145557,-0.7927701690661619,-0.7550530057797646,-0.974930126497612,-0.8737120679201582,1.5377013449030346,-0.785446201924712,-0.29233538230442724,0.3270776508874311,-0.07058561604041526,-1.0186628764311243,-0.6048940168676246,0.19688997202868425,1.5529699611461252,1.7130625049092376,0.2628231971577309,2.5822166518278937,0.3703928702404378,-0.8711955551376541,0.13328015511769925,-0.6594762440637805,-0.7472125042240992,1.4435399452741482,-0.5772427068055138,-0.8522200378404104,0.06920177595775415,0.14300282052086305,0.3919661454436792,0.71502459917081,-0.5403954076195508,-0.5981763268124624,-0.8976982713121893,-0.4288977530377384,0.3947720845654773,0.08200578811682839,-0.8344537870010641,-0.6854649035487371,-0.7712128571870507,0.3455135412482723,-0.7994730469565093,0.990290643900702,0.39913774537693947,-0.8600650370448563,0.15531734844332815,-0.8184041970951914,-0.8565138313212369,-0.7638303021435242,2.174100154857151,-0.4312594649685069,-0.27335239188478433
