,CDH5,JAM3,TXK,ITGAL,ITGAM,ITGA4,SIPA1,ROCK1,MMP2,PTK2,MYL7,NCF4,MMP9,NCF2,CLDN20,VAV1,VASP,VCAM1,ITGB1,MYL12A,THY1,ITGB2,CTNNA1,JAM2,PIK3R5,CLDN18,MAPK14,MAPK12,VCL,CLDN17,GNAI1,MYL2,GNAI2,CTNND1,MYL5,PXN,RAPGEF3,MYL10,ARHGAP5,BCAR1,GNAI3,CLDN16,EZR,CXCL12,PLCG1,PLCG2,PTK2B,RHOH,CDC42,ACTN2,ACTN3,PTPN11,PRKCB,PRKCA,CLDN10,CLDN8,CLDN2,CLDN6,MYL9,CLDN5,CLDN1,ICAM1,RHOA,CXCR4,ESAM,ACTN4,PRKCG,ACTN1,MYLPF,F11R,NOX1,CLDN19,MAPK11,MAPK13,CLDN15,CD99,CLDN22,ARHGAP35,ACTG1,RAC1,ITK,CTNNA2,CTNNB1,CLDN11,MYL12B,CLDN4,CLDN3,ACTB,ROCK2,RAP1A,PIK3R3,RAP1B,CLDN14,PIK3CA,CLDN9,MSN,PIK3CB,PIK3CD,CTNNA3,NOX3,RAPGEF4,CYBA,PIK3CG,VAV3,PIK3R1,PIK3R2
CAL-120,-0.8835007938614295,-0.7019047617355773,-0.5502498136692272,-0.8206057898272517,-0.9305882235573336,0.0463206859465791,0.923805440235035,-0.6553834927038531,-0.802985305651903,0.2488854825153072,-0.7165836208962448,-0.9381677974388076,-0.8356922909622216,-0.6660654894390309,-0.7304983623242409,0.4010128740887251,1.2337507761276552,-0.6998034853961391,1.9362940560627209,3.3764312134607946,-0.7021360162177503,-0.6923847025298888,2.2856297150963103,-0.4020178437326124,-0.7875557925705607,-0.8812265492085006,0.2661296077443237,-0.07212634530282812,-0.3282889083303811,-0.7945976401068526,0.2896229952488029,-0.8088025668073281,1.6992794979965569,-0.10633230153051182,0.29303638684960803,-0.21735369017515296,-0.7894375495438642,-0.6169873480676766,0.3296188314526881,-0.21427336187547885,1.688119177913452,-0.8562070352477477,1.81742440778281,-0.8578755484761661,-0.07873698009542318,-0.603285050180305,-0.4161020565041433,-0.8649868950490307,-0.0937094241456486,-0.8629336032151217,-0.7928848963726551,-0.4189799745235525,-0.8598842831717439,-0.245701092160002,-0.9086218759884662,-0.9852196341947652,-0.8299034691299144,-0.958435539276898,0.8667542519458855,-0.8400103869494462,0.9744447150656632,-0.7157752085140757,2.846229085676413,-0.8974869923016316,-0.6728293640299501,1.1197094807464507,-0.7831122737775845,1.532067287582289,-0.4580348678696077,-0.10037539677047626,-0.7731151918402184,-0.7739953505637066,-0.6856681132324752,-0.20671144389370147,-0.4532826945075151,2.116294262076011,-0.7001869884059803,-0.20468122605655906,3.5671285504874595,2.47119643127688,-0.8249291114803912,-0.956814039299832,0.8319328535716037,0.2439424552054325,3.36434998519618,0.11223881163688318,-0.44197899683652975,2.801423410907538,0.4257778234670643,1.994590420866363,-0.6406907280038789,-1.0008928278977822,-0.7248011377218966,0.9873660513528476,-0.6570884281913578,1.8353183557365995,0.534576748726534,-0.7809640560641528,-0.8331199941054415,-0.9510690503732332,-0.8677333248144741,2.7155262419730977,-0.8524172464873309,-0.4485453870208259,-0.3572494710380825,-0.3426310511824054
ETK-1,-0.8196762506417731,-0.7302871222647126,-0.4875431895736166,-0.8492414178412646,-0.9190669037090919,-0.8412185989609842,1.1918895338938629,-0.7546889566919888,-0.7966651421363449,0.8367529884552836,-0.5683546272308437,-0.9154032424726536,-0.7750666015947733,2.0157115542486164,-0.7776038404093344,0.026109836928637515,0.8774556507361878,-0.8636078758124929,1.986350673626605,3.054865105132212,-0.8681806548562191,0.06311942600154301,2.131274079014876,-0.82198849961076,-0.8197989690348624,-0.8227775941385377,0.3235601864751037,-0.05439148075713941,-0.15240731536607366,-0.7116144754849246,0.5083083605163343,-0.8791581110890248,1.3694852517995089,0.08153445446764353,-0.7406888756854949,0.2262974195194481,-0.7548228092529552,-0.6820082090666116,0.4219016015536342,-0.17202266758218898,1.7372033931581734,-0.9097418470148182,2.462513041780362,-0.8769551435321642,-0.029395606455651837,-0.02123732492865516,-0.3645535868419536,-0.8642993109451129,-0.17979375770923872,-0.8502224561807541,-0.6381383055339934,-0.4417710131376367,-0.7821007727003433,-0.39963966733559103,-0.8319435495548227,-0.9252834002312426,-0.6477894452467395,-0.814135296947932,0.7701417748803289,-0.9766720436124244,0.952544347520082,0.9082694722796586,2.5288634260574945,-0.8100650396775229,-0.6048197142432888,0.8250789985615447,-0.7505054316116957,2.012978225364432,-0.5285589577196582,1.3503533042872171,-0.8551372868023939,-0.7500267827474641,-0.7002220663907687,1.4992384159293035,-0.0015072758079999445,2.3077634672663208,-0.8147155011095315,-0.2446676552260268,3.740175053533856,2.5460191308924163,-0.9181098972201052,-0.9087846374850608,1.3261202141964368,1.0578691344651898,3.3544209066226456,2.884230339625232,1.1789526841520828,3.1976371415033866,0.090651405856095,1.6979263338748616,-0.6417876055405305,-0.8848793851995042,-0.7709425844569386,0.4094503601052189,-0.5328545888675063,-0.2596500782591309,0.037496706500950314,-0.524460852626613,-0.8066505218697501,-0.9206165761018256,-0.7768681970535115,2.892326429580397,-0.8654864209671396,-0.6984496265761017,-0.4833683157757574,-0.4050677602198264
H2731,-0.8409728445459609,-0.5071734486302735,-0.6881276670090312,-0.7450943452943815,-0.9193514923365576,-0.8434992976957904,0.4686069223305249,-0.7545226428567798,-0.5899811179554338,-0.14305821040784336,-0.4905380356953582,-0.8780587575854382,-0.7142927956344358,-0.3067936218283501,-0.7710869478283708,-0.7518111326414794,0.6007597445998029,-0.8594543200045528,1.724921573681595,3.3254016602478425,-0.7107326211835048,0.3433475640925641,2.1113685536082265,-0.7158385121483848,-0.8410884136853347,-0.8756989820907457,0.4521366517667533,0.6666704728877562,-0.389229723249882,-0.6469400327519235,1.102573485682063,-0.789847640269141,1.321574221832743,-0.5342508355941502,0.2473498471443569,0.13506793558918725,-0.6933966162491373,-0.6746230598420963,0.6085156607822108,0.16028449305197767,1.8032620033212476,-0.8636648477018696,2.5226824213845287,-0.7898469312133967,0.33049680357990585,0.11806006090506055,-0.4534392234915457,-0.9058154866436549,-0.08586631916000671,-0.8665620031608225,-0.6267454600892226,-0.4145723263706596,-0.7525382834330454,0.6734231696706534,-0.9248856321301816,-1.0203431324280174,-0.7752710663253475,-0.8734476462748582,1.0020209655267878,-0.8854133843407653,-0.6913056224367955,1.0484865458345136,2.4088826655510847,-0.16347679790944386,-0.7541217813640606,0.9344095556888078,-0.7608390346223795,2.0180229482891283,-0.6117111950620856,0.21723065873903813,-0.8062916716021731,-0.7867939233566371,-0.4686436049320844,-0.7208695298833155,1.0687099086613578,1.5576333687516335,-0.6037432823272377,-0.2325835271170174,3.6505503333987352,2.79368386503489,-0.8167535996917175,-0.8131373236943368,1.1927718519053019,-0.6738860415510572,3.452373305208167,-0.4044068308218404,-0.6398753125383042,3.1420449715854173,0.5052404795722087,1.2791321480122433,-0.6443644194844482,-0.8796226775193999,-0.6664656259083208,0.8594187429000945,-0.7483795052267697,1.9116312091171048,0.18336718453373124,-0.37757563301429853,-0.7139984360744497,-1.01247946292906,-0.7620027307969724,2.7662175278811643,-0.8765333670274109,-0.7210787115168686,-0.4281227646593607,-0.15702108108980029
NCI-H441,-0.8513586923692859,-0.8653003321561237,-0.8261152708404528,-0.80370076216459,-0.9138010043059854,-0.8283513602185241,1.084336805676613,-0.7537390889587374,-0.7437668460607564,0.8909028868620577,-0.4711223345887832,0.07925097656279344,-0.5761293464111582,-0.5416845655056433,-0.8054006348758247,0.5510687107046673,1.0294673579120477,-0.9267775570935528,1.457650413631172,3.0078510216558665,-0.7660358487295699,1.6780383565745538,2.8143537272621404,-0.8587006471979096,-0.7929647301950058,-0.8960237091317361,0.34129450765135844,-0.2988925070410021,-0.4694913053560697,-0.860950740294621,0.1595114957220085,-0.8651810955590382,1.2625439597595405,0.3753739278523642,-0.3456413549867178,0.07231346893638682,-0.7949404623439911,-0.91553546988745,1.2957025907770423,-0.02078091709431781,1.5857883956991448,-0.8559014756636985,2.3616653086347306,-0.9196276757035909,-0.09686169429772952,-0.4323241623917872,-0.5802072421773138,-0.8185681380406709,-0.1758487258787335,-0.9269344300664292,-0.7165815588102638,-0.4691638643262653,-0.8297087830459828,-0.3502615548914809,-0.07359374787594082,-0.7886314812259346,-0.7245778060682384,-0.9303542367371476,-0.554830486360433,-0.8673965335979534,0.17525976308163138,1.079129165436952,2.577016718354288,-0.8904139972548918,-0.7905967345396692,0.6766374088632562,-0.8452648290987299,1.2797073402002834,-0.5340199815829029,1.3747699055848808,-0.8192703185812844,-0.7906817799521376,-0.4511159265601075,1.652648570389608,-0.15304302240136292,1.7733453951018514,-0.8249035972425247,-0.19180485310589315,3.7680420128006427,2.4066435250136475,-0.8440349442174887,-0.8317265346425639,1.965975481119222,-0.7696398208837568,2.9599601511078086,1.9779955536666989,0.5165369528869381,2.722534048146595,0.8280104194012401,1.308409764992568,-0.4713064903986299,-0.9769695652140622,-0.7427633501779262,1.2268652508596756,-0.36770296672830977,2.437305210541515,0.3785433051934744,-0.5048386655437213,-0.7728986736953016,-0.9634705838947348,-0.813663978652481,3.0848045787809264,-0.933630609859046,-0.7356424509577657,-0.07774390743676543,-0.28451003525850943
NCI-H358,-0.8056775547506454,-0.7905798407111961,-0.7333633774211733,-0.8370047382553395,-1.007886935411027,-0.8529473618444616,1.473316480683522,-0.8977743458550912,-0.7116259953168051,1.1068930622481368,-0.7435199760398505,-0.8942356564053773,0.19752096022844287,-0.14159106589733925,-0.726117722698293,0.7318029677901593,1.1522506836029958,-0.9143176232048066,1.5239940513637609,3.2688072824663683,-0.8909754241308132,1.081826395235118,2.841512226231837,-0.9024020774181112,-0.8003529130190858,-0.8956361341962167,0.3945532510847872,-0.2560965802292562,-0.531076903080789,-0.7548922634792943,-0.12681016025850414,-0.8517946538762851,1.074645067005422,0.3000180880063628,-0.4451195128494209,-0.013581313069337894,-0.4606389090448557,-0.9897698208117668,1.1857773789740251,-0.20822749125355802,1.6204853316919394,-0.8901939494468699,1.813693108166339,-0.9011098810581436,-0.3251140594548515,-0.15695661910805933,-0.4313713549744067,-0.8630908498381039,-0.15347757639587056,-0.8804582303789072,-0.7673554100216768,-0.4826663380756731,-0.8365145975712129,0.22820352238433414,0.1342594905040269,-1.031693693941728,-0.7413340386509834,-0.8905332654668621,-0.6698401267193865,-0.9580889531065604,-0.14898928590232274,-0.1885597648240576,2.4793179219143227,-0.9241672086743516,-0.8044169097268885,0.5194845797707421,-0.7894832640413467,1.2039487877348545,-0.6274539937162957,1.4684661121345723,-0.9004230908377896,-0.7835047281291616,-0.7156648437261258,0.9493846457945164,-0.5791226308113334,1.4621162675035662,-0.7808319513735857,-0.30161465001489385,3.6348973990331066,2.376178543120388,-0.8246317646259617,-0.9189823448909504,1.9316286308543449,-0.7587872454795157,3.2132718705276284,2.3170606840486645,1.437110526804835,2.1565153807355792,0.7185123281856249,1.4582255079661002,-0.2453339387280799,-0.7884174084587063,-0.8218559892033359,0.8113056012150509,-0.5648923658015044,1.4633204153009658,0.2604488947523818,-0.65216438457763,-0.7761652997801972,-0.9418194948762004,-0.7694425538703503,2.1379716905714328,-0.8715621277889629,-0.048996072447186505,0.4416383048174035,-0.3759062541623136
LS-411N,-0.8462954591655258,-0.8778509856947968,-0.8005377354193988,-0.8302825507507511,-0.9186953331232592,-0.8828366255160023,-0.08127641684950275,-0.6696995135271452,-0.8636515531180639,0.5597384926940134,-0.7015688001228284,-0.8960664147850966,-0.959671790491424,-0.7265132994619387,-0.721368756874927,-0.676387864635883,0.9208333516734021,-0.8931677536576065,1.403993183042962,3.110276071187982,-0.8193971675203386,-0.8693239237196341,2.2442348121410127,-0.8678871172669521,-0.7380098373948586,-0.8598899414119151,0.10766455646165378,0.27356411640083994,-0.2624853321497572,-0.7808894584119731,-0.7957068252786834,-0.8234898424536348,0.6888740463011648,0.05102620795835521,0.3343585776701238,-0.33116140463507315,-0.797102086297281,-0.8638109196627702,1.0652705285271995,-0.04767338369610722,1.5815184370964317,-0.8285558755496868,1.953756753074832,-0.8996572314726679,-0.35371910956130226,-0.5580807539549724,-0.5384675345633401,-0.9877089996564442,-0.28136081987855865,-0.908878390128372,-0.8044100441668649,-0.335131280348438,-0.8145502558515936,-0.08130942838191382,-0.859127028820533,-1.0117112121695324,1.2483693729004552,-0.9224986414655866,-0.5697847240523953,-0.9491832549588516,0.9875848651822692,-0.7170011331870341,2.6887935525438094,0.8025617841195958,-0.6327544221110887,0.7127050490302986,-0.7835736997112148,1.1586456558882074,-0.5022829096864414,0.6316324134649066,-0.8333112387432235,-0.7748579726644848,-0.5470153791969675,0.33180756067464146,0.08765926911544167,1.1068410815799676,-0.7966339026537006,-0.023726883837160987,3.5833569055260885,2.5265829149444534,-0.9369608410869256,-0.930336361996706,2.019553040187649,-0.8312543395559926,3.3202321639297527,1.9341225688423955,1.0962460863638446,2.7207517149905325,0.7634536205156275,1.2861141698798302,-0.7207817579785165,-0.9904462495430212,-0.7392866882157767,0.8412287390884277,-0.6042487759118228,-0.8316464967521755,0.23400217589226124,-0.8168373886640627,-0.8256058565733191,-0.9047679713750274,-0.8856342522020494,2.6677521165505675,-0.8488851561535736,-0.7614818849656112,0.3625898147259357,-0.315113364159437
NCI-H2452,-0.8047749170133862,-0.5687327375899982,-0.7590912039195327,-0.7685938559390947,-0.8582924731756917,-0.8850464660893457,0.456636993323807,-0.7477445765370341,-0.4824252463691218,0.34923292837157444,-0.5642614871633165,-1.0335113037371324,-0.8487320924550464,-0.5556569982929318,-0.7333464060463272,-0.6794183505582603,1.1551477221241775,-0.7258940015875286,2.7055822487808885,3.167899209491457,-0.2565282294119812,-0.7815575327147789,2.4294457728244048,-0.8660532812056471,-0.7810246909336291,-0.8227859923525577,0.1892486769078852,0.5229232475125958,-0.045900184900623885,-0.7721226196456766,0.6657300109636147,-0.7620606139492843,1.3990438590186811,-0.05669709832841593,0.7401293849268438,0.16414018627230148,-0.8109724728766805,-0.7144195788467004,0.7386606384883657,0.4256954138061454,1.4342255465689182,-0.7933683016849822,1.98378251429046,-0.889695702358073,0.4012792702266202,-0.2834564089912421,-0.4581537416414706,-0.7114555416934049,-0.0690304360844752,-0.8482765613470965,-0.6619846968409462,-0.4432540558066763,-0.8497532105166448,0.10019246927535053,-0.937323052469088,-0.9235011203184499,-0.7872189259290733,-0.9787503029847696,1.2310267247401454,-0.6337122050691539,0.8267590771175902,1.7831676708839752,2.42997293920123,-0.624599232074328,-0.7211022968962283,0.8094516987179663,-0.783535283218563,1.7130923259067246,-0.6361981862030793,0.4927726409867168,-0.7813682959815444,-0.7887609803287435,-0.5017416438869874,-0.3939960434735176,0.5342620549659948,2.1829569309200685,-0.7673651838681615,-0.2797722033198499,3.616943143877368,2.6942865242565985,-0.8576606122651037,-0.9205869988758508,0.9191310614354068,1.1423573230427502,3.292519218651908,-0.5866613282892751,-0.6270368776737059,2.9035893667150847,0.5453095035644463,1.0933802369788548,-0.6865469766465245,-0.8076663058457678,-0.7695363903050214,1.1604717518938303,-0.7361175909345432,2.3605882200167314,0.17486977984787494,-0.4429466925798285,-0.8073202130380953,-0.9892915997913752,-0.7649118664925068,2.9393235006850493,-0.8109860852430577,-0.6969567765229187,-0.1596184972839978,-0.314793690336176
UACC-257,-0.8520452532459848,0.6917398403728523,-0.4942925895407341,-0.912827003475732,-0.8882388351784211,-0.4921101936854054,0.4067037857342677,-0.971604203430092,-0.3720503735238587,0.4776119845113764,-0.6214246400940756,-0.9196200208182104,-0.7263815613879706,-0.9260310700109162,-0.5220061902766634,-0.7334612959182046,0.6745182219837139,-0.8868759026344308,0.7068001751855457,2.5447876947786305,-0.8240768619530178,-0.9033917628707651,1.9911123016768,-0.8908268996074252,-0.6943889672456175,-0.9000190542030958,0.32497727602057064,0.05482263654381995,-0.6089297225151467,-0.7857210798480393,0.1964093093642431,-0.7809709074155805,1.2370027862820006,-0.16954546658212166,-0.14770226043711215,0.1909993229846809,-0.8105901271856535,-0.6420546453876597,0.675657375394771,-0.3304970146694362,1.6023168861037729,-0.8449925275004037,1.032296996867131,-0.8995925387419279,0.531666245914294,0.02431113942042716,-0.6320354307099632,-0.795503777995493,-0.12096196340846135,-0.8242444378587445,-0.7670166289747677,-0.4371875563650505,-0.6537941516128597,-0.5030246240113396,-0.9033097032040754,-0.9653733392447594,-0.7746963467460529,-0.9233267507207416,-0.4680581150726811,-0.8861251506827943,1.2353066689723506,1.4036145547256182,2.3980299837054075,1.3046882813491372,-0.7202347470731834,0.5527639555982773,-0.7315298695396689,1.5713551462319568,-0.5420709531276195,0.8088610502037482,-0.8108157473845227,-0.7685421056407541,-0.556972220769759,-0.6133351255929667,-0.034155866629153465,1.8429554911876995,-0.8560065328617077,-0.3303745242684679,3.734232260423753,2.5445795223269005,-0.5058362869403923,-0.8898547056344818,2.5880288683142822,-0.7791876657710619,2.9084226489081333,-0.41036861316806217,-0.8195178894285836,2.7662245055215413,-0.5669832824201168,1.366871664486755,0.27933463228855104,-0.9503048625205964,0.10240922914486912,0.3312185599443601,-0.8633385786468519,2.3828135579962995,0.6625406578276586,-0.0535754824600499,-0.7952925287636338,-1.0047119379257612,-0.628927266311922,2.9943644034412595,-0.8888615239730282,0.17460415793634151,-0.1797654584160006,-0.23280851377457995
H2369,-0.8041868452072397,-0.5923832746486467,-0.8664265218699592,-0.8560295011637699,-0.8728389200373841,-0.8974000675174708,1.0133323471917437,-0.7001653341451352,0.3844160112594428,0.7078090008210841,-0.6665037320557134,-1.0007030592920176,-0.8861474828257613,-0.8304560254480479,-0.7442463504479109,-0.07215352065641048,0.5246887983387979,0.15407737763850798,2.1225187970515003,3.3937457650117815,1.176383953780928,-0.8375988133417724,2.432821180489138,-0.7900244727399819,-0.7896764876803988,-0.8402559934325345,0.4919243989200915,-0.008771997303482411,-0.5448626380937526,-0.6791101079758283,1.309069422842029,-0.820660210893078,0.98391524428943,-0.32573120260042865,0.8422939935679746,0.10240349956068642,-0.7701421876301284,-0.8964617531925972,0.6785503836804306,-0.24765005383601346,1.2820857848245335,-0.6857061157192262,1.5015987044123955,-0.8167308855037909,-0.009231463053394808,-0.24414780742350276,-0.30249763844868194,-0.8676635533215187,-0.08953463563842731,-0.8562143837437188,-0.7074309775462814,-0.24427960860146106,-0.775919823797341,-0.32850586303632456,-0.8355394707454823,-0.9420292792405954,-0.7500045465141337,-1.0238665735823926,0.880028951099916,-0.8195224372613085,2.118573940182283,1.7892663621360168,2.56291969253438,-0.7909601274288278,-0.8612806097685802,0.3926891638648465,-0.7666078629955184,1.8503783023136984,-0.6424877379044716,0.4228808153200516,-0.7994310755674259,-0.7791641571100929,-0.6905552603854218,-0.4493613879077095,-0.18621512538980656,2.361924479089267,-0.7572152442737947,-0.33687463182024635,3.4447953907626347,2.67986321891239,-0.8768113515768986,-0.919820654655235,1.461760634841589,-0.1973307739306996,3.3127344525558606,-0.451811028626791,-0.6782479882045941,2.821717945768678,0.5169083084338644,1.1616224079964483,-0.691032607776449,-0.9553019660424724,-0.7090512672608373,0.7841199206958448,-0.5776987807093077,1.9527787522836568,-0.033848076739364866,-0.37027626072364944,-0.7903577383446687,-1.0566586437471697,-0.8433671153782365,2.665163704357563,-0.7936449523991068,-0.7573883912906048,-0.3732720210721264,-0.3378489135883645
H2804,-0.7677523698888121,-0.4811691709425545,-0.5789164626032657,-0.8731596225699373,-0.8108001079388207,-0.8657877975985601,0.3200770405864476,-0.8496428625895006,-0.7452420395235351,0.902740710377961,-0.6396496554452383,-0.9359408586994168,-0.8364532777222873,-0.1634248038144194,-0.7147949873060852,-0.785446201924712,1.475721942894131,-0.8232410011953057,1.7157145991879543,2.9792442308576064,-0.9052662773407943,-0.7579306290201651,2.4693826697994514,-0.8493253423609433,-0.7472125042240992,-0.8540317734212125,0.06920177595775415,0.14300282052086305,-0.2956110894766858,-0.7536604111168099,0.7870270250326533,-0.8186465498806296,1.2286983163664948,-0.05214509165491903,0.13865657513394264,0.2041921667847771,-0.7921875019956981,-0.7657964932741853,0.07826014850837656,0.5865010802073944,1.3881100410006737,-0.8400099008282762,1.3454997586433222,-0.2906560240755607,0.3455135412482723,0.990290643900702,0.10515999168775987,-0.8838069861952369,0.05946878180403752,-0.5846225301989539,-0.7046985528251593,-0.5797021612079514,-0.8288123207029022,0.2425843506999755,-0.8495843757065901,-0.8771587964079776,-0.7055261959651329,-0.9612993647590062,1.2355153491287525,-0.9231948880205668,0.022625771340851832,1.1426135372778092,2.3943830700242965,-0.8023376006127102,-0.7502579519826327,0.7739922524966268,-0.7279161867896468,1.8062763374135016,-0.6451834118942862,0.4341496622320348,-0.7149393409393366,-0.7424515994968806,-0.5751769346543611,-0.7550530057797646,-0.3085871120207917,2.2920938946678646,-0.6732398340671452,-0.14799753559347464,3.6792829724544704,2.5822166518278937,-0.8439586633473772,-0.9206001042106544,1.2310694005799854,1.00549916521943,3.056593541027423,-0.21866028751922356,-0.7063121838519759,3.075515978263032,-0.0712386236745727,1.3560810070611378,-0.4288977530377384,-0.9223666479491572,-0.7760680472345683,0.3947720845654773,-0.7496248056348814,2.310470622694918,0.08200578811682839,-0.6854649035487371,-0.7673173657476449,-1.076943175606318,-0.7529231383452722,2.754749186562667,-0.8565138313212369,-0.7638303021435242,-0.4312594649685069,-0.27335239188478433
