,GRM5,PLCB2,ADCY8,CALM2,PLCB1,RAF1,PRKCB,PLCB3,PRKCA,CALM1,PLCB4,RPS6KA6,GRM1,PPP3CC,PPP3R1,CREBBP,PPP1R12A,PRKCG,GRIN1,GRIN2A,MAP2K2,GRIN2C,BRAF,GRIN2D,ITPR3,CACNA1C,MAP2K1,GRIA2,GRIA1,RPS6KA2,RPS6KA3,NRAS,CHP2,PPP1R1A,PPP1CC,PPP1CA,PPP1CB,MAPK3,RPS6KA1,MAPK1,HRAS,ITPR1,EP300,ITPR2,KRAS,PRKX,ARAF,CALML5,ADCY1,RAP1A,RAPGEF3,CAMK4,CAMK2A,RAP1B,CAMK2B,CAMK2D,CAMK2G,PRKACA,GNAQ,PRKACB,PRKACG,PPP3CB,CALML3,PPP3CA,ATF4,CALM3,CALML6
CAL-120,-0.9112527005764426,-0.8410267277913479,-0.7077193384081467,3.0529492415243493,-0.9952210133063484,0.9048466647021476,-0.8598842831717439,-0.06710599842684792,-0.245701092160002,2.507628534831807,-0.8247955092132357,-0.8767399290211582,-0.7950285858125158,0.4886741526831703,0.587589438038193,-0.0320480516664802,1.0966590001589076,-0.7831122737775845,-0.8776824786563898,-0.6985840764596684,1.9428200748275049,-0.6972680748168344,-0.5979925924579317,-0.9341410713357138,-0.030940672691282468,-0.9096473438901092,1.5889586870449508,-0.8808311304793853,-0.8371838257574453,-0.804952845522789,1.5419913980788051,1.5867513847782557,-0.8684757319455859,-0.7528995820131972,2.6007751449411587,2.0327199014131763,-0.4213803407393366,0.6544469534894845,-0.4747614952256771,0.254584764720762,1.082836190327067,-0.6956277347833403,0.3542162947583245,-0.8271766077478018,0.8623239999845511,-0.009488127225370702,0.03481131212472676,-0.836582235924515,-0.6798152905265832,1.994590420866363,-0.7894375495438642,-0.6481075356075369,-0.8004982694445578,-1.0008928278977822,-0.6898434653353636,0.9195781581055524,0.090934095605866,-0.6784512920953805,1.278850664485513,-0.12687051832271462,-0.654325187767558,1.3040273382901366,-0.7316602047754526,1.524973231608369,3.32997164977639,0.4960791000677928,-0.6513650857226001
ETK-1,-0.9888598442544608,-0.8131655622832074,-0.7809562093665241,3.2486296780654382,-0.7718806989668794,0.7020272276858314,-0.7821007727003433,0.010458131797234252,-0.39963966733559103,2.6482924484120773,-0.7023412823859003,-0.3713051256539937,-0.7563886220088594,0.15677644795219825,0.7456161558662325,0.3235791712465376,1.027200403927157,-0.7505054316116957,-0.7852217950739825,-0.8798535192977222,1.5809167664755956,-0.7427547314635868,0.42995935860563744,-0.775222999949923,0.5317967967428799,-0.9406139743340124,2.02799378906126,-0.94477681773652,-0.929220987813954,0.5720004321241864,1.4333254609430977,1.9604995952736224,-0.8005645874537219,-0.7687564403438509,2.493745296818487,2.632470946531496,-0.4825372717385096,1.1182205197694308,0.5473748711140506,0.3975693338555972,1.1893851867654288,-0.5372480176803583,0.26978192824138314,-0.7419766084873222,0.6590952429722751,-0.12683764141526238,0.33932625638779457,-0.9400540944616924,-0.7127029641946577,1.6979263338748616,-0.7548228092529552,-0.8114536653676877,-0.8338431907374246,-0.8848793851995042,-0.8033817133770927,-0.6078259914787214,0.20931283073934645,-0.7194000136624761,1.2156903198653906,-0.18238817592854964,-0.7344656305842422,0.9826347885434216,-0.7200753015414014,1.1094227296385155,3.278146413150578,0.3352856435292844,-0.6224763987522802
H2731,-0.8957841392546197,-0.7992484194290387,-0.7768896859039048,3.296675649208044,-0.7732044036381496,1.1135111322846425,-0.7525382834330454,-0.17396924272081726,0.6734231696706534,2.3776449201730934,0.16831385697593085,-0.7707528390016399,-0.7572973525860948,0.5802422320119615,0.8449107820252452,0.6508008841545262,1.405148547145426,-0.7608390346223795,-0.8750234538919357,-0.7402124316546749,1.8069608813025064,-0.7109063324307986,-0.7754335933876804,-0.8815948774012841,0.4615007425021106,-0.8554280541743314,1.3149922194525154,-0.9082359528640088,-0.8593212333442896,-0.3965595020242776,0.8794643999624691,1.804879139023512,-0.8255021707598625,-0.7096149098906434,2.6938948839859096,2.1586324093436096,-0.3242464018989292,0.3118671424176911,-0.07858527905274855,0.4667006303610834,1.3957190977726834,-0.4418427700864057,0.5688645920054424,-0.6374381883708439,0.4822517483970864,-0.2033313768000739,-0.11617673540724364,-0.9566716091283116,0.5576172839475156,1.2791321480122433,-0.6933966162491373,-0.9766625420000714,-0.8649863141056461,-0.8796226775193999,-0.5572428573251605,0.29629168167823383,0.08200331101734623,-0.4847361456152967,1.331451747196528,-0.08539070392550371,-0.7275353981358128,0.96608022614365,-0.7233951794983854,0.8494996361176862,3.197958050925932,0.20515465393690435,-0.7544130018124615
NCI-H441,-0.9550096868032012,-0.8467922699686409,-0.8776772097809287,3.4922933610478832,-0.4137432725757009,0.9307471911980078,-0.8297087830459828,0.047181768982734885,-0.3502615548914809,2.325708291028299,-0.7590816674650094,-0.22353676177526224,-0.7814709321347799,-0.2059835555807677,0.671462143470626,0.3300006053043416,1.554213124150548,-0.8452648290987299,-0.6888842278909396,-0.7815000419042545,0.9329538478919084,-0.7619746823400546,0.477240781276831,-0.8118334715148745,0.41154474354794396,-0.8990277767201378,1.8116381417690188,-0.7927773784048986,-0.8077495661265682,0.20233674861244216,1.7291566015093782,1.250040047216832,-0.7443589329584805,-0.8254439007840909,2.7575849597449063,2.3400929361510734,-0.23869298507748396,0.8829574758666384,0.11385506727248786,0.6704127006499002,0.2209947943117495,-0.42473095920027415,0.5779094479742364,-0.9274393668480508,1.3593939234001158,-0.12313304451322998,-0.1939819066756263,-0.8932595708478543,-0.6176814553672658,1.308409764992568,-0.7949404623439911,-0.9177539408370076,-0.8230153353604464,-0.9769695652140622,-0.7957941677267765,0.9436775312534142,0.15204373682864664,-0.7650292595911261,0.998339232009359,-0.7009703744973171,-0.7621262200803886,0.7978946375204485,-0.740287115451123,1.5230799007100149,3.548919691399304,0.23941754943833596,-0.6735617454391638
NCI-H358,-0.8945223059641566,-0.8626970728570821,-0.8470230774569049,3.3528275162361285,0.19117946259854468,0.6072135995516039,-0.8365145975712129,0.03331856327535982,0.22820352238433414,2.4876845734977757,-0.2515176117389434,-0.2370255118698955,-0.8416836678820719,0.1133341603297024,0.7330217672334549,0.4850687772097664,1.376091356288217,-0.7894832640413467,-0.7858220706954999,-0.8514154994918147,1.082929831298524,-0.7546523660289365,0.047892795948571314,-0.7948704939908104,0.09300924589876357,-0.9460043120237801,1.9452322977593564,-0.9018011481572844,-0.8429067933349786,0.3232432688249177,2.025435595277731,1.4746253607378723,-0.7765764487376476,-0.7307480480866364,2.7268814520643816,2.0464961862271758,-0.12889379757019806,0.5908614322155727,-0.11319189558944415,0.30552863757628834,-0.039190101288340655,-0.3030747098850401,0.5243813049821994,-0.8928125955605728,1.707660961932456,-0.01242724165613067,-0.014021040959124124,-0.9634705179653484,0.16059801371355076,1.4582255079661002,-0.4606389090448557,-0.9451021401255042,-0.8447945012530612,-0.7884174084587063,-0.7985102390812708,1.1990658993820391,0.03078300906271989,-0.7460264884047975,1.1112600614214074,-0.03861385085110898,-0.8119595283999252,0.7105725941996609,-0.7344863126226708,1.5168640378636915,3.635442706764745,-0.12512257186767906,-0.8939103627850005
LS-411N,-0.9746267850182896,-0.8252399049657492,-0.7839596049088862,3.1368673823542266,-0.7547532040506328,0.6534312803956329,-0.8145502558515936,0.3103556230183169,-0.08130942838191382,2.5054438264428436,0.7385101236417758,-0.8016302412946349,-0.7818082992031959,0.6102058000785681,0.6866831691116626,0.5307882230967228,1.1956475525900516,-0.7835736997112148,-0.7541646898965401,-0.8591229944527337,1.3183433692471571,-0.7385723965766532,-0.08196609676428873,-0.742109675700756,0.30792462858045816,-0.9629545114112122,1.8648442801490044,-0.9442214347849596,-0.8750608123009626,-0.6943330299245424,1.756609840055967,1.3307944797542282,-0.7907183422107622,-0.4336101109345373,3.005525604776225,2.1186011901225594,-0.4077864176578668,0.4836942612484981,0.1660794158213361,0.5281396400601249,0.7081041907948731,-0.6603034371682446,0.4984423017239042,-0.7599401493459873,0.8977517412016167,0.24008740080601,0.08203770334224564,-0.9716378733491622,0.9000359738931872,1.2861141698798302,-0.797102086297281,-0.9562505055682382,-0.7724675179587096,-0.9904462495430212,-0.8460535006733209,0.6949287644584758,0.16783838584763744,-0.7492424351953667,1.3472266845226923,-0.7536140345273097,-0.7472563480640524,1.1860568860720222,-0.7728415900897507,1.2675580514914555,3.5513607391035027,0.0835784757999067,-0.5007594089468782
NCI-H2452,-0.9564327753437952,-0.8460713325520388,-0.9263919771828658,3.191601611188496,-0.7539700861604864,0.30033039646165405,-0.8497532105166448,-0.11057951697855592,0.10019246927535053,2.378162884101812,0.5343925092389925,-0.943198528558692,-0.7317094184937779,0.6097697323772127,0.5156737189830976,0.4313546546317911,1.4132796853758651,-0.783535283218563,-0.7853563779454131,-0.771934750301405,1.4594221269364345,-0.719135267165991,-0.3329735262677015,-0.8806682207786016,0.5083867570242881,-0.8775058155462905,1.7385066518646413,-0.9100680734038272,-0.8114592818507044,-0.32266290511113543,1.4646385136820488,1.1393357611865211,-0.8405076697169629,-0.7979656826415512,2.514499438678596,1.9977910062190103,-0.5019313728062356,0.3383250667796434,-0.15436563603915307,0.5485088606794144,1.1931770656516067,-0.6082088938227982,0.4085535348039537,-0.7288177609019285,0.5879673768544635,-0.22721232965823696,0.13900441631942434,-0.7421373302603795,-0.6065239546777987,1.0933802369788548,-0.8109724728766805,-0.7748522490467167,-0.6207253368030587,-0.8076663058457678,-0.7575682245033781,0.5390059237100548,0.21101102242604425,-0.6452435927900988,1.0049315677563442,-0.1809493330546448,-0.7149489808767246,1.0372322708424515,-0.8361979497441067,0.9832393698470784,3.336532171166088,0.1705581369264669,-0.5957541549633595
UACC-257,-0.9754718309164048,-0.7110609526522981,-0.803708910974226,3.0256767109833014,-0.79328888628428,0.4626853245173175,-0.6537941516128597,-0.5110766650626987,-0.5030246240113396,2.49506855821935,-0.3833885496067346,-0.9938407390701351,-0.7413521244361378,0.2289131802539772,0.9334381880202888,0.29148630199752035,-0.7175727306150271,-0.7315298695396689,-0.8213628959404996,-0.8321365525754459,1.6389289008705468,-0.702890877737439,-0.4590973762124978,-0.8547325184760755,0.27240087182372746,-0.8723915852474939,1.4920891032672825,-0.8609287562638115,-0.8839219412875827,-0.8198936095332048,1.4655828698669384,1.7438123860969132,-0.6953698820815825,-0.6685940605856874,3.0052939295815477,2.0777689682815117,-0.5563936439149799,0.4198127773087068,0.07203473141150467,0.7572535381033558,0.9897057775020668,-0.3167083742677149,0.5801167903165992,-0.8013917384396685,0.461570293006893,-0.3160382285827913,0.17370790712272907,-0.8167699894445254,1.993117732421708,1.366871664486755,-0.8105901271856535,-0.4730142687410352,-0.6916073111439359,-0.9503048625205964,-0.7923150064044164,-0.3189395196963855,-0.4358507266623245,-0.5743692795425096,0.8886205363553505,0.35160257937611256,-0.7392199079329052,0.9798141438305474,-0.7443193145943737,0.42252463037964,3.417758486684209,0.569109677257734,-0.7133071026525576
H2369,-0.8900203891037944,-0.8228510059307507,-0.7260353675921927,3.0916719356215383,-0.9612234756778856,0.7248507230584516,-0.775919823797341,-0.3960025708208996,-0.32850586303632456,2.1434350810263516,0.7978209123643938,-0.8842795892188972,-0.7962698990684459,1.1137573522711923,0.4648833523956536,0.2293368853765421,1.1987682815529104,-0.7666078629955184,-0.7998236323946586,-0.8821427615126879,1.5689479178731216,-0.7024319449761928,-0.4941771265845692,-0.7293849399034292,0.3890103468123517,-0.9149498472120232,1.6167083729494922,-0.8400317424194016,-0.8366740808053249,0.6534345053180017,1.489438769970385,1.1337516076882892,-0.89093309831169,-0.8401281927942845,2.81399143520468,1.7840308542965482,-0.4999383508852132,0.26262041498512817,-0.24614358527301475,0.3546276216895768,0.4120349900412952,-0.2505323708693817,0.3382506361694041,-0.5963138153040659,0.8620638067442004,0.0018002208058185297,0.16017014510848818,-0.8279801518861528,0.004980226308451243,1.1616224079964483,-0.7701421876301284,-0.7319393918990498,-0.7666587914687972,-0.9553019660424724,-0.7406429182335368,0.5954084251627866,-0.1519435446921602,-0.6049501934502494,1.3669016331755115,0.5788888410259995,-0.7371957869808202,0.9321089114412611,-0.7742837734990925,1.405160528381142,3.489438637862685,-0.4152737105561847,-0.8317285134784118
H2804,-0.9155832155390704,-0.5192330623126676,-0.7141203000405323,3.0287023972305334,-0.6395859219941844,0.9891072695734257,-0.8288123207029022,0.2719238655148328,0.2425843506999755,2.232842552432209,0.2332788016987352,-0.8900125641797672,-0.6912695750340742,0.7003334883779747,0.8140144922366889,0.7188231677713263,1.4744827986403333,-0.7279161867896468,-0.8379841354811352,-0.7741026660939482,1.3963003958057107,-0.6733457623055121,-0.6538816474444307,-0.8948293315874686,0.5064148954237336,-0.904782862519354,1.5377013449030346,-0.9206478376033363,-0.8183293662295659,-0.11783811524758725,0.3747394540415649,1.5529699611461252,-0.8765614902828154,-0.7048853620588438,2.691773608843138,1.9678523604873952,-0.3864103820772829,0.2628231971577309,-0.2370857719876033,0.13328015511769925,1.4435399452741482,-0.5226471505895725,0.33953351564350565,-0.8730594914541691,0.71502459917081,0.14106790079141635,0.29881565103818736,-0.9351445062461348,-0.4011081155948106,1.3560810070611378,-0.7921875019956981,-0.8796070509991436,-0.7856330359540099,-0.9223666479491572,-0.6604254215257457,0.7527346594322986,0.19029487929264755,-0.6335838250791648,1.7748594598757197,0.037417570691581366,-0.7164047056769286,0.7699003857676869,-0.8202856317679825,1.2439173450560286,3.1543547838941466,0.21303907453752247,-0.7911750295976948
