,GRM4,PLCB2,ADCY8,ADCY6,TAS2R42,TAS1R2,TAS1R1,TRPM5,PDE1A,CACNA1A,ITPR3,CACNA1B,TAS2R5,ADCY4,GNAT3,GNG13,TAS2R9,TAS1R3,TAS2R1,KCNB1,TAS2R16,SCNN1G,GNB3,PRKX,GNG3,SCNN1B,SCNN1A,TAS2R40,TAS2R39,PRKACA,PRKACB,PRKACG,GNAS,TAS2R38,GNB1,TAS2R8,TAS2R7
CAL-120,-0.7676305049469359,-0.8410267277913479,-0.7077193384081467,-0.3556607111977109,-0.8533363113330458,-0.5679863875118313,-0.8642457416774082,-0.762772329768346,-0.8838208191556736,-0.8058188398574968,-0.030940672691282468,-0.7479109002979777,-0.9069094020218226,-0.8163910921494271,-0.7190780891314517,-0.897792366442707,-0.8967642772920869,-0.486063715316538,-1.0566566717738906,0.15598203578360248,-0.9340383699637372,-0.9200671083664571,-0.5130270282387062,-0.009488127225370702,-0.9446023217855466,-0.9181456814602651,-0.23464557290462346,-0.7493997688071451,-0.9186905495943556,-0.6784512920953805,-0.12687051832271462,-0.654325187767558,3.3732460502143957,-0.8414484982157513,1.8561165038023282,-0.8904020060675348,-0.8048416298682967
ETK-1,-0.8344410957361729,-0.8131655622832074,-0.7809562093665241,-0.3049678122413211,-1.002160817300294,-0.7553849946945703,-0.8305303609844469,-0.5932468501375948,-0.9380826099207558,-0.7633492344750133,0.5317967967428799,-0.7256224525724333,-0.8797753830535991,-0.6038269730380169,-0.839534234741474,-0.9378893789591802,-0.9761337453203104,-0.6161341593564189,-1.1109698477238326,-0.9783926924120268,-0.9944930859503996,-0.943649439828662,-0.8280878806544839,-0.12683764141526238,-1.0004640267099925,-0.7592355159141914,1.2529219229962842,-0.8693776624267682,-0.9309696686428643,-0.7194000136624761,-0.18238817592854964,-0.7344656305842422,3.364873422532959,-0.905317265224702,2.1217200525084268,-0.9787700790558403,-0.7203007705080701
H2731,-0.8349633910170438,-0.7992484194290387,-0.7768896859039048,-0.4089693650984996,-0.8660124303091771,-0.7154842723444834,-0.7756350638663371,-0.7875324769316692,-0.8153354576358949,-0.7313049561460346,0.4615007425021106,-0.8858196390105881,-0.5804249856544854,-0.7810256979095048,-0.657345411445962,-0.8622702383308877,-0.9730131645387912,-0.5989796036171502,-1.002703111622577,-0.9136515673439822,-0.8373623627983641,-0.9408345864778956,-0.7660143528430091,-0.2033313768000739,-0.9978723764316296,-0.7659145366899806,-0.1888220130971055,-0.8233797603593881,-0.7350702459278166,-0.4847361456152967,-0.08539070392550371,-0.7275353981358128,3.3056756877527853,-0.8665620031608225,2.1046910537848444,-0.9639784554374904,-0.6461036679241362
NCI-H441,-0.8258596025538677,-0.8467922699686409,-0.8776772097809287,-0.5217586180535277,-0.862031334018943,-0.8475924277109793,-0.8286137212691923,-0.5964517686194876,-0.8020630585937393,-0.7440604119109109,0.41154474354794396,-0.8766745458295415,-0.8032740052881143,-0.7763358049007021,-0.8263620638097009,-0.8978886930561155,-0.9938540583735476,-0.5562375150579311,-0.931870135594748,-0.9475770730977879,-1.0405841358085015,-0.9398920750699408,-0.7597607197587318,-0.12313304451322998,-0.9228653911916648,-0.620272025850279,1.4598542336507507,-0.7487267278116208,-0.8534264151302773,-0.7650292595911261,-0.7009703744973171,-0.7621262200803886,3.3778448426574985,-0.8203773641324309,1.9414018371844048,-0.9682772387067043,-0.8426503233124097
NCI-H358,-0.7925332577775435,-0.8626970728570821,-0.8470230774569049,-0.27202491482074803,-0.9600375756254852,-0.7520889553692652,-0.7731598574303222,-0.7640425295588743,-0.8630908498381039,-0.76969166230554,0.09300924589876357,-0.8313538091347054,-0.7486543295730465,-0.6713981212999189,-0.9397158950425198,-0.867722328298001,-0.8819225881463965,-0.6858573040450366,-1.052051731653234,-0.9546403475476672,-1.0220942837679692,-0.9848509159573996,-0.6829179217782472,-0.01242724165613067,-0.8928972561262278,-0.8167752738787732,1.13998471557603,-0.8457052005395018,-0.8715554014601444,-0.7460264884047975,-0.03861385085110898,-0.8119595283999252,3.194111588352162,-0.8029784236802616,1.5979155125144342,-0.9791352339741736,-0.7634782085628549
LS-411N,-0.8708485508454391,-0.8252399049657492,-0.7839596049088862,0.2731382767418529,-0.8350824311699879,-0.9111945805616136,-0.7892042025916682,-0.7318064787936823,-0.8353521886526898,-0.6369741683014618,0.30792462858045816,-0.7594025560805918,-0.8444632462900101,-0.7075433233713426,-0.7764576099006757,-0.8832575166587496,-0.9537989689156122,-0.7138871519546068,-1.0796485065995445,-0.920700414844238,-1.1203255824343723,-0.9640133903106516,-0.5906476962603037,0.24008740080601,-0.9727838557521591,-0.8440183278860649,0.5020834992266382,-0.7233649514269548,-0.9028529686483552,-0.7492424351953667,-0.7536140345273097,-0.7472563480640524,3.1143354728751507,-0.8107835962149846,1.2924883923959511,-1.001145056787679,-0.8656918196125607
NCI-H2452,-0.8468121918485255,-0.8460713325520388,-0.9263919771828658,-0.5305719669820655,-0.8406847706418613,-0.8307656099088458,-0.8080851894492533,-0.7303079414862068,-0.8939638881224716,-0.4599446418665735,0.5083867570242881,-0.8149591458193104,-0.7483068088544311,-0.6038890715469784,-0.7272124171168974,-0.8941136278532679,-0.9976873444319234,-0.5375017106014207,-0.9824628172158244,-0.9874422298106832,-0.8905409999185381,-0.9147159395081068,-0.24138472461774246,-0.22721232965823696,-1.00821583746346,-0.838976440634109,-0.2430350483759073,-0.7286478637484504,-0.7196626745474329,-0.6452435927900988,-0.1809493330546448,-0.7149489808767246,3.3606597725453997,-0.9257402072555068,1.9720648512788173,-0.9509190828039548,-0.8167238186359496
UACC-257,-0.8202609700405726,-0.7110609526522981,-0.803708910974226,-0.2991199706174708,-0.8718122131448629,-0.6292495241775659,-0.7974686825949068,-0.8651846133767247,-0.8322929533267311,-0.14621144722162174,0.27240087182372746,-0.8066384924396293,-0.8925858915188076,-0.7674076783270078,-0.8091977667658444,-0.8993326603586496,-0.9855935644823244,-0.4480186871416507,-1.0122308271242904,-1.0248819879796822,-1.0019534449809424,-0.921597038936742,-0.7759779713340493,-0.3160382285827913,-0.9302518505335056,-0.9398016920508488,-0.7032457393755365,-0.6818199021834924,-0.9724157842002564,-0.5743692795425096,0.35160257937611256,-0.7392199079329052,3.3054586149368923,-0.8662559312659885,2.2427200308713804,-1.0015996703822794,-0.6330817063972066
H2369,-0.8418025828682955,-0.8228510059307507,-0.7260353675921927,-0.3452824988242441,-0.9224148265920316,-0.73346853064896,-0.7577645122323267,-0.7442496197955671,-0.8510784261084801,-0.5440483483521582,0.3890103468123517,-0.7386356764197018,-0.6609011634969406,-0.7234662229320352,-0.8181003126021462,-0.8834055985470183,-0.9767508977911484,-0.6262949361053888,-0.9773348980649744,-0.939966009085232,-0.9652590035947912,-0.9637633019848678,-0.5667991617745217,0.0018002208058185297,-0.9412251134834496,-0.8842795892188972,-0.12990187762677546,-0.7253899615050365,-0.8894971368937843,-0.6049501934502494,0.5788888410259995,-0.7371957869808202,3.1254933232669537,-0.8213145464841741,2.1531828050385307,-0.9790938228086572,-0.7995451304417742
H2804,-0.8170143923979328,-0.5192330623126676,-0.7141203000405323,-0.17372681643090765,-0.912791300632591,-0.7340344975308521,-0.7906536935588447,-0.8236298239655243,-0.8815908020159364,-0.700207547432433,0.5064148954237336,-0.7897237809110279,-0.7206639372867952,-0.7810567887522382,-0.7100133483950299,-0.8984486200964196,-0.9118235145218788,-0.5632697986615517,-0.9691179313802928,-0.910676745407785,-1.031723044267146,-0.8561032747366154,-0.49800363247348495,0.14106790079141635,-0.9461422497980032,-0.8772861319851697,-0.3094537008043552,-0.7575832668115933,-0.8873334509475502,-0.6335838250791648,0.037417570691581366,-0.7164047056769286,3.204653057794608,-0.8269399295413651,1.86668018757024,-0.8957839695945381,-0.7265398176414758
