,GLUD2,GFPT2,AGXT2,CPS1,GLS2,ABAT,ADSS,ADSL,GLUD1,GLS,ASL,IL4I1,GPT,GFPT1,GPT2,DDO,ADSSL1,ACY3,GAD1,GAD2,GOT2,AGXT,GLUL,NIT2,GOT1,CAD,ALDH5A1,ASS1,ASNS,PPAT,ASPA
CAL-120,-0.8264805132912586,0.27733472243399354,-0.6751936368938001,-0.5208865334961054,-0.7269680358148406,-0.8139840272368037,1.8106217776481808,1.7497122541644985,2.483863573741442,0.39945249852615256,-0.25276685302044005,-0.7686109403188591,-0.7500020883317373,1.337304785988052,0.5842116366478143,-0.7931843906728715,-0.3255827280658926,-0.7250866354988084,-0.2084031630456833,-0.8167172515848038,1.5833193000601793,-0.7535139218886614,-0.5717881465819211,0.1309892006056095,1.2352312982197828,1.3039760951927255,-0.4925247160066419,0.5146176737403998,2.529533132471196,1.6928371895138845,-0.7481737389651528
ETK-1,-0.70510449685032,-0.4885612295670517,-0.6880849597923928,-0.9254893262940416,-0.7885098786588141,0.06584021091666144,1.370011015309922,1.6898761752332414,1.9359386586496208,0.7239241899267528,0.2501067952180628,-0.4786883872479975,-0.8529579055088249,1.5488635018404862,1.006886379690859,-0.3983663136790265,-0.007419812946430602,-0.7062761546428289,-0.1606068816966689,-0.9008315828623716,1.8121071418495815,-0.8550585382203809,-0.025022200127132604,0.3551978987732835,1.6765775316438518,1.3301909648283563,0.481779159063528,0.4300468278346918,2.421228913453249,0.7105171864179665,-0.8290732324619315
H2731,-0.7909197251447688,1.0124081565473166,-0.6719374956947101,-0.9034783222002756,-0.7107421626377497,-0.6896410114926524,1.43779027662097,2.0159482192244624,1.7352168018856469,0.9315015573734918,0.06849677305132644,-0.7514117605826427,-0.7290876466695012,0.9783382808924114,0.3421173463550635,-0.16226268004447605,0.4383995173869242,-0.5525675553971741,-0.4721087154318123,-0.8824989897035109,1.5919892384055103,-0.7876488329330352,-0.5074168265727814,0.40402276416568494,1.7051345950676935,1.7732224158016852,-0.06661535102778164,2.448826693375382,2.2936151416329507,1.4997877142133569,-0.8868319710037172
NCI-H441,-0.7990754642613341,-0.45970802790037996,-0.4846198726959231,-0.9282479153053572,-0.7703669727264676,-0.6735827441073942,1.7335210280996665,1.7708657663158718,2.2962449152206803,1.1827350508528467,0.019707611734318568,-0.7416683915864308,-0.8011079676699453,2.336656685245223,1.1217054386590457,-0.867833205936394,0.3775280254577976,-0.7692355841979679,-0.10657475554195253,-0.8774440773470842,1.4223078372796416,-0.8024169988971784,0.1519453934112534,0.3190409357906696,1.5410338113365316,1.2588551177000171,0.7393953517199416,1.5854057952193026,3.269007144464587,1.7289295344361688,-0.8224628025187994
NCI-H358,-0.7498846733194735,-0.2955016282891282,-0.6487141410105484,-0.8497088195907939,-0.7332750482044564,-0.7015206078808988,1.7645378997660852,1.9529862316706503,2.235835723902545,0.27914362463951786,-0.3841777176040301,-0.6988403588843085,-0.7491532239491011,2.3649311992534594,1.647900819047071,-0.5702355977078017,1.4196571227218842,-0.7708977461011755,-0.04184800946501383,-0.9252258501803119,1.354144334436804,-0.7588241493916823,0.06048622786305551,-0.11048176840516773,1.0817163642840586,1.1530193470575658,0.5614643480559733,3.0743260783196447,3.0740623758687105,1.8823354891392952,-0.7295393339197285
LS-411N,-0.8076789136801439,-0.5220468692427616,-0.7515737856036984,-1.001792813494341,-0.3873217427458556,-0.3333939756864037,1.4586305812953428,1.8213176505750388,2.1956480666978977,0.4085842876590951,-0.13086307607452266,-0.5812341216113601,-0.7739994124952538,1.8346727549374389,1.1820167369891001,-0.8093325476347859,0.24135156544756545,-0.6730205306543674,0.002328444111673949,-0.8866069477574633,1.5156208482797546,-0.7861661793726629,-0.0868883019895475,0.32497565311905274,2.1336117877167284,1.58242457506219,-0.23742317030038684,3.205139945926515,3.080615570213304,1.714366035866397,-0.6411762016520317
NCI-H2452,-0.7576701380011321,0.9715685796893678,-0.763067135272478,-0.7905762368228123,-0.7685051805798186,-0.7809529636111671,1.6424972639544952,2.032375337688673,2.119372166414663,0.9242553603628892,-0.2733981525125574,-0.5474344559459627,-0.8000132856276526,1.4864986594291332,0.5494261339682522,-0.31915224173024,-0.6915301888804029,-0.7367328123497378,-0.6591997210301488,-0.908867950897174,1.740131230223578,-0.8369422663697911,-0.2927146689136992,0.5277026743832419,1.4169450020212384,1.4040186115741589,-0.4302704020148379,2.5923485420989967,2.5139993240292906,0.9717605202076116,-0.8144171458626911
UACC-257,0.6648411468311256,-0.4265775508074681,-0.7987501501712418,-0.3193939535908855,-0.7758752384653328,-0.7611553734814708,1.6774546441616465,2.1610915682241165,1.5864730783871939,0.6203103601023792,-0.13334964063346896,-0.7342679023366324,-0.8526343697979815,1.3645781794075853,0.1162571944805666,-0.8500042257806781,0.4408655728575915,-0.6922246694158116,-0.5486714482367274,-0.8628217824069528,1.8093666840787093,-0.810899955656213,0.01621435282466081,0.4170073633511284,1.1820528270799928,1.73267154866116,-0.05430113385134911,0.3435067163238626,2.0445362529668767,1.3200431524376708,-0.13064588362104226
H2369,-0.7751550925254722,1.6406359413623066,-0.6737625185105536,-0.7112750162882215,-0.6894142511248964,-0.5277507680716312,1.5145180545494412,1.715285176260065,2.024507668023194,0.6446289428186907,-0.3969531482018514,-0.6282164016549631,-0.8030609286190323,2.0465779989255592,0.4805345528980301,0.3485118496150948,1.0709135895951984,-0.8659018331424002,-0.2966214581014266,-0.8662284408808654,1.5626370260680682,-0.8930542481147989,-0.3381221022739293,0.2441188971480161,1.7384042679773783,1.2500143009621154,-0.7303038658604212,3.3502825501021856,3.0416929080618886,1.4768579275723217,-0.8209643710817561
H2804,-0.6243497393318953,1.6615016714306388,-0.7039072067899123,-0.9200596512129806,-0.7774165254501644,-0.6917293536665433,1.3700030107289594,1.6529045670860072,2.0459616024868787,1.5268790500612692,-0.5323018521345139,-0.8084306923782834,-0.8093819793041072,1.6001581368584779,0.652351968287599,-0.5200284284515466,0.5132474130466161,-0.8411952542128519,-0.8528781648503976,-0.8297554852285958,1.9343191837666576,-0.8462717359272152,-0.04341708162393049,0.38786385950611496,1.1887986450173418,1.5719785709446412,0.25594727343589885,2.9996829933266658,2.110368960203881,1.3099939645954275,-0.808873817542047
