,JUN,CALM2,ELK1,CALM1,MAP2K4,MMP2,PLA2G2E,PLA2G6,PLA2G10,MAP3K1,MAP3K3,ITPR3,MAP3K4,CGA,PLA2G2F,NRAS,MAPK14,MAPK12,KRAS,GNA11,PRKX,CALML5,ADCY3,ADCY2,ADCY1,PLA2G4E,CAMK2A,CAMK2B,CAMK2D,CAMK2G,PRKACA,GNAQ,PRKACB,PRKACG,GNRHR,GNAS,GNRH2,GNRH1,CALML3,PLA2G2D,PLD1,PLA2G12A,PLD2,HBEGF,CALM3,PTK2B,MAP3K2,CDC42,PLCB2,ADCY8,SOS2,ADCY9,PLCB1,ADCY6,ADCY7,PRKCB,RAF1,PLCB3,PRKCA,ADCY5,PLCB4,PLA2G3,PRKCD,MAPK9,MAPK10,MAPK11,PLA2G2A,MAP2K2,CACNA1D,PLA2G4A,MAP2K3,PLA2G5,MAPK13,PLA2G12B,MAP2K1,CACNA1C,MAP2K7,CACNA1F,MAP2K6,CACNA1S,ADCY4,GRB2,MAPK3,MAPK7,SOS1,PLA2G1B,MAPK1,HRAS,MAPK8,ITPR1,EGFR,ITPR2,MMP14,SRC,FSHB,LHB,PLA2G2C,ATF4,CALML6
CAL-120,1.3389142205771671,3.0529492415243493,-0.6394870911434297,2.507628534831807,0.4093350893851053,-0.802985305651903,-0.7039974159764619,-0.6657835805259128,-0.9760416175009524,1.1196034056878348,-0.18198726398986467,-0.030940672691282468,0.8454378371924286,-0.4224442229946978,-0.8563236653599502,1.5867513847782557,0.2661296077443237,-0.07212634530282812,0.8623239999845511,1.9588174390557067,-0.009488127225370702,-0.836582235924515,1.1202081080833304,-0.8757481625021469,-0.6798152905265832,-0.7890022743646651,-0.8004982694445578,-0.6898434653353636,0.9195781581055524,0.090934095605866,-0.6784512920953805,1.278850664485513,-0.12687051832271462,-0.654325187767558,-0.8989250835514571,3.3732460502143957,-0.5543153280702703,-0.3177529704814999,-0.7316602047754526,-0.7709207460673351,0.2349294944017408,0.8649723530946268,-0.5018013561696494,0.7999964585955616,0.4960791000677928,-0.4161020565041433,0.15961331085826158,-0.0937094241456486,-0.8410267277913479,-0.7077193384081467,-0.06812203037807682,-0.5549190005269101,-0.9952210133063484,-0.3556607111977109,-0.6852223908157266,-0.8598842831717439,0.9048466647021476,-0.06710599842684792,-0.245701092160002,-0.9325949452319598,-0.8247955092132357,-0.7224649188639339,-0.03365152225453906,0.41549824167551397,-0.7725418357065711,-0.6856681132324752,-0.8594288614059078,1.9428200748275049,-0.9907102819046646,-1.0514522660900054,1.1296933568114542,-0.9437674858307312,-0.20671144389370147,-0.8740885470537951,1.5889586870449508,-0.9096473438901092,-0.1552367558147919,-0.6423919249589134,-0.3987919483151497,-0.7460302155710885,-0.8163910921494271,1.7384334665473555,0.6544469534894845,-0.2322375704019028,0.6091940496088567,-0.8294230167564386,0.254584764720762,1.082836190327067,0.05289881033707378,-0.6956277347833403,0.008159790899920201,-0.8271766077478018,-0.03976570286304197,-0.2965019099885951,-1.0094623681798702,-0.11449684155867425,-0.8477441127438223,3.32997164977639,-0.6513650857226001
ETK-1,1.157234143758783,3.2486296780654382,-0.5394757709110359,2.6482924484120773,0.739484350313902,-0.7966651421363449,-0.9087447588077048,-0.6767046940981807,0.395072383934248,1.4198735298404137,-0.027322246897038792,0.5317967967428799,1.0434286502176575,-0.698441228405579,-0.9644294320683839,1.9604995952736224,0.3235601864751037,-0.05439148075713941,0.6590952429722751,1.7026811917969245,-0.12683764141526238,-0.9400540944616924,1.244822042793608,-0.8473645723491787,-0.7127029641946577,-0.6125778961222424,-0.8338431907374246,-0.8033817133770927,-0.6078259914787214,0.20931283073934645,-0.7194000136624761,1.2156903198653906,-0.18238817592854964,-0.7344656305842422,-0.8708454317556493,3.364873422532959,-0.5657978965022897,-0.6910077417935855,-0.7200753015414014,-0.8018124512249273,-0.10475495704633776,1.0676691742649835,-0.4286375211655847,-0.07441363572294306,0.3352856435292844,-0.3645535868419536,0.6117210730175251,-0.17979375770923872,-0.8131655622832074,-0.7809562093665241,-0.05867897052132225,-0.5154597075170482,-0.7718806989668794,-0.3049678122413211,-0.43036216968462376,-0.7821007727003433,0.7020272276858314,0.010458131797234252,-0.39963966733559103,-0.9001130491367473,-0.7023412823859003,-0.6729067076108366,0.6713190475203972,0.23252535614873684,-0.6866703641770378,-0.7002220663907687,-0.7987808747419632,1.5809167664755956,-0.9046864726741418,-0.6732506945072283,1.2833214508718578,-1.0387554691303704,1.4992384159293035,-0.8779779186936199,2.02799378906126,-0.9406139743340124,-0.1904125277207122,-0.6458546950074215,0.08646530188239229,-0.7162140049205141,-0.6038269730380169,1.965573307595224,1.1182205197694308,0.21588792344664956,0.4710837889353912,-0.926042079067813,0.3975693338555972,1.1893851867654288,-0.06189087109587045,-0.5372480176803583,0.2563703512622036,-0.7419766084873222,0.958752981035732,0.5350129974637066,-0.9068404531997946,-0.07873605447148375,-0.8188838596873644,3.278146413150578,-0.6224763987522802
H2731,1.2559138119898368,3.296675649208044,-0.7171010792227247,2.3776449201730934,0.4523991510577427,-0.5899811179554338,-0.7771294588236071,-0.7320471851400012,-1.0804976396613264,1.3589452618872897,0.04704415487616327,0.4615007425021106,0.9857210841614172,-0.6018314781556595,-0.9211055253526876,1.804879139023512,0.4521366517667533,0.6666704728877562,0.4822517483970864,2.043823321688893,-0.2033313768000739,-0.9566716091283116,1.2105839555844256,-0.7966735920972908,0.5576172839475156,-0.8178021555875638,-0.8649863141056461,-0.5572428573251605,0.29629168167823383,0.08200331101734623,-0.4847361456152967,1.331451747196528,-0.08539070392550371,-0.7275353981358128,-0.8663941389604101,3.3056756877527853,-0.39714472032623976,-0.42507751797579946,-0.7233951794983854,-0.8369097860864038,-0.2426496298158453,0.6921809198311195,-0.5241327981513108,-0.10872355082969028,0.20515465393690435,-0.4534392234915457,0.7480147368356821,-0.08586631916000671,-0.7992484194290387,-0.7768896859039048,-0.13925938705960852,-0.020720593013681732,-0.7732044036381496,-0.4089693650984996,-0.5726417001982175,-0.7525382834330454,1.1135111322846425,-0.17396924272081726,0.6734231696706534,-0.7599241614382289,0.16831385697593085,-0.4257460241607632,-0.1731553736243683,0.7054452224023271,-0.7601163252707807,-0.4686436049320844,-0.7416387123366234,1.8069608813025064,-0.8801738949542911,-0.8393929534902811,0.5583891145136358,-0.9360304851065157,-0.7208695298833155,-0.8470604261995194,1.3149922194525154,-0.8554280541743314,-0.0899817921687686,-0.5288675635040292,-0.35483601475051824,-0.7149518126991187,-0.7810256979095048,1.7545902111161853,0.3118671424176911,-0.22476439521095973,0.6304226359503814,-0.7944181853473764,0.4667006303610834,1.3957190977726834,-0.3113054403255434,-0.4418427700864057,0.6375308202159364,-0.6374381883708439,0.8535643942732478,-0.004757062499117007,-0.9559517461886043,-0.2696414919671019,-0.974736713715495,3.197958050925932,-0.7544130018124615
NCI-H441,1.1084253561912516,3.4922933610478832,-0.7671151526377017,2.325708291028299,0.9963293671781348,-0.7437668460607564,-0.7161440388783268,-0.7205994214637768,-0.7559127401776198,0.8797652379154971,-0.3079223204036943,0.41154474354794396,1.15039244784461,-0.6266949548583911,-0.981076887675956,1.250040047216832,0.34129450765135844,-0.2988925070410021,1.3593939234001158,1.4899549642978955,-0.12313304451322998,-0.8932595708478543,1.5367064112232358,-0.8260447054573172,-0.6176814553672658,-0.8777051683894529,-0.8230153353604464,-0.7957941677267765,0.9436775312534142,0.15204373682864664,-0.7650292595911261,0.998339232009359,-0.7009703744973171,-0.7621262200803886,-0.8345032730486811,3.3778448426574985,-0.5875407823372404,-0.5266974587564868,-0.740287115451123,-0.8251047113713851,0.5770276361147131,1.582449696816324,-0.37946413907834703,-0.09243211402452196,0.23941754943833596,-0.5802072421773138,0.6610749441323671,-0.1758487258787335,-0.8467922699686409,-0.8776772097809287,0.5382853286208211,-0.3937693927900531,-0.4137432725757009,-0.5217586180535277,-0.3710242784282325,-0.8297087830459828,0.9307471911980078,0.047181768982734885,-0.3502615548914809,-0.8285839799504329,-0.7590816674650094,-0.7149331958298955,0.7064685126487431,0.6951323573052699,-0.9083686048427996,-0.4511159265601075,-0.8982763860066665,0.9329538478919084,-0.8859511489369415,0.8527634822959449,1.336586847650448,-0.9466690005806256,1.652648570389608,-0.8386665546466497,1.8116381417690188,-0.8990277767201378,-0.299709854347971,-0.5400976558176731,-0.19733235486264464,-0.7689758557542743,-0.7763358049007021,1.5628792001345369,0.8829574758666384,-0.0005138514936427631,0.8117920748457881,-0.9154706018066876,0.6704127006499002,0.2209947943117495,-0.32726911965707123,-0.42473095920027415,0.057695025742484585,-0.9274393668480508,1.3115687173943185,-0.14840273821591876,-0.967721789037872,-0.3801612888751689,-0.8159627871854117,3.548919691399304,-0.6735617454391638
NCI-H358,0.8893831080119279,3.3528275162361285,-0.6722617751732683,2.4876845734977757,0.7039883073040333,-0.7116259953168051,-0.7496029457504015,-0.7335375793108632,-0.12144023247333473,1.3311859601321834,-0.5546772894471411,0.09300924589876357,0.8394285731685841,-0.5931129519855608,-0.9870765773875192,1.4746253607378723,0.3945532510847872,-0.2560965802292562,1.707660961932456,1.140504541878803,-0.01242724165613067,-0.9634705179653484,1.0762347637913396,-0.8625297561305286,0.16059801371355076,-0.7703363998517201,-0.8447945012530612,-0.7985102390812708,1.1990658993820391,0.03078300906271989,-0.7460264884047975,1.1112600614214074,-0.03861385085110898,-0.8119595283999252,-0.8445770786244338,3.194111588352162,-0.5315682638373764,-0.4276040888849308,-0.7344863126226708,-0.7830431673144463,-0.04540450475716927,1.78003330541997,-0.617701174892373,0.1004237049557479,-0.12512257186767906,-0.4313713549744067,0.7060485060117191,-0.15347757639587056,-0.8626970728570821,-0.8470230774569049,0.4434159208745114,-0.42235032146246737,0.19117946259854468,-0.27202491482074803,-0.3235148738411798,-0.8365145975712129,0.6072135995516039,0.03331856327535982,0.22820352238433414,-0.8648575559922765,-0.2515176117389434,-0.5661155090588481,0.8647145917803994,0.9786930455857376,-0.6928921167528485,-0.7156648437261258,-0.9162027729064398,1.082929831298524,-0.7818958344120408,0.5306415366028854,0.5901069724847514,-0.9593689196925784,0.9493846457945164,-0.9132874851965946,1.9452322977593564,-0.9460043120237801,-0.2746561013489696,-0.6760813010331371,-0.14026482604854296,-0.7481439644542967,-0.6713981212999189,1.8717155328633968,0.5908614322155727,-0.19862996225911145,0.925976895938038,-0.908357049626692,0.30552863757628834,-0.039190101288340655,-0.3425528615569144,-0.3030747098850401,-0.4671022082327077,-0.8928125955605728,-0.3937399038542977,-0.3916242677527833,-0.9303115474674216,-0.15088681156170253,-0.849262160152628,3.635442706764745,-0.8939103627850005
LS-411N,1.0827573198127212,3.1368673823542266,-0.5284793988929927,2.5054438264428436,0.6888125939785422,-0.8636515531180639,-0.8440821934310992,-0.725925341565091,0.7405080105475171,1.0392780978751273,-0.4973724362640256,0.30792462858045816,0.9776916548338964,-0.736209905472829,-0.8188275601014824,1.3307944797542282,0.10766455646165378,0.27356411640083994,0.8977517412016167,1.4742093103539824,0.24008740080601,-0.9716378733491622,1.2169137405546342,-0.8699500737857779,0.9000359738931872,-0.8060558077519586,-0.7724675179587096,-0.8460535006733209,0.6949287644584758,0.16783838584763744,-0.7492424351953667,1.3472266845226923,-0.7536140345273097,-0.7472563480640524,-0.8387341564075128,3.1143354728751507,-0.5374488707969933,-0.507706082590963,-0.7728415900897507,-0.8149408224202429,0.149006643612748,1.1552204156662071,-0.3353983656693621,0.2967395290451009,0.0835784757999067,-0.5384675345633401,-0.12944380536561292,-0.28136081987855865,-0.8252399049657492,-0.7839596049088862,0.15373766511871415,-0.4926398162698664,-0.7547532040506328,0.2731382767418529,-0.27217798054987435,-0.8145502558515936,0.6534312803956329,0.3103556230183169,-0.08130942838191382,-0.8091269812208928,0.7385101236417758,-0.591939388468414,0.6666491075908056,0.4134818691378309,-0.8276983363413841,-0.5470153791969675,1.987673997126572,1.3183433692471571,-0.7788145351953081,-0.3433377346981353,1.1083471732710912,-0.9697881478494604,0.33180756067464146,-0.9447567646428618,1.8648442801490044,-0.9629545114112122,-0.2443155443594405,-0.6477660221705167,0.17443903095640095,-0.8770582950763355,-0.7075433233713426,1.5186990991164293,0.4836942612484981,-0.2169813689822197,0.6872106998083425,-0.9538201922333904,0.5281396400601249,0.7081041907948731,-0.05129340966893639,-0.6603034371682446,-0.4244668666716426,-0.7599401493459873,-0.0592728823943965,-0.16964189192464293,-0.9721071232680604,-0.06820261496638938,-0.9681524583928754,3.5513607391035027,-0.5007594089468782
NCI-H2452,1.7445679526912046,3.191601611188496,-0.597080599970948,2.378162884101812,0.5085430982462517,-0.4824252463691218,-0.9078402091405282,-0.7797411285576464,-1.0314576612955844,0.9695415199183679,0.15147935469640153,0.5083867570242881,1.3319470919608496,-0.6501406424038237,-1.1146431805502082,1.1393357611865211,0.1892486769078852,0.5229232475125958,0.5879673768544635,1.6400947379550668,-0.22721232965823696,-0.7421373302603795,1.5141228594189018,-0.7743003938053024,-0.6065239546777987,-0.7032262729584419,-0.6207253368030587,-0.7575682245033781,0.5390059237100548,0.21101102242604425,-0.6452435927900988,1.0049315677563442,-0.1809493330546448,-0.7149489808767246,-0.7409907186427109,3.3606597725453997,-0.5549037561699406,-0.33848973062150284,-0.8361979497441067,-0.8184698693357149,-0.1278945853220634,0.42655085206378335,-0.3710140022656245,-0.2348352205985034,0.1705581369264669,-0.4581537416414706,0.5972626839512305,-0.0690304360844752,-0.8460713325520388,-0.9263919771828658,-0.2112724762202742,-0.3606145022142127,-0.7539700861604864,-0.5305719669820655,-0.5131725058526982,-0.8497532105166448,0.30033039646165405,-0.11057951697855592,0.10019246927535053,-0.8778705138179269,0.5343925092389925,-0.6975026246895457,0.1443751389990612,0.5452651818438474,-0.968519916012312,-0.5017416438869874,-0.7798127147929521,1.4594221269364345,-0.8485252980034506,-1.1306168569740265,0.7241821838548194,-1.0056604109183558,-0.3939960434735176,-0.8530206525925407,1.7385066518646413,-0.8775058155462905,-0.12598229925874915,-0.5221395563338193,-0.5243149856711672,-0.8814260817712796,-0.6038890715469784,1.240538159782116,0.3383250667796434,0.20989630020632002,0.7666650003646698,-0.9070297254140784,0.5485088606794144,1.1931770656516067,-0.3579664114752496,-0.6082088938227982,0.5173674517898647,-0.7288177609019285,1.2132408925016287,0.1627791346669145,-0.9322671419555646,-0.2710534310774705,-0.8243706763521149,3.336532171166088,-0.5957541549633595
UACC-257,0.5451933933526479,3.0256767109833014,-0.522259793288277,2.49506855821935,0.3302303290134198,-0.3720503735238587,-0.8421921823794553,-0.6891906307323885,-0.6657284930986713,1.7079821272952995,-0.0310810878197428,0.27240087182372746,-0.08956542675247461,-0.7878203067655041,-1.016975700528982,1.7438123860969132,0.32497727602057064,0.05482263654381995,0.461570293006893,1.6571288149188277,-0.3160382285827913,-0.8167699894445254,1.2613188241917048,-0.5487957931353078,1.993117732421708,-0.729162526916241,-0.6916073111439359,-0.7923150064044164,-0.3189395196963855,-0.4358507266623245,-0.5743692795425096,0.8886205363553505,0.35160257937611256,-0.7392199079329052,-0.9081260516515984,3.3054586149368923,-0.5750884350973933,-0.5531253665283011,-0.7443193145943737,-0.8326095050458759,0.3986215873281341,0.5729738597507309,-0.5392545228799052,-0.20184808094378826,0.569109677257734,-0.6320354307099632,0.19905545282348247,-0.12096196340846135,-0.7110609526522981,-0.803708910974226,-0.2334447129826095,-0.2112420177555362,-0.79328888628428,-0.2991199706174708,-0.6552108187346377,-0.6537941516128597,0.4626853245173175,-0.5110766650626987,-0.5030246240113396,-0.7885731146898931,-0.3833885496067346,-0.630517058011103,0.8255515236177172,0.19850769147560268,-0.7810287062332645,-0.556972220769759,-0.8639815752092663,1.6389289008705468,-0.7221869948653433,0.41440734473047375,0.8777352675875217,-1.016975700528982,-0.6133351255929667,-0.8121299738923274,1.4920891032672825,-0.8723915852474939,-0.10335086254156416,-0.53828235067554,1.187397030668386,-0.7265335269072044,-0.7674076783270078,1.879861540626689,0.4198127773087068,0.09348644542212683,0.4226719388125876,-0.9039535783833654,0.7572535381033558,0.9897057775020668,-0.5715990167442143,-0.3167083742677149,-0.6707810977798198,-0.8013917384396685,1.5801864116091298,-0.19576820824959795,-0.9553316723627064,0.14561716900877858,-0.9167305398531204,3.417758486684209,-0.7133071026525576
H2369,1.7376164240157637,3.0916719356215383,-0.4389318737288495,2.1434350810263516,0.43061512465006097,0.3844160112594428,-0.7220725925915448,-0.7162037504932596,-0.9977374621168436,0.7660972417337365,-0.077383795599638,0.3890103468123517,1.3171894098816337,-0.8593144652899187,-1.0503910109821537,1.1337516076882892,0.4919243989200915,-0.008771997303482411,0.8620638067442004,1.3436366194513063,0.0018002208058185297,-0.8279801518861528,1.680456962564557,-0.8928757910639887,0.004980226308451243,-0.8095652934713573,-0.7666587914687972,-0.7406429182335368,0.5954084251627866,-0.1519435446921602,-0.6049501934502494,1.3669016331755115,0.5788888410259995,-0.7371957869808202,-0.8699766736022575,3.1254933232669537,-0.7748889935851991,-0.3791668197953812,-0.7742837734990925,-0.7866889334961574,0.044751343537719916,1.7429172222706808,-0.6452952719590009,-0.22352438965321805,-0.4152737105561847,-0.30249763844868194,0.5145653446165247,-0.08953463563842731,-0.8228510059307507,-0.7260353675921927,-0.000956360756488668,-0.12638299994389082,-0.9612234756778856,-0.3452824988242441,-0.3656345228630463,-0.775919823797341,0.7248507230584516,-0.3960025708208996,-0.32850586303632456,-0.9298410029078202,0.7978209123643938,-0.6968921185154024,-0.02425076950972589,0.5676509489988268,-0.7942798885366557,-0.6905552603854218,-0.8955801739204582,1.5689479178731216,-0.8844340190125195,-0.6738365749163685,0.280253876676878,-1.001245100320141,-0.4493613879077095,-0.835288320363869,1.6167083729494922,-0.9149498472120232,-0.1601402976591038,-0.6429222863105994,-0.3134216259867869,-0.9269051305602408,-0.7234662229320352,1.5561468189968968,0.26262041498512817,-0.3517778131541087,0.6442177574535978,-0.8919687022887408,0.3546276216895768,0.4120349900412952,-0.31128607220835897,-0.2505323708693817,0.6707632770186206,-0.5963138153040659,1.0268203370267042,-0.21164382369364865,-0.8741465089814362,-0.09041516639132673,-0.8469312041021748,3.489438637862685,-0.8317285134784118
H2804,1.2720580415498284,3.0287023972305334,-0.5915649709090436,2.232842552432209,0.2700276650542075,-0.7452420395235351,-0.8758677641187036,-0.6882234132537078,-1.081298112774123,1.1102783734798682,-0.33627728553362524,0.5064148954237336,0.2782352082703521,-0.7228550838657841,-1.0186628764311243,1.5529699611461252,0.06920177595775415,0.14300282052086305,0.71502459917081,1.6883548639591293,0.14106790079141635,-0.9351445062461348,1.1885961622008634,-0.7896480110263362,-0.4011081155948106,-0.5981763268124624,-0.7856330359540099,-0.6604254215257457,0.7527346594322986,0.19029487929264755,-0.6335838250791648,1.7748594598757197,0.037417570691581366,-0.7164047056769286,-0.8343850861621074,3.204653057794608,-0.5539612535236813,-0.2622914273245406,-0.8202856317679825,-0.7994730469565093,-0.4136445637988408,0.39913774537693947,-0.4882582143398749,0.15350793125238746,0.21303907453752247,0.10515999168775987,0.8321854290695742,0.05946878180403752,-0.5192330623126676,-0.7141203000405323,-0.5397462460605524,0.0913745429735691,-0.6395859219941844,-0.17372681643090765,0.3082058205806011,-0.8288123207029022,0.9891072695734257,0.2719238655148328,0.2425843506999755,-0.8560797455361249,0.2332788016987352,-0.6564723436515414,0.10073889385384684,0.9739827351301936,-0.8679387867631445,-0.5751769346543611,-0.8012064954386725,1.3963003958057107,-0.92054385536145,-0.7927701690661619,1.0938507028145557,-0.974930126497612,-0.7550530057797646,-0.8737120679201582,1.5377013449030346,-0.904782862519354,-0.29233538230442724,-0.5689840722277715,0.3270776508874311,-0.7403191693898159,-0.7810567887522382,1.7130625049092376,0.2628231971577309,-0.19466766941014704,0.3703928702404378,-0.8711955551376541,0.13328015511769925,1.4435399452741482,-0.5772427068055138,-0.5226471505895725,-0.07437334620276796,-0.8730594914541691,-0.727285061284395,0.6110604195115704,-0.9566508668129464,-0.2134802166193656,-0.7712128571870507,3.1543547838941466,-0.7911750295976948
