,CDC16,ADCY8,ADCY9,ADCY6,RAF1,ADCY7,ADCY5,SPDYA,IGF1,RPS6KA6,CDK1,ANAPC10,IGF1R,ANAPC11,SPDYC,MAPK9,MAPK10,MAPK11,BRAF,MAPK13,MAP2K1,ADCY4,AKT1,AKT2,RPS6KA2,RPS6KA3,AKT3,MAPK3,ANAPC7,ANAPC5,ANAPC2,ANAPC4,MAD2L1,RPS6KA1,MAPK1,PIK3R5,PDE3B,MAPK8,CDC23,MAPK14,MAPK12,KRAS,PRKX,GNAI1,CCNA1,GNAI2,FZR1,ADCY3,HSP90AA1,ARAF,ADCY2,PLK1,ADCY1,PDE3A,ANAPC13,MOS,PIK3R3,PGR,CCNA2,BUB1,PKMYT1,PRKACA,CDK2,PRKACB,PRKACG,GNAI3,HSP90AB1,CDC27,PIK3CA,PIK3CB,CDC25B,CDC25C,PIK3CD,CDC25A,MAD2L2,CCNB1,PIK3CG,PIK3R1,CCNB3,PIK3R2
CAL-120,0.9896993459851204,-0.7077193384081467,-0.5549190005269101,-0.3556607111977109,0.9048466647021476,-0.6852223908157266,-0.9325949452319598,-0.7827277253616085,-0.8072227247635029,-0.8767399290211582,1.9171540836235792,1.5422294513402153,-0.3008585367890555,2.8314395412979603,-0.8700939637774507,0.41549824167551397,-0.7725418357065711,-0.6856681132324752,-0.5979925924579317,-0.20671144389370147,1.5889586870449508,-0.8163910921494271,-0.19985279400177544,-0.4819424240854727,-0.804952845522789,1.5419913980788051,0.4364324540353784,0.6544469534894845,0.3231112665172613,2.2789503186924445,-0.4335458597639699,1.4419223246309778,1.7242217938383615,-0.4747614952256771,0.254584764720762,-0.7875557925705607,-0.4257840858776668,0.05289881033707378,0.5260588350394078,0.2661296077443237,-0.07212634530282812,0.8623239999845511,-0.009488127225370702,0.2896229952488029,-0.21530321338613626,1.6992794979965569,-0.3459166985207545,1.1202081080833304,2.1947939784326485,0.03481131212472676,-0.8757481625021469,-0.43459467506929295,-0.6798152905265832,-0.9071610150833472,2.577008982862022,-0.8667472962012851,-0.6406907280038789,-0.9435828988607188,1.981904791818205,1.5694374857409938,0.33767494903509143,-0.6784512920953805,0.5626398548330822,-0.12687051832271462,-0.654325187767558,1.688119177913452,3.018083222777858,1.2509239493056532,0.9873660513528476,0.534576748726534,0.7357217773127571,1.0067851522341338,-0.7809640560641528,0.4581717305662921,1.3205620781202083,2.397715712048615,-0.8524172464873309,-0.3572494710380825,-0.8303731903957673,-0.3426310511824054
ETK-1,0.9324505338619846,-0.7809562093665241,-0.5154597075170482,-0.3049678122413211,0.7020272276858314,-0.43036216968462376,-0.9001130491367473,-0.7544849365480991,-0.8030587673844656,-0.3713051256539937,1.6612792198926931,1.7373319721715188,-0.4002895351531326,2.8155358634307226,-1.0218715182892215,0.23252535614873684,-0.6866703641770378,-0.7002220663907687,0.42995935860563744,1.4992384159293035,2.02799378906126,-0.6038269730380169,0.1266592331092139,-0.5886272683587355,0.5720004321241864,1.4333254609430977,-0.5448795531082345,1.1182205197694308,0.445855232207454,2.2618468718806657,-0.5583672947229669,1.33254878037249,1.3894382318771985,0.5473748711140506,0.3975693338555972,-0.8197989690348624,-0.4107326188549711,-0.06189087109587045,-0.07864114531409643,0.3235601864751037,-0.05439148075713941,0.6590952429722751,-0.12683764141526238,0.5083083605163343,-0.6686715610223667,1.3694852517995089,-0.5125831912494934,1.244822042793608,1.6402064070308109,0.33932625638779457,-0.8473645723491787,-0.09092614047061154,-0.7127029641946577,-0.9268791624195704,1.7900100268861487,-0.8296468557138436,-0.6417876055405305,-0.9848181491243312,1.7340678542881611,1.587355843916166,0.33766644815797114,-0.7194000136624761,1.1720814606149403,-0.18238817592854964,-0.7344656305842422,1.7372033931581734,3.208945501824549,1.3317242685518942,0.4094503601052189,0.037496706500950314,0.902108356735522,0.7678271174435563,-0.524460852626613,-0.04368963491464676,1.7129557998926987,2.2548246613464733,-0.8654864209671396,-0.4833683157757574,-0.6997418198437301,-0.4050677602198264
H2731,1.6319093236727695,-0.7768896859039048,-0.020720593013681732,-0.4089693650984996,1.1135111322846425,-0.5726417001982175,-0.7599241614382289,-0.5316095964618798,-0.8316779620047159,-0.7707528390016399,1.4765862445476483,1.3678741392084772,0.35890823469799005,2.4658172390335165,-0.9260609663595132,0.7054452224023271,-0.7601163252707807,-0.4686436049320844,-0.7754335933876804,-0.7208695298833155,1.3149922194525154,-0.7810256979095048,-0.15174020943164618,-0.6640179112916704,-0.3965595020242776,0.8794643999624691,-0.6239843608956496,0.3118671424176911,0.7860195124820288,2.3672548095657504,-0.34078507665892105,1.78208281204667,1.719731624644488,-0.07858527905274855,0.4667006303610834,-0.8410884136853347,-0.4741183970840829,-0.3113054403255434,0.3006460578440016,0.4521366517667533,0.6666704728877562,0.4822517483970864,-0.2033313768000739,1.102573485682063,1.0402213831302072,1.321574221832743,-0.12735236909088912,1.2105839555844256,2.163648345634213,-0.11617673540724364,-0.7966735920972908,-0.08218760596458466,0.5576172839475156,-0.92176521998011,2.5832218509449767,-0.7419053927871564,-0.6443644194844482,-0.9676332807255006,1.9025433551067632,1.7394324731316886,0.4544791931776011,-0.4847361456152967,0.7879814905681342,-0.08539070392550371,-0.7275353981358128,1.8032620033212476,3.314827156706928,1.5865648781328,0.8594187429000945,0.18336718453373124,0.5685769210039558,0.6474713459467927,-0.37757563301429853,-0.1582766826524499,1.9101386129661784,2.624629191983156,-0.8765333670274109,-0.4281227646593607,-0.954469890078642,-0.15702108108980029
NCI-H441,0.9567185624129948,-0.8776772097809287,-0.3937693927900531,-0.5217586180535277,0.9307471911980078,-0.3710242784282325,-0.8285839799504329,-0.7965533595249573,-0.8159873416004902,-0.22353676177526224,1.6040888679591925,1.417182827271632,-0.2783253325368975,2.597063041587575,-0.8997363929828931,0.6951323573052699,-0.9083686048427996,-0.4511159265601075,0.477240781276831,1.652648570389608,1.8116381417690188,-0.7763358049007021,-0.26570566958600805,-0.5854985495687144,0.20233674861244216,1.7291566015093782,-0.6958193198758809,0.8829574758666384,0.8020466544165878,2.322114927151631,-0.4899497870497982,1.7735172566601591,1.7459890943471958,0.11385506727248786,0.6704127006499002,-0.7929647301950058,-0.4989980111566642,-0.32726911965707123,0.2177941421525591,0.34129450765135844,-0.2988925070410021,1.3593939234001158,-0.12313304451322998,0.1595114957220085,-0.9946382067330696,1.2625439597595405,-0.4995433698564002,1.5367064112232358,0.6216700529942623,-0.1939819066756263,-0.8260447054573172,-0.4184031080713503,-0.6176814553672658,-0.9556835973368101,2.1318299273508097,-0.8609576882580503,-0.4713064903986299,-0.93431656543328,1.825965275830452,1.9805678078385096,0.1585854007874752,-0.7650292595911261,0.332326089078687,-0.7009703744973171,-0.7621262200803886,1.5857883956991448,2.911984714682516,1.4250973798753417,1.2268652508596756,0.3785433051934744,-0.1933092859582083,1.0983814492631294,-0.5048386655437213,-0.496398284821293,1.3107975468889166,2.1425190265944094,-0.933630609859046,-0.07774390743676543,-0.9273790126633066,-0.28451003525850943
NCI-H358,1.2908250448037892,-0.8470230774569049,-0.42235032146246737,-0.27202491482074803,0.6072135995516039,-0.3235148738411798,-0.8648575559922765,-0.7665096903701288,-0.8430757035586279,-0.2370255118698955,0.4117914463802689,1.5688983188122068,0.0479160326127831,2.7477958507830316,-1.0310677546010738,0.9786930455857376,-0.6928921167528485,-0.7156648437261258,0.047892795948571314,0.9493846457945164,1.9452322977593564,-0.6713981212999189,-0.05201802325830348,-0.4248105610331739,0.3232432688249177,2.025435595277731,-0.7232608504086048,0.5908614322155727,0.5165048671747727,2.2117083866474623,-0.5124007062067775,1.6268785160704868,0.444919585684601,-0.11319189558944415,0.30552863757628834,-0.8003529130190858,-0.39887849390638297,-0.3425528615569144,0.12170666207626635,0.3945532510847872,-0.2560965802292562,1.707660961932456,-0.01242724165613067,-0.12681016025850414,-0.9509930810197224,1.074645067005422,-0.5555948528125169,1.0762347637913396,2.0604622736887293,-0.014021040959124124,-0.8625297561305286,-0.6495638980524161,0.16059801371355076,-0.9495995413367924,2.267261437629183,-0.7225681402130053,-0.2453339387280799,-0.9414572575179436,0.35414636142073863,0.38160046050835816,-0.2496799544354735,-0.7460264884047975,0.1986683615373689,-0.03861385085110898,-0.8119595283999252,1.6204853316919394,3.141871590255158,1.0671094079930332,0.8113056012150509,0.2604488947523818,0.17686432711812133,-0.41333089456668265,-0.65216438457763,-0.6885230803771745,0.8555985350520335,1.1261315522865207,-0.8715621277889629,0.4416383048174035,-0.5840940554745784,-0.3759062541623136
LS-411N,1.5595178059989654,-0.7839596049088862,-0.4926398162698664,0.2731382767418529,0.6534312803956329,-0.27217798054987435,-0.8091269812208928,-0.7748629697318552,-0.7632984306223138,-0.8016302412946349,1.6196089495719317,1.2696983619843212,-0.4480489371165775,2.4491761357700885,-0.8586222366993141,0.4134818691378309,-0.8276983363413841,-0.5470153791969675,-0.08196609676428873,0.33180756067464146,1.8648442801490044,-0.7075433233713426,-0.24251542886789626,-0.6497916729249831,-0.6943330299245424,1.756609840055967,-0.8267961689333675,0.4836942612484981,0.6243672231307364,2.4674136237200144,-0.4999693923397617,1.7908406823370158,1.395791335964411,0.1660794158213361,0.5281396400601249,-0.7380098373948586,0.41038345617238703,-0.05129340966893639,0.26484704564375705,0.10766455646165378,0.27356411640083994,0.8977517412016167,0.24008740080601,-0.7957068252786834,-0.9197719789623336,0.6888740463011648,-0.5545502650533487,1.2169137405546342,2.572517546990152,0.08203770334224564,-0.8699500737857779,-0.4771420288826598,0.9000359738931872,-0.887731827989314,1.9361059107540401,-0.7296646322355067,-0.7207817579785165,-0.9086360390655932,1.297742174103172,1.2472625707978706,0.118383956321777,-0.7492424351953667,0.6829012001474364,-0.7536140345273097,-0.7472563480640524,1.5815184370964317,3.0949931045226493,1.1052379676203974,0.8412287390884277,0.23400217589226124,0.7535426792941743,0.5725895748174168,-0.8168373886640627,0.03009036281461272,1.3443168913144257,1.808802920977723,-0.8488851561535736,0.3625898147259357,-0.6584058661472069,-0.315113364159437
NCI-H2452,1.1896380955613721,-0.9263919771828658,-0.3606145022142127,-0.5305719669820655,0.30033039646165405,-0.5131725058526982,-0.8778705138179269,-0.6734237557391414,-0.8152370417214918,-0.943198528558692,1.461456330805926,1.0154729066578057,-0.5079737735048403,2.2844351146614708,-0.9041628251487828,0.5452651818438474,-0.968519916012312,-0.5017416438869874,-0.3329735262677015,-0.3939960434735176,1.7385066518646413,-0.6038890715469784,-0.2078611696528301,-0.6172414110572932,-0.32266290511113543,1.4646385136820488,-0.3753643941962525,0.3383250667796434,0.6064430582125037,2.427765318400649,-0.2917622996165344,1.9347741036398252,1.1744448730410357,-0.15436563603915307,0.5485088606794144,-0.7810246909336291,-0.289291607704531,-0.3579664114752496,0.3009627111640468,0.1892486769078852,0.5229232475125958,0.5879673768544635,-0.22721232965823696,0.6657300109636147,-0.4103268651490177,1.3990438590186811,-0.5301415179324195,1.5141228594189018,1.4775282820666107,0.13900441631942434,-0.7743003938053024,-0.2536130657747498,-0.6065239546777987,-0.8976792731302193,2.2211099149047224,-0.8784443175950354,-0.6865469766465245,-0.922377264902622,1.5170839457690195,1.2282506452840618,0.2362643235309936,-0.6452435927900988,0.5851386062026439,-0.1809493330546448,-0.7149489808767246,1.4342255465689182,3.0208258825470464,1.3333232311029126,1.1604717518938303,0.17486977984787494,0.768868712357153,0.6601045991373754,-0.4429466925798285,-0.3588672742462094,1.6270081747289262,2.3066626652406863,-0.8109860852430577,-0.1596184972839978,-0.7998307775953162,-0.314793690336176
UACC-257,2.2775788316632632,-0.803708910974226,-0.2112420177555362,-0.2991199706174708,0.4626853245173175,-0.6552108187346377,-0.7885731146898931,-0.7502995293473319,-0.8052434929270647,-0.9938407390701351,1.189320282251004,0.6380006763627802,0.2274175756354407,2.4303391995042536,-0.9204196112701476,0.19850769147560268,-0.7810287062332645,-0.556972220769759,-0.4590973762124978,-0.6133351255929667,1.4920891032672825,-0.7674076783270078,0.1034372484054456,-0.4156948757425929,-0.8198936095332048,1.4655828698669384,-0.20350358457046905,0.4198127773087068,0.899310774408524,2.4812960140602645,-0.5106914408893966,1.2700002610756136,1.0827558357403029,0.07203473141150467,0.7572535381033558,-0.6943889672456175,0.5669226785059845,-0.5715990167442143,0.04764635697905994,0.32497727602057064,0.05482263654381995,0.461570293006893,-0.3160382285827913,0.1964093093642431,-0.5012148145116703,1.2370027862820006,-0.1978146903648488,1.2613188241917048,1.161296461673266,0.17370790712272907,-0.5487957931353078,-0.33629779242042696,1.993117732421708,0.38055100179339496,1.7709055267701308,-0.7194155181214337,0.27933463228855104,-0.9556877951888649,1.0004934822806382,1.3142280278040546,0.3067440634579736,-0.5743692795425096,2.547174628659425,0.35160257937611256,-0.7392199079329052,1.6023168861037729,2.906057052865749,1.359347372049179,0.3312185599443601,0.6625406578276586,0.6834918848951879,0.3099766454709097,-0.0535754824600499,0.3288427720388493,1.8984230414142973,1.8738207406780159,-0.8888615239730282,-0.1797654584160006,-0.8658356365234589,-0.23280851377457995
H2369,1.2504989417975465,-0.7260353675921927,-0.12638299994389082,-0.3452824988242441,0.7248507230584516,-0.3656345228630463,-0.9298410029078202,-0.7186243338342185,-0.8009926084809159,-0.8842795892188972,0.0903508272512003,1.8349101427850119,0.1445481290074905,2.597991109112804,-0.9018506483111848,0.5676509489988268,-0.7942798885366557,-0.6905552603854218,-0.4941771265845692,-0.4493613879077095,1.6167083729494922,-0.7234662229320352,-0.15119158549319922,-0.6524623508563833,0.6534345053180017,1.489438769970385,-0.07910532007774926,0.26262041498512817,0.5935062805432929,2.552023078738877,-0.3769028090148966,1.4873413273258589,0.3468197178565016,-0.24614358527301475,0.3546276216895768,-0.7896764876803988,-0.4665231286458154,-0.31128607220835897,0.3444471109683537,0.4919243989200915,-0.008771997303482411,0.8620638067442004,0.0018002208058185297,1.309069422842029,-0.6231182743167548,0.98391524428943,-0.6594131913676156,1.680456962564557,1.8452073920355532,0.16017014510848818,-0.8928757910639887,-0.666962072148627,0.004980226308451243,-0.9105180884934206,2.2703955740669244,-0.8248148164148228,-0.691032607776449,-0.9154106279990616,0.33363411588937225,-0.5448685795488106,-0.24466189640678196,-0.6049501934502494,0.09190800904079688,0.5788888410259995,-0.7371957869808202,1.2820857848245335,2.814090245440706,1.3513444063254785,0.7841199206958448,-0.033848076739364866,-0.01602814213650175,-0.4661891581775342,-0.37027626072364944,-0.821972421636035,1.7445353544374969,0.6324436854822815,-0.7936449523991068,-0.3732720210721264,-0.7319332739971416,-0.3378489135883645
H2804,1.309442773719578,-0.7141203000405323,0.0913745429735691,-0.17372681643090765,0.9891072695734257,0.3082058205806011,-0.8560797455361249,-0.6092808205313675,-0.8154948988360905,-0.8900125641797672,1.3660512089104937,1.2708808867889356,0.32517978177385365,2.4433898001111607,-0.9642884952508096,0.9739827351301936,-0.8679387867631445,-0.5751769346543611,-0.6538816474444307,-0.7550530057797646,1.5377013449030346,-0.7810567887522382,-0.07058561604041526,-0.6048940168676246,-0.11783811524758725,0.3747394540415649,0.19688997202868425,0.2628231971577309,0.8680289398323922,2.447714752035407,-0.45721224703745394,1.0589140029938062,1.3816680170968525,-0.2370857719876033,0.13328015511769925,-0.7472125042240992,-0.5739325346488594,-0.5772427068055138,0.4085273997216068,0.06920177595775415,0.14300282052086305,0.71502459917081,0.14106790079141635,0.7870270250326533,0.7996129831891549,1.2286983163664948,-0.4717193853984597,1.1885961622008634,1.5825132205986807,0.29881565103818736,-0.7896480110263362,-0.15107127009604324,-0.4011081155948106,-0.9190365763943202,2.1614130755970544,-0.7299272148179915,-0.4288977530377384,-0.9000595378402709,1.49654008789234,1.094485671639898,0.4536820444680154,-0.6335838250791648,0.9795418391247211,0.037417570691581366,-0.7164047056769286,1.3881100410006737,3.2592643771330585,1.2102813505688836,0.3947720845654773,0.08200578811682839,1.3603174055844038,0.6865668214226474,-0.6854649035487371,0.21501153207072649,1.6411245637137015,2.424778612109787,-0.8565138313212369,-0.4312594649685069,-0.8440373297270671,-0.27335239188478433
