,CALM2,CALM1,TYR,CREB3L1,FZD1,FZD4,FZD6,FZD7,LEF1,CREBBP,CREB3,FZD8,FZD9,POMC,WNT9B,WNT9A,CREB1,WNT2B,WNT11,EDN1,WNT10B,NRAS,EDNRB,KRAS,PRKX,GNAI1,GNAI2,CALML5,ADCY3,ADCY2,ADCY1,CREB3L3,WNT5B,CAMK2A,CAMK2B,CAMK2D,CAMK2G,PRKACA,GNAQ,PRKACB,PRKACG,GNAS,GNAI3,WNT16,GNAO1,CALML3,DCT,CALM3,PLCB2,ADCY8,ADCY9,PLCB1,ADCY6,ADCY7,PRKCB,RAF1,PLCB3,PRKCA,PLCB4,ADCY5,CREB3L4,ASIP,KITLG,PRKCG,WNT3A,DVL2,MAP2K2,MAP2K1,KIT,FZD3,DVL1,ADCY4,TYRP1,WNT4,WNT10A,MAPK3,TCF7,MAPK1,TCF7L2,HRAS,WNT1,EP300,GSK3B,WNT7A,WNT7B,WNT8A,WNT8B,WNT2,WNT3,WNT5A,CTNNB1,WNT6,FZD10,CREB3L2,FZD5,TCF7L1,MITF,FZD2,CALML6
CAL-120,3.0529492415243493,2.507628534831807,-0.807632782362947,-0.36324673084050996,-0.5893251156358328,-0.5138257035134289,1.300445041266263,0.3343394138059785,-0.7343158379701136,-0.0320480516664802,1.182154643973219,-0.3479754266485328,-0.5268538745756105,-0.728059971621169,-0.5756967618082475,-0.7885905353809409,0.7242369254979971,-0.12245917101644653,-0.8276387086489176,1.050253592879525,-0.6479793514374514,1.5867513847782557,-0.9257843667352808,0.8623239999845511,-0.009488127225370702,0.2896229952488029,1.6992794979965569,-0.836582235924515,1.1202081080833304,-0.8757481625021469,-0.6798152905265832,-0.7839975157770309,0.3336402545534688,-0.8004982694445578,-0.6898434653353636,0.9195781581055524,0.090934095605866,-0.6784512920953805,1.278850664485513,-0.12687051832271462,-0.654325187767558,3.3732460502143957,1.688119177913452,-0.4855960639366352,-0.8122116125574776,-0.7316602047754526,-0.8925642539683503,0.4960791000677928,-0.8410267277913479,-0.7077193384081467,-0.5549190005269101,-0.9952210133063484,-0.3556607111977109,-0.6852223908157266,-0.8598842831717439,0.9048466647021476,-0.06710599842684792,-0.245701092160002,-0.8247955092132357,-0.9325949452319598,0.30459491159184104,-0.8238110650863687,-0.5020445472974161,-0.7831122737775845,-0.8500136430609047,0.0632543000780034,1.9428200748275049,1.5889586870449508,-0.7547794870072253,-0.6066206409096563,1.3458852038619988,-0.8163910921494271,-0.7101890730984668,-0.8219823190295539,-0.7767580168784802,0.6544469534894845,-0.7283472121965591,0.254584764720762,-0.7324263095986365,1.082836190327067,-0.9001243754710904,0.3542162947583245,1.7731053026965045,-0.7973613736639207,-0.616057732262655,-0.9466512109038012,-0.9249006186930788,-0.8365471675073163,-0.17518836419914566,0.02332559550706757,0.8319328535716037,-0.5926322333779872,-0.8443621115321043,-0.7429196255388198,-0.6252469822957581,-0.6682948357636368,1.435210144418099,2.185516580827859,-0.6513650857226001
ETK-1,3.2486296780654382,2.6482924484120773,-0.9780069912027138,-0.4667373404132961,-0.5409766345074462,-0.7661442845379308,0.8985476560039577,0.5100122377807775,-0.9141744006817121,0.3235791712465376,1.6822403911083312,-0.47912726952072904,-0.7440618192876658,-0.6496643737950779,-0.7457332389689878,-0.7931119190013106,0.6622518103431084,-0.7722903580684056,-0.6248073982148891,1.2224447306477897,-0.6079292106079257,1.9604995952736224,-0.9099922950493408,0.6590952429722751,-0.12683764141526238,0.5083083605163343,1.3694852517995089,-0.9400540944616924,1.244822042793608,-0.8473645723491787,-0.7127029641946577,-0.8185484482776436,-0.13166105040334222,-0.8338431907374246,-0.8033817133770927,-0.6078259914787214,0.20931283073934645,-0.7194000136624761,1.2156903198653906,-0.18238817592854964,-0.7344656305842422,3.364873422532959,1.7372033931581734,-0.9054929772589596,-0.7966702029964612,-0.7200753015414014,-0.8038984397357342,0.3352856435292844,-0.8131655622832074,-0.7809562093665241,-0.5154597075170482,-0.7718806989668794,-0.3049678122413211,-0.43036216968462376,-0.7821007727003433,0.7020272276858314,0.010458131797234252,-0.39963966733559103,-0.7023412823859003,-0.9001130491367473,0.942349984168742,-0.6858698474574842,-0.7914203018163491,-0.7505054316116957,-0.7918169966268516,0.6230950315855328,1.5809167664755956,2.02799378906126,-0.8995341592277388,-0.6466435529605453,1.5775913316575734,-0.6038269730380169,-0.7466049205599561,-0.7505191442136142,1.5872847713777718,1.1182205197694308,-0.6799690866837578,0.3975693338555972,-0.40685866755726735,1.1893851867654288,-0.918304563707492,0.26978192824138314,1.6941852764365664,-0.8360013574860276,-0.4472874466725146,-0.8902081305102275,-0.9376867015487136,-0.8377217977324399,-0.13190790020628734,-0.7204889925181424,1.3261202141964368,-0.4109372958954719,-0.846538212030706,-0.5175661268905708,-0.27937829909411244,-0.6154459122395209,0.7012393422153131,1.966074349743376,-0.6224763987522802
H2731,3.296675649208044,2.3776449201730934,-0.7796359532815281,-0.7568322768562155,-0.07672163324337859,-0.8138176869956764,1.1726719930656906,0.3474190682350459,-0.70005527769795,0.6508008841545262,1.6250825859088929,-0.2049575653518734,-0.6495976644564198,-0.8161237923891564,-0.5803990817316224,-0.9069409660567012,0.6946255893520676,-0.5629945966473167,-0.8676834389646558,0.11722827599383588,-0.6237254091990452,1.804879139023512,-0.9213218285735584,0.4822517483970864,-0.2033313768000739,1.102573485682063,1.321574221832743,-0.9566716091283116,1.2105839555844256,-0.7966735920972908,0.5576172839475156,-0.7676939201857246,-0.1020636467965778,-0.8649863141056461,-0.5572428573251605,0.29629168167823383,0.08200331101734623,-0.4847361456152967,1.331451747196528,-0.08539070392550371,-0.7275353981358128,3.3056756877527853,1.8032620033212476,-0.91020151698449,-0.7986334958132587,-0.7233951794983854,-0.870845699297628,0.20515465393690435,-0.7992484194290387,-0.7768896859039048,-0.020720593013681732,-0.7732044036381496,-0.4089693650984996,-0.5726417001982175,-0.7525382834330454,1.1135111322846425,-0.17396924272081726,0.6734231696706534,0.16831385697593085,-0.7599241614382289,0.09644237584933912,-0.6488435815880041,-0.5067145728541839,-0.7608390346223795,-0.8129111312067684,0.2143527774622668,1.8069608813025064,1.3149922194525154,-0.7990885512099646,-0.7641575530571633,1.265135058790975,-0.7810256979095048,-0.331248001331047,-0.7052022281312091,-0.2900863038792046,0.3118671424176911,-0.6241488090312866,0.4667006303610834,-0.4728929667464719,1.3957190977726834,-0.9260076473126796,0.5688645920054424,1.9537528661579218,-0.9123304158702554,-0.5967851261060968,-0.8469907706194836,-0.8498831516462548,-0.8439961290267383,0.098862347907394,0.7350123824278768,1.1927718519053019,-0.5596547055773275,-0.8142007980118959,-0.6104266824577295,-0.6456967958987889,-0.4026382012610335,0.07903805425077949,2.673460101206496,-0.7544130018124615
NCI-H441,3.4922933610478832,2.325708291028299,-0.8609780678145095,-0.7531124161005127,-0.15043577597695165,-0.7193110747424023,1.189264610347376,-0.39436471804771306,-0.8071681298860373,0.3300006053043416,1.5926758579967089,-0.5693341515754315,-0.7884867403562762,-0.7233155707543437,-0.8484110827994357,-0.9062803371524876,0.8903050805508256,-0.7858621035244278,-0.7596264406803244,0.025241565796563156,-0.5783410872840927,1.250040047216832,-0.9682198916362784,1.3593939234001158,-0.12313304451322998,0.1595114957220085,1.2625439597595405,-0.8932595708478543,1.5367064112232358,-0.8260447054573172,-0.6176814553672658,-0.8109225259321475,-0.6661830700042437,-0.8230153353604464,-0.7957941677267765,0.9436775312534142,0.15204373682864664,-0.7650292595911261,0.998339232009359,-0.7009703744973171,-0.7621262200803886,3.3778448426574985,1.5857883956991448,-0.9245752728765381,-0.8479395808173644,-0.740287115451123,-0.8337771475311391,0.23941754943833596,-0.8467922699686409,-0.8776772097809287,-0.3937693927900531,-0.4137432725757009,-0.5217586180535277,-0.3710242784282325,-0.8297087830459828,0.9307471911980078,0.047181768982734885,-0.3502615548914809,-0.7590816674650094,-0.8285839799504329,0.5672317516270579,-0.6537083478445221,-0.2124762806887869,-0.8452648290987299,-0.8293446905071782,0.2777761895901376,0.9329538478919084,1.8116381417690188,-0.8260121500360197,-0.8254544606935021,1.752871886128205,-0.7763358049007021,-0.887630510346206,-0.8721755688387972,-0.6120328638239524,0.8829574758666384,-0.7782275912055208,0.6704127006499002,-0.2899896005358914,0.2209947943117495,-0.9001041743960029,0.5779094479742364,1.6279067943078682,-0.9849076256391412,-0.4782083304615305,-0.9419662920554516,-1.0388114225705012,-0.8261259145879167,0.06284429903563213,-0.71019398182134,1.965975481119222,-0.5887995300802852,-0.8584752633348296,-0.3454084114188153,-0.06804801226409234,-0.7842548912083211,0.4510010757802674,0.26735631736517723,-0.6735617454391638
NCI-H358,3.3528275162361285,2.4876845734977757,-0.7944986342715235,-0.7976156017395378,-0.5646459505216539,-0.6680105193640518,1.3206152359353411,0.033719309756324804,-0.8607666460040573,0.4850687772097664,1.5459468432583197,-0.5929348715398692,-0.7046151731505431,-0.7630994917927001,-0.7841010141802788,-0.8358010233868778,0.7817838667876049,-0.754659767052203,-0.8656858165193636,-0.6043257186990929,-0.5118154462559726,1.4746253607378723,-0.9670970919893962,1.707660961932456,-0.01242724165613067,-0.12681016025850414,1.074645067005422,-0.9634705179653484,1.0762347637913396,-0.8625297561305286,0.16059801371355076,-0.8181548525405412,-0.6380255917361563,-0.8447945012530612,-0.7985102390812708,1.1990658993820391,0.03078300906271989,-0.7460264884047975,1.1112600614214074,-0.03861385085110898,-0.8119595283999252,3.194111588352162,1.6204853316919394,-0.9476067816189708,-0.7525100406080791,-0.7344863126226708,-0.8392931748499498,-0.12512257186767906,-0.8626970728570821,-0.8470230774569049,-0.42235032146246737,0.19117946259854468,-0.27202491482074803,-0.3235148738411798,-0.8365145975712129,0.6072135995516039,0.03331856327535982,0.22820352238433414,-0.2515176117389434,-0.8648575559922765,0.9645176688434228,-0.7151445367035587,-0.4092488797688101,-0.7894832640413467,-0.8425233049757538,-0.11734221851482073,1.082929831298524,1.9452322977593564,-0.8228088194097652,-0.3634992126801414,2.004963484070931,-0.6713981212999189,-0.5303294175352884,-0.8038441550502665,-0.64778638647924,0.5908614322155727,-0.7404048738208631,0.30552863757628834,-0.47749953642489595,-0.039190101288340655,-0.994135694557215,0.5243813049821994,1.8301107859906025,-0.7923942683785216,-0.5081617588858626,-0.8712856155142681,-0.9863309097687264,-0.8780692291711764,-0.2128701963479505,-0.4130260854194144,1.9316286308543449,-0.5402780186319498,-0.8187668674059826,-0.6693349197334009,-0.2197636544778691,-0.7774258581244594,0.4680193810994844,0.2987075521393867,-0.8939103627850005
LS-411N,3.1368673823542266,2.5054438264428436,-0.8885792967682413,-0.5351072326351759,-0.4291299928886929,-0.6846950473237018,0.5828858640545134,0.2656012144076225,0.041122412538617016,0.5307882230967228,1.3268699105692374,-0.2631387304978541,-0.6631917772500449,-0.7775188206415835,-0.7174510264635471,-0.7935003710367554,0.6739923367011603,-0.7850434626716928,0.0010051007276069641,-0.6571672185929862,0.11077838371763694,1.3307944797542282,-0.9456794192410308,0.8977517412016167,0.24008740080601,-0.7957068252786834,0.6888740463011648,-0.9716378733491622,1.2169137405546342,-0.8699500737857779,0.9000359738931872,-0.8654927553511018,-0.6245518587877558,-0.7724675179587096,-0.8460535006733209,0.6949287644584758,0.16783838584763744,-0.7492424351953667,1.3472266845226923,-0.7536140345273097,-0.7472563480640524,3.1143354728751507,1.5815184370964317,-0.9802530727357792,-0.7538126632157636,-0.7728415900897507,-0.7868497335218781,0.0835784757999067,-0.8252399049657492,-0.7839596049088862,-0.4926398162698664,-0.7547532040506328,0.2731382767418529,-0.27217798054987435,-0.8145502558515936,0.6534312803956329,0.3103556230183169,-0.08130942838191382,0.7385101236417758,-0.8091269812208928,0.6007692556583016,-0.7660939159722834,0.15541237535056626,-0.7835736997112148,-0.8372395084491875,0.4718909268685422,1.3183433692471571,1.8648442801490044,-0.9403160678035184,0.4031131143320101,1.7078495617728724,-0.7075433233713426,-0.8793650087911761,-0.8372821358799086,-0.25086796663522043,0.4836942612484981,-0.5123515972319975,0.5281396400601249,0.13458436643053967,0.7081041907948731,-0.8213459807923225,0.4984423017239042,1.991497971604648,-0.8875468088764971,-0.5872749989971716,-0.9953320072029612,-0.8696110019339566,-0.8403078284987877,0.09991822857973157,-0.8359209374101128,2.019553040187649,-0.6420542553315987,-0.8966201815882435,-0.6064201267611765,-0.0924362184712031,-0.7962468428638921,-0.7283650923150427,0.6169367837043359,-0.5007594089468782
NCI-H2452,3.191601611188496,2.378162884101812,-0.77390102972552,-0.7882241478626875,-0.6834875460724139,-0.7020009027895443,1.053881814417324,-0.5207790630635061,-0.7774081002410316,0.4313546546317911,1.2896755499980301,0.1877294925049416,-0.8110003096038862,-0.7008634447215366,-0.6051978996258581,-0.7833704096930073,0.6053779348356004,-0.6136155960401661,-0.9251297499603832,-0.8380311164431365,-0.6380356396387532,1.1393357611865211,-0.8942111366562638,0.5879673768544635,-0.22721232965823696,0.6657300109636147,1.3990438590186811,-0.7421373302603795,1.5141228594189018,-0.7743003938053024,-0.6065239546777987,-0.7414381444091834,-0.16603869330556,-0.6207253368030587,-0.7575682245033781,0.5390059237100548,0.21101102242604425,-0.6452435927900988,1.0049315677563442,-0.1809493330546448,-0.7149489808767246,3.3606597725453997,1.4342255465689182,-0.903087522680497,-0.8417718425544581,-0.8361979497441067,-0.8224201774107741,0.1705581369264669,-0.8460713325520388,-0.9263919771828658,-0.3606145022142127,-0.7539700861604864,-0.5305719669820655,-0.5131725058526982,-0.8497532105166448,0.30033039646165405,-0.11057951697855592,0.10019246927535053,0.5343925092389925,-0.8778705138179269,0.5739175732188385,-0.7762278673227537,-0.7241318317958145,-0.783535283218563,-0.8588096945270385,0.5467992636627412,1.4594221269364345,1.7385066518646413,-0.8418407967047847,-0.9060020974523192,1.5330909326391229,-0.6038890715469784,-0.6818576461834944,-0.8681240983486208,-0.6930280797621216,0.3383250667796434,-0.5264059606994035,0.5485088606794144,0.043821517432791085,1.1931770656516067,-0.7782905629339206,0.4085535348039537,1.5664204256900591,-0.9537663923080976,-0.6740807528299916,-0.8532634020650832,-1.0260162719913517,-0.8019464544404058,-0.17663487810431094,-0.7202483453734099,0.9191310614354068,-0.4099402090900704,-0.8487160557024871,-0.4320421416789689,-0.7315200610269441,-0.4925700193423024,0.1944190599889667,1.8717697231239772,-0.5957541549633595
UACC-257,3.0256767109833014,2.49506855821935,3.0898049929336535,-0.6896358977395911,-0.5491345742782521,-0.6019142048279242,1.1492041905409098,1.037745425629761,0.337385438404141,0.29148630199752035,1.6277554564202108,-0.5794079768810508,-0.4632096412982673,-0.7682706000576622,-0.752525449854034,-0.7648275645238801,0.4868498049528415,-0.7319409478366485,-0.7019287797532439,-0.8674131312916706,-0.4625261574959026,1.7438123860969132,2.6105149529155893,0.461570293006893,-0.3160382285827913,0.1964093093642431,1.2370027862820006,-0.8167699894445254,1.2613188241917048,-0.5487957931353078,1.993117732421708,-0.8131377057641915,-0.6768006395538172,-0.6916073111439359,-0.7923150064044164,-0.3189395196963855,-0.4358507266623245,-0.5743692795425096,0.8886205363553505,0.35160257937611256,-0.7392199079329052,3.3054586149368923,1.6023168861037729,-0.9097426909553205,-0.6150299798619101,-0.7443193145943737,3.592004669245408,0.569109677257734,-0.7110609526522981,-0.803708910974226,-0.2112420177555362,-0.79328888628428,-0.2991199706174708,-0.6552108187346377,-0.6537941516128597,0.4626853245173175,-0.5110766650626987,-0.5030246240113396,-0.3833885496067346,-0.7885731146898931,0.5251768085340622,-0.7342289069390417,-0.7785321786762793,-0.7315298695396689,-0.8684477760738106,0.8087785000493041,1.6389289008705468,1.4920891032672825,-0.8978719850451616,-0.439489097207698,1.26889222700523,-0.7674076783270078,3.4140162827990084,-0.8388410009831427,-0.7830879753040785,0.4198127773087068,-0.7633688974775368,0.7572535381033558,-0.6206225138343399,0.9897057775020668,-0.929520372110623,0.5801167903165992,1.7367129533190655,-0.8836636858212954,-0.7676850660578705,-0.8619983294246776,-0.9808158635982992,-0.8675637531801421,-0.4403156737493876,-0.8300881312040759,2.5880288683142822,-0.5352529774153055,-0.8021863415713542,-0.27070666431984497,-0.5800721440806653,-0.5104306070044764,2.8833973013252248,0.5321784072996468,-0.7133071026525576
H2369,3.0916719356215383,2.1434350810263516,-0.8260711369251728,-0.4459299123867614,-0.5911047361541756,-0.6127281992421997,1.368875080336632,-0.1410868942605829,-0.8093812838876036,0.2293368853765421,0.9503639187098716,0.27752519496440425,-0.6100955101589848,-0.7528000493877649,-0.661434582186452,-0.8030985150314116,0.6990519002343731,-0.707724285791779,-0.8506993859413856,-0.3622154725260416,-0.519067745138261,1.1337516076882892,-0.925039999131815,0.8620638067442004,0.0018002208058185297,1.309069422842029,0.98391524428943,-0.8279801518861528,1.680456962564557,-0.8928757910639887,0.004980226308451243,-0.8134272969969074,0.3719988145386467,-0.7666587914687972,-0.7406429182335368,0.5954084251627866,-0.1519435446921602,-0.6049501934502494,1.3669016331755115,0.5788888410259995,-0.7371957869808202,3.1254933232669537,1.2820857848245335,-0.958509930056588,-0.7862577491277492,-0.7742837734990925,-0.4523264354186123,-0.4152737105561847,-0.8228510059307507,-0.7260353675921927,-0.12638299994389082,-0.9612234756778856,-0.3452824988242441,-0.3656345228630463,-0.775919823797341,0.7248507230584516,-0.3960025708208996,-0.32850586303632456,0.7978209123643938,-0.9298410029078202,0.1646230303350164,-0.7666429398902633,-0.6115161479531985,-0.7666078629955184,-0.7884864405145457,-0.14092615579921722,1.5689479178731216,1.6167083729494922,-0.8685035576510426,-0.9428610797153976,1.6866978894983442,-0.7234662229320352,-0.5398057942375254,-0.8750664691386828,-0.7118344110026184,0.26262041498512817,-0.7419374284012563,0.3546276216895768,0.0014695256899289535,0.4120349900412952,-0.9357517585234356,0.3382506361694041,1.9941827456154837,-0.9521745116774754,-0.7962045019534632,-0.8437925264241871,-0.9671169847686658,-0.8671066348677584,0.6543436537176066,-0.4004571831018054,1.461760634841589,-0.5162133136357421,-0.8780776861388434,-0.5577927990646347,-0.5863272270614888,-0.710836111215367,0.25268339398842904,0.992393057688584,-0.8317285134784118
H2804,3.0287023972305334,2.232842552432209,-0.8622144163312757,-0.7814937627671442,-0.38862402149195424,-0.4086235191069286,1.5906147446592092,0.3294310686854865,-0.7218601557418602,0.7188231677713263,1.4756949772052814,0.2540578821262456,-0.7345548720509125,-0.6597501533999879,-0.7810701641490044,-0.8346131718270495,0.5884418682320346,-0.6839091739528458,-0.8274618060327539,-0.5728450752647016,-0.6020984836382877,1.5529699611461252,-0.8666746572553304,0.71502459917081,0.14106790079141635,0.7870270250326533,1.2286983163664948,-0.9351445062461348,1.1885961622008634,-0.7896480110263362,-0.4011081155948106,-0.7307428362180245,-0.3370180664252944,-0.7856330359540099,-0.6604254215257457,0.7527346594322986,0.19029487929264755,-0.6335838250791648,1.7748594598757197,0.037417570691581366,-0.7164047056769286,3.204653057794608,1.3881100410006737,-0.8997480337622311,-0.7004780689531527,-0.8202856317679825,-0.7272217227264448,0.21303907453752247,-0.5192330623126676,-0.7141203000405323,0.0913745429735691,-0.6395859219941844,-0.17372681643090765,0.3082058205806011,-0.8288123207029022,0.9891072695734257,0.2719238655148328,0.2425843506999755,0.2332788016987352,-0.8560797455361249,0.11197830372000182,-0.7101684160291996,-0.6594538641858929,-0.7279161867896468,-0.8698558182941698,0.08480910395455504,1.3963003958057107,1.5377013449030346,-0.925819856357302,-0.7587741087511332,1.2152885170640892,-0.7810567887522382,1.6396362598193852,-0.8972930379784421,-0.6108318371239835,0.2628231971577309,-0.741868376361825,0.13328015511769925,-0.3860374950805125,1.4435399452741482,-0.9609710997646024,0.33953351564350565,1.7018665374170965,-0.8429908671347488,-0.6601262192862437,-0.9270138817781072,-0.9879489269851268,-0.8117427967560781,0.10674373435758124,-0.658917001042039,1.2310694005799854,-0.5156614461257214,-0.7853256851412299,-0.5941133400855693,-0.5046583834555809,-0.34315360644445136,0.9922716788794615,2.334496957787384,-0.7911750295976948
