,STAT3,CHUK,PTPN11,PPARGC1A,NPY,TNF,SLC2A4,CD36,SLC2A1,MTOR,ADIPOR2,PRKAG2,ACSL6,POMC,MAPK9,MAPK10,PRKCQ,RXRB,RXRG,IKBKB,PRKAG3,RXRA,TNFRSF1B,ADIPOR1,AKT1,AKT2,TNFRSF1A,JAK2,LEPR,AKT3,LEP,ACACB,NFKB1,NFKBIB,NFKBIA,NFKBIE,MAPK8,CPT1A,PCK2,CPT1C,PCK1,RELA,STK11,PPARA,TRAF2,PRKAB2,PRKAB1,PRKAA2,PRKAA1,SOCS3,TRADD,ACSL5,ADIPOQ,G6PC2,IRS2,ACSL1,AGRP,PRKAG1,G6PC,IRS1,CAMKK1,CAMKK2,IRS4,ACSL3,ACSL4
CAL-120,1.1823880415834602,0.5166852250413664,-0.4189799745235525,-0.8385405882313015,-0.6935926911549536,-0.7960448465884994,-0.8081957813332029,-0.9043192541046706,0.9931722829731376,0.10579987820560988,1.3760873110030003,1.5412017188468663,-0.9294745193746076,-0.728059971621169,0.41549824167551397,-0.7725418357065711,-0.8870942145888768,-0.054527565360158736,-0.8108711616947499,0.7853695563017683,-0.7387477685862077,0.13281732842615954,-0.796074170730996,1.1659147587143939,-0.19985279400177544,-0.4819424240854727,0.5840910328095071,-0.2013513432083108,-0.4458278769740091,0.4364324540353784,-0.7730350617784203,-0.6584137538742882,1.4046785469175604,-0.4434575404816248,1.6043266203368904,0.4417413552956769,0.05289881033707378,0.2009433022871457,0.37695222910797255,0.657695406114606,-0.9211598780411252,0.17742717424225202,-0.04040182567234395,-0.4642824405722315,0.01567863296285042,-0.1644111295093322,-0.004000270904524603,0.4122164652513519,0.08848128348421973,-0.461138333854847,0.08974500754158768,-0.7318614713868649,-0.8019050735721339,-0.8485909594961893,1.2008686839249767,0.6483452590699217,-0.7561923856978947,1.4047927504865414,-0.8158224048596279,-0.08775912209433469,-0.39120304493453995,0.7160568972638863,-0.7679619250770664,2.152701511077334,-0.15608468891609292
ETK-1,1.7438699355205003,0.5239541577125508,-0.4417710131376367,-0.7868864937382974,-0.7881446721644049,-0.7023522070818511,-0.8338404593337531,-0.9280537137727468,1.9227933618320323,0.030525746305379513,1.2030305605984557,1.4675757824436697,-0.903204599820953,-0.6496643737950779,0.23252535614873684,-0.6866703641770378,-0.592831063063485,0.12013484547040915,-0.9058640802043496,-0.2222664049408303,-0.6964085601467729,0.6348291950463383,-0.7339117496020249,1.5719793991364617,0.1266592331092139,-0.5886272683587355,0.47166293746873,-0.5717787770722844,-0.4371011617713885,-0.5448795531082345,-0.7484156611220072,-0.5661838333675199,1.5244976134388952,-0.1629994792273173,1.8917337079863108,1.1483347983305,-0.06189087109587045,0.5458560811306764,0.7491918627807349,-0.4788372377232731,-0.9026342886141934,0.22592445980755305,0.150147232017176,-0.3637199046527906,-0.07938988801521091,-0.0076666351872803065,0.2106094651793089,-0.35036539958618884,-0.08779194387465454,-0.6341337020939879,0.5371169771324021,0.7037455957220247,-0.8136101310756247,-0.9208430676222402,1.0198314328310198,1.6340001691206352,-0.8331009605001274,1.456402369358036,-0.8230698102320684,0.5635819634961939,-0.2605161569354365,0.6581795635487664,-0.7765027475532928,1.7476940830302308,-0.4524924225555709
H2731,1.7072739769559262,0.9321636329647176,-0.4145723263706596,-0.7802772870239133,-0.514368831469037,-0.7348817399151673,-0.7733044152330619,-0.9975950351357776,1.3796770371345315,0.09506309060407568,0.9800021906540608,1.5677569429426284,-0.8678986297414392,-0.8161237923891564,0.7054452224023271,-0.7601163252707807,-0.8322358564197958,0.17477094003623167,-0.9116361372920376,-0.14990082944574756,-0.7898006568738986,0.8427908994015534,-0.7528071776565758,1.019936698791338,-0.15174020943164618,-0.6640179112916704,0.24497166908270876,-0.5238539535276029,-0.7110146600315561,-0.6239843608956496,-0.6296568499232958,-0.6420407530356308,1.6759030277451683,-0.33691879946220504,1.6566352613367126,1.1794707122440458,-0.3113054403255434,0.5633216073087426,0.012341021582121171,-0.04976578334332022,-0.9053213173978926,0.00876718148268978,0.4482420915359001,-0.4023207114782849,-0.11685094136297686,-0.5203380290643352,0.4153027554789304,-0.5539231051055934,-0.2407883663596755,-0.7143530903818729,0.10192288398174157,-0.7075070196179959,-0.7434779274473783,-0.9081305147464585,1.0826273256744758,0.6253771745044739,-0.9128525342316752,1.4826315283167195,-0.8480458849336172,-0.421714590235798,-0.07308452647573119,0.7484450943063629,-0.6990799462806162,2.09704132460512,-0.5851766335735371
NCI-H441,1.5014529565639845,0.5561089125342571,-0.4691638643262653,-0.8372531579423598,-0.7204410352601196,-0.8085461427863829,-0.8028645236569163,-0.9226285878488124,1.3508990382700157,-0.1677459181529349,1.0693728456002929,0.8771764902191502,-0.9653163380416592,-0.7233155707543437,0.6951323573052699,-0.9083686048427996,-0.8387026469282016,-0.028827159470431744,-0.8487197307466956,0.7690312459708287,-0.7641255056549586,0.19038417122491855,-0.7127481223673486,1.3725102595566832,-0.26570566958600805,-0.5854985495687144,0.8197827832645215,-0.4733914713608993,-0.5392601846142401,-0.6958193198758809,-0.7886895386165627,-0.583422898583989,1.6885368679713544,-0.38188165768696825,1.6625748981344504,0.5256428981109253,-0.32726911965707123,0.3248252943074961,0.9271694267268668,-0.8146697819243461,-0.9153702752969016,0.3500745034258357,0.03240936595795205,-0.3084425000487966,-0.2680764586146946,0.07552492422747012,0.5129836336571485,-0.8029768408507878,-0.15000151283089588,-0.6818412506126872,0.5372123236221861,1.5298250400826303,-0.7780927022283147,-0.8763584607099972,0.6540699966238432,1.3228074957612437,-0.7373500349272253,1.1620805281537243,-0.8716044889009789,0.6716496809021355,-0.18147740404201135,1.1659596102703251,-0.7800003417560611,2.3994334248696414,-0.2940483052190775
NCI-H358,1.2412322010036148,0.5403676801635996,-0.4826663380756731,-0.8147134601212522,-0.8735992561633598,-0.6749680092768712,-0.8845291923698121,-0.9188521775903769,1.7409439670395448,-0.18179447286972125,0.6731564694700115,0.6379410574691077,-0.8224199386488709,-0.7630994917927001,0.9786930455857376,-0.6928921167528485,-0.8045271964995928,0.11409450583250895,-0.8788600783596472,0.16141018418366074,-0.8143200813973697,0.9406409299737692,-0.8222896256330379,1.084469522917997,-0.05201802325830348,-0.4248105610331739,0.2878872458156269,0.053805523851013386,-0.0004486611349967902,-0.7232608504086048,-0.7710100035439138,-0.7386426084680654,1.722068530552285,-0.3182464407166861,1.7699829477499964,0.5802085063395088,-0.3425528615569144,0.525806396938416,0.6971939041584079,-0.03957721659876206,-0.8842843715241333,0.2051817638160682,-0.02807101730455708,-0.5042706507562648,-0.3540389235645296,0.32331812055149395,1.149764706313241,0.2782418584949869,-0.191169079070174,-0.4249650093687407,0.30907183389120885,-0.5943284824405468,-0.8068748722038324,-0.9043367796786632,0.5294250999957723,1.4742194683061265,-0.8607271524834085,1.4980373719457445,-0.8582301851707524,0.06735900332837183,-0.12359979024635223,0.7182099207631775,-0.7608162091140136,2.142451218470835,-0.5838712741790036
LS-411N,-0.4778219953344822,1.1454809662876608,-0.335131280348438,-0.6202206586208117,-0.6621712121289255,-0.8362563767125443,-0.8468669748750303,-0.9113404785601591,0.6228929671098677,0.042960892671571375,1.4117259485132032,0.7166444263102763,-0.9073169945373921,-0.7775188206415835,0.4134818691378309,-0.8276983363413841,-0.5323196204291053,-0.17478431675755485,-0.7660179098701217,-0.09434969114365796,-0.6966995683431338,0.3376851111306234,-0.2503732777731893,0.9937617777511352,-0.24251542886789626,-0.6497916729249831,0.215146305132386,-0.2437053796376157,-0.7681306821614233,-0.8267961689333675,-0.8283554379848054,-0.6053992051360374,1.9274742460604932,-0.17607397952838502,1.4571389097525504,0.09312691855519133,-0.05129340966893639,0.8376328319303578,0.4177190646047249,-0.7739899112700918,-0.4528699862913691,-0.12575313564745538,0.03177415349515686,0.10770053238741284,-0.22167177816060185,0.23586858864692095,0.0794459648947326,-0.9011536684245764,0.2575405535559408,-0.9209293630204812,-0.10904187423631166,2.3057534079820674,-0.785855278274285,-0.8156373129027442,1.126092309749153,0.636213247364296,-0.768621909096611,1.715277180609751,-0.8564455063846335,0.08170329054944364,0.1727235063317812,0.6299900031446014,-0.5760542675554979,1.8070296884786683,-0.5528131222284178
NCI-H2452,1.5954613692428603,0.8335748759741254,-0.4432540558066763,-0.9081847772817524,-0.7803856882374528,-0.8109661678998319,-0.8624185615073512,-0.9812764541762556,1.3506038912958018,0.1000301686244262,1.0991971572728343,0.8255416582507507,-0.9491599822361134,-0.7008634447215366,0.5452651818438474,-0.968519916012312,-0.7751424944695822,0.040744962115985835,-0.9068535191205244,-0.05817698140061575,-0.7228390668366017,0.6201604646713844,-0.7157039599907699,0.9097437701386158,-0.2078611696528301,-0.6172414110572932,0.5601455294866282,-0.4834631080068029,-0.31517319026952906,-0.3753643941962525,-0.8119781074324041,-0.6883954154519852,1.8671452599095533,-0.3755182444203927,1.5417467536427367,1.238517384634408,-0.3579664114752496,0.5337583266351688,-0.022955060881824224,-0.7664838179544441,-0.9232830079014432,0.12648673917348285,0.2825948018900986,-0.4886984998862271,0.1856947279874721,-0.41010664197563795,0.3769179873469711,-0.6340186954059567,-0.3432883985421872,-0.6973522174545974,0.43495077982286784,-0.2704534461499827,-0.8125224309325825,-0.8775300561700465,0.5299667938824528,0.3579474536592621,-0.8075115286096245,1.6908668129961095,-0.8439259769828391,-0.6571745115825091,0.13813266283556105,0.9367894549654214,-0.7988465304647279,1.2657478200854624,-0.01544154903148769
UACC-257,1.5739822542273203,0.5411284211981153,-0.4371875563650505,-0.6897196016286892,-0.5517071788481667,-0.8561805916353357,-0.8435728841044864,-0.946485626583986,0.4400944348638981,0.2637950159070584,1.395481211739361,0.4392955335958886,-0.9234546262974682,-0.7682706000576622,0.19850769147560268,-0.7810287062332645,-0.8593779219829989,0.17675919300447332,0.17045368343760925,-0.2630518933393641,-0.759198888690271,-0.09039034147162864,-0.7760661470449367,1.6824273572338782,0.1034372484054456,-0.4156948757425929,-0.2042563549787971,-0.13415562965796118,-0.929819941096516,-0.20350358457046905,-0.7909729559481729,-0.3829127000627373,1.4221700404381803,0.03951084964031961,0.9123966398789995,1.3562551677243684,-0.5715990167442143,0.3579224918681126,0.5428927848535803,-0.6658039022330906,-0.9532545632471812,-0.11633637393946088,-0.2061944967321777,-0.20626102521294687,-0.350907758968001,0.1942040722491152,0.10548403064918087,-0.7220897666679856,-0.4205848501537541,-0.7748309520556226,0.3835232705146472,-0.6700437279459417,-0.7944074373569806,-0.8432133764959728,1.6384752983504751,1.2196756259512145,-0.8165228239110114,1.7758398808283178,-0.8026641614032742,-0.5098402677068009,-0.3717696607584415,0.2208146744036814,-0.6815864920756979,2.8082000585427465,-0.5001726058432905
H2369,1.9124331157963839,0.6751362027222036,-0.24427960860146106,-0.820328115749957,-0.7470803173491439,-0.6524406428128969,-0.868484829804092,-0.9702697467852704,0.9979062000275748,0.09366300668730927,0.7895187712043774,0.9620070518756622,-0.8821731265374921,-0.7528000493877649,0.5676509489988268,-0.7942798885366557,-0.8207877334658737,-0.11826882964560258,-0.9158871047034072,0.06951338730415428,-0.8296161693893063,0.520582482439928,-0.7026229879531029,1.5212729956382631,-0.15119158549319922,-0.6524623508563833,0.3955865042851195,-0.3097849714172041,0.06643558656084951,-0.07910532007774926,-0.7781132507568764,-0.5453556079595505,1.967446970617737,-0.4114681630941088,1.983322740846145,1.203691161140607,-0.31128607220835897,0.34114545875779306,0.8211222164018648,-0.09401377310768387,-0.9549221531120796,0.1114131103707035,-0.6525247871747459,-0.23257865814479595,-0.08783267920836668,0.17136625341300293,0.9319090738360136,-0.1956123991674326,-0.14250455278206675,-0.6806915669119997,0.1743669547351839,-0.370710617902039,-0.8218526751960153,-0.8925386293096159,0.8112660699574561,1.0645797042713092,-0.7867798802997882,1.7764159200367473,-0.8833170467091402,0.2620641584380071,-0.09911547095414076,1.3602569030063627,-0.6588227748027059,1.8525964373750736,-0.244955928453887
H2804,2.0809172075853803,0.5183670561180405,-0.5797021612079514,-0.5797369627698419,-0.4658085041986248,-0.7569817100754294,-0.8112487294635751,-0.9483746232170228,1.0160363022408458,-0.03616029911559057,1.0782508993680926,0.5268474700096938,-0.8438143583869965,-0.6597501533999879,0.9739827351301936,-0.8679387867631445,-0.8234678737118987,-0.11160402184836436,-0.9088100902981688,-0.10064538878499704,-0.8091355343240874,0.9398662884382416,-0.5988979048790167,1.3690423405001408,-0.07058561604041526,-0.6048940168676246,0.9712419556664028,-0.393568855947446,-0.6845398278822631,0.19688997202868425,-0.7922217819313491,-0.472147480747024,1.8783926256508516,-0.28399117071767954,1.832623433103522,1.1881954311076768,-0.5772427068055138,0.30992499505459803,-0.09864636688454012,-0.8289178205281696,-0.9406813120964638,0.029063061578386437,0.27245875235645595,-0.5743481591813717,0.1990427538242885,-0.15388363036337968,0.29645529184588804,-0.6865828592415982,-0.348076436629682,-0.5634690791704661,0.3159572994553421,-0.6382184305939995,-0.8008797999147671,-0.8299894424029767,0.7401782098925641,0.6174530257577046,-0.872922684411801,1.4231056836681144,-0.9113014456348963,-0.588591862975336,-0.16573046388335727,1.0604409343213403,-0.7242596144023882,2.2780512360039755,-0.5475031542562917
