,ADCY9,ADCY6,DYNC1LI2,DCTN6,CREB3L4,AQP4,PRKX,RAB11A,DYNLL1,DCTN2,AQP3,CREB3L1,ADCY3,CREB3,AVPR2,RAB5A,CREB3L3,NSF,DCTN5,AVP,CREB3L2,RAB11B,STX4,PRKACA,PRKACB,PRKACG,CREB1,GNAS,DYNC2H1,DYNC1H1,DCTN4,DYNC1I1,CREB5,AQP2,DYNC2LI1,ARHGDIA,ARHGDIB,DYNC1LI1,RAB5C
CAL-120,-0.5549190005269101,-0.3556607111977109,1.5897593958120253,1.2767869527092544,0.30459491159184104,-0.9341960329491156,-0.009488127225370702,1.660553816144085,3.3463023084050776,2.8411493944878563,-0.730741538439648,-0.36324673084050996,1.1202081080833304,1.182154643973219,-0.8578323897618811,1.3412297615019455,-0.7839975157770309,-0.09871397801928757,-0.528309469326936,-0.7873609667163541,-0.7429196255388198,-0.5462709360505861,1.6241848386516042,-0.6784512920953805,-0.12687051832271462,-0.654325187767558,0.7242369254979971,3.3732460502143957,1.3357791745012055,1.7923153969576846,0.3063628625962341,-0.9447526118826616,-0.5356062749514323,-0.6922666030261215,0.1412127116888251,1.1655298732027064,1.8336816318620983,0.5590695276639619,1.0570123755510061
ETK-1,-0.5154597075170482,-0.3049678122413211,1.630622251019581,1.3080846886837214,0.942349984168742,-0.9112358352464864,-0.12683764141526238,1.8504107589069445,3.4196540613555118,2.1487526025974177,-0.8254791365766281,-0.4667373404132961,1.244822042793608,1.6822403911083312,-0.8571828881151818,1.1164905007760684,-0.8185484482776436,0.2055456297346583,0.2234642147882536,-0.9699177329723055,-0.5175661268905708,-0.6560311237031687,1.466609278515915,-0.7194000136624761,-0.18238817592854964,-0.7344656305842422,0.6622518103431084,3.364873422532959,0.05536461864182485,1.8658586685255376,-0.28030121035213235,-0.9294743082782048,-0.6377616116175152,-0.696535703174939,-0.17338311240773008,1.009828317807847,2.68359765078114,0.8674000942324939,1.2598082827175818
H2731,-0.020720593013681732,-0.4089693650984996,1.80601158811644,1.5519974783008377,0.09644237584933912,-0.8948633555744459,-0.2033313768000739,1.4457426234749726,3.5699592983030306,2.0331226354027927,-0.7433403396030646,-0.7568322768562155,1.2105839555844256,1.6250825859088929,-0.7415499530071386,1.5522688739026012,-0.7676939201857246,0.32016200765702074,-0.13247445070225736,-0.7534538735461915,-0.6104266824577295,-0.40240999183174936,2.009302862180857,-0.4847361456152967,-0.08539070392550371,-0.7275353981358128,0.6946255893520676,3.3056756877527853,0.5758854281060157,2.1469692134613942,0.4981821579961904,-0.7910624398650404,-0.08761738025535737,-0.7521777473438096,0.3343086455806416,0.9808934700198902,-0.36343641030395396,1.2578735072962126,1.27178192194123
NCI-H441,-0.3937693927900531,-0.5217586180535277,1.8410791226823813,1.1776846170956772,0.5672317516270579,0.03363111946940939,-0.12313304451322998,1.7265195340739932,3.271866220129821,1.582530711553198,-0.7451858622177993,-0.7531124161005127,1.5367064112232358,1.5926758579967089,-0.8847038266621015,1.1810895600167453,-0.8109225259321475,0.3643988653037554,-0.348701818866753,-0.8483843158889415,-0.3454084114188153,-0.4539489553086717,1.4512607904409918,-0.7650292595911261,-0.7009703744973171,-0.7621262200803886,0.8903050805508256,3.3778448426574985,0.6324853091594581,1.5303442035368335,0.2889381575603218,-0.8766538152588192,-0.9063746908920142,-0.727481779313768,0.023532525256105788,0.4933383981155512,3.005207824369036,0.6795358663019772,0.8369382456158008
NCI-H358,-0.42235032146246737,-0.27202491482074803,1.9758115070336124,1.5972462943361538,0.9645176688434228,-0.9723171757600699,-0.01242724165613067,1.6239570923894653,3.4265554408157928,1.6689889089491958,-0.728378833230675,-0.7976156017395378,1.0762347637913396,1.5459468432583197,-0.7647313026312456,1.3328950375411843,-0.8181548525405412,-0.0272099713126649,-0.12148259016562404,-0.8361289225460229,-0.6693349197334009,-0.6082310305524392,1.5298488070828151,-0.7460264884047975,-0.03861385085110898,-0.8119595283999252,0.7817838667876049,3.194111588352162,0.96602654894789,1.7845455236710015,0.18603239341768904,-0.6187683053663979,-0.024825659231349308,-0.7722560358104129,0.29291915168223903,0.6367301571047728,1.7942648106493853,0.8892911223261316,0.8277150055986431
LS-411N,-0.4926398162698664,0.2731382767418529,1.218117838199175,1.3976792749034286,0.6007692556583016,-0.9100908861938116,0.24008740080601,1.9010434689780609,3.2575559320270613,1.8051820594630472,0.09050307578783123,-0.5351072326351759,1.2169137405546342,1.3268699105692374,-0.8153969126706523,1.2121740871199485,-0.8654927553511018,-0.04608536821352804,-0.3135658823978487,-0.7621139698295434,-0.6064201267611765,-0.4789085326573342,0.8618102021279472,-0.7492424351953667,-0.7536140345273097,-0.7472563480640524,0.6739923367011603,3.1143354728751507,-0.3852409466918935,1.492681078781521,0.2895786898882157,-0.898796679782278,-0.8119761363783637,-0.7562678758826021,0.06891231750070198,0.3477072039244592,-0.5893542631473493,0.7745314525690911,0.8581701860360706
NCI-H2452,-0.3606145022142127,-0.5305719669820655,2.051235622634473,1.1056123740742354,0.5739175732188385,-0.9377134387799282,-0.22721232965823696,1.7499050656347526,3.448834249287935,1.942397243911165,-0.9182971122361122,-0.7882241478626875,1.5141228594189018,1.2896755499980301,-0.8577961479886282,0.9327555529816136,-0.7414381444091834,-0.0966119139581898,-0.13514672373266007,-0.7844082408003529,-0.4320421416789689,-0.5058485735079986,1.9204152932276284,-0.6452435927900988,-0.1809493330546448,-0.7149489808767246,0.6053779348356004,3.3606597725453997,0.9462382403713328,2.020374600182347,0.3669094522950303,-0.8579372596615978,-0.2268449479551479,-0.7284961631374737,0.047622141286754564,0.9790466055757294,1.3700219104229112,1.6741672029091863,1.0182192824104142
UACC-257,-0.2112420177555362,-0.2991199706174708,1.8869473036636453,1.227180093234997,0.5251768085340622,-0.8783567296599668,-0.3160382285827913,1.6723545557268298,3.432652270103842,1.9477095858369171,-0.8988181410194147,-0.6896358977395911,1.2613188241917048,1.6277554564202108,-0.8386162348536038,0.8745865358226357,-0.8131377057641915,0.23718556331869434,0.247133275627046,-0.9040829703499972,-0.27070666431984497,-0.5368379499217658,0.8084076885275235,-0.5743692795425096,0.35160257937611256,-0.7392199079329052,0.4868498049528415,3.3054586149368923,0.22475920425625692,1.6641004026885895,0.35006014498758065,-0.7537185356127291,0.13584553856235893,-0.6888660477973113,-0.14483542110932626,1.122912622186583,1.1084557739665732,0.6695272001475949,1.353944868965801
H2369,-0.12638299994389082,-0.3452824988242441,1.7594612248962844,1.7513440254397694,0.1646230303350164,-0.911449295520698,0.0018002208058185297,1.4522123281031551,3.396362019133292,1.850782161901195,-0.8950770865368504,-0.4459299123867614,1.680456962564557,0.9503639187098716,-0.9650420349403958,1.2654737873428878,-0.8134272969969074,-0.14829204041110575,-0.2783154336742095,-0.9466907611341964,-0.5577927990646347,-0.6495554019351291,1.4872425027708474,-0.6049501934502494,0.5788888410259995,-0.7371957869808202,0.6990519002343731,3.1254933232669537,1.1296425273014672,2.0619428040189764,0.19167563228052084,-0.9484614801026678,0.4518779423860596,-0.7739967194168138,0.0709703167973425,0.8272610739138306,-0.009114436758663205,0.8328010865214286,1.1373994818756399
H2804,0.0913745429735691,-0.17372681643090765,1.7317684599086618,1.521118962925701,0.11197830372000182,-0.9368376232854204,0.14106790079141635,1.5221389828329437,3.583661613990912,1.9968356752941827,-0.5819762982461161,-0.7814937627671442,1.1885961622008634,1.4756949772052814,-0.8225918570850725,1.1943659104421325,-0.7307428362180245,0.04214572133173474,0.41066339396852136,-0.8852118859109752,-0.5941133400855693,-0.6561267860126178,1.6902383277396236,-0.6335838250791648,0.037417570691581366,-0.7164047056769286,0.5884418682320346,3.204653057794608,-0.2955930846470449,1.7266038431045012,0.3987495838230801,-0.7755195806619569,-0.5169917193100566,-0.6475256473298358,-0.044653366116972334,0.9059969911054051,-0.08766631729878753,0.6300432923816387,1.2324848503700856
