,UQCR10,NDUFA4,UBE2L6,NDUFS7,COX5B,COX4I1,UCHL1,NDUFA2,NDUFA3,NDUFA1,SNCAIP,APAF1,UBE2G2,UBE2G1,VDAC3,UBE2J2,UQCRQ,UBE2L3,COX7A2L,COX5A,UBA7,UBA1,SLC25A6,UQCRHL,SLC25A5,SLC25A4,SDHA,SLC18A1,SLC18A2,NDUFA4L2,TH,SLC25A31,CASP9,PPID,SDHB,SDHC,PINK1,COX7B,COX7A1,COX7A2,COX6C,UBE2J1,COX6B1,COX7B2,CASP3,UQCRB,COX6A2,UQCRH,UQCRC2,UQCRC1,NDUFB3,NDUFB1,NDUFB2,NDUFA10,NDUFAB1,NDUFA8,UQCR11,HTRA2,NDUFA6,NDUFV3,COX6B2,COX4I2,SNCA,NDUFB10,NDUFS8,NDUFC1,NDUFS1,NDUFB6,NDUFS4,NDUFB7,NDUFV1,NDUFS6,NDUFB9,NDUFS5,NDUFS2,NDUFB4,NDUFS3,NDUFB5,PARK7,CYC1,GPR37,SLC6A3,LRRK2
CAL-120,2.8733904930529093,-0.6447093265064474,1.9374416158459549,1.7308698198696195,2.991194144154429,2.0166516884007937,2.529528096506916,2.433607102253712,2.7683912792686582,3.2245784661831887,-0.476721028049835,-0.6044755889844281,0.833544384886949,1.2200700701077254,3.1981065082469553,0.9793746488684122,2.41106727253836,0.7158118732634837,2.542796661393852,2.6826577950954915,0.048696064772122065,1.4579286685248445,2.79047794043688,1.4032489349214117,3.2437006867345164,0.44012847559748425,2.350565733128812,-0.709008888728215,-0.7838711080695031,-0.7802441001443418,-0.7473817969611887,-0.9547984303082993,0.07865542888154624,1.3411959868771959,2.1404517631618005,2.0504776745272717,1.2884297800394249,3.0585939433393534,-0.8497623857468113,2.8097836575150064,2.2199991338679492,1.128254995339155,3.1053503423166378,-0.8374617668584183,0.9831462012512268,-0.20744404749904927,-0.815999671257176,1.2752729475960891,2.409942168970548,1.582797767956769,0.8961319376153821,2.838756165056861,2.7023922970093333,1.9384051177311241,2.5653847945136445,2.112382150789569,1.1838243213418895,0.8194662771416718,2.44494401772738,0.3502147889645064,-0.6316341785865126,-0.7724331525916579,0.23341080088316865,2.016627954315123,1.6174067919382642,2.670504375577809,1.4319142054248362,2.137418244309324,3.00635689579353,2.5528095777312783,2.06756744039987,2.9171915953050798,2.420188204507182,2.7903749647481497,0.603243628368506,2.882555197423082,0.3742938641187769,2.232485205894013,2.921195837442633,2.357601087137178,-0.7001975789433262,-0.8351530647458356,-0.7910600944721453
ETK-1,2.8981224442848252,-0.5112917205681374,2.4661215356450272,1.3227752102905534,2.825921063516269,2.0664140286949064,2.8520222577805225,2.1171600857048305,2.1369092564886607,3.0599829636622995,-0.8756737031567573,-0.5218304759786743,0.6413556654608319,1.4298191466572645,2.5095199339492202,1.599823445765148,2.0861544544851784,0.9209746713361004,2.466521466245551,2.744539001363129,0.4041187814110696,1.6769409645174116,2.458823951754543,1.2994960181437458,3.3983790773069846,0.7397328317929057,2.4535378495993614,-0.7544304867095476,-0.7956939567866559,-0.8198822005917215,-0.7068660735243832,-0.9615610999057432,0.5480063931414073,1.6994854871691056,1.917320051492528,2.2862184265897403,1.9501542683530129,2.804538738886512,-0.9685540358194866,2.9487278804018437,2.1396219978655533,1.4881331303721523,2.9211198296228646,-0.7925441779599633,1.2026427417014658,-0.3937583658607109,-0.8339261223268104,1.3034011040439837,1.8578990591771511,1.1247845513484107,0.8796609142156095,2.7646531480385024,2.963708113626455,1.6788763822188102,2.7455382835130497,1.9705555946083182,0.8641487986953673,0.9499889857089416,2.2585049223143407,0.7318596948444502,-0.6853175430271339,-0.895279466060453,-0.17212799199612758,1.83142221881542,1.774960721671914,2.8111369437890628,1.4152447391060532,2.115681369170953,2.259836222980017,2.2082636329291554,2.1131358920460244,2.963950715191735,2.2037539582219927,2.7672713128406268,0.7418531470562822,3.0603228594249714,0.1766110226453881,1.942117746517548,2.9042804641462587,2.5860020067504514,-0.04262666870541907,-0.7923490194891707,-0.8366054997870048
H2731,2.580119720484297,-0.22295124056182825,1.3477458486692202,1.6863601526883207,3.0352482967447214,1.917893391695348,2.9753176130766215,2.1975915490129583,2.1951711578200577,2.738037624073065,-0.8110040366288325,-0.5296645778220906,1.3353829263820576,1.3781647819383769,2.7502118472213573,1.4446069991461297,2.1458290402458613,0.9355052663388936,2.5544835715272067,2.6684941406097407,-0.2787020406158585,1.037600924286769,2.0432240788108,1.0196590430285677,3.1102353183313936,0.3740953149004824,1.9385232963341184,-0.7815570798457137,-0.7132822152081425,-0.7109055682622952,-0.6118315372442442,-0.9613851732048228,0.12263794802164875,1.6785251742431682,2.063119274336809,2.036309837732578,1.123626569702041,2.7414179859701195,-0.9206338587852506,3.078027005316205,2.1048483900589443,1.6055212945050827,2.8515061105446833,-0.7132822152081425,1.2954142228620908,-0.19312296137991986,-0.6482403238149083,1.0993167699538966,2.2737773286776823,1.1191456509371918,0.8362228512013277,2.386155533800647,2.8697732575790695,1.9784245228489823,2.933719336433084,2.1543074772849717,1.1115991780581578,1.1560704781824471,2.682132357776581,0.7496648850804194,-0.6673442126668768,-0.8939832710456236,0.4673380080262841,2.2411118187414503,1.7292848864506591,2.4442777233212225,1.5725044022920172,2.4765600587920935,2.7411759900147716,2.488788871359462,1.7170767657138275,2.9882640771263618,2.3839510160417263,2.8251051400676115,0.5464770479383385,3.2186530400276925,0.33254229833643084,2.283256801910046,2.97592311241066,2.5666248381720482,0.07819529773237771,-0.8185676120621024,-0.8235566236859747
NCI-H441,2.9560776201148444,-0.7102232076742715,2.116326167682535,1.3001842049992676,2.754841124549809,1.9573139139641167,-0.7176907468382325,2.303074964114415,2.355754735615228,2.846870523171449,-0.8954969569518458,-0.4197731254932607,1.1757310951208442,1.323169101258043,2.852198196469694,1.121709373519724,1.5139511211329684,0.8612401823997045,2.4154352945067012,2.6478370612987656,-0.2262960273178357,0.6788704869811715,2.1979321217490146,0.9784150543693164,3.2845079896089198,0.2782180253391779,2.0653014800257403,-0.8615885129424629,-0.753677988983846,-0.8137725189881576,-0.7045759515513639,-0.9228653911916648,0.289470294262159,1.3589600407498357,2.0066499346484816,1.8911255377332488,1.430248802094392,2.7189572404426787,-0.9597173910628706,2.728901350146301,2.2169876229254895,1.5373947372953678,2.685778644452493,-0.8111155487676555,0.6975340346678282,-0.3488802391403901,-0.8786253568871311,1.1275487454609692,1.8589414517528835,1.0071679773080546,0.6562742561022242,2.580866469590068,2.782289279103825,1.5894029342118232,2.760725178487786,1.8175472144559033,0.8705054581570593,0.8866054740538943,2.612813212808024,0.4828157800541508,-0.8037144991676679,-0.8639369453107298,-0.6841974310910701,1.8518094209583496,1.7635733058803171,2.8355021800042928,1.5970974579928865,2.5138133987424705,2.627721760538204,2.1689764701079346,2.1663635438857987,2.693030497789181,2.2529740239266864,2.4645207145001637,0.6067955955666468,2.9661819618412224,0.0687057254517892,2.1522426053683694,2.849461298643108,2.58135039019881,1.891973025741348,-0.8263431997872659,-0.8615249540251337
NCI-H358,2.7697972665945687,-0.6720936061764365,2.4341456901950096,1.3485851323690947,2.8929989935726987,1.87551148236914,0.2388188317022209,2.0255879661166434,2.4451705723091504,2.8585024942759523,0.09805464471726473,-0.6535253496377701,1.6321679935707736,1.0087417566714942,2.449321812631561,1.2536766425794954,2.2505380121764142,0.7718182896289659,2.5730851196595164,2.6838061472632417,-0.1919818741011865,0.8584523309224531,2.607555408951101,1.2986631594980202,3.2139119775146185,0.33637313670758445,1.7781997168988526,-0.7915509443608024,-0.7499848532630511,-0.8147776245003536,-0.7546927169737802,-0.9862659793303036,0.013784054796122864,1.622046382544615,1.8383928322958616,2.065695375313951,1.1876221842903438,2.7289792832605304,-1.0163940255809518,2.771074556892608,2.2383832211439945,1.4034850346138477,2.8163198805104765,1.8999127287028392,0.8728224966373465,0.023786945837513042,-0.8234964712711544,1.9090118089006891,1.3593222015450694,1.2512156219562578,0.3854768677955897,2.7321167811183584,2.4651473940698163,1.6910716268473558,2.8027297117112697,1.9581499283213533,0.7599429293932667,0.8888707300547404,2.6288059179540397,0.5663005766023161,-0.593439393055037,-0.8137556221826958,-0.5599936057303326,2.03375137677394,1.5303408603382869,2.822377530906245,1.4920095594434108,1.7297618876784997,2.5261836835524445,2.0021181312518705,1.6097578455198176,2.6515748221273143,2.4869128167565755,2.371437198634741,1.0187136178592575,3.038390713460644,0.0037639042273789297,2.0854642656164324,2.8484325203334344,2.8022124787652825,1.1580140528961147,-0.8212233460236781,-0.8781687826797
LS-411N,2.9014095398109427,-0.5323724694912954,1.1812277658496733,1.828415890677824,3.0453409308637047,2.0146016857880564,-0.7674035429682247,2.3999615973830317,2.2500908276271936,3.076084519718969,-0.8749714680471065,-0.5691012230782285,0.8534008891302973,1.4216384012932044,2.596327192770299,0.974363011479956,2.3761684511268015,0.5229397269888476,2.689699169856486,2.998211728292564,-0.11137130201985156,1.1307645275122973,2.468371764108714,1.1317742227287495,3.4084171554925065,0.5526838154404089,2.277328767726684,-0.8170761219739865,-0.8419551748507555,-0.8919837964094238,-0.7000714319139861,-0.913839066807529,0.1514529122364529,2.1288409769404475,1.9396888048217973,1.3784966744516511,0.5048754884327761,2.9627998418312003,-0.9747326865950284,2.9311559809116,2.3258920380043206,1.82251001965348,3.0383852600014385,-0.8991940934475892,0.7552156809886026,-0.046731462159547515,-0.8026714355601663,1.4683441866756048,2.3778880443362085,1.7600917949349777,0.4805592564515177,2.899309481442508,2.8390412746687432,1.902098246925292,2.817115727201947,2.0435869866448124,1.0979065965458268,0.5726666342479275,2.6311759693413244,-0.1275691652749934,-0.723936830113963,-0.8264736590283461,-0.6055032830398136,2.3290360187494628,1.7155971829644487,2.8699452579655182,1.4960525372972218,2.108314189410431,2.4546500677262046,2.328211822146047,1.7113888277942164,2.933355740183744,2.5614601563500603,2.4501598972842618,0.7641904079745562,3.0469333339813613,0.39416694234702415,2.2760022426251574,2.7862290604752684,2.936345921118156,-0.9256817104951888,-0.8870591469815079,-0.9404155865248874
NCI-H2452,2.7925431308123856,-0.40586873767818415,2.599700820472407,1.573373135060376,2.9671690539331896,2.1230358728161343,2.9661003025347594,2.1558144834331614,2.238315674933168,3.099005065151602,-0.8417384215513527,-0.5814116153696266,0.7693138737904135,1.5160028568770074,2.6647495441671776,1.143738470547567,2.1364763922616445,0.9382993766496251,2.4383829826781223,2.7099399453255595,0.26542247396669805,1.3190153957115351,2.5426237847731663,1.2037224854412385,3.164988160510797,0.16741296005495898,2.122232487855253,-0.7787809092636276,-0.766181299336733,-0.781596241942047,-0.7279120484334428,-1.0118097260761751,0.04007327900862855,1.3555473946652168,2.029035821354685,1.9483928841629816,1.6065959713096252,2.9258286205895496,-0.9520209577660108,2.7421947543787932,2.077941064913489,1.7017952390818611,2.929575261722072,-0.8363109494542705,0.9359360534512214,-0.2168409910657804,-0.8503494448386824,1.1345997452147998,2.155398228676589,1.0934372824480376,0.4409758124612557,2.425481561419621,2.7800529207915585,1.4995760640172235,2.718470333833773,2.010230570576576,1.1051664655729183,0.9041685927412716,2.375936966378688,0.5884235222697694,-0.7651312542448894,-0.8622813170102037,-0.5827731878410396,2.0331796186686404,1.6915099396004742,2.267761748635922,1.1055891973864116,2.110112563157447,2.7224618883920066,2.519961116778468,1.9381194531182049,2.7591433879221907,2.2226645778703467,2.7088924078844485,0.5441971053508624,3.0405581379271225,0.37633208893122094,2.234069918788537,3.053424939635561,2.5479822009521365,-0.6334866552774024,-0.8012756113798541,-0.9532488716669474
UACC-257,2.9481719340517056,-0.3670146311540395,1.8999119779004359,2.003965105799896,3.140187612603395,2.078384871300765,0.03037078586318892,2.2372295197414838,2.5790357776413604,3.0872538313397504,-0.8378361203318833,-0.6423702883844482,1.4052862023005428,1.2504138117864614,2.2504110678402536,1.365337545695158,2.274966642554658,1.1308739558877074,2.7188884122886243,3.0032308843571287,0.0188281912504475,1.3876655515120009,2.492717936179912,1.433513295547234,3.5287654067721985,0.8516059719427027,2.0301264934239964,-0.6375300519327192,-0.8108202224484408,-0.7513760911481753,-0.6610777697217248,-0.9374327820897784,1.3121664420007093,1.0722609864254251,2.19996423827492,2.6000965807849545,1.108401458121428,2.7109393472656347,-0.8845838741973672,3.1586938313915085,2.017260222424634,1.336640874107683,3.1288857604040667,-0.7435323165702781,0.5390662786749576,-0.30838364332996865,-0.7975541015700832,1.3504289897477173,2.2900511071417258,1.4733135367643029,0.7255278781426382,2.9872028236879915,2.8616637611095603,1.836468251044399,2.8721241743861112,2.0307412612350464,1.2198478033638782,1.0190665986890295,2.3115366259019026,0.8747213416810229,-0.7578854588198022,-0.8834764264891156,2.106697591945191,2.266098693880814,1.5299590685983395,2.3632109383587125,1.7774902378072794,2.0853057517146163,2.1466716061654028,2.6948654382651718,1.8490398060613604,2.742675248184568,2.5441139016989283,2.7191180985800347,1.0581836066739658,2.9877037974135487,0.5452245770727345,2.2083156042261973,3.1170078282522136,2.730670923961447,0.10902551017858098,-0.8420338988777223,0.1947487512589305
H2369,2.868711608101212,-0.2927971740162474,2.292252597356081,1.171852929390189,2.7772770536438567,1.9701922725149197,2.8086941728153048,2.134621551166526,2.262264709217585,3.0542981186013685,-0.6970121504113208,-0.6643344136482496,0.8996548663270945,1.0507475964265791,2.4384309616593343,1.5628038353172615,2.0930685780316103,1.0180337097686771,2.5825190483535008,2.675095334025378,0.2727217588085237,1.171703362508706,2.9383487085574123,1.539038251117527,3.1602522025884485,0.6085020161023516,2.1738602959160094,-0.6868158597064897,-0.8497929960249968,-0.7873071593779624,-0.7805486339238101,-1.0302708459566603,0.11026183624539156,1.7235409858029578,2.0307535932066263,2.0398845814352686,1.552716850664618,2.785288609013176,-1.0045243280760523,2.810368126853121,2.172804266599406,1.6911425764129835,2.959648804154753,-0.7465089127013753,1.0508982885031573,-0.30953771533766644,-0.8053645055270778,1.729254420259502,1.202290592558927,1.0054653322781937,0.5400716957009838,2.5920764351761707,2.5541635637910516,1.5815327280157965,2.6899054419553545,2.0625168262696225,0.5827761198699648,0.7148559120231401,2.6874089869307767,0.5667654865102785,-0.6094222772026288,-0.8565028780387685,0.5439386674525,1.8652972955024578,1.6718011392364538,2.8343940491420465,1.0575032687074517,2.096499837382072,2.6628954292909017,2.3101007177265798,1.7927519966780694,2.9117306758036587,2.29162911086387,2.4197330552448006,0.7536781364307819,2.919589101173691,0.2805759198923791,2.100469909984248,3.0145645235799967,2.4443196628044017,-0.3315114046374109,-0.8462199339163569,-0.7321278551491075
H2804,2.86018401058846,-0.3098576488988035,2.8268536321395064,1.4821082905437482,2.9770074369317143,2.1962921522487626,2.8493486167751008,2.3076210841602203,2.2697055008645326,3.1297383278942945,-0.18015521698182752,-0.5787625819442973,0.7476457528196861,1.6595590572549832,2.80143031310132,1.4122023944140591,2.2815642546461063,1.0125284576167295,2.362303348340649,2.8456515632529285,0.7500938457801863,1.4266436264935842,2.7883945335878786,1.3455345225526143,3.3162500509509134,0.7270484182697498,2.5368031046015767,-0.7507547036298845,-0.8202969606082797,-0.8243309557528655,-0.6974121441504781,-1.0090645068466098,0.04349367378848885,1.2219450110859778,2.1845921744231083,2.26198120900245,0.9867925315548812,3.1067814285300472,-1.0565433555666015,2.6907279915975684,2.4625212414095956,1.0561852168009191,3.0587960940477954,-0.7869914466495211,0.5532253659842721,-0.048186079823063936,-0.8531235899960182,0.9194504665034412,2.4355194336165797,0.9965044471412406,0.939906068408308,2.7156588973025064,2.604833910980461,1.6361517428166057,3.0179386581483834,2.260232330761025,0.9233717733907372,0.6268671763317887,2.4693625440265023,0.615562632980773,-0.8419679420081252,-0.8465276643110393,1.0235953992973592,2.2139072439773093,1.69362502880225,2.650635661086659,1.6860073438436605,2.1076268073386104,2.656810714752626,2.232893979912124,2.0142527143558624,3.1800216647335184,2.5201878992012947,2.837571549846282,1.061920913777195,3.0863095593251963,0.3988979915391378,2.1680511648452403,2.959444212575632,2.9447501942675247,1.2428907763517558,-0.7942847250866736,-0.8988042631215408
