,CASP9,TNF,CAT,PPP3CC,PPP3R1,ALS2,BAD,CCS,MAP3K5,TOMM40L,GRIN1,GRIN2A,MAPK11,SOD1,GRIN2C,BID,GRIN2D,MAP2K3,MAPK13,NOS1,BAX,NEFM,GRIA2,SLC1A2,NEFH,GRIA1,MAP2K6,TNFRSF1B,CASP1,CASP3,TNFRSF1A,DAXX,CHP2,RAC1,MAPK14,MAPK12,APAF1,GPX1,RAB5A,BCL2,BCL2L1,PRPH2,PPP3CB,TP53,PPP3CA,PRPH,DERL1,TOMM40
CAL-120,0.07865542888154624,-0.7960448465884994,0.9830025488916722,0.4886741526831703,0.587589438038193,-0.3915452994391306,1.2055133346730489,0.7559952848067898,-0.1318426404954118,-0.7001223447304511,-0.8776824786563898,-0.6985840764596684,-0.6856681132324752,3.0331207940835614,-0.6972680748168344,1.0946185024947717,-0.9341410713357138,1.1296933568114542,-0.20671144389370147,-0.8127966201018854,1.0559461422691407,-0.8399145152912657,-0.8808311304793853,-0.8279245194107822,-0.8351318504619843,-0.8371838257574453,-0.3987919483151497,-0.796074170730996,-0.8122610559914114,0.9831462012512268,0.5840910328095071,1.1269278745419475,-0.8684757319455859,2.47119643127688,0.2661296077443237,-0.07212634530282812,-0.6044755889844281,3.107617267761862,1.3412297615019455,-0.604601509472648,0.6359365812168406,-0.8756053453756928,1.3040273382901366,-0.7349239008595684,1.524973231608369,-0.2344933539467546,1.5323374773015677,0.3193540227328636
ETK-1,0.5480063931414073,-0.7023522070818511,0.6324081649172595,0.15677644795219825,0.7456161558662325,-0.5603007454094782,1.2912509513870336,1.257487199178226,0.3675367851765471,-0.7377727016967175,-0.7852217950739825,-0.8798535192977222,-0.7002220663907687,3.278243996749974,-0.7427547314635868,1.6516532756102518,-0.775222999949923,1.2833214508718578,1.4992384159293035,-0.7444027343885052,1.139768348811348,-0.8569362656995253,-0.94477681773652,-0.7715602289691715,-0.924846625080718,-0.929220987813954,0.08646530188239229,-0.7339117496020249,-0.05967800369364685,1.2026427417014658,0.47166293746873,1.264476102298017,-0.8005645874537219,2.5460191308924163,0.3235601864751037,-0.05439148075713941,-0.5218304759786743,2.8844137010597484,1.1164905007760684,-0.8225753760963308,0.3796170164719602,-0.8730226604495538,0.9826347885434216,-0.3081303706929966,1.1094227296385155,-0.3514996372402678,1.3622427774003971,0.02541270333275687
H2731,0.12263794802164875,-0.7348817399151673,0.4615493829851742,0.5802422320119615,0.8449107820252452,-0.16830112612640716,1.3707944327634445,0.6780114684673152,-0.4908125000125784,-0.8082981724609398,-0.8750234538919357,-0.7402124316546749,-0.4686436049320844,3.519565826586869,-0.7109063324307986,1.9055950560038157,-0.8815948774012841,0.5583891145136358,-0.7208695298833155,-0.8415275627988619,1.1025902969260026,-0.7796312409090914,-0.9082359528640088,-0.7378445175338564,-0.9304408379653444,-0.8593212333442896,-0.35483601475051824,-0.7528071776565758,-0.5596832933526007,1.2954142228620908,0.24497166908270876,1.3670399603657422,-0.8255021707598625,2.79368386503489,0.4521366517667533,0.6666704728877562,-0.5296645778220906,2.6698456166053397,1.5522688739026012,-0.7821351960119199,0.5184059654301638,-0.9371656356508862,0.96608022614365,-0.27861377313300995,0.8494996361176862,-0.3053812610546038,1.4102103780069375,0.20013569709661755
NCI-H441,0.289470294262159,-0.8085461427863829,0.9383313394192144,-0.2059835555807677,0.671462143470626,-0.5142930278939601,0.8061616862941123,1.3871467136517408,1.1994626820950232,-0.4608744446120742,-0.6888842278909396,-0.7815000419042545,-0.4511159265601075,3.056094164037991,-0.7619746823400546,0.5377078092756719,-0.8118334715148745,1.336586847650448,1.652648570389608,-0.7896195923655035,0.5936551462963966,-0.8883606144860472,-0.7927773784048986,-0.8151574489884739,-0.8769962955454053,-0.8077495661265682,-0.19733235486264464,-0.7127481223673486,-0.8612934274124465,0.6975340346678282,0.8197827832645215,0.7520423873342859,-0.7443589329584805,2.4066435250136475,0.34129450765135844,-0.2988925070410021,-0.4197731254932607,2.9838711828381985,1.1810895600167453,-0.8169394737780727,0.4846991945305956,-0.8886968147497313,0.7978946375204485,-0.6383252117863865,1.5230799007100149,-0.4946214068589428,1.4736304347032607,-0.07231182628178967
NCI-H358,0.013784054796122864,-0.6749680092768712,0.858842729277318,0.1133341603297024,0.7330217672334549,-0.5581332791619401,0.8463306973738598,0.9138808300292682,1.023941615233564,-0.4738321939888145,-0.7858220706954999,-0.8514154994918147,-0.7156648437261258,2.600451269983122,-0.7546523660289365,1.5057158422200811,-0.7948704939908104,0.5901069724847514,0.9493846457945164,-0.8630476698619559,0.3289802346067581,-0.8602189323307582,-0.9018011481572844,-0.8588556025602849,-0.8682837673179431,-0.8429067933349786,-0.14026482604854296,-0.8222896256330379,-0.7008736204161491,0.8728224966373465,0.2878872458156269,1.0276273252889223,-0.7765764487376476,2.376178543120388,0.3945532510847872,-0.2560965802292562,-0.6535253496377701,3.263580115341064,1.3328950375411843,-0.8071863898754823,0.08591773917871312,-0.9153637388209208,0.7105725941996609,-0.8915542093576039,1.5168640378636915,-0.3271468904004435,1.7980282309805065,0.023684315909720387
LS-411N,0.1514529122364529,-0.8362563767125443,1.3066805672721722,0.6102058000785681,0.6866831691116626,-0.5321550875816572,0.6420848311174606,1.0235690437088432,1.0822237105144268,-0.7104959997129532,-0.7541646898965401,-0.8591229944527337,-0.5470153791969675,2.905929784210669,-0.7385723965766532,1.5025189311302047,-0.742109675700756,1.1083471732710912,0.33180756067464146,-0.7933737580098774,0.7977611934666696,-0.9035491359190404,-0.9442214347849596,-0.842911584969621,-0.6468451782983421,-0.8750608123009626,0.17443903095640095,-0.2503732777731893,-0.8753979564416832,0.7552156809886026,0.215146305132386,0.8583387800700377,-0.7907183422107622,2.5265829149444534,0.10766455646165378,0.27356411640083994,-0.5691012230782285,2.704439991472283,1.2121740871199485,-0.7793449290215478,0.3455912166234951,-0.8968377156247588,1.1860568860720222,-0.8085479604313023,1.2675580514914555,0.7111252100205895,1.4361026349757413,0.007259432005354004
NCI-H2452,0.04007327900862855,-0.8109661678998319,0.08774108921539088,0.6097697323772127,0.5156737189830976,-0.4915690526898348,1.373646937202287,0.6893020495160801,-0.14917060572575705,-0.8152162857192032,-0.7853563779454131,-0.771934750301405,-0.5017416438869874,3.2623159001141557,-0.719135267165991,1.7751547817381923,-0.8806682207786016,0.7241821838548194,-0.3939960434735176,-0.8181336854722149,0.5236676284370169,-0.8752481879065876,-0.9100680734038272,-0.7731666336085293,-0.9011094645604544,-0.8114592818507044,-0.5243149856711672,-0.7157039599907699,-0.22429728074105346,0.9359360534512214,0.5601455294866282,1.3453312181761623,-0.8405076697169629,2.6942865242565985,0.1892486769078852,0.5229232475125958,-0.5814116153696266,2.3782405791796903,0.9327555529816136,-0.6371091448008709,-0.07073190740611403,-0.9067032353946604,1.0372322708424515,-0.7462976592883931,0.9832393698470784,-0.4880164341519174,1.500539368725445,0.007336455631777711
UACC-257,1.3121664420007093,-0.8561805916353357,1.1545816074219504,0.2289131802539772,0.9334381880202888,-0.4667689687461189,0.5531892376610587,1.1699019507662312,-0.3011213278592576,-0.007319585917401544,-0.8213628959404996,-0.8321365525754459,-0.556972220769759,2.8658434995250315,-0.702890877737439,1.3034084149212153,-0.8547325184760755,0.8777352675875217,-0.6133351255929667,-0.7704781904950596,1.6405831488671008,-0.8850168535368254,-0.8609287562638115,-0.7929905618126439,-0.7487031732638709,-0.8839219412875827,1.187397030668386,-0.7760661470449367,0.5952314794168222,0.5390662786749576,-0.2042563549787971,1.126035222394208,-0.6953698820815825,2.5445795223269005,0.32497727602057064,0.05482263654381995,-0.6423702883844482,2.967444133533085,0.8745865358226357,-0.4788695934546315,0.4795562404563092,-0.9355704978108992,0.9798141438305474,-0.6644920573003906,0.42252463037964,-0.2154135563643832,1.7095093315527186,0.026507761736458132
H2369,0.11026183624539156,-0.6524406428128969,0.6989842499577816,1.1137573522711923,0.4648833523956536,-0.32110050005839746,1.3117809614958826,0.9028253875805858,0.5234865624832091,-0.7368118451017556,-0.7998236323946586,-0.8821427615126879,-0.6905552603854218,3.0098897120968697,-0.7024319449761928,1.4057076494156968,-0.7293849399034292,0.280253876676878,-0.4493613879077095,-0.8050346205886096,1.4739128458077366,-0.7554220195557907,-0.8400317424194016,-0.7992932581061646,0.40081543001041775,-0.8366740808053249,-0.3134216259867869,-0.7026229879531029,1.4826998370451292,1.0508982885031573,0.3955865042851195,1.0118594811299155,-0.89093309831169,2.67986321891239,0.4919243989200915,-0.008771997303482411,-0.6643344136482496,3.0393581513325905,1.2654737873428878,-0.7810178901643863,0.5279677595768228,-0.933018888276836,0.9321089114412611,-0.7192129739211564,1.405160528381142,-0.01946322234650165,1.7780631890289589,-0.1967489164237253
H2804,0.04349367378848885,-0.7569817100754294,0.1717281897747517,0.7003334883779747,0.8140144922366889,-0.4578905879825725,1.282542486515042,0.5766659368504775,-0.5741041097331218,-0.2827882941812143,-0.8379841354811352,-0.7741026660939482,-0.5751769346543611,3.1374199630359683,-0.6733457623055121,1.738404614639817,-0.8948293315874686,1.0938507028145557,-0.7550530057797646,-0.7820579272589856,0.990825109216896,-0.7800765860084817,-0.9206478376033363,-0.803083701081829,-0.9251997176047168,-0.8183293662295659,0.3270776508874311,-0.5988979048790167,0.1676350405615811,0.5532253659842721,0.9712419556664028,1.5413184206330706,-0.8765614902828154,2.5822166518278937,0.06920177595775415,0.14300282052086305,-0.5787625819442973,2.5199846486391544,1.1943659104421325,-0.7134065697856479,0.3588633089928827,-0.9592003536287909,0.7699003857676869,-0.8823581537033508,1.2439173450560286,-0.24534380412377374,1.8883752055622969,0.17676875779804127
