,POLR2G,POLR2E,UQCR10,POLR2F,PPARGC1A,NDUFA4,POLR2I,POLR2J,TAF4,NRF1,DCTN2,CREB3L1,NDUFS7,CREBBP,CREB3,POLR2K,UCP1,CLTCL1,DNALI1,POLR2L,COX5B,COX4I1,CREB1,HIP1,AP2A2,AP2B1,DCTN4,TAF4B,AP2A1,NDUFA2,NDUFA3,NDUFA1,DNAI1,APAF1,VDAC3,UQCRQ,DNAH1,BBC3,BDNF,COX7A2L,CREB3L3,COX5A,GNAQ,DNAH2,SLC25A6,SP1,UQCRHL,SLC25A5,SLC25A4,RCOR1,TGM2,SDHA,POLR2B,DNAL1,POLR2A,NDUFA4L2,POLR2D,POLR2C,SLC25A31,CASP9,PLCB2,GRM5,CASP8,PLCB1,PLCB3,PLCB4,DNAI2,IFT57,CREB3L4,PPID,SDHB,SDHC,TFAM,COX7B,COX7A1,COX7A2,COX6C,GRIN1,SOD1,COX6B1,SOD2,BAX,COX7B2,CASP3,REST,UQCRB,COX6A2,CREB5,UQCRH,UQCRC2,UQCRC1,SIN3A,NDUFB3,NDUFB1,DLG4,TBPL2,NDUFB2,EP300,ITPR1,NDUFA10,NDUFAB1,NDUFA8,DNAH3,UQCR11,NDUFA6,NDUFV3,COX6B2,COX4I2,GPX1,TBP,AP2S1,CREB3L2,NDUFS8,NDUFB10,NDUFC1,NDUFS1,NDUFS4,NDUFB6,NDUFV1,NDUFB7,NDUFS6,NDUFS5,NDUFB9,PPARG,NDUFS2,TP53,NDUFB4,NDUFS3,NDUFB5,CYC1,CLTA,CLTB,CLTC,HDAC1,HDAC2,TBPL1,HTT
CAL-120,2.176332818494585,1.4599925231459794,2.8733904930529093,0.14558202074874094,-0.8385405882313015,-0.6447093265064474,2.6878379007732405,2.084928194831248,0.9332045635108246,-0.5238424771174429,2.8411493944878563,-0.36324673084050996,1.7308698198696195,-0.0320480516664802,1.182154643973219,2.2554680739981783,-0.8438301149041848,-0.4379841892846307,-0.8277216228210491,2.469061023200501,2.991194144154429,2.0166516884007937,0.7242369254979971,-0.8178477227535677,0.4016059678359391,1.7932054151620953,0.3063628625962341,-0.32525546408478234,-0.4422302873597823,2.433607102253712,2.7683912792686582,3.2245784661831887,-0.7120695772221203,-0.6044755889844281,3.1981065082469553,2.41106727253836,-0.3167975825492562,-0.23252300812937626,1.9134700578466648,2.542796661393852,-0.7839975157770309,2.6826577950954915,1.278850664485513,-0.7846821739999686,2.79047794043688,0.4212339415908556,1.4032489349214117,3.2437006867345164,0.44012847559748425,-0.4003506747927616,0.5584798767512253,2.350565733128812,2.6304958138970687,-0.1382659847284989,-0.5214426695434056,-0.7802441001443418,0.28334807184659505,1.2637815563064865,-0.9547984303082993,0.07865542888154624,-0.8410267277913479,-0.9112527005764426,-0.09970353089763187,-0.9952210133063484,-0.06710599842684792,-0.8247955092132357,-0.8627962906205353,-0.5811736854919161,0.30459491159184104,1.3411959868771959,2.1404517631618005,2.0504776745272717,1.2084363066034174,3.0585939433393534,-0.8497623857468113,2.8097836575150064,2.2199991338679492,-0.8776824786563898,3.0331207940835614,3.1053503423166378,-0.3682409352843973,1.0559461422691407,-0.8374617668584183,0.9831462012512268,-0.33542235491631545,-0.20744404749904927,-0.815999671257176,-0.5356062749514323,1.2752729475960891,2.409942168970548,1.582797767956769,0.1756783016723608,0.8961319376153821,2.838756165056861,-0.7102378946567756,-0.8179450319589139,2.7023922970093333,0.3542162947583245,-0.6956277347833403,1.9384051177311241,2.5653847945136445,2.112382150789569,-0.9186746733416564,1.1838243213418895,2.44494401772738,0.3502147889645064,-0.6316341785865126,-0.7724331525916579,3.107617267761862,0.491136554063266,2.450036269256836,-0.7429196255388198,1.6174067919382642,2.016627954315123,2.670504375577809,1.4319142054248362,3.00635689579353,2.137418244309324,2.06756744039987,2.5528095777312783,2.9171915953050798,2.7903749647481497,2.420188204507182,1.4897728839733368,0.603243628368506,-0.7349239008595684,2.882555197423082,0.3742938641187769,2.232485205894013,2.357601087137178,2.162970237568104,1.5474576129459303,2.3389321848016578,2.203257164790167,-0.4952661966975238,1.0453261729646357,0.42246909394338855
ETK-1,2.4722051562231306,1.5941984851008262,2.8981224442848252,0.05628704802254012,-0.7868864937382974,-0.5112917205681374,2.537557576737248,2.455344935427539,1.0173745200690762,-0.4401357700848661,2.1487526025974177,-0.4667373404132961,1.3227752102905534,0.3235791712465376,1.6822403911083312,2.1594209145569563,-0.9113132534980196,-0.6320839632512854,-0.8076965768958674,2.0711242488844435,2.825921063516269,2.0664140286949064,0.6622518103431084,-0.5438083678821055,0.20232766779592407,1.8305262917677076,-0.28030121035213235,-0.785363348025085,-0.5741938721634487,2.1171600857048305,2.1369092564886607,3.0599829636622995,-0.7382371969655013,-0.5218304759786743,2.5095199339492202,2.0861544544851784,-0.618219700442541,-0.420448567160524,-0.26418116458024377,2.466521466245551,-0.8185484482776436,2.744539001363129,1.2156903198653906,-0.7404763218574462,2.458823951754543,0.6805100568815625,1.2994960181437458,3.3983790773069846,0.7397328317929057,-0.3723244495817143,0.8618025119164463,2.4535378495993614,2.2638295617915603,-0.03577426410776929,-0.24157085350324495,-0.8198822005917215,-0.01423561186557524,1.1653662270545644,-0.9615610999057432,0.5480063931414073,-0.8131655622832074,-0.9888598442544608,-0.1490011304985307,-0.7718806989668794,0.010458131797234252,-0.7023412823859003,-0.8166867729629637,-0.7340142548729536,0.942349984168742,1.6994854871691056,1.917320051492528,2.2862184265897403,0.9542604026370878,2.804538738886512,-0.9685540358194866,2.9487278804018437,2.1396219978655533,-0.7852217950739825,3.278243996749974,2.9211198296228646,-0.13773094597658514,1.139768348811348,-0.7925441779599633,1.2026427417014658,-0.4205996717558493,-0.3937583658607109,-0.8339261223268104,-0.6377616116175152,1.3034011040439837,1.8578990591771511,1.1247845513484107,0.8148683377430891,0.8796609142156095,2.7646531480385024,-0.7214343287564929,-0.8212509687107586,2.963708113626455,0.26978192824138314,-0.5372480176803583,1.6788763822188102,2.7455382835130497,1.9705555946083182,-0.9297734833415005,0.8641487986953673,2.2585049223143407,0.7318596948444502,-0.6853175430271339,-0.895279466060453,2.8844137010597484,0.7345403328111495,2.3584726806449803,-0.5175661268905708,1.774960721671914,1.83142221881542,2.8111369437890628,1.4152447391060532,2.259836222980017,2.115681369170953,2.1131358920460244,2.2082636329291554,2.963950715191735,2.7672713128406268,2.2037539582219927,1.2717463064621228,0.7418531470562822,-0.3081303706929966,3.0603228594249714,0.1766110226453881,1.942117746517548,2.5860020067504514,2.77061218335091,1.752731643069798,2.1467625687661567,2.1761782713150097,-0.6667642116403677,1.8531742765544157,0.489220004755041
H2731,2.1933049314368085,1.470841350785884,2.580119720484297,-0.027664312470832238,-0.7802772870239133,-0.22295124056182825,2.5849839447809844,2.6819969285925063,1.295487349156529,-0.4355174625584692,2.0331226354027927,-0.7568322768562155,1.6863601526883207,0.6508008841545262,1.6250825859088929,2.2122319213009933,-0.9508706907000803,-0.548347635837386,-0.82914797237568,2.155691714805268,3.0352482967447214,1.917893391695348,0.6946255893520676,-0.42824666323542016,0.2405954928105064,1.723243925096521,0.4981821579961904,-0.6623097816459652,-0.5010125577449689,2.1975915490129583,2.1951711578200577,2.738037624073065,-0.7147968471999089,-0.5296645778220906,2.7502118472213573,2.1458290402458613,-0.4995638985041855,-0.24790738051388544,0.6599715758831505,2.5544835715272067,-0.7676939201857246,2.6684941406097407,1.331451747196528,-0.7851917468317401,2.0432240788108,0.14406144489298345,1.0196590430285677,3.1102353183313936,0.3740953149004824,-0.577190438223032,-0.8313702822930193,1.9385232963341184,2.634733588323513,-0.062977917288641,-0.22314620541929386,-0.7109055682622952,0.6671120812344666,1.4778921006098669,-0.9613851732048228,0.12263794802164875,-0.7992484194290387,-0.8957841392546197,0.1824777109212319,-0.7732044036381496,-0.17396924272081726,0.16831385697593085,-0.880199915586526,-0.5209294250897304,0.09644237584933912,1.6785251742431682,2.063119274336809,2.036309837732578,1.0862046128685556,2.7414179859701195,-0.9206338587852506,3.078027005316205,2.1048483900589443,-0.8750234538919357,3.519565826586869,2.8515061105446833,0.4750383177508055,1.1025902969260026,-0.7132822152081425,1.2954142228620908,-0.44872509578287184,-0.19312296137991986,-0.6482403238149083,-0.08761738025535737,1.0993167699538966,2.2737773286776823,1.1191456509371918,0.4421880374280736,0.8362228512013277,2.386155533800647,-0.8451192061718898,-0.8313735598811997,2.8697732575790695,0.5688645920054424,-0.4418427700864057,1.9784245228489823,2.933719336433084,2.1543074772849717,-0.8760163250605152,1.1115991780581578,2.682132357776581,0.7496648850804194,-0.6673442126668768,-0.8939832710456236,2.6698456166053397,1.0021712677455985,2.4296589066057006,-0.6104266824577295,1.7292848864506591,2.2411118187414503,2.4442777233212225,1.5725044022920172,2.7411759900147716,2.4765600587920935,1.7170767657138275,2.488788871359462,2.9882640771263618,2.8251051400676115,2.3839510160417263,-0.1030506158055177,0.5464770479383385,-0.27861377313300995,3.2186530400276925,0.33254229833643084,2.283256801910046,2.5666248381720482,2.8404500326443367,1.3125097073810206,2.6742769371292665,2.016093255164454,-0.4158526003870509,1.5411374411145815,0.5161866570740784
NCI-H441,1.8952921991102856,1.0220117108533633,2.9560776201148444,0.08328846929742947,-0.8372531579423598,-0.7102232076742715,2.136862384755472,2.428037692346583,1.5951694361447897,-0.44211801634023945,1.582530711553198,-0.7531124161005127,1.3001842049992676,0.3300006053043416,1.5926758579967089,2.0396221116800737,-0.9196666691502742,-0.7008597022797368,-0.7690793925244291,1.8687480661292977,2.754841124549809,1.9573139139641167,0.8903050805508256,-0.5273023848530907,0.02108827382498991,1.6715735559870597,0.2889381575603218,-0.3476400864009748,-0.6329404756379273,2.303074964114415,2.355754735615228,2.846870523171449,-0.7984012953038385,-0.4197731254932607,2.852198196469694,1.5139511211329684,-0.6783892059075837,-0.17655825376514667,-0.8057182157215014,2.4154352945067012,-0.8109225259321475,2.6478370612987656,0.998339232009359,0.9797240952701703,2.1979321217490146,0.5418411385778047,0.9784150543693164,3.2845079896089198,0.2782180253391779,-0.17282795563131306,0.13895910711793388,2.0653014800257403,2.735563034265551,-0.0441864675563936,-0.3109330862839625,-0.8137725189881576,0.23338362899328885,1.2011594868863185,-0.9228653911916648,0.289470294262159,-0.8467922699686409,-0.9550096868032012,0.3089523012616001,-0.4137432725757009,0.047181768982734885,-0.7590816674650094,-0.7681919943788549,-0.4894377475268042,0.5672317516270579,1.3589600407498357,2.0066499346484816,1.8911255377332488,1.0058019850339557,2.7189572404426787,-0.9597173910628706,2.728901350146301,2.2169876229254895,-0.6888842278909396,3.056094164037991,2.685778644452493,-0.3750786484077215,0.5936551462963966,-0.8111155487676555,0.6975340346678282,-0.3064969574296969,-0.3488802391403901,-0.8786253568871311,-0.9063746908920142,1.1275487454609692,1.8589414517528835,1.0071679773080546,0.5568345723360245,0.6562742561022242,2.580866469590068,-0.8104115855168075,-0.7617778683662435,2.782289279103825,0.5779094479742364,-0.42473095920027415,1.5894029342118232,2.760725178487786,1.8175472144559033,-0.9067285363018336,0.8705054581570593,2.612813212808024,0.4828157800541508,-0.8037144991676679,-0.8639369453107298,2.9838711828381985,0.4647963366308845,2.0149074318726052,-0.3454084114188153,1.7635733058803171,1.8518094209583496,2.8355021800042928,1.5970974579928865,2.627721760538204,2.5138133987424705,2.1663635438857987,2.1689764701079346,2.693030497789181,2.4645207145001637,2.2529740239266864,1.905867205359509,0.6067955955666468,-0.6383252117863865,2.9661819618412224,0.0687057254517892,2.1522426053683694,2.58135039019881,2.6051264380583743,1.6286297063405009,2.462022239196397,2.2463603393956704,-0.6495190575637197,1.1030049091783145,0.2342569510983868
NCI-H358,2.183422589370834,0.743551230585024,2.7697972665945687,-0.12193425686737895,-0.8147134601212522,-0.6720936061764365,2.452795378605274,1.985209654447854,1.0518365132884058,-0.4777234614212682,1.6689889089491958,-0.7976156017395378,1.3485851323690947,0.4850687772097664,1.5459468432583197,2.353394707115605,-0.8901809690753468,-0.7625781591408642,-0.6169327007270792,1.3015097492569028,2.8929989935726987,1.87551148236914,0.7817838667876049,-0.7388710735958286,-0.1175836368389143,1.5101907226929332,0.18603239341768904,-0.6265920532857217,-0.4777846248156882,2.0255879661166434,2.4451705723091504,2.8585024942759523,-0.8136925785460395,-0.6535253496377701,2.449321812631561,2.2505380121764142,-0.4327414321579001,0.19792337610962893,-0.5379915873791712,2.5730851196595164,-0.8181548525405412,2.6838061472632417,1.1112600614214074,-0.18948001572231896,2.607555408951101,0.6178482562013307,1.2986631594980202,3.2139119775146185,0.33637313670758445,-0.029645477709390633,1.0401256374681913,1.7781997168988526,2.7245877017824545,-0.26681746189239025,-0.6838896738841844,-0.8147776245003536,0.2954118328109975,1.3819954228006799,-0.9862659793303036,0.013784054796122864,-0.8626970728570821,-0.8945223059641566,0.237091339351624,0.19117946259854468,0.03331856327535982,-0.2515176117389434,-0.951117722853888,-0.7450382039421898,0.9645176688434228,1.622046382544615,1.8383928322958616,2.065695375313951,0.714578496904245,2.7289792832605304,-1.0163940255809518,2.771074556892608,2.2383832211439945,-0.7858220706954999,2.600451269983122,2.8163198805104765,-0.5912642924772066,0.3289802346067581,1.8999127287028392,0.8728224966373465,-0.3412955548650626,0.023786945837513042,-0.8234964712711544,-0.024825659231349308,1.9090118089006891,1.3593222015450694,1.2512156219562578,0.5916559987830383,0.3854768677955897,2.7321167811183584,-0.5878808881715908,-0.8064425973450099,2.4651473940698163,0.5243813049821994,-0.3030747098850401,1.6910716268473558,2.8027297117112697,1.9581499283213533,-0.9229466929770536,0.7599429293932667,2.6288059179540397,0.5663005766023161,-0.593439393055037,-0.8137556221826958,3.263580115341064,0.7834381730635447,2.3704439954621908,-0.6693349197334009,1.5303408603382869,2.03375137677394,2.822377530906245,1.4920095594434108,2.5261836835524445,1.7297618876784997,1.6097578455198176,2.0021181312518705,2.6515748221273143,2.371437198634741,2.4869128167565755,1.513247878498112,1.0187136178592575,-0.8915542093576039,3.038390713460644,0.0037639042273789297,2.0854642656164324,2.8022124787652825,2.441571386662861,0.8158128834202405,2.540030620442981,1.3266114614925901,-0.7282899642583995,1.464086411838314,0.3900543730423183
LS-411N,2.117141398177236,1.0101953132829828,2.9014095398109427,0.13139162139170396,-0.6202206586208117,-0.5323724694912954,2.645027852113961,2.345049686411451,1.171251002703798,-0.4372934526686397,1.8051820594630472,-0.5351072326351759,1.828415890677824,0.5307882230967228,1.3268699105692374,2.0749233552178303,-0.8447804178825686,-0.7427113009722066,-0.8431188437372273,1.1704012520217084,3.0453409308637047,2.0146016857880564,0.6739923367011603,-0.453772405240484,0.4130723246256192,1.4793998863491598,0.2895786898882157,-0.21198239378367006,-0.6628293361204501,2.3999615973830317,2.2500908276271936,3.076084519718969,-0.7623097839395683,-0.5691012230782285,2.596327192770299,2.3761684511268015,0.5469656051728047,0.4084296254877973,-0.9245524454026114,2.689699169856486,-0.8654927553511018,2.998211728292564,1.3472266845226923,-0.5452494487880319,2.468371764108714,0.20150963010349732,1.1317742227287495,3.4084171554925065,0.5526838154404089,-0.3641292118975496,-0.7238009465953941,2.277328767726684,2.7660522368965434,-0.08034935981972162,-0.1399563468893638,-0.8919837964094238,0.13796729272340855,1.1867734688621423,-0.913839066807529,0.1514529122364529,-0.8252399049657492,-0.9746267850182896,-0.2338569292705988,-0.7547532040506328,0.3103556230183169,0.7385101236417758,-0.7642580959789224,-0.6348269482890521,0.6007692556583016,2.1288409769404475,1.9396888048217973,1.3784966744516511,0.5853238068528211,2.9627998418312003,-0.9747326865950284,2.9311559809116,2.3258920380043206,-0.7541646898965401,2.905929784210669,3.0383852600014385,-0.12736847108270474,0.7977611934666696,-0.8991940934475892,0.7552156809886026,-0.4254628681571638,-0.046731462159547515,-0.8026714355601663,-0.8119761363783637,1.4683441866756048,2.3778880443362085,1.7600917949349777,0.6136524605972211,0.4805592564515177,2.899309481442508,-0.7736861656836559,-1.023885184034798,2.8390412746687432,0.4984423017239042,-0.6603034371682446,1.902098246925292,2.817115727201947,2.0435869866448124,-0.9374437796504456,1.0979065965458268,2.6311759693413244,-0.1275691652749934,-0.723936830113963,-0.8264736590283461,2.704439991472283,0.5735496595633195,1.6895972439955491,-0.6064201267611765,1.7155971829644487,2.3290360187494628,2.8699452579655182,1.4960525372972218,2.4546500677262046,2.108314189410431,1.7113888277942164,2.328211822146047,2.933355740183744,2.4501598972842618,2.5614601563500603,2.3745214450951435,0.7641904079745562,-0.8085479604313023,3.0469333339813613,0.39416694234702415,2.2760022426251574,2.936345921118156,2.647636185338086,1.6180886689283398,2.0086336545193593,2.599188657720268,-0.533124871918772,1.8293492852485853,-0.05004502414499056
NCI-H2452,2.058997454818408,1.3304836837052638,2.7925431308123856,0.04689336691471165,-0.9081847772817524,-0.40586873767818415,2.6046041634984602,2.189252297651646,0.9862539134268036,-0.4147153210066419,1.942397243911165,-0.7882241478626875,1.573373135060376,0.4313546546317911,1.2896755499980301,1.971825218675974,-0.9261414373863974,-0.620009273689917,-0.8276717091982848,2.1475842423532736,2.9671690539331896,2.1230358728161343,0.6053779348356004,-0.3386846103784041,0.5274406468541945,1.5511575630120114,0.3669094522950303,-0.6072635279995502,-0.4802834221420538,2.1558144834331614,2.238315674933168,3.099005065151602,-0.7085765796327077,-0.5814116153696266,2.6647495441671776,2.1364763922616445,-0.1015261762049694,-0.49576160232367406,0.3868256460074014,2.4383829826781223,-0.7414381444091834,2.7099399453255595,1.0049315677563442,-0.7749327635548142,2.5426237847731663,0.3617542529674388,1.2037224854412385,3.164988160510797,0.16741296005495898,-0.7495668323417922,-0.5514212542480004,2.122232487855253,2.4412223316285897,-0.41944790601627296,-0.5707162407491082,-0.781596241942047,0.20422951468717493,1.3151683259657554,-1.0118097260761751,0.04007327900862855,-0.8460713325520388,-0.9564327753437952,-0.5504474327643829,-0.7539700861604864,-0.11057951697855592,0.5343925092389925,-0.7979013834422171,-0.5455947215241674,0.5739175732188385,1.3555473946652168,2.029035821354685,1.9483928841629816,0.9203203479858841,2.9258286205895496,-0.9520209577660108,2.7421947543787932,2.077941064913489,-0.7853563779454131,3.2623159001141557,2.929575261722072,1.013523239436815,0.5236676284370169,-0.8363109494542705,0.9359360534512214,-0.5194974393638238,-0.2168409910657804,-0.8503494448386824,-0.2268449479551479,1.1345997452147998,2.155398228676589,1.0934372824480376,0.7658519326616474,0.4409758124612557,2.425481561419621,-0.7072366073736163,-0.8352674188883961,2.7800529207915585,0.4085535348039537,-0.6082088938227982,1.4995760640172235,2.718470333833773,2.010230570576576,-0.8705662596621587,1.1051664655729183,2.375936966378688,0.5884235222697694,-0.7651312542448894,-0.8622813170102037,2.3782405791796903,0.6194353160079651,2.1753778093788783,-0.4320421416789689,1.6915099396004742,2.0331796186686404,2.267761748635922,1.1055891973864116,2.7224618883920066,2.110112563157447,1.9381194531182049,2.519961116778468,2.7591433879221907,2.7088924078844485,2.2226645778703467,0.3443855724297432,0.5441971053508624,-0.7462976592883931,3.0405581379271225,0.37633208893122094,2.234069918788537,2.5479822009521365,2.481839089628786,1.5769861268740386,2.4684374612048123,1.8977336251875103,-0.6327561827710959,0.9680669213696834,0.23460821936265225
UACC-257,2.273292700942103,1.6927134607034091,2.9481719340517056,0.3491366931774001,-0.6897196016286892,-0.3670146311540395,2.619326451960447,2.069120705321545,0.8900343684671675,-0.5002781792799029,1.9477095858369171,-0.6896358977395911,2.003965105799896,0.29148630199752035,1.6277554564202108,2.1405222449269465,-0.8521042729567021,-0.6386096386396327,-0.8343177085481301,2.286023781196086,3.140187612603395,2.078384871300765,0.4868498049528415,-0.3661006357069321,0.14961975288088267,1.5516991801457032,0.35006014498758065,-0.6718410061550537,-0.4838412542245215,2.2372295197414838,2.5790357776413604,3.0872538313397504,-0.7341011883739765,-0.6423702883844482,2.2504110678402536,2.274966642554658,-0.5438190880763337,0.13789613725472671,-0.8354180407102242,2.7188884122886243,-0.8131377057641915,3.0032308843571287,0.8886205363553505,-0.7502619498336577,2.492717936179912,0.424067854458089,1.433513295547234,3.5287654067721985,0.8516059719427027,-0.5403676415344009,-0.6162071370423394,2.0301264934239964,2.3472886609382297,-0.35576057256325044,-0.11518043556500172,-0.7513760911481753,0.5684943453162915,1.3712969621925544,-0.9374327820897784,1.3121664420007093,-0.7110609526522981,-0.9754718309164048,-0.016975187062175982,-0.79328888628428,-0.5110766650626987,-0.3833885496067346,-0.8206875980499224,-0.6417109876200008,0.5251768085340622,1.0722609864254251,2.19996423827492,2.6000965807849545,0.4007968894058834,2.7109393472656347,-0.8845838741973672,3.1586938313915085,2.017260222424634,-0.8213628959404996,2.8658434995250315,3.1288857604040667,-0.5339736232437167,1.6405831488671008,-0.7435323165702781,0.5390662786749576,-0.6943670703715898,-0.30838364332996865,-0.7975541015700832,0.13584553856235893,1.3504289897477173,2.2900511071417258,1.4733135367643029,0.19094323925307505,0.7255278781426382,2.9872028236879915,-0.8028480572585162,-0.8931407623917488,2.8616637611095603,0.5801167903165992,-0.3167083742677149,1.836468251044399,2.8721241743861112,2.0307412612350464,-0.8619277501356881,1.2198478033638782,2.3115366259019026,0.8747213416810229,-0.7578854588198022,-0.8834764264891156,2.967444133533085,0.1636066971577555,2.722880056292197,-0.27070666431984497,1.5299590685983395,2.266098693880814,2.3632109383587125,1.7774902378072794,2.1466716061654028,2.0853057517146163,1.8490398060613604,2.6948654382651718,2.742675248184568,2.7191180985800347,2.5441139016989283,-0.7432696606090328,1.0581836066739658,-0.6644920573003906,2.9877037974135487,0.5452245770727345,2.2083156042261973,2.730670923961447,2.7201805117312654,1.0557772663371412,2.4250224558195637,2.0138971350054407,-0.8380499401086341,0.8901136037766044,0.09306675139972784
H2369,2.184720536717653,0.8646703456651935,2.868711608101212,-0.09702850380205484,-0.820328115749957,-0.2927971740162474,2.734050383750955,2.3643043420076952,0.685656670633236,-0.2684039097092447,1.850782161901195,-0.4459299123867614,1.171852929390189,0.2293368853765421,0.9503639187098716,2.2700917884813747,-0.9593909093170564,-0.2104963011424624,-0.8280993070906539,2.054097167812253,2.7772770536438567,1.9701922725149197,0.6990519002343731,-0.4633197277689552,-0.09901068508225262,0.7631893477594582,0.19167563228052084,-0.2883710149446688,-0.6173067049260035,2.134621551166526,2.262264709217585,3.0542981186013685,-0.7401590030473241,-0.6643344136482496,2.4384309616593343,2.0930685780316103,-0.06733543017392082,-0.057337635246851835,1.8483491307430584,2.5825190483535008,-0.8134272969969074,2.675095334025378,1.3669016331755115,-0.8103033129072618,2.9383487085574123,0.2504593775193534,1.539038251117527,3.1602522025884485,0.6085020161023516,-0.6000626595846973,-0.03547425756157941,2.1738602959160094,2.6189239135013707,-0.6355038367039928,-0.651930746520869,-0.7873071593779624,0.2351718542986456,1.1968023865017334,-1.0302708459566603,0.11026183624539156,-0.8228510059307507,-0.8900203891037944,-0.16941712336643494,-0.9612234756778856,-0.3960025708208996,0.7978209123643938,-0.8241103375851203,-0.5241718056172782,0.1646230303350164,1.7235409858029578,2.0307535932066263,2.0398845814352686,0.729713282304278,2.785288609013176,-1.0045243280760523,2.810368126853121,2.172804266599406,-0.7998236323946586,3.0098897120968697,2.959648804154753,1.4290956479800936,1.4739128458077366,-0.7465089127013753,1.0508982885031573,-0.35164844343222074,-0.30953771533766644,-0.8053645055270778,0.4518779423860596,1.729254420259502,1.202290592558927,1.0054653322781937,0.40472557904518497,0.5400716957009838,2.5920764351761707,-0.6704833207783212,-0.6927143952229824,2.5541635637910516,0.3382506361694041,-0.2505323708693817,1.5815327280157965,2.6899054419553545,2.0625168262696225,-0.8458983456750631,0.5827761198699648,2.6874089869307767,0.5667654865102785,-0.6094222772026288,-0.8565028780387685,3.0393581513325905,0.7428682915285475,2.000092564492325,-0.5577927990646347,1.6718011392364538,1.8652972955024578,2.8343940491420465,1.0575032687074517,2.6628954292909017,2.096499837382072,1.7927519966780694,2.3101007177265798,2.9117306758036587,2.4197330552448006,2.29162911086387,1.0516876244106506,0.7536781364307819,-0.7192129739211564,2.919589101173691,0.2805759198923791,2.100469909984248,2.4443196628044017,2.202289338953109,0.9813291847506108,2.5400310117652576,1.7378793713935816,-0.7297904272362125,1.5027663358997512,-0.06942331004583804
H2804,2.1202086508008064,1.0498251157673593,2.86018401058846,0.07282719449337374,-0.5797369627698419,-0.3098576488988035,2.198418999210189,2.4097573054789416,1.1027342965958162,-0.3608331562069804,1.9968356752941827,-0.7814937627671442,1.4821082905437482,0.7188231677713263,1.4756949772052814,2.44814673294844,-0.9730665106873604,-0.7180003043234229,-0.8094683635480853,2.6329334481333992,2.9770074369317143,2.1962921522487626,0.5884418682320346,-0.3045489989676546,0.5328583959998284,1.5641658340475937,0.3987495838230801,-0.8308171975823894,-0.3848420687075452,2.3076210841602203,2.2697055008645326,3.1297383278942945,-0.7421675193673616,-0.5787625819442973,2.80143031310132,2.2815642546461063,-0.5335987912899348,-0.251120058917694,1.5712033484866554,2.362303348340649,-0.7307428362180245,2.8456515632529285,1.7748594598757197,-0.8364786789915967,2.7883945335878786,0.5631455771217622,1.3455345225526143,3.3162500509509134,0.7270484182697498,-0.5586920132133875,-0.3000814800718624,2.5368031046015767,2.261366799414115,-0.2088785387608909,-0.3939357745482136,-0.8243309557528655,0.1570187954312126,1.3750951462814625,-1.0090645068466098,0.04349367378848885,-0.5192330623126676,-0.9155832155390704,0.04030725745712358,-0.6395859219941844,0.2719238655148328,0.2332788016987352,-0.7984502526956241,-0.6638006977798666,0.11197830372000182,1.2219450110859778,2.1845921744231083,2.26198120900245,0.8611209673209451,3.1067814285300472,-1.0565433555666015,2.6907279915975684,2.4625212414095956,-0.8379841354811352,3.1374199630359683,3.0587960940477954,0.11579704217455893,0.990825109216896,-0.7869914466495211,0.5532253659842721,-0.5049664942079966,-0.048186079823063936,-0.8531235899960182,-0.5169917193100566,0.9194504665034412,2.4355194336165797,0.9965044471412406,0.6188456479713407,0.939906068408308,2.7156588973025064,-0.7822752961679413,-0.8407081067332254,2.604833910980461,0.33953351564350565,-0.5226471505895725,1.6361517428166057,3.0179386581483834,2.260232330761025,-0.8981860887325583,0.9233717733907372,2.4693625440265023,0.615562632980773,-0.8419679420081252,-0.8465276643110393,2.5199846486391544,0.8903812936706953,2.60447999033212,-0.5941133400855693,1.69362502880225,2.2139072439773093,2.650635661086659,1.6860073438436605,2.656810714752626,2.1076268073386104,2.0142527143558624,2.232893979912124,3.1800216647335184,2.837571549846282,2.5201878992012947,1.3783966826769511,1.061920913777195,-0.8823581537033508,3.0863095593251963,0.3988979915391378,2.1680511648452403,2.9447501942675247,2.5248970499730223,1.8215446607010108,2.3403710124502273,1.5178161729741957,-0.7517356098343797,0.9678667354320009,-0.06434381212375265
