,NCAM2,EGR1,NCAM1,ELK1,NOTCH1,PRKX,C6,C5,IL1B,SOD1,STIP1,MAP2K2,HSPA1A,MAP2K1,BAX,PRKACA,PRKACB,PRKACG,IL1A,HSPA5,PRNP,C9,C1QB,C1QA,LAMC1,C1QC,MAPK3,FYN,C8A,C7,IL6,C8G,C8B,MAPK1
CAL-120,-0.7717683934788829,0.6649943535024109,-0.7367684499269642,-0.6394870911434297,-0.7365375571061826,-0.009488127225370702,-0.8276153516919179,-0.3168811977530904,-0.7667418437688517,3.0331207940835614,1.6527639950756945,1.9428200748275049,2.9106822270668165,1.5889586870449508,1.0559461422691407,-0.6784512920953805,-0.12687051832271462,-0.654325187767558,-0.7563965824489567,2.270414514366908,1.9927943148638452,-0.902098518505618,-0.7625079493773275,-0.5646916677041398,1.143295144221517,-0.7719244633344596,0.6544469534894845,1.099675126965282,-0.6874397418100604,-0.8184085840547948,-0.3737713803047819,-0.6870249498582897,-0.8397500512520506,0.254584764720762
ETK-1,-0.7905955819019317,0.08641903706749099,-0.7343869821445096,-0.5394757709110359,-0.7256191120464494,-0.12683764141526238,-0.8688448669070363,-0.5260444953021469,-0.44400653152937497,3.278243996749974,1.9711817581049265,1.5809167664755956,3.017193729013531,2.02799378906126,1.139768348811348,-0.7194000136624761,-0.18238817592854964,-0.7344656305842422,-0.14434221209686196,1.4385429440457584,1.5237313270045774,-0.9556244734957772,-0.8021763531134791,-0.4716364689090851,1.5526702806363204,-0.7147124081723614,1.1182205197694308,1.2487188357186545,-0.7166253691970201,-0.8667707278004868,-0.1965722444884984,-0.672370108521915,-0.8247503644512333,0.3975693338555972
H2731,-0.7351871600037563,0.020191759960605963,-0.6333552078068405,-0.7171010792227247,-0.4792167927137771,-0.2033313768000739,-0.9196104940514638,0.22638171921038003,-0.2878233522389346,3.519565826586869,1.880066061533048,1.8069608813025064,3.0473594505192105,1.3149922194525154,1.1025902969260026,-0.4847361456152967,-0.08539070392550371,-0.7275353981358128,-0.438312009638996,1.607868227800728,2.074612845189128,-0.9434948297861436,-0.7853371528145405,-0.2837766511535394,1.2986326305916234,-0.7432652297124452,0.3118671424176911,0.08673941991723325,-0.44436033850377016,-0.8022634207863729,-0.6020014852698086,-0.782980055614669,-0.7296628048089011,0.4667006303610834
NCI-H441,-0.7318996047549929,1.3426647370081328,-0.7636937111249618,-0.7671151526377017,-0.8118444298853589,-0.12313304451322998,-0.875392451031502,-0.36413883607495146,-0.7646009139374927,3.056094164037991,1.2123673935027233,0.9329538478919084,2.6778782669287184,1.8116381417690188,0.5936551462963966,-0.7650292595911261,-0.7009703744973171,-0.7621262200803886,-0.7943196139271639,1.6494476418412347,1.2119428177975553,-0.8915082376951581,-0.8068287400911732,-0.586184582992568,1.4255244896086745,-0.9275257324795204,0.8829574758666384,-0.2785213035236984,-0.6663964493637791,-0.8343768337494688,-0.6521247317943243,-0.7195273068989618,-0.7381159568020289,0.6704127006499002
NCI-H358,-0.7105061224784418,0.2837999384146388,-0.7727229824672689,-0.6722617751732683,-0.7744523016467919,-0.01242724165613067,-1.0007199350675988,-0.31229229547734183,-0.6298209136740572,2.600451269983122,1.6240564523918726,1.082929831298524,2.814580700952716,1.9452322977593564,0.3289802346067581,-0.7460264884047975,-0.03861385085110898,-0.8119595283999252,-0.056727290708314976,2.3051376927276093,2.132237834943583,-0.986835411605306,-0.9066246512166736,-0.4623817661558975,1.7109583342622436,-0.8156108313811139,0.5908614322155727,0.8048074793599901,-0.7354480717541697,-0.8040379193306522,-0.5511876418501324,-0.8442141459560648,-0.9143344221594916,0.30552863757628834
LS-411N,-0.9368436492914416,0.6981927353938215,-0.7606233599381511,-0.5284793988929927,-0.6067409609585873,0.24008740080601,-0.9449505248088449,0.8850198567289999,-0.8219408472839309,2.905929784210669,1.6622869187834948,1.3183433692471571,-1.0217289339743938,1.8648442801490044,0.7977611934666696,-0.7492424351953667,-0.7536140345273097,-0.7472563480640524,-0.745113220680799,1.6470431361177085,1.5991813520027671,-0.8964127484989567,-0.8655928705577964,-0.41241285817786016,0.6863246435151943,-0.7623076684974269,0.4836942612484981,0.9868839130820148,-0.7344943258235942,-0.8200681964025117,-0.8756833709705798,-0.5554561181858043,-0.8554037128594271,0.5281396400601249
NCI-H2452,-0.8287644865829614,-0.17193881431457408,-0.6306526065781987,-0.597080599970948,-0.7047193252445749,-0.22721232965823696,-0.8699565864415585,0.32932996169574075,-0.2810064758570126,3.2623159001141557,1.4322386818348445,1.4594221269364345,2.7207584483263134,1.7385066518646413,0.5236676284370169,-0.6452435927900988,-0.1809493330546448,-0.7149489808767246,-0.045471611153702636,1.7877141388055566,2.183733763278154,-0.8734771499775908,-0.8372871800589027,-0.5239246021358118,1.6598601918368658,-0.7582350764164428,0.3383250667796434,-0.02009866582740437,-0.6818232491348165,-0.8388021660781424,-0.7536820051533711,-0.7562813727150429,-0.7763503096956035,0.5485088606794144
UACC-257,-0.6868373751581291,1.1837404662231124,-0.39699444649838384,-0.522259793288277,-0.6403740726956063,-0.3160382285827913,-1.0270909586375805,-0.7632094028091564,-0.8333947097096436,2.8658434995250315,1.3426857554332186,1.6389289008705468,2.3964137760679627,1.4920891032672825,1.6405831488671008,-0.5743692795425096,0.35160257937611256,-0.7392199079329052,-0.8007436058822442,1.2792590298368829,2.1331469963874907,-0.9768827659546544,-0.8389262791573014,-0.4046485519161601,1.1674679694296588,-0.8411613679407848,0.4198127773087068,1.1796613542190295,-0.7533308460321368,-0.8282465835803136,-0.7433212368554334,-0.7142709967760484,-0.8889453858001098,0.7572535381033558
H2369,-0.7755298139018652,0.315852166320961,-0.5188430257557406,-0.4389318737288495,-0.7055148437401365,0.0018002208058185297,-0.7911127091495521,-0.07120803021043097,1.091827244419604,3.0098897120968697,1.45920114533459,1.5689479178731216,2.5777328905937447,1.6167083729494922,1.4739128458077366,-0.6049501934502494,0.5788888410259995,-0.7371957869808202,1.6485547614405516,2.255013093341017,2.4627946549523574,-0.8331239087493059,-0.8789218623739943,-0.4837905698232518,2.1092594490772028,-0.8277417846631131,0.26262041498512817,1.8866319220254963,-0.6645618808902231,-0.8269872568229657,1.5933799242731814,-0.7302655889034324,-0.8266332490134409,0.3546276216895768
H2804,-0.6419321306972068,0.9392816032803468,-0.6879703547325561,-0.5915649709090436,-0.5810643128268534,0.14106790079141635,-0.942252594511328,-0.4655863805011933,-0.123940785007638,3.1374199630359683,1.9141836868034665,1.3963003958057107,2.9470281626871526,1.5377013449030346,0.990825109216896,-0.6335838250791648,0.037417570691581366,-0.7164047056769286,-0.5515638625418117,1.927504851889559,2.2869942474220095,-0.7899682440786808,-0.7441043263185018,-0.3596048131979261,2.5619095678418113,-0.7988860484597111,0.2628231971577309,0.15531734844332815,-0.7457266032084003,-0.8373729699855654,1.1998812763519966,-0.7055869204225722,-0.7251474640469859,0.13328015511769925
