,ATP6V1G1,PDIA4,ADCY9,PRKCB,SLC12A2,SEC61B,PRKCA,TJP2,KDELR3,ATP6V0A1,ATP6V0B,ATP6V1G3,ATP6AP1,PRKCG,CFTR,ATP6V1F,ATP6V0A4,ATP6V0A2,ATP6V0D1,KCNQ1,ARF1,ACTG1,ATP6V0E2,SEC61G,ATP6V1H,PRKX,ATP6V1E2,MUC2,KDELR1,ADCY3,ATP6V0D2,ATP6V0E1,ATP6V1C2,ACTB,TJP1,TCIRG1,PRKACA,PRKACB,PRKACG,GNAS,ATP6V1D,SEC61A2,ATP6V1A,PLCG1,PLCG2,ATP6V1E1,ATP6V1B2,ATP6V1B1,SEC61A1,ATP6V1C1
CAL-120,2.444637151448741,2.514609068251969,-0.5549190005269101,-0.8598842831717439,-0.2182832300085366,2.9562146820102586,-0.245701092160002,1.068622023291773,1.8276571296310449,-0.3111661348281338,1.746501097699762,-1.0632881223404265,1.3802553297956643,-0.7831122737775845,-0.8113469811630569,2.3656697059208818,-0.8568126793276205,-0.3753649709405177,1.2346952860131195,-0.7430774627585541,2.909511121989707,3.5671285504874595,-0.506610639732252,2.9360151199407727,0.8878934867365924,-0.009488127225370702,-0.3076325142430925,-0.7134722515860353,1.4903896849659426,1.1202081080833304,-0.7545941967309095,2.3418846842237584,-0.8424553466971605,2.801423410907538,1.2962085938637595,0.6212338701462254,-0.6784512920953805,-0.12687051832271462,-0.654325187767558,3.3732460502143957,1.7938689068677809,-0.6033228030803593,0.5212609704234512,-0.07873698009542318,-0.603285050180305,2.1116326027793866,1.038994798995902,-0.6975920984028622,0.8177843187529757,1.1989235479537141
ETK-1,2.4744285031934625,2.7583617919460246,-0.5154597075170482,-0.7821007727003433,0.18492787120508775,2.8540084099499894,-0.39963966733559103,1.8265332037712352,0.9288358817064306,-0.3286725994339492,2.1075021680134127,-0.991887279532564,1.815905535337204,-0.7505054316116957,-0.8692220018170437,2.8338594799099965,0.3421441375125839,-0.2641473794228524,1.7092090968184932,-0.7991700496940558,3.340656235311959,3.740175053533856,-0.5476615672186802,3.198343783103504,1.2643811104543436,-0.12683764141526238,0.20592787190097606,-0.9672714621825832,1.2707277561105514,1.244822042793608,-0.6753649883714575,2.2969778445968454,-0.7889757557073226,3.1976371415033866,1.956771691386073,0.9574253089199388,-0.7194000136624761,-0.18238817592854964,-0.7344656305842422,3.364873422532959,1.934054178916428,-0.5314159614016483,1.054650027780753,-0.029395606455651837,-0.02123732492865516,2.357972173201482,0.9943094509522928,-0.64374939970803,1.1442272114172076,1.1571940096726745
H2731,2.7363670313105057,1.9332241610487368,-0.020720593013681732,-0.7525382834330454,-0.19975964024812248,3.1060157512153816,0.6734231696706534,0.9037327354644944,1.0296986990133294,-0.4056910896296269,2.1501427672785804,-0.9763066886427968,1.1181683901101709,-0.7608390346223795,-0.8241212316687057,2.2782308225927808,-0.5879268963946015,0.005314760348307379,1.4918225608215043,-0.6903468530981557,2.616450616054123,3.6505503333987352,-0.6554911871395385,3.3200767488641465,1.1449959338028697,-0.2033313768000739,0.20772492265618092,-0.7040631594865124,1.0393577286873381,1.2105839555844256,-0.8109884091513746,2.616696678312173,-0.7613079867706661,3.1420449715854173,1.140174082418122,0.8737107437352012,-0.4847361456152967,-0.08539070392550371,-0.7275353981358128,3.3056756877527853,2.076696714172224,-0.7118211602279709,1.422775561339808,0.33049680357990585,0.11806006090506055,2.439139361678808,1.916521825478233,-0.8062510720242932,1.128618263788926,1.3516811298186486
NCI-H441,2.4485041271390724,2.9993058189535797,-0.3937693927900531,-0.8297087830459828,0.3232851538152432,2.735821932620396,-0.3502615548914809,1.328511548018804,1.7010597256106574,-0.3585385873031076,1.637596004086836,-0.92869781516948,1.2074834174346718,-0.8452648290987299,-0.6927812444410212,2.3794429861473514,-0.8393260611579508,-0.29748616470997713,1.2480079533248607,-0.7166513636624955,2.9072185536498485,3.7680420128006427,-0.4363401211844733,2.7862850697777777,1.0385187397653373,-0.12313304451322998,0.07595070729272221,-0.7650741875742315,1.2698400772846443,1.5367064112232358,-0.7322310999534736,2.1207473936320165,-0.8806558753607551,2.722534048146595,1.719640466637234,1.3240877120341312,-0.7650292595911261,-0.7009703744973171,-0.7621262200803886,3.3778448426574985,1.4364686301960614,-0.8124858158611289,0.8247058126635791,-0.09686169429772952,-0.4323241623917872,2.060661623782882,1.1134261665737333,-0.8004809101701067,0.9671998653585704,1.3751887070593525
NCI-H358,2.693902570165206,2.600636806271004,-0.42235032146246737,-0.8365145975712129,0.0932542972650458,3.1252598211111167,0.22820352238433414,1.6695889372118118,0.9417036786821832,-0.6113735769051839,1.2608726435392892,-1.0195671510539486,1.170269453052747,-0.7894832640413467,-0.7816288493851999,2.072486021254869,-0.7928138978703556,-0.5137257864244906,0.9817239951340576,-0.7575792172519638,2.7456150743381555,3.6348973990331066,-0.7609673130266836,2.8269192225282938,0.9964620684518006,-0.01242724165613067,0.04191938256027671,-0.7296453518444341,1.3727874581637944,1.0762347637913396,-0.7642719861126464,1.8548837210272864,-0.8918039929557796,2.1565153807355792,1.6358182521811806,0.7422538643788472,-0.7460264884047975,-0.03861385085110898,-0.8119595283999252,3.194111588352162,1.671016076678263,-0.7112006552861272,0.4751098635958791,-0.3251140594548515,-0.15695661910805933,2.009071918778905,0.6747051982467883,-0.8463833715382799,0.8230115030378614,1.1813469894461173
LS-411N,2.4476790500825905,2.438239424746262,-0.4926398162698664,-0.8145502558515936,1.9174968133714,2.8109253562595384,-0.08130942838191382,1.1239424947943841,1.3864356092945946,-0.4225032799840505,1.8468769191327696,-1.0171702930282296,0.8394486114039732,-0.7835736997112148,0.7005051947882354,2.55100806422128,-0.8473546839339753,-0.02046460433074416,1.1023812481967,0.6041010700946906,2.847571541943342,3.5833569055260885,-0.611091202879152,3.2026361825909615,0.7600571156273669,0.24008740080601,0.4951828483557094,0.7272394580553461,1.3154899064483778,1.2169137405546342,-0.8748040489505121,2.0535819694118214,-0.7407504733760364,2.7207517149905325,1.4457649319830403,-0.2307591983329488,-0.7492424351953667,-0.7536140345273097,-0.7472563480640524,3.1143354728751507,1.5837795742461314,-0.6027501056078832,0.7674837921099107,-0.35371910956130226,-0.5580807539549724,2.1112347147306307,1.085145704390744,-0.6026820503314303,1.0683983126150045,1.0203317712716895
NCI-H2452,2.571521478141775,2.272586205901014,-0.3606145022142127,-0.8497532105166448,-0.0700173296400488,2.6726184698291116,0.10019246927535053,1.1831796288391776,1.406781056459985,-0.4924631289372913,2.01434607644636,-0.9136689233956028,1.3078731439454203,-0.783535283218563,-0.7641581215441425,2.310852895956775,-0.7106956578347136,-0.15994303891291806,1.7036184311502391,-0.6557766653719508,2.5034123519905487,3.616943143877368,-0.6115362711103841,3.0117824456292426,0.9799761719503888,-0.22721232965823696,0.5545270665497664,-0.86479269799547,0.9369770759037822,1.5141228594189018,-0.7763596242233969,2.578157191039251,-0.7609431588019578,2.9035893667150847,1.5285684573979672,0.942996701434732,-0.6452435927900988,-0.1809493330546448,-0.7149489808767246,3.3606597725453997,1.752887989501163,-0.8218348442688106,1.2647617193934486,0.4012792702266202,-0.2834564089912421,2.554803963863441,1.4143075312131996,-0.8728164082948411,1.2739082836211293,1.1952551915718517
UACC-257,2.9184887359666605,2.0823485880709427,-0.2112420177555362,-0.6537941516128597,0.4668580566926846,2.7638009726394217,-0.5030246240113396,-0.25995940185458344,2.0399540695799723,0.34719039469139074,2.6361284550645974,-0.9713786851266962,2.1867333523880306,-0.7315298695396689,-0.7377973253157473,2.862893685787104,0.744353861136269,-0.2388484990226284,1.979263506072344,-0.7939626094266353,2.816076022826947,3.734232260423753,-0.30739580284395496,2.9030539292688924,1.6401204067862465,-0.3160382285827913,0.9398648161045232,-0.6370951310213354,1.4225432807775125,1.2613188241917048,1.40114411982035,2.233575828285393,-0.6486670807935808,2.7662245055215413,0.5034236312080679,0.2255837405726764,-0.5743692795425096,0.35160257937611256,-0.7392199079329052,3.3054586149368923,2.4431252055867367,-0.5281428993394774,1.6390181881684147,0.531666245914294,0.02431113942042716,2.474982093485249,2.210778462739873,-0.6043053544023411,1.3089926133807763,1.8763004809557928
H2369,2.8823170089958934,1.651705556675252,-0.12638299994389082,-0.775919823797341,-0.1992935820858065,3.1163266969317265,-0.32850586303632456,0.6767391198124741,1.9731451572026408,-0.4599709453114191,1.963479165496156,-0.8693734013600427,1.2502619136305757,-0.7666078629955184,-0.7261207844961147,2.5126336243605105,-0.200428772295502,-0.2468172962987157,1.146490304426954,-0.6898462932467092,2.953348977230048,3.4447953907626347,-0.7856218591610241,3.2631629433153813,1.0733523331046293,0.0018002208058185297,-0.4066375102425595,-0.8395430109732268,1.4295599512374946,1.680456962564557,-0.3522134567316539,2.4334425736380925,-0.7259132991670553,2.821717945768678,1.5157159965570774,0.9974550101892132,-0.6049501934502494,0.5788888410259995,-0.7371957869808202,3.1254933232669537,1.8062311073564887,-0.5228984265765114,0.9288365364745316,-0.009231463053394808,-0.24414780742350276,2.43726389507904,1.7734389037018172,-0.6921355234553762,1.0868813486798363,1.2042650411252065
H2804,2.60218983532764,2.7043068547396034,0.0913745429735691,-0.8288123207029022,-0.2251952729330904,3.2183729712431632,0.2425843506999755,1.4118186189287196,1.4918610183323804,-0.12403898757569068,1.9360316377110425,-0.9334618364253328,1.5960445151929468,-0.7279161867896468,-0.859183116766129,2.137055963347196,-0.7866852818935864,-0.30656811128435385,1.7591134426658162,-0.6525091716667557,3.1152234349347587,3.6792829724544704,-0.41269586204531217,3.144698292932431,1.5261163057661835,0.14106790079141635,0.2639983664328325,-0.8374107033991623,1.2967936165952467,1.1885961622008634,-0.8233910821560955,2.7548860583491357,-0.5054070966476767,3.075515978263032,1.2699717501101562,1.2502148564510007,-0.6335838250791648,0.037417570691581366,-0.7164047056769286,3.204653057794608,1.9358763579366245,-0.5540278853064458,1.6385662703224655,0.3455135412482723,0.990290643900702,2.43714649422317,1.3341087773244993,-0.3226281833062409,1.4051651040538742,1.2632067895137638
