,JUN,HLA-DOA,HLA-DOB,PRKCB,STAT1,ELK1,TNF,ITGAM,ITGA4,MYD88,HLA-DMB,PTPN6,IRAK4,IL12B,MAPK11,NCF4,NCF2,PTGS2,MAPK13,IL12A,NOS2,MAP3K7,IL1A,JAK1,JAK2,ITGB1,ITGB2,CR1,MAPK3,NFKB1,FCGR2A,IL10,NFKBIB,NFKBIA,FCGR3A,MARCKSL1,MAPK1,HLA-DRB5,MAPK14,MAPK12,RELA,IFNGR2,TRAF6,TGFB2,TGFB1,IFNG,IFNGR1,TAB2,IL1B,IRAK1,TGFB3,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQA2,HLA-DQB1,C3,TLR4,TAB1,IL4,TLR2,FOS,CYBA,HLA-DRB1,HLA-DRA
CAL-120,1.3389142205771671,-0.7261123540613651,-0.9160101860392476,-0.8598842831717439,0.6160169759987999,-0.6394870911434297,-0.7960448465884994,-0.9305882235573336,0.0463206859465791,-0.7007713772592029,-0.6592894134390843,0.28727919878858177,-0.2292102825885166,-0.9016793329365927,-0.6856681132324752,-0.9381677974388076,-0.6660654894390309,-0.8105352242091278,-0.20671144389370147,-0.08153295019275793,-0.599537623569272,1.1882574970739932,-0.7563965824489567,1.6091476208187323,-0.2013513432083108,1.9362940560627209,-0.6923847025298888,-0.936335401104,0.6544469534894845,1.4046785469175604,-0.6826678722321201,-0.8612488229577334,-0.4434575404816248,1.6043266203368904,-0.9886774651096244,1.8924496836408669,0.254584764720762,-0.9288026821617223,0.2661296077443237,-0.07212634530282812,0.17742717424225202,1.0180737643033613,-0.34274408287749386,-0.7249845268875778,-0.3421328614785551,-0.9384311328786108,0.7382155172210616,-0.041377614946418194,-0.7667418437688517,2.0116890795149085,-0.8940765440331558,-0.7186160878578132,-0.7833913662810502,-0.8863917062154072,-0.7695623213158388,-0.8693882359352185,-0.5605192666672205,-0.8256166770969787,-0.6811270595938386,-0.9004650618664787,-0.9591662335830512,-0.253833961568364,2.7155262419730977,-0.3030394486922637,-0.8666002091958132
ETK-1,1.157234143758783,-0.7524780429829733,-0.1944405511326988,-0.7821007727003433,0.737525469459905,-0.5394757709110359,-0.7023522070818511,-0.9190669037090919,-0.8412185989609842,-0.4655634799499821,-0.4461569257670246,0.8295028159628766,-0.3376765917079876,-0.8573297545789439,-0.7002220663907687,-0.9154032424726536,2.0157115542486164,-0.912538955506907,1.4992384159293035,0.15664251132684048,-0.6739870090000782,1.2939197082530656,-0.14434221209686196,1.8344456355399872,-0.5717787770722844,1.986350673626605,0.06311942600154301,-0.9839804166852228,1.1182205197694308,1.5244976134388952,-0.6230804831728567,-0.7826270047663813,-0.1629994792273173,1.8917337079863108,-0.8638657100292627,2.001386750872435,0.3975693338555972,-0.984755118746058,0.3235601864751037,-0.05439148075713941,0.22592445980755305,1.2495761882355,-0.4764393716980545,-0.5004653069159419,-0.4772448275451359,-0.9837970341197656,1.3092200761365544,0.5547115398935378,-0.44400653152937497,2.4324547850160294,-0.8719332934277084,0.2588926877110535,-0.6055782433258069,-0.8896495014976784,-0.7726143151305724,-0.7567333700784573,2.0923273601750667,-0.7609450245741292,-0.7174252570414263,-0.9453673687087992,0.2866405577853243,-0.4972462842958964,2.892326429580397,-0.41606518151593214,-0.8543092736769233
H2731,1.2559138119898368,-0.8202575197624979,-0.883869374469807,-0.7525382834330454,0.8657146257724638,-0.7171010792227247,-0.7348817399151673,-0.9193514923365576,-0.8434992976957904,-0.4690537272207984,-0.5796407278559721,-0.4281023581183965,-0.23182938913584264,-0.9279538964953254,-0.4686436049320844,-0.8780587575854382,-0.3067936218283501,-0.9855177757079014,-0.7208695298833155,-0.5284743872307905,-0.5945239158437498,1.8740611800474416,-0.438312009638996,1.7235290132084666,-0.5238539535276029,1.724921573681595,0.3433475640925641,-0.8230564578015581,0.3118671424176911,1.6759030277451683,-0.587256950794057,-0.7835768619530675,-0.33691879946220504,1.6566352613367126,-0.9965217275905448,1.9242601060409836,0.4667006303610834,-0.9400371247739108,0.4521366517667533,0.6666704728877562,0.00876718148268978,1.7350008927904699,-0.3560044821153663,-0.6053908314727988,-0.4709955729403355,-0.8530032840643409,1.6295273442201668,0.6609644942912379,-0.2878233522389346,2.027503484873541,-0.8689131667080494,-0.6561572966141964,-0.7663550608436814,-0.6927626578906396,-0.7799211710705529,-0.7591457122466052,0.06920071349822017,-0.7817945533129196,-0.7492307518888087,-0.8769121903636289,-0.6046316786937135,-0.5105207803858223,2.7662175278811643,-0.3716717343123031,-0.7333644453750829
NCI-H441,1.1084253561912516,-0.7531394151779213,-0.7537541549331402,-0.8297087830459828,0.5541149709445532,-0.7671151526377017,-0.8085461427863829,-0.9138010043059854,-0.8283513602185241,-0.5961654745687558,-0.4442559378080494,0.6620773284700296,-0.8366667582127385,-0.875359959640365,-0.4511159265601075,0.07925097656279344,-0.5416845655056433,-0.3590236549269631,1.652648570389608,-0.5963809701481404,-0.7019239508083844,1.1770352324169313,-0.7943196139271639,1.8368758194699657,-0.4733914713608993,1.457650413631172,1.6780383565745538,-0.8218930962352241,0.8829574758666384,1.6885368679713544,0.15989549519176827,-0.7184505996672111,-0.38188165768696825,1.6625748981344504,-0.942078127410846,2.435271713974437,0.6704127006499002,-0.8968224660415617,0.34129450765135844,-0.2988925070410021,0.3500745034258357,1.233228455850382,-0.4093712019818891,-0.8725783332915343,-0.21078299801698866,-0.8908968422490614,1.2194700547219497,0.3277326929363089,-0.7646009139374927,2.2882252794493336,-0.8708206883311798,-0.6148468622559222,-0.7819368358539357,-0.8584490234063792,-0.8340892319172492,-0.8172150130650189,-0.629943797775,-0.8190549436918431,-0.6030962433662154,-0.9515658388799888,0.6773522346696718,0.9100371105877753,3.0848045787809264,-0.3504907045571886,-0.7687515060473901
NCI-H358,0.8893831080119279,-0.7448174949893543,-0.935024358000362,-0.8365145975712129,0.6467199084717836,-0.6722617751732683,-0.6749680092768712,-1.007886935411027,-0.8529473618444616,-0.5686281751994079,-0.5528645269631969,0.27881632286608204,-0.05524125978729056,-0.8777040039472971,-0.7156648437261258,-0.8942356564053773,-0.14159106589733925,-0.6634556116959607,0.9493846457945164,-0.6859959172081962,-0.6600815092715118,0.9622333774028284,-0.056727290708314976,1.7731928487557989,0.053805523851013386,1.5239940513637609,1.081826395235118,-0.870732435410325,0.5908614322155727,1.722068530552285,0.8499026281756691,-0.7512908035504682,-0.3182464407166861,1.7699829477499964,-0.9415410522257232,2.7717797109839366,0.30552863757628834,-0.9579368498027392,0.3945532510847872,-0.2560965802292562,0.2051817638160682,1.398175587563507,-0.6672691932166179,-0.7282840110169696,-0.5557874405944584,-0.9371565484798238,1.4395092370530909,0.4862651646153981,-0.6298209136740572,2.3359631219014494,-0.7138158543671527,-0.7024505022243912,-0.7939284246922921,-0.8881890639704929,-0.7900121129767509,-0.6033051918070031,-0.5044068411104023,-0.6958738909151878,-0.6060915505617098,-0.8778019986305227,-0.7373323898011878,0.0576532983240604,2.1379716905714328,-0.29855361565371225,-0.7504576833492028
LS-411N,1.0827573198127212,-0.7034698719116148,-0.9271946007318421,-0.8145502558515936,0.3283596664948663,-0.5284793988929927,-0.8362563767125443,-0.9186953331232592,-0.8828366255160023,-0.6431894293280274,-0.5340121456893316,0.7131627160364887,0.12370623165280607,-0.8591932803068673,-0.5470153791969675,-0.8960664147850966,-0.7265132994619387,-1.0234574707645419,0.33180756067464146,-0.6856742131265217,-0.4649523523448522,1.3234029196112274,-0.745113220680799,1.8719809602630504,-0.2437053796376157,1.403993183042962,-0.8693239237196341,-0.9138886953113556,0.4836942612484981,1.9274742460604932,-0.5869210778974986,-0.9131101316848714,-0.17607397952838502,1.4571389097525504,-0.6778676004610823,3.1250699291346185,0.5281396400601249,-1.001654378960626,0.10766455646165378,0.27356411640083994,-0.12575313564745538,1.5919197456668563,0.2056692750798685,-0.913979860463824,-0.4801150865267178,-0.8374039044286853,1.6951761314749343,0.06974437522583213,-0.8219408472839309,2.410044599189214,-0.8593614077875843,-0.675947476283666,-0.7508256237707306,-0.8548406751021973,-0.7708360108352759,-0.6964791106037422,-0.9098196615421668,-0.7535009247259724,-0.6441499635186866,-0.9349729950174898,-0.4860256489775023,0.3299502144969221,2.6677521165505675,-0.3545671715888125,-0.9398953528320176
NCI-H2452,1.7445679526912046,-0.6932223512252182,-0.8302953562405029,-0.8497532105166448,0.9285369549580956,-0.597080599970948,-0.8109661678998319,-0.8582924731756917,-0.8850464660893457,-0.6557766653719508,-0.6834287636121772,0.3650811570348261,-0.27190421623443983,-0.7573761859179963,-0.5017416438869874,-1.0335113037371324,-0.5556569982929318,-0.9274056819239228,-0.3939960434735176,-0.58545163868569,-0.6322918320968518,1.5941423121138667,-0.045471611153702636,2.1510690877097485,-0.4834631080068029,2.7055822487808885,-0.7815575327147789,-0.9379360007620344,0.3383250667796434,1.8671452599095533,-0.4886909408527216,-0.8612912367352236,-0.3755182444203927,1.5417467536427367,-0.8601429283710339,1.8169338222071711,0.5485088606794144,-0.9235996250579944,0.1892486769078852,0.5229232475125958,0.12648673917348285,1.5175101811697946,0.10861066157631928,-0.8024415662779262,-0.2893402887869656,-0.9869534474667959,1.7246855634614549,0.4747044225738056,-0.2810064758570126,2.4653219653703187,-0.8535497456185637,-0.6541186729486208,-0.7530530931956376,-0.8703745846653167,-0.7854294152968134,-0.8630561963519834,2.7172369036563198,-0.3721264434992264,-0.7348546226575552,-0.8484711131341821,-0.3536850699117627,0.11898799244097648,2.9393235006850493,-0.2198996546808584,-0.8143271711138356
UACC-257,0.5451933933526479,-0.7701024778010186,-0.8834764264891156,-0.6537941516128597,0.6191462293318747,-0.522259793288277,-0.8561805916353357,-0.8882388351784211,-0.4921101936854054,-0.5835923348667482,-0.09405933392250213,-0.4390123106885085,0.23042463147124,-0.9387165585249037,-0.556972220769759,-0.9196200208182104,-0.9260310700109162,-0.9879263200768614,-0.6133351255929667,-0.6856836900631109,-0.689498321713817,0.6590581368716922,-0.8007436058822442,1.7299830806013246,-0.13415562965796118,0.7068001751855457,-0.9033917628707651,-0.8956806344303845,0.4198127773087068,1.4221700404381803,2.1236036590434666,-0.8920578432397008,0.03951084964031961,0.9123966398789995,-0.9634194055456794,3.140248351568641,0.7572535381033558,-0.9664580248937836,0.32497727602057064,0.05482263654381995,-0.11633637393946088,1.6261929588130084,0.17230670727062067,-0.8451090454371593,-0.40015803045480974,-0.840572119387834,0.8196598435256089,-0.1252924696081957,-0.8333947097096436,1.9818894482908629,-0.7746526530408264,1.5364023315817334,-0.2418211248411975,-0.76770636684338,-0.8224992124889512,-0.7580962666589979,-0.687225451015197,-0.4967151108787015,-0.5347231209547104,-0.7581200888943073,-0.9151325335261552,0.8852809724324656,2.9943644034412595,-0.21507718968099265,-0.8939311604825204
H2369,1.7376164240157637,-0.7754905530920213,-0.8238784540909659,-0.775919823797341,0.7757278775562161,-0.4389318737288495,-0.6524406428128969,-0.8728389200373841,-0.8974000675174708,-0.2924934318495566,-0.6257098877742256,-0.3158814715232982,0.25700922593535425,-0.9042344027602724,-0.6905552603854218,-1.0007030592920176,-0.8304560254480479,-0.7786279767040458,-0.4493613879077095,-0.3651994012356078,-0.7649784631730473,1.3614049983169572,1.6485547614405516,2.407065044407592,-0.3097849714172041,2.1225187970515003,-0.8375988133417724,-0.9640993390060472,0.26262041498512817,1.967446970617737,-0.5141707769090647,-0.8029789080860222,-0.4114681630941088,1.983322740846145,-0.9050915963386906,1.0493111186014,0.3546276216895768,-0.7117642775368491,0.4919243989200915,-0.008771997303482411,0.1114131103707035,1.227801332181402,-0.10193301490313934,-0.19723703169163298,-0.4671991782851333,-1.0660522139885558,1.9111153783870376,0.4340703174914527,1.091827244419604,2.1871495788836506,-0.8495230600585891,0.14937128887264814,-0.4256022144562254,-0.9228917328659338,-0.7831925952817068,-0.8610134863280102,3.2081601967932336,0.027712969171475598,-0.6584573584571878,-0.9214037990745372,-0.3221351663728684,-0.4070347521493736,2.665163704357563,-0.002064522264934839,-0.6501375324266279
H2804,1.2720580415498284,-0.7587381633767756,-0.8435228065126127,-0.8288123207029022,1.367938609224219,-0.5915649709090436,-0.7569817100754294,-0.8108001079388207,-0.8657877975985601,-0.6195591896120365,-0.6224152429645899,0.2926138934148464,-0.14037335096990394,-0.8561430510332572,-0.5751769346543611,-0.9359408586994168,-0.1634248038144194,-0.9792241950260772,-0.7550530057797646,-0.4016676051951532,-0.6601217648001976,1.0917354482616135,-0.5515638625418117,1.3968432599472074,-0.393568855947446,1.7157145991879543,-0.7579306290201651,-0.8545133956116331,0.2628231971577309,1.8783926256508516,-0.4621895430836077,-0.7587371159916948,-0.28399117071767954,1.832623433103522,-0.9593338366814168,1.8117265624916568,0.13328015511769925,-0.7861038816953004,0.06920177595775415,0.14300282052086305,0.029063061578386437,1.2200437601262273,-0.3115021192403104,-0.8035217968686563,-0.2155950909729008,-0.9713634414235044,1.1357218890044216,0.022763050418231998,-0.123940785007638,2.356272910498588,-0.8829167401005129,-0.5602730352533954,-0.8040031683478739,-0.8481626154328561,-0.7694478806231558,-0.7296121172127078,2.1337339930703,-0.6846737324603183,-0.6605777455712004,-0.8600650370448563,-0.8892089273262551,0.7453770501534781,2.754749186562667,-0.2953946178015958,-0.7757101537779334
