,SOS2,E2F1,CHUK,PTPN11,RAF1,SHC1,BAD,CTBP2,CTBP1,MAP2K2,BRAF,MECOM,MAP2K1,IKBKB,MDM2,RB1,ABL1,AKT1,AKT2,SHC4,AKT3,NRAS,GRB2,STAT5B,SMAD3,MAPK3,STAT5A,SMAD4,NFKB1,NFKBIA,SOS1,MYC,MAPK1,RUNX1,PIK3R5,HRAS,RELA,GAB2,CBLB,CDKN2A,KRAS,CBL,SHC3,CDKN1B,TGFB2,TGFB1,ARAF,TGFBR2,TGFBR1,TGFB3,CCND1,PIK3R3,BCL2L1,CDK4,CBLC,TP53,E2F3,E2F2,CRK,PIK3CA,PIK3CB,CDK6,CRKL,PIK3CD,SHC2,HDAC1,BCR,HDAC2,PIK3CG,PIK3R1,PIK3R2
CAL-120,-0.06812203037807682,0.32790480302444164,0.5166852250413664,-0.4189799745235525,0.9048466647021476,1.384415510316917,1.2055133346730489,1.2284678712701331,2.2049583571960025,1.9428200748275049,-0.5979925924579317,0.3296258727042796,1.5889586870449508,0.7853695563017683,0.36507224971288943,-0.6083770142003273,-0.15530134899420264,-0.19985279400177544,-0.4819424240854727,-0.9455390425309581,0.4364324540353784,1.5867513847782557,1.7384334665473555,-0.5456975676340988,0.18566599087671248,0.6544469534894845,-0.5702219753386879,0.6279163217927376,1.4046785469175604,1.6043266203368904,0.6091940496088567,3.104120229567743,0.254584764720762,-0.6868938023393955,-0.7875557925705607,1.082836190327067,0.17742717424225202,-0.6153499645591913,-0.7518697350517393,1.7383689106713842,0.8623239999845511,0.035458504957043176,-0.4560943898241128,1.5645698709726297,-0.7249845268875778,-0.3421328614785551,0.03481131212472676,-0.6301196180160414,-0.8555751017966253,-0.8940765440331558,1.6214164799230069,-0.6406907280038789,0.6359365812168406,3.1818716648663687,-0.6476218357319871,-0.7349239008595684,0.8971179553104909,-0.5585698658210594,0.7979921047794792,0.9873660513528476,0.534576748726534,1.3976236845753012,0.09804416612816104,-0.7809640560641528,-0.8061604219903434,2.203257164790167,-0.6578858888297094,-0.4952661966975238,-0.8524172464873309,-0.3572494710380825,-0.3426310511824054
ETK-1,-0.05867897052132225,0.6569210603493001,0.5239541577125508,-0.4417710131376367,0.7020272276858314,1.2437684729621314,1.2912509513870336,1.69364560371462,2.2058904483011594,1.5809167664755956,0.42995935860563744,0.4708139247826385,2.02799378906126,-0.2222664049408303,-0.5960547588368359,-0.563825336120889,0.11491796000585375,0.1266592331092139,-0.5886272683587355,-0.901749551777286,-0.5448795531082345,1.9604995952736224,1.965573307595224,-0.3387647363508943,0.4655461927641602,1.1182205197694308,-0.3559293290429037,0.05200592418369933,1.5244976134388952,1.8917337079863108,0.4710837889353912,2.12334269141489,0.3975693338555972,-0.6071190517486025,-0.8197989690348624,1.1893851867654288,0.22592445980755305,-0.32373592217661723,-0.43609549026834415,0.2541994168321927,0.6590952429722751,-0.07055262391037664,-0.16653369416313604,1.3630065138815064,-0.5004653069159419,-0.4772448275451359,0.33932625638779457,0.4060222082474997,-0.6659156849658946,-0.8719332934277084,1.1184704280462483,-0.6417876055405305,0.3796170164719602,2.057544437926905,-0.8389173821801206,-0.3081303706929966,0.6850352541015872,-0.4714329646357511,1.2971529474020105,0.4094503601052189,0.037496706500950314,1.0800331132350227,0.11680218111471635,-0.524460852626613,-0.8862449616278733,2.1761782713150097,-0.6278887196866889,-0.6667642116403677,-0.8654864209671396,-0.4833683157757574,-0.4050677602198264
H2731,-0.13925938705960852,0.5177485438566892,0.9321636329647176,-0.4145723263706596,1.1135111322846425,1.6007288747228885,1.3707944327634445,1.346848167886996,1.9447890908821532,1.8069608813025064,-0.7754335933876804,-0.6298053199902284,1.3149922194525154,-0.14990082944574756,-0.4420275798391613,0.023359137443755573,0.5195856572724936,-0.15174020943164618,-0.6640179112916704,-0.8433937308274254,-0.6239843608956496,1.804879139023512,1.7545902111161853,-0.1401897237723378,0.6336204041833391,0.3118671424176911,0.2360184555419203,0.1945359842352952,1.6759030277451683,1.6566352613367126,0.6304226359503814,2.4070746104530985,0.4667006303610834,-0.21843605740755853,-0.8410884136853347,1.3957190977726834,0.00876718148268978,-0.4967915998422813,0.0047235315137179315,-0.7543119097295989,0.4822517483970864,-0.21451117450736334,-0.7010420628433167,1.2022869617884653,-0.6053908314727988,-0.4709955729403355,-0.11617673540724364,-0.1956815096068859,-0.5427973160493198,-0.8689131667080494,1.6224056262988529,-0.6443644194844482,0.5184059654301638,2.362112511297713,-0.7948798450124801,-0.27861377313300995,1.2669140046265763,-0.3115434098075781,1.2942637231828502,0.8594187429000945,0.18336718453373124,2.2939955252623125,0.2565824619940291,-0.37757563301429853,0.6082979283346723,2.016093255164454,-0.6925073269633436,-0.4158526003870509,-0.8765333670274109,-0.4281227646593607,-0.15702108108980029
NCI-H441,0.5382853286208211,0.42023814981571295,0.5561089125342571,-0.4691638643262653,0.9307471911980078,1.1289468150030773,0.8061616862941123,1.7124996185670918,1.918572250457023,0.9329538478919084,0.477240781276831,0.3886390489129967,1.8116381417690188,0.7690312459708287,-0.45032509649207003,-0.4886535987066338,-0.07933140168785939,-0.26570566958600805,-0.5854985495687144,-0.8318455547347886,-0.6958193198758809,1.250040047216832,1.5628792001345369,-0.7010317711299326,0.8570995637935005,0.8829574758666384,-0.6515728539950427,0.5850584315599998,1.6885368679713544,1.6625748981344504,0.8117920748457881,3.0326177589054333,0.6704127006499002,-0.04882182786853008,-0.7929647301950058,0.2209947943117495,0.3500745034258357,-0.05720205893421046,-0.6242072836078155,0.8966215214129494,1.3593939234001158,0.01809622778413304,-0.8268658328470216,1.4274475571806546,-0.8725783332915343,-0.21078299801698866,-0.1939819066756263,0.6003222315209445,-0.7797007888555392,-0.8708206883311798,1.4751263340395302,-0.4713064903986299,0.4846991945305956,1.9335633505692351,-0.3161779243619101,-0.6383252117863865,0.8560007753692161,-0.3489623336376744,1.1739605119221528,1.2268652508596756,0.3785433051934744,0.7812109945381533,0.3845230929743015,-0.5048386655437213,-0.6268669200626428,2.2463603393956704,-0.437294183940504,-0.6495190575637197,-0.933630609859046,-0.07774390743676543,-0.28451003525850943
NCI-H358,0.4434159208745114,-0.3890476597885825,0.5403676801635996,-0.4826663380756731,0.6072135995516039,1.5266170909565202,0.8463306973738598,1.3245303912995638,2.2030755606075823,1.082929831298524,0.047892795948571314,0.5994892327188889,1.9452322977593564,0.16141018418366074,-0.38691403089804,-0.4921119591465656,0.3566484798380913,-0.05201802325830348,-0.4248105610331739,-0.8678750664705567,-0.7232608504086048,1.4746253607378723,1.8717155328633968,-0.4336123999064837,1.2651569617191585,0.5908614322155727,-0.7055658087258647,0.5093036115634252,1.722068530552285,1.7699829477499964,0.925976895938038,2.640094624338945,0.30552863757628834,-0.3340558266769569,-0.8003529130190858,-0.039190101288340655,0.2051817638160682,-0.4720378783070376,-0.2707785419272598,1.2308148728064148,1.707660961932456,-0.2405413305834277,0.10984607718044552,0.9549986480446312,-0.7282840110169696,-0.5557874405944584,-0.014021040959124124,0.10330224524505584,-0.7309274043607878,-0.7138158543671527,1.5146227970828097,-0.2453339387280799,0.08591773917871312,1.9529142056956148,0.3314665511178881,-0.8915542093576039,0.775742143866193,-0.7476521379711251,0.7239960239794366,0.8113056012150509,0.2604488947523818,0.8655478010038485,0.2433781900109811,-0.65216438457763,-0.6487253564001371,1.3266114614925901,-0.3598199623555864,-0.7282899642583995,-0.8715621277889629,0.4416383048174035,-0.3759062541623136
LS-411N,0.15373766511871415,0.031193218866217506,1.1454809662876608,-0.335131280348438,0.6534312803956329,0.6962083438529619,0.6420848311174606,1.9035989253964931,1.9776632158214995,1.3183433692471571,-0.08196609676428873,0.6874186526259277,1.8648442801490044,-0.09434969114365796,-0.5028951519342859,-0.36066821029955065,0.37297209217774935,-0.24251542886789626,-0.6497916729249831,-0.8795474454462099,-0.8267961689333675,1.3307944797542282,1.5186990991164293,-0.390602572483489,0.20179125579460047,0.4836942612484981,0.03562052992751883,0.5468995108996568,1.9274742460604932,1.4571389097525504,0.6872106998083425,3.256922672688148,0.5281396400601249,-0.659489282788308,-0.7380098373948586,0.7081041907948731,-0.12575313564745538,-0.1753683979621821,-0.7878545278484386,-0.25282588486265795,0.8977517412016167,-0.211393297478396,-0.8137150589490431,1.6841549826358426,-0.913979860463824,-0.4801150865267178,0.08203770334224564,0.5083351773006684,-0.5358674938724077,-0.8593614077875843,1.023387112447965,-0.7207817579785165,0.3455912166234951,2.201801686746017,0.21292809735520465,-0.8085479604313023,0.4682349388417056,-0.14940605467725307,1.2661433626221472,0.8412287390884277,0.23400217589226124,1.3553398083394728,0.21189318375647168,-0.8168373886640627,0.6414996457213951,2.599188657720268,-0.4701972029559078,-0.533124871918772,-0.8488851561535736,0.3625898147259357,-0.315113364159437
NCI-H2452,-0.2112724762202742,0.3041495614808448,0.8335748759741254,-0.4432540558066763,0.30033039646165405,1.6088050904095466,1.373646937202287,1.6150977857367748,2.0188286383623204,1.4594221269364345,-0.3329735262677015,-0.12333507632144215,1.7385066518646413,-0.05817698140061575,-0.4543862626298515,-0.5127894870668956,0.4648295992891375,-0.2078611696528301,-0.6172414110572932,-0.8826182784178215,-0.3753643941962525,1.1393357611865211,1.240538159782116,-0.3721415018933096,1.1446838030649948,0.3383250667796434,0.3763542206489276,0.5973019057180693,1.8671452599095533,1.5417467536427367,0.7666650003646698,2.8030084903483057,0.5485088606794144,-0.3944915813479914,-0.7810246909336291,1.1931770656516067,0.12648673917348285,-0.5573265089791763,-0.5704238466382412,-0.6598267040257796,0.5879673768544635,-0.12470389650945506,-0.8241500183527456,1.2754745323864716,-0.8024415662779262,-0.2893402887869656,0.13900441631942434,0.9409875074609332,-0.7172801394415842,-0.8535497456185637,1.04083962102019,-0.6865469766465245,-0.07073190740611403,2.1959186990872066,-0.8270576803164958,-0.7462976592883931,1.0396254934160265,-0.39980869183343937,1.3458861051724025,1.1604717518938303,0.17486977984787494,1.7587514334005387,0.4837045078030308,-0.4429466925798285,1.0402190646601688,1.8977336251875103,-0.4903166617863329,-0.6327561827710959,-0.8109860852430577,-0.1596184972839978,-0.314793690336176
UACC-257,-0.2334447129826095,0.34056586846125303,0.5411284211981153,-0.4371875563650505,0.4626853245173175,1.2864079569513491,0.5531892376610587,1.3802978946484599,1.5999303449837108,1.6389289008705468,-0.4590973762124978,-0.7381577365518438,1.4920891032672825,-0.2630518933393641,0.6936780349266138,-0.005827810252850925,0.1233794726866641,0.1034372484054456,-0.4156948757425929,0.8250011018716646,-0.20350358457046905,1.7438123860969132,1.879861540626689,0.03146888883022607,0.11596759735620918,0.4198127773087068,1.080684349402253,0.5242238515001348,1.4221700404381803,0.9123966398789995,0.4226719388125876,3.042809999428858,0.7572535381033558,-0.8625127658580503,-0.6943889672456175,0.9897057775020668,-0.11633637393946088,0.5088749135071083,-0.5697170814601688,1.1554246127560468,0.461570293006893,-0.06923089980469563,-0.8638354654376121,1.2241214523527328,-0.8451090454371593,-0.40015803045480974,0.17370790712272907,-0.07778353895784529,-0.290386930160648,-0.7746526530408264,2.214618837818719,0.27933463228855104,0.4795562404563092,2.3613011013151404,-0.9296167142805256,-0.6644920573003906,1.1440396573877514,-0.19745472746883452,1.283357532549514,0.3312185599443601,0.6625406578276586,1.1761500200022124,0.3692635307506239,-0.0535754824600499,-0.06752187141226966,2.0138971350054407,-0.6879713874794029,-0.8380499401086341,-0.8888615239730282,-0.1797654584160006,-0.23280851377457995
H2369,-0.000956360756488668,-0.1441332652932474,0.6751362027222036,-0.24427960860146106,0.7248507230584516,1.4825748623278965,1.3117809614958826,1.3148141812334837,1.6637526570518797,1.5689479178731216,-0.4941771265845692,-0.4330002872230682,1.6167083729494922,0.06951338730415428,-0.0029879647070044685,-0.7180307897257965,0.6492618264655017,-0.15119158549319922,-0.6524623508563833,-0.8924286775173852,-0.07910532007774926,1.1337516076882892,1.5561468189968968,0.04796955440241511,0.21487101739866146,0.26262041498512817,0.6890495523319093,0.7169088655806088,1.967446970617737,1.983322740846145,0.6442177574535978,3.1967860125076766,0.3546276216895768,-0.41452175412863984,-0.7896764876803988,0.4120349900412952,0.1114131103707035,-0.4731182093503966,-0.5369162174786543,-0.23366881837931466,0.8620638067442004,-0.32873007247821084,1.0313308533972982,0.8881549304038812,-0.19723703169163298,-0.4671991782851333,0.16017014510848818,0.5247265750551097,0.31717346731001433,-0.8495230600585891,1.3709257978228937,-0.691032607776449,0.5279677595768228,2.0259994531597103,-0.8590895782367001,-0.7192129739211564,0.9159647272160047,-0.6864766641943135,0.7457703391997339,0.7841199206958448,-0.033848076739364866,1.2609060513835753,0.3703821364416838,-0.37027626072364944,0.1128065176121663,1.7378793713935816,-0.6951867513954447,-0.7297904272362125,-0.7936449523991068,-0.3732720210721264,-0.3378489135883645
H2804,-0.5397462460605524,0.5714986306406094,0.5183670561180405,-0.5797021612079514,0.9891072695734257,2.17717761880366,1.282542486515042,1.4634528175766799,1.7942365843778263,1.3963003958057107,-0.6538816474444307,-0.2933027239308085,1.5377013449030346,-0.10064538878499704,-0.4481854631800632,-0.3787268620098064,0.3108279410952096,-0.07058561604041526,-0.6048940168676246,-0.8347680323719285,0.19688997202868425,1.5529699611461252,1.7130625049092376,-0.4364199555989114,0.8488112846450278,0.2628231971577309,-0.2095350242094297,0.3990213575222811,1.8783926256508516,1.832623433103522,0.3703928702404378,2.719929996827676,0.13328015511769925,-0.711519064779332,-0.7472125042240992,1.4435399452741482,0.029063061578386437,0.3919661454436792,-0.7173079938051704,0.3136796850619741,0.71502459917081,0.06641551766539736,0.6110887016638252,1.2155955611459466,-0.8035217968686563,-0.2155950909729008,0.29881565103818736,-0.4554599520523258,-0.7370080586732729,-0.8829167401005129,1.3947262458240641,-0.4288977530377384,0.3588633089928827,2.4243450424407778,-0.9218817568703579,-0.8823581537033508,1.243469398982153,-0.3547066422503121,1.2268007604123328,0.3947720845654773,0.08200578811682839,1.7510720672534796,0.30763713134847603,-0.6854649035487371,-0.09415035323706668,1.5178161729741957,-0.5749947520984833,-0.7517356098343797,-0.8565138313212369,-0.4312594649685069,-0.27335239188478433
