,SOS2,CHUK,STAT3,ZBTB16,RAF1,RARA,PML,JUP,MTOR,LEF1,EIF4EBP1,BAD,PIM2,MAP2K2,BRAF,MAP2K1,KIT,FLT3,SPI1,IKBKB,AKT1,AKT2,RPS6KB1,NRAS,AKT3,RPS6KB2,GRB2,STAT5B,MAPK3,TCF7,STAT5A,NFKB1,MYC,SOS1,TCF7L2,MAPK1,RUNX1,PIK3R5,HRAS,RUNX1T1,RELA,KRAS,CCNA1,ARAF,CCND1,PIK3R3,TCF7L1,PPARD,PIK3CA,PIK3CB,PIM1,PIK3CD,PIK3CG,PIK3R1,PIK3R2
CAL-120,-0.06812203037807682,0.5166852250413664,1.1823880415834602,-0.719355097646447,0.9048466647021476,-0.6946456312198175,-0.5174408935271138,0.5595667042609959,0.10579987820560988,-0.7343158379701136,2.8295765848030454,1.2055133346730489,-0.4191997495547208,1.9428200748275049,-0.5979925924579317,1.5889586870449508,-0.7547794870072253,-0.9636242688728792,-0.8999291706685328,0.7853695563017683,-0.19985279400177544,-0.4819424240854727,0.3613185847840465,1.5867513847782557,0.4364324540353784,-0.06629373241745093,1.7384334665473555,-0.5456975676340988,0.6544469534894845,-0.7283472121965591,-0.5702219753386879,1.4046785469175604,3.104120229567743,0.6091940496088567,-0.7324263095986365,0.254584764720762,-0.6868938023393955,-0.7875557925705607,1.082836190327067,-0.9419519815849586,0.17742717424225202,0.8623239999845511,-0.21530321338613626,0.03481131212472676,1.6214164799230069,-0.6406907280038789,-0.6682948357636368,-0.7959057088549166,0.9873660513528476,0.534576748726534,-0.4764869034774508,-0.7809640560641528,-0.8524172464873309,-0.3572494710380825,-0.3426310511824054
ETK-1,-0.05867897052132225,0.5239541577125508,1.7438699355205003,-0.6697256536149232,0.7020272276858314,-0.5552750246680664,-0.28532713275621,2.367520443823637,0.030525746305379513,-0.9141744006817121,1.9068952635097345,1.2912509513870336,-0.5284196552136594,1.5809167664755956,0.42995935860563744,2.02799378906126,-0.8995341592277388,-0.9711505643765824,-0.8994005055732288,-0.2222664049408303,0.1266592331092139,-0.5886272683587355,0.13359398314234994,1.9604995952736224,-0.5448795531082345,0.15068802743514942,1.965573307595224,-0.3387647363508943,1.1182205197694308,-0.6799690866837578,-0.3559293290429037,1.5244976134388952,2.12334269141489,0.4710837889353912,-0.40685866755726735,0.3975693338555972,-0.6071190517486025,-0.8197989690348624,1.1893851867654288,-0.9269311665815072,0.22592445980755305,0.6590952429722751,-0.6686715610223667,0.33932625638779457,1.1184704280462483,-0.6417876055405305,-0.6154459122395209,-0.6821935586469564,0.4094503601052189,0.037496706500950314,0.8786792874253792,-0.524460852626613,-0.8654864209671396,-0.4833683157757574,-0.4050677602198264
H2731,-0.13925938705960852,0.9321636329647176,1.7072739769559262,-0.5517493902843398,1.1135111322846425,-0.47237575295744605,-0.7070437547359029,1.2669401100120448,0.09506309060407568,-0.70005527769795,1.9738724136832373,1.3707944327634445,-0.6672814531286674,1.8069608813025064,-0.7754335933876804,1.3149922194525154,-0.7990885512099646,-0.5813454428262986,-0.7830881961099263,-0.14990082944574756,-0.15174020943164618,-0.6640179112916704,0.7095147448011573,1.804879139023512,-0.6239843608956496,-0.12140390871310765,1.7545902111161853,-0.1401897237723378,0.3118671424176911,-0.6241488090312866,0.2360184555419203,1.6759030277451683,2.4070746104530985,0.6304226359503814,-0.4728929667464719,0.4667006303610834,-0.21843605740755853,-0.8410884136853347,1.3957190977726834,-0.8391313586969206,0.00876718148268978,0.4822517483970864,1.0402213831302072,-0.11617673540724364,1.6224056262988529,-0.6443644194844482,-0.4026382012610335,-0.6094491946958189,0.8594187429000945,0.18336718453373124,0.6938202395765993,-0.37757563301429853,-0.8765333670274109,-0.4281227646593607,-0.15702108108980029
NCI-H441,0.5382853286208211,0.5561089125342571,1.5014529565639845,-0.7866914990965621,0.9307471911980078,-0.5311893528137506,-0.6112719390655897,1.9596129104416928,-0.1677459181529349,-0.8071681298860373,2.0113246292872944,0.8061616862941123,-0.8665852396747559,0.9329538478919084,0.477240781276831,1.8116381417690188,-0.8260121500360197,-0.9449641703687331,-0.8188450832272647,0.7690312459708287,-0.26570566958600805,-0.5854985495687144,0.6905172217716493,1.250040047216832,-0.6958193198758809,-0.10343686768118844,1.5628792001345369,-0.7010317711299326,0.8829574758666384,-0.7782275912055208,-0.6515728539950427,1.6885368679713544,3.0326177589054333,0.8117920748457881,-0.2899896005358914,0.6704127006499002,-0.04882182786853008,-0.7929647301950058,0.2209947943117495,-0.9741303292250812,0.3500745034258357,1.3593939234001158,-0.9946382067330696,-0.1939819066756263,1.4751263340395302,-0.4713064903986299,-0.7842548912083211,-0.6937991365151321,1.2268652508596756,0.3785433051934744,0.21620865356564167,-0.5048386655437213,-0.933630609859046,-0.07774390743676543,-0.28451003525850943
NCI-H358,0.4434159208745114,0.5403676801635996,1.2412322010036148,-0.7423406167038942,0.6072135995516039,-0.4895083699639651,-0.3629931904383639,1.852018929042975,-0.18179447286972125,-0.8607666460040573,2.5769456182139048,0.8463306973738598,-0.6740583998093793,1.082929831298524,0.047892795948571314,1.9452322977593564,-0.8228088194097652,-1.0006073444944767,-0.885605702033743,0.16141018418366074,-0.05201802325830348,-0.4248105610331739,0.9584815997677794,1.4746253607378723,-0.7232608504086048,-0.016874728128771672,1.8717155328633968,-0.4336123999064837,0.5908614322155727,-0.7404048738208631,-0.7055658087258647,1.722068530552285,2.640094624338945,0.925976895938038,-0.47749953642489595,0.30552863757628834,-0.3340558266769569,-0.8003529130190858,-0.039190101288340655,-0.9395446238568398,0.2051817638160682,1.707660961932456,-0.9509930810197224,-0.014021040959124124,1.5146227970828097,-0.2453339387280799,-0.7774258581244594,-0.6853147578752579,0.8113056012150509,0.2604488947523818,0.2390509842225588,-0.65216438457763,-0.8715621277889629,0.4416383048174035,-0.3759062541623136
LS-411N,0.15373766511871415,1.1454809662876608,-0.4778219953344822,-0.7895802491353743,0.6534312803956329,-0.6238893180304756,-0.6482585072735875,1.6111693503786961,0.042960892671571375,0.041122412538617016,2.086368659222855,0.6420848311174606,-0.6911307411205059,1.3183433692471571,-0.08196609676428873,1.8648442801490044,-0.9403160678035184,-1.0410170443571192,-0.8720482576181611,-0.09434969114365796,-0.24251542886789626,-0.6497916729249831,0.5501986175949979,1.3307944797542282,-0.8267961689333675,-0.3129192594756962,1.5186990991164293,-0.390602572483489,0.4836942612484981,-0.5123515972319975,0.03562052992751883,1.9274742460604932,3.256922672688148,0.6872106998083425,0.13458436643053967,0.5281396400601249,-0.659489282788308,-0.7380098373948586,0.7081041907948731,-0.9396584330224382,-0.12575313564745538,0.8977517412016167,-0.9197719789623336,0.08203770334224564,1.023387112447965,-0.7207817579785165,-0.7962468428638921,-0.7475944359462835,0.8412287390884277,0.23400217589226124,-0.0259192369810486,-0.8168373886640627,-0.8488851561535736,0.3625898147259357,-0.315113364159437
NCI-H2452,-0.2112724762202742,0.8335748759741254,1.5954613692428603,-0.7819869520594752,0.30033039646165405,-0.6389351905304508,-0.10728946580152607,0.800188098762293,0.1000301686244262,-0.7774081002410316,2.549781904090624,1.373646937202287,-0.7338615337567921,1.4594221269364345,-0.3329735262677015,1.7385066518646413,-0.8418407967047847,-0.9221202485118136,-0.8209578478937073,-0.05817698140061575,-0.2078611696528301,-0.6172414110572932,0.4517109810611117,1.1393357611865211,-0.3753643941962525,-0.1366643626530173,1.240538159782116,-0.3721415018933096,0.3383250667796434,-0.5264059606994035,0.3763542206489276,1.8671452599095533,2.8030084903483057,0.7666650003646698,0.043821517432791085,0.5485088606794144,-0.3944915813479914,-0.7810246909336291,1.1931770656516067,-0.9570972653190909,0.12648673917348285,0.5879673768544635,-0.4103268651490177,0.13900441631942434,1.04083962102019,-0.6865469766465245,-0.4925700193423024,-0.7947237574499483,1.1604717518938303,0.17486977984787494,-0.028636267821236117,-0.4429466925798285,-0.8109860852430577,-0.1596184972839978,-0.314793690336176
UACC-257,-0.2334447129826095,0.5411284211981153,1.5739822542273203,-0.8969327273944436,0.4626853245173175,-0.4581668227509965,-0.470049681085817,0.09501969486007286,0.2637950159070584,0.337385438404141,1.9143366692985904,0.5531892376610587,-0.6331513413004244,1.6389289008705468,-0.4590973762124978,1.4920891032672825,-0.8978719850451616,-0.9522660808196868,-0.8131472524437069,-0.2630518933393641,0.1034372484054456,-0.4156948757425929,0.09815858769069984,1.7438123860969132,-0.20350358457046905,-0.17367188494911734,1.879861540626689,0.03146888883022607,0.4198127773087068,-0.7633688974775368,1.080684349402253,1.4221700404381803,3.042809999428858,0.4226719388125876,-0.6206225138343399,0.7572535381033558,-0.8625127658580503,-0.6943889672456175,0.9897057775020668,-0.8907851775796045,-0.11633637393946088,0.461570293006893,-0.5012148145116703,0.17370790712272907,2.214618837818719,0.27933463228855104,-0.5104306070044764,-0.778322334675628,0.3312185599443601,0.6625406578276586,-0.7312608400165754,-0.0535754824600499,-0.8888615239730282,-0.1797654584160006,-0.23280851377457995
H2369,-0.000956360756488668,0.6751362027222036,1.9124331157963839,-0.7081401687078268,0.7248507230584516,-0.5751354943617135,-0.4417349864502672,0.3789485044501323,0.09366300668730927,-0.8093812838876036,2.422752887655032,1.3117809614958826,-0.4718328804236153,1.5689479178731216,-0.4941771265845692,1.6167083729494922,-0.8685035576510426,-0.8321668268538451,-0.8929331224331718,0.06951338730415428,-0.15119158549319922,-0.6524623508563833,0.5233412598879034,1.1337516076882892,-0.07910532007774926,-0.2712225576058132,1.5561468189968968,0.04796955440241511,0.26262041498512817,-0.7419374284012563,0.6890495523319093,1.967446970617737,3.1967860125076766,0.6442177574535978,0.0014695256899289535,0.3546276216895768,-0.41452175412863984,-0.7896764876803988,0.4120349900412952,-0.865947870527472,0.1114131103707035,0.8620638067442004,-0.6231182743167548,0.16017014510848818,1.3709257978228937,-0.691032607776449,-0.710836111215367,-0.6530905312043278,0.7841199206958448,-0.033848076739364866,0.023269513227662374,-0.37027626072364944,-0.7936449523991068,-0.3732720210721264,-0.3378489135883645
H2804,-0.5397462460605524,0.5183670561180405,2.0809172075853803,-0.8069823029931941,0.9891072695734257,-0.5321859932529439,-0.08356956216056588,1.0146192081342285,-0.03616029911559057,-0.7218601557418602,2.1653817609324166,1.282542486515042,-0.5991406433739979,1.3963003958057107,-0.6538816474444307,1.5377013449030346,-0.925819856357302,-0.8499624009054895,-0.8481519675535736,-0.10064538878499704,-0.07058561604041526,-0.6048940168676246,0.5736438157949247,1.5529699611461252,0.19688997202868425,-0.2523304976570964,1.7130625049092376,-0.4364199555989114,0.2628231971577309,-0.741868376361825,-0.2095350242094297,1.8783926256508516,2.719929996827676,0.3703928702404378,-0.3860374950805125,0.13328015511769925,-0.711519064779332,-0.7472125042240992,1.4435399452741482,-0.8898718325427974,0.029063061578386437,0.71502459917081,0.7996129831891549,0.29881565103818736,1.3947262458240641,-0.4288977530377384,-0.34315360644445136,-0.7494721950623374,0.3947720845654773,0.08200578811682839,0.6220531906245782,-0.6854649035487371,-0.8565138313212369,-0.4312594649685069,-0.27335239188478433
