,CASP9,SOS2,E2F1,PRKCB,RAF1,PRKCA,RARB,BAD,PRKCG,ERBB2,MAP2K2,TGFA,BRAF,MAP2K1,RXRB,PDPK1,RXRG,RB1,RXRA,RASSF1,AKT1,AKT2,NRAS,AKT3,GRB2,MAPK3,SOS1,MAPK1,PIK3R5,HRAS,EGFR,KRAS,CDKN2A,EGF,FHIT,STK4,ARAF,CCND1,PIK3R3,FOXO3,CDK4,TP53,E2F3,E2F2,PIK3CA,PIK3CB,CDK6,PIK3CD,PLCG1,PLCG2,PIK3CG,PIK3R1,PIK3R2
CAL-120,0.07865542888154624,-0.06812203037807682,0.32790480302444164,-0.8598842831717439,0.9048466647021476,-0.245701092160002,-0.6576972444283146,1.2055133346730489,-0.7831122737775845,-0.4455560067802904,1.9428200748275049,-0.6092177031557223,-0.5979925924579317,1.5889586870449508,-0.054527565360158736,0.897894373169827,-0.8108711616947499,-0.6083770142003273,0.13281732842615954,1.037374619196644,-0.19985279400177544,-0.4819424240854727,1.5867513847782557,0.4364324540353784,1.7384334665473555,0.6544469534894845,0.6091940496088567,0.254584764720762,-0.7875557925705607,1.082836190327067,0.008159790899920201,0.8623239999845511,1.7383689106713842,-0.8722352166658497,0.3197506965862288,0.7944034315970383,0.03481131212472676,1.6214164799230069,-0.6406907280038789,1.1238914087177814,3.1818716648663687,-0.7349239008595684,0.8971179553104909,-0.5585698658210594,0.9873660513528476,0.534576748726534,1.3976236845753012,-0.7809640560641528,-0.07873698009542318,-0.603285050180305,-0.8524172464873309,-0.3572494710380825,-0.3426310511824054
ETK-1,0.5480063931414073,-0.05867897052132225,0.6569210603493001,-0.7821007727003433,0.7020272276858314,-0.39963966733559103,-0.016800286908810802,1.2912509513870336,-0.7505054316116957,-0.25692367572956565,1.5809167664755956,-0.043790490134786766,0.42995935860563744,2.02799378906126,0.12013484547040915,0.8411051806982044,-0.9058640802043496,-0.563825336120889,0.6348291950463383,0.0054437813389850145,0.1266592331092139,-0.5886272683587355,1.9604995952736224,-0.5448795531082345,1.965573307595224,1.1182205197694308,0.4710837889353912,0.3975693338555972,-0.8197989690348624,1.1893851867654288,0.2563703512622036,0.6590952429722751,0.2541994168321927,-0.6102830971753345,-0.6711490341888755,0.2846415263079617,0.33932625638779457,1.1184704280462483,-0.6417876055405305,2.0792720085814533,2.057544437926905,-0.3081303706929966,0.6850352541015872,-0.4714329646357511,0.4094503601052189,0.037496706500950314,1.0800331132350227,-0.524460852626613,-0.029395606455651837,-0.02123732492865516,-0.8654864209671396,-0.4833683157757574,-0.4050677602198264
H2731,0.12263794802164875,-0.13925938705960852,0.5177485438566892,-0.7525382834330454,1.1135111322846425,0.6734231696706534,-0.7561373105263444,1.3707944327634445,-0.7608390346223795,-0.3953780678777602,1.8069608813025064,-0.7014364826271198,-0.7754335933876804,1.3149922194525154,0.17477094003623167,0.9892711025813736,-0.9116361372920376,0.023359137443755573,0.8427908994015534,0.04384943312830476,-0.15174020943164618,-0.6640179112916704,1.804879139023512,-0.6239843608956496,1.7545902111161853,0.3118671424176911,0.6304226359503814,0.4667006303610834,-0.8410884136853347,1.3957190977726834,0.6375308202159364,0.4822517483970864,-0.7543119097295989,-0.6971797055994557,-0.4935210873991371,0.8281703426975064,-0.11617673540724364,1.6224056262988529,-0.6443644194844482,1.6872586953599904,2.362112511297713,-0.27861377313300995,1.2669140046265763,-0.3115434098075781,0.8594187429000945,0.18336718453373124,2.2939955252623125,-0.37757563301429853,0.33049680357990585,0.11806006090506055,-0.8765333670274109,-0.4281227646593607,-0.15702108108980029
NCI-H441,0.289470294262159,0.5382853286208211,0.42023814981571295,-0.8297087830459828,0.9307471911980078,-0.3502615548914809,-0.6580636978140183,0.8061616862941123,-0.8452648290987299,-0.19612027036613047,0.9329538478919084,-0.2013946885358129,0.477240781276831,1.8116381417690188,-0.028827159470431744,1.2468846146313366,-0.8487197307466956,-0.4886535987066338,0.19038417122491855,0.22674945941727495,-0.26570566958600805,-0.5854985495687144,1.250040047216832,-0.6958193198758809,1.5628792001345369,0.8829574758666384,0.8117920748457881,0.6704127006499002,-0.7929647301950058,0.2209947943117495,0.057695025742484585,1.3593939234001158,0.8966215214129494,-0.5008271989965674,0.10045044798436274,0.1766372826272844,-0.1939819066756263,1.4751263340395302,-0.4713064903986299,1.5354084199012958,1.9335633505692351,-0.6383252117863865,0.8560007753692161,-0.3489623336376744,1.2268652508596756,0.3785433051934744,0.7812109945381533,-0.5048386655437213,-0.09686169429772952,-0.4323241623917872,-0.933630609859046,-0.07774390743676543,-0.28451003525850943
NCI-H358,0.013784054796122864,0.4434159208745114,-0.3890476597885825,-0.8365145975712129,0.6072135995516039,0.22820352238433414,-0.7095965490883617,0.8463306973738598,-0.7894832640413467,-0.276615071993994,1.082929831298524,0.028263105887126893,0.047892795948571314,1.9452322977593564,0.11409450583250895,0.9311363532586237,-0.8788600783596472,-0.4921119591465656,0.9406409299737692,0.14685955129146527,-0.05201802325830348,-0.4248105610331739,1.4746253607378723,-0.7232608504086048,1.8717155328633968,0.5908614322155727,0.925976895938038,0.30552863757628834,-0.8003529130190858,-0.039190101288340655,-0.4671022082327077,1.707660961932456,1.2308148728064148,-0.5921741610461079,0.29867094012627665,0.2351539355020517,-0.014021040959124124,1.5146227970828097,-0.2453339387280799,1.4156937848033018,1.9529142056956148,-0.8915542093576039,0.775742143866193,-0.7476521379711251,0.8113056012150509,0.2604488947523818,0.8655478010038485,-0.65216438457763,-0.3251140594548515,-0.15695661910805933,-0.8715621277889629,0.4416383048174035,-0.3759062541623136
LS-411N,0.1514529122364529,0.15373766511871415,0.031193218866217506,-0.8145502558515936,0.6534312803956329,-0.08130942838191382,-0.7844542540052291,0.6420848311174606,-0.7835736997112148,-0.2018838250976802,1.3183433692471571,-0.3314921626836824,-0.08196609676428873,1.8648442801490044,-0.17478431675755485,1.0678326937871672,-0.7660179098701217,-0.36066821029955065,0.3376851111306234,0.8927168728454267,-0.24251542886789626,-0.6497916729249831,1.3307944797542282,-0.8267961689333675,1.5186990991164293,0.4836942612484981,0.6872106998083425,0.5281396400601249,-0.7380098373948586,0.7081041907948731,-0.4244668666716426,0.8977517412016167,-0.25282588486265795,-0.9439667272281176,0.4551457735311432,0.3365362873304771,0.08203770334224564,1.023387112447965,-0.7207817579785165,1.6180808401740467,2.201801686746017,-0.8085479604313023,0.4682349388417056,-0.14940605467725307,0.8412287390884277,0.23400217589226124,1.3553398083394728,-0.8168373886640627,-0.35371910956130226,-0.5580807539549724,-0.8488851561535736,0.3625898147259357,-0.315113364159437
NCI-H2452,0.04007327900862855,-0.2112724762202742,0.3041495614808448,-0.8497532105166448,0.30033039646165405,0.10019246927535053,-0.7349405974698879,1.373646937202287,-0.783535283218563,-0.5207790630635061,1.4594221269364345,-0.7444210178542818,-0.3329735262677015,1.7385066518646413,0.040744962115985835,0.9356370129788464,-0.9068535191205244,-0.5127894870668956,0.6201604646713844,-0.024312952134912892,-0.2078611696528301,-0.6172414110572932,1.1393357611865211,-0.3753643941962525,1.240538159782116,0.3383250667796434,0.7666650003646698,0.5485088606794144,-0.7810246909336291,1.1931770656516067,0.5173674517898647,0.5879673768544635,-0.6598267040257796,-0.7510076481491545,-0.476294376159715,0.5267342789728768,0.13900441631942434,1.04083962102019,-0.6865469766465245,1.5732719635422892,2.1959186990872066,-0.7462976592883931,1.0396254934160265,-0.39980869183343937,1.1604717518938303,0.17486977984787494,1.7587514334005387,-0.4429466925798285,0.4012792702266202,-0.2834564089912421,-0.8109860852430577,-0.1596184972839978,-0.314793690336176
UACC-257,1.3121664420007093,-0.2334447129826095,0.34056586846125303,-0.6537941516128597,0.4626853245173175,-0.5030246240113396,-0.6266438559160841,0.5531892376610587,-0.7315298695396689,-0.4102088832137711,1.6389289008705468,-0.7093764866268463,-0.4590973762124978,1.4920891032672825,0.17675919300447332,0.9912632604625052,0.17045368343760925,-0.005827810252850925,-0.09039034147162864,-0.03566578756167351,0.1034372484054456,-0.4156948757425929,1.7438123860969132,-0.20350358457046905,1.879861540626689,0.4198127773087068,0.4226719388125876,0.7572535381033558,-0.6943889672456175,0.9897057775020668,-0.6707810977798198,0.461570293006893,1.1554246127560468,-0.6022717291800007,0.479605537949401,0.3719545128496801,0.17370790712272907,2.214618837818719,0.27933463228855104,1.0728506476550417,2.3613011013151404,-0.6644920573003906,1.1440396573877514,-0.19745472746883452,0.3312185599443601,0.6625406578276586,1.1761500200022124,-0.0535754824600499,0.531666245914294,0.02431113942042716,-0.8888615239730282,-0.1797654584160006,-0.23280851377457995
H2369,0.11026183624539156,-0.000956360756488668,-0.1441332652932474,-0.775919823797341,0.7248507230584516,-0.32850586303632456,-0.8730722349681572,1.3117809614958826,-0.7666078629955184,-0.4993333594409674,1.5689479178731216,-0.5543230743008626,-0.4941771265845692,1.6167083729494922,-0.11826882964560258,0.7374576879045716,-0.9158871047034072,-0.7180307897257965,0.520582482439928,0.07003453185192167,-0.15119158549319922,-0.6524623508563833,1.1337516076882892,-0.07910532007774926,1.5561468189968968,0.26262041498512817,0.6442177574535978,0.3546276216895768,-0.7896764876803988,0.4120349900412952,0.6707632770186206,0.8620638067442004,-0.23366881837931466,-0.7857449848815541,-0.6873494160430205,0.6180327659173029,0.16017014510848818,1.3709257978228937,-0.691032607776449,1.3528940863525312,2.0259994531597103,-0.7192129739211564,0.9159647272160047,-0.6864766641943135,0.7841199206958448,-0.033848076739364866,1.2609060513835753,-0.37027626072364944,-0.009231463053394808,-0.24414780742350276,-0.7936449523991068,-0.3732720210721264,-0.3378489135883645
H2804,0.04349367378848885,-0.5397462460605524,0.5714986306406094,-0.8288123207029022,0.9891072695734257,0.2425843506999755,-0.7302470474670961,1.282542486515042,-0.7279161867896468,-0.4187133547404197,1.3963003958057107,-0.7384859181041742,-0.6538816474444307,1.5377013449030346,-0.11160402184836436,1.1003552511536838,-0.9088100902981688,-0.3787268620098064,0.9398662884382416,0.13062162132632354,-0.07058561604041526,-0.6048940168676246,1.5529699611461252,0.19688997202868425,1.7130625049092376,0.2628231971577309,0.3703928702404378,0.13328015511769925,-0.7472125042240992,1.4435399452741482,-0.07437334620276796,0.71502459917081,0.3136796850619741,-0.5519043402942154,-0.3067890668328833,0.18235206873982868,0.29881565103818736,1.3947262458240641,-0.4288977530377384,0.8585047977535746,2.4243450424407778,-0.8823581537033508,1.243469398982153,-0.3547066422503121,0.3947720845654773,0.08200578811682839,1.7510720672534796,-0.6854649035487371,0.3455135412482723,0.990290643900702,-0.8565138313212369,-0.4312594649685069,-0.27335239188478433
