,HLA-DRB5,HLA-DOA,HLA-DOB,IL3,TNF,CCL11,EPX,FCER1G,MS4A2,HLA-DMB,FCER1A,IL9,CD40LG,HLA-DPA1,CD40,HLA-DPB1,IL13,HLA-DQA1,HLA-DQA2,HLA-DQB1,RNASE3,IL4,IL5,IL10,HLA-DRB1,HLA-DRA
CAL-120,-0.9288026821617223,-0.7261123540613651,-0.9160101860392476,-0.8994377565430001,-0.7960448465884994,-0.8934382553497863,-0.9234496850519612,-0.6845226993068297,-0.9047318988340928,-0.6592894134390843,-0.8084997843454307,-0.7960037377436855,-0.7687601131324809,-0.7186160878578132,-0.5576504324901532,-0.7833913662810502,-0.8229827322127975,-0.8863917062154072,-0.7695623213158388,-0.8693882359352185,-0.9217358322228304,-0.9004650618664787,-0.8233339327189736,-0.8612488229577334,-0.3030394486922637,-0.8666002091958132
ETK-1,-0.984755118746058,-0.7524780429829733,-0.1944405511326988,-0.9276088500659068,-0.7023522070818511,-0.8686325574629017,-0.9377001233705236,-0.6968261093575266,-0.8981989975718403,-0.4461569257670246,-0.8253341755724072,-0.5678385848715408,-0.7638539419225092,0.2588926877110535,0.6070148906749906,-0.6055782433258069,-0.9212578077960859,-0.8896495014976784,-0.7726143151305724,-0.7567333700784573,-0.8185845500291684,-0.9453673687087992,-0.8932753925570729,-0.7826270047663813,-0.41606518151593214,-0.8543092736769233
H2731,-0.9400371247739108,-0.8202575197624979,-0.883869374469807,-0.8165008511908303,-0.7348817399151673,-0.8618169720147444,-0.8533778836328316,-0.5020663678781904,-0.8014155892628447,-0.5796407278559721,-0.7072158380727187,-0.7465673620588572,-0.7731865082012005,-0.6561572966141964,-0.6895267854373145,-0.7663550608436814,-0.934435959066167,-0.6927626578906396,-0.7799211710705529,-0.7591457122466052,-0.7664324386937919,-0.8769121903636289,-0.7874110139690391,-0.7835768619530675,-0.3716717343123031,-0.7333644453750829
NCI-H441,-0.8968224660415617,-0.7531394151779213,-0.7537541549331402,-0.9535135995222874,-0.8085461427863829,-0.9068360811758004,-0.8720420198884832,-0.6245888448643261,-0.9494275129626732,-0.4442559378080494,-0.8151925651555585,-0.8409259823273918,-0.7614796223259118,-0.6148468622559222,1.4184242919383727,-0.7819368358539357,-0.8322702465234134,-0.8584490234063792,-0.8340892319172492,-0.8172150130650189,-0.9346720968171198,-0.9515658388799888,-0.8637928097333835,-0.7184505996672111,-0.3504907045571886,-0.7687515060473901
NCI-H358,-0.9579368498027392,-0.7448174949893543,-0.935024358000362,-0.8763311445862804,-0.6749680092768712,-0.8090573499095013,-0.8310268784432162,-0.8833264932913252,-0.9688865419060032,-0.5528645269631969,-0.9092396614769612,-0.8553262520062253,-0.8506355339681615,-0.7024505022243912,0.4866417270486959,-0.7939284246922921,-0.8707561687246166,-0.8881890639704929,-0.7900121129767509,-0.6033051918070031,-0.7592068328029471,-0.8778019986305227,-0.8158322970225148,-0.7512908035504682,-0.29855361565371225,-0.7504576833492028
LS-411N,-1.001654378960626,-0.7034698719116148,-0.9271946007318421,-0.9084750744950856,-0.8362563767125443,-0.8178026656066434,-0.8991940934475892,-0.768425869339424,-0.8479023730602907,-0.5340121456893316,-0.8508478240688088,-0.8232493113646847,-0.8075630142695305,-0.675947476283666,-0.6643157511941148,-0.7508256237707306,-0.8691027317021834,-0.8548406751021973,-0.7708360108352759,-0.6964791106037422,-0.9424740435098392,-0.9349729950174898,-0.8199187879259914,-0.9131101316848714,-0.3545671715888125,-0.9398953528320176
NCI-H2452,-0.9235996250579944,-0.6932223512252182,-0.8302953562405029,-0.8740037760599944,-0.8109661678998319,-0.8674725536981313,-0.8563549385249714,-0.6772304588305034,-0.8628855276136647,-0.6834287636121772,-0.8003096190769529,-0.8264485219483709,-0.7491181950761001,-0.6541186729486208,-0.5802703877303546,-0.7530530931956376,-0.8542825412058482,-0.8703745846653167,-0.7854294152968134,-0.8630561963519834,-0.8708243455398688,-0.8484711131341821,-0.8907580049170137,-0.8612912367352236,-0.2198996546808584,-0.8143271711138356
UACC-257,-0.9664580248937836,-0.7701024778010186,-0.8834764264891156,-0.894440685554085,-0.8561805916353357,-0.8655918891199091,-0.9463019192353692,0.16523181045955673,-0.8457024397463853,-0.09405933392250213,-0.6854905796149636,-0.8099581260711194,-0.8633853463532406,1.5364023315817334,-0.4850017329686339,-0.2418211248411975,-0.90300815651968,-0.76770636684338,-0.8224992124889512,-0.7580962666589979,-0.8413048029562674,-0.7581200888943073,-0.8939545028827834,-0.8920578432397008,-0.21507718968099265,-0.8939311604825204
H2369,-0.7117642775368491,-0.7754905530920213,-0.8238784540909659,-0.8025323211085524,-0.6524406428128969,-0.8299138495443213,-0.9645435993793712,-0.6066297245018547,-0.89622277302461,-0.6257098877742256,-0.7880042399113367,-0.8579761718225416,-0.8470138472800903,0.14937128887264814,1.1656761104008115,-0.4256022144562254,-0.9090480271050836,-0.9228917328659338,-0.7831925952817068,-0.8610134863280102,-0.8201740531690197,-0.9214037990745372,-0.8050346205886096,-0.8029789080860222,-0.002064522264934839,-0.6501375324266279
H2804,-0.7861038816953004,-0.7587381633767756,-0.8435228065126127,-0.8522200378404104,-0.7569817100754294,-0.8671042458508401,-0.8591337523730931,-0.6009746940885855,-0.8778292335217068,-0.6224152429645899,-0.7710602305432759,-0.8318606603646534,-0.7945739741832494,-0.5602730352533954,-0.6056697614110277,-0.8040031683478739,-0.8854406970772007,-0.8481626154328561,-0.7694478806231558,-0.7296121172127078,-0.8520099978719534,-0.8600650370448563,-0.8184041970951914,-0.7587371159916948,-0.2953946178015958,-0.7757101537779334
