,PDHB,VARS2,IARS2,PDHA1,PDHA2,LARS,LARS2,VARS,BCAT1,BCAT2,IARS
CAL-120,2.129113910098035,-0.4009305867783718,2.0400131140795983,2.2746743978824884,-0.7913958158707727,1.9426492728430016,0.04396424771478126,-0.2054871204565886,0.7192170148902866,1.7498041398137345,2.793048857066413
ETK-1,1.9694578551405724,-0.06306753232746322,2.047784763275454,2.0229226427707565,-0.7950732528818141,1.04208473300273,0.28087919185061644,-0.3687920110229561,0.665562533433248,1.4629094962344849,2.3065495558625537
H2731,2.5741114433117427,-0.3344621801983957,1.9286957901986297,1.7385554420349525,-0.6847620216079526,1.4274948200926327,0.42408959471632096,-0.05727529130775585,0.9071461872471372,1.7521847267666877,2.7011237512990887
NCI-H441,2.085754279157852,-0.21773986071728024,2.290418910842304,1.550025455352956,-0.744539335403213,1.649305562138767,0.2809599202822051,-0.11195712810224252,-0.8991613505454781,1.3668722670779156,2.711107617186001
NCI-H358,2.5138983457038235,-0.4185795947527173,2.233193301369072,1.8354555785963491,-0.7073646640704947,2.1572627917835674,0.21247440819604016,-0.1535437737605347,0.8317497613301831,1.4026131939793216,3.159378500887618
LS-411N,2.120328674971533,-0.3350630317922445,2.2800109236392463,2.30705855578937,-0.6253621693052838,2.084005056991717,0.7099957756926413,-0.3897896915303628,-0.7851470226967373,1.5617535069798816,2.871885180831808
NCI-H2452,2.0114756152337585,-0.11021608386551672,2.236463152001472,1.894371823558977,-0.8068671942066873,1.834552260779717,0.03451261277223404,-0.11011563767418753,1.0677903167218352,1.1098315859425276,2.581893202064071
UACC-257,2.2758768155320377,0.09121899509951978,2.220305802957768,2.0769313578495594,-0.7087559158685979,1.5938965767490114,0.7823320459441132,-0.018826279049648127,-0.7601963545932108,1.3110453352042768,2.261091323379183
H2369,1.7909378667035558,-0.4572744415920391,2.1787964552077344,2.0828258536291493,-0.7567412382872525,1.9453951800298075,-0.008073109344651443,-0.3691866774056637,0.7515517412600571,1.371292059450442,2.8141178487489755
H2804,1.8461544554052167,-0.035531938321243184,2.325273187015328,2.176621722730561,-0.8023832865305672,1.6344614915073894,0.4243060002043492,-0.30066643981821817,0.7989182629046131,1.5322031742919489,2.475023805030257
