,CACNA2D1,CACNB1,CACNB2,CACNB3,CACNB4,CACNG1,TNF,ITGA9,IGF1,RYR2,CACNG8,LMNA,CACNG6,ATP2A2,CACNG7,ITGA4,TPM2,ITGA3,TPM1,ITGA2B,ITGA7,ITGA5,EMD,ITGA11,PRKAG2,DMD,CACNA2D3,CACNA1D,SLC8A1,CACNA1C,TNNI3,CACNA1F,CACNA2D2,CACNA1S,ITGB4,PRKAG3,TNNC1,ITGB5,ITGB6,ITGB7,ITGAV,ITGB1,TPM4,ACTC1,ACTG1,CACNA2D4,MYBPC3,TPM3,ITGA10,SGCD,SGCG,SGCA,ITGA8,SGCB,CACNG2,DAG1,CACNG3,TGFB2,MYL3,TNNT2,MYL2,TGFB1,PRKAB2,PRKAB1,PRKAA2,ITGB8,PRKAA1,TTN,ACTB,ITGA6,TGFB3,ITGA2,ITGA1,CACNG5,CACNG4,PRKAG1,DES,MYH7,MYH6,ACE,IL6
CAL-120,-0.43890455747611457,-0.7780059351957473,-0.8395182290297314,-0.7645283991724643,-0.8731321937813346,-0.6501986940714973,-0.7960448465884994,-0.8898567894647326,-0.8072227247635029,-0.9024266127157085,-0.3679482142878987,1.7174056553095758,-0.6087285286012957,0.6306652163146815,-0.7048274952878715,0.0463206859465791,1.1801642539262005,0.09244478435230967,0.3141449700412899,-0.7463849057685006,-0.8347563335725519,-0.6147335707199766,1.3905482903291737,-0.7728669401824929,1.5412017188468663,-0.8115579148242372,-0.4769036706918139,-0.9907102819046646,-0.3877192667482632,-0.9096473438901092,-0.39069759561750383,-0.6423919249589134,-0.8076118464901291,-0.7460302155710885,-0.2275309154240783,-0.7387477685862077,-0.41441986201197295,0.3883973049934869,-0.9504517289521606,-0.6833406302030632,-0.3249023251645329,1.9362940560627209,1.5478170434096294,-0.8051997810969859,3.5671285504874595,-0.8244274370894245,-0.7506953240710694,-0.3446699184133004,-0.8736110612135684,-0.8735725981834109,-0.808954414095566,-0.8907446709099556,-0.8076833799288934,0.6970337123392631,-0.9772357365253898,0.1850380043114158,-0.7238219738513431,-0.7249845268875778,-0.850351981614229,-0.7699834020815386,-0.8088025668073281,-0.3421328614785551,-0.1644111295093322,-0.004000270904524603,0.4122164652513519,0.012600235798529768,0.08848128348421973,-0.7353259491376847,2.801423410907538,1.7626247190569757,-0.8940765440331558,0.9815055746181393,-0.8311807084052381,-0.6625734840247514,-0.4536621496392934,1.4047927504865414,-0.4598573273870936,-0.8594275002853006,-0.6387823563915337,-0.6547558300415883,-0.3737713803047819
ETK-1,-0.3350835607808205,-0.7042472715784823,-0.9223631387836908,-0.7022338963272128,-0.930983853934722,-0.6604678176561867,-0.7023522070818511,-0.932776450369254,-0.8030587673844656,-0.8747381211440322,-0.6858169516617552,2.098619154504864,-0.13631254725140826,0.5861406057500861,-0.74599238697898,-0.8412185989609842,1.0281782009642069,0.14229359249513296,1.1940443977846793,-0.8278505429900913,-0.6080747072355374,-0.6047509348712464,1.4831369019917457,-0.7192418504144732,1.4675757824436697,-0.6770317018249596,-0.7624530635027552,-0.9046864726741418,-0.5495180006821492,-0.9406139743340124,-0.6242681407618489,-0.6458546950074215,-0.8761977077461046,-0.7162140049205141,0.11170666993172253,-0.6964085601467729,1.2032126335050048,1.6761937744810147,-0.09099042768044356,-0.6837527206691977,-0.2504136842326495,1.986350673626605,1.7115353882158084,-0.8932590836057512,3.740175053533856,-0.8626012005898013,-0.7593844679098519,-0.31044806547270193,-0.8952298221326339,-0.8655485151528997,-0.9168942466481076,-0.9146400282932556,-0.7915083879769759,0.19053196506621636,-1.0489302468565924,0.3299103086303,-0.7160632140737101,-0.5004653069159419,-0.7633248796886237,-0.8954633185596399,-0.8791581110890248,-0.4772448275451359,-0.0076666351872803065,0.2106094651793089,-0.35036539958618884,-0.3830943338352469,-0.08779194387465454,-0.7465988380648302,3.1976371415033866,0.6773146618679514,-0.8719332934277084,1.158777661994942,-0.797241872555165,-0.711550758351103,0.043974507307703616,1.456402369358036,-0.4032831921643682,-0.6753024977508897,-0.6563525542399076,-0.7050571350640149,-0.1965722444884984
H2731,-0.4419855376037741,-0.7492634031879897,-0.8708786002251865,-0.7433040698502379,-0.8949232330395672,-0.7729472933560718,-0.7348817399151673,-0.8886400288804981,-0.8316779620047159,-0.8092912710275407,-0.6531606051973328,2.0742772960205507,-0.7809544774050009,0.828407456310817,-0.7544935423939109,-0.8434992976957904,1.2103078698405811,0.7837906112639994,0.6408509457202389,-0.7951304376319235,-0.4988833430028888,-0.3956673519694872,1.3332320907657913,-0.663911835440769,1.5677569429426284,-0.7676415186042275,-0.746730040102361,-0.8801738949542911,-0.6644018577987867,-0.8554280541743314,-0.6169326760072985,-0.5288675635040292,-0.7183828885231089,-0.7149518126991187,-0.06494490322567069,-0.7898006568738986,1.4158567056100917,1.6754394428385695,-0.964148410680808,-0.7574489228614882,-0.4058102582342173,1.724921573681595,1.9673594856518508,-0.8120389194660595,3.6505503333987352,-0.7843778286432541,-0.6409704201899716,-0.22176120465675894,-0.8431261690358852,-0.8244354438632738,-0.834848507776793,-0.8943560602294601,-0.9217063530699432,0.7738385692822329,-0.928268104521702,-0.09762758287034104,-0.7489439344403839,-0.6053908314727988,-0.8276181769651468,-0.8344592046800349,-0.789847640269141,-0.4709955729403355,-0.5203380290643352,0.4153027554789304,-0.5539231051055934,-0.7194668068953589,-0.2407883663596755,-0.7235603283533831,3.1420449715854173,0.16238917705883815,-0.8689131667080494,-0.6302731689570757,-0.9642679456231472,-0.7230439602441675,-0.21065644088637087,1.4826315283167195,-0.44740016885360656,-0.8026479601029951,-0.28027962990338,-0.6648147116425505,-0.6020014852698086
NCI-H441,-0.31796936112451096,-0.5862642300636309,-0.8517064433976049,-0.8261795787724696,-0.9211853314390626,-0.7233074614956947,-0.8085461427863829,-0.9231008913595159,-0.8159873416004902,-0.8876115942704743,-0.6947436315989206,2.077323623188852,-0.851938037725642,1.0321427913906684,-0.7153070605689378,-0.8283513602185241,0.8249122703166578,0.6606923606965248,-0.6055709846701296,-0.7578041667158513,-0.7286908332028835,-0.6442147175010112,1.1694723403665443,-0.735198943054164,0.8771764902191502,-0.8262691841458206,-0.6976458244374589,-0.8859511489369415,-0.8056349530192672,-0.8990277767201378,-0.6354291699891311,-0.5400976558176731,-0.8581534514313993,-0.7689758557542743,-0.23134993390509834,-0.7641255056549586,-0.33268753382756244,2.0309736513607075,-0.0977785159145014,-0.6057467446978729,0.36323562430378215,1.457650413631172,1.5952169202671949,-0.8798344706605695,3.7680420128006427,-0.8195150252728443,-0.7447199594199406,-0.4951338006207405,-0.8612223207671597,-0.8404174317571933,-0.8603843635794118,-0.9282607153491024,-0.8460362741507208,-0.19840055759921352,-1.0333860438532296,-0.08184284286888062,-0.7111257436554361,-0.8725783332915343,-0.954414442619702,-0.9012516635157496,-0.8651810955590382,-0.21078299801698866,0.07552492422747012,0.5129836336571485,-0.8029768408507878,-0.780389097883672,-0.15000151283089588,-0.6607523786262133,2.722534048146595,-0.3827935803054596,-0.8708206883311798,1.598275884735909,-0.601976498192727,-0.6569942642242851,-0.7749228066574851,1.1620805281537243,-0.5398454599005326,-0.8149660250643935,-0.4706345279481176,-0.7265536980623012,-0.6521247317943243
NCI-H358,-0.3648211326103175,-0.598054806758999,-0.8903192725350131,-0.8439602523442088,-0.9012151652526368,-0.7974144415898017,-0.6749680092768712,-0.9368408092824944,-0.8430757035586279,-0.8530121610922967,-0.6759717381513515,2.1634121308121594,-0.7749633021028141,1.0610886010680536,-0.7402796139853243,-0.8529473618444616,0.4870845557217177,0.7599374948231941,0.1537407416958715,-0.810371838829991,-0.7347344853878516,-0.7346874619960376,0.781196599152279,-0.8193286147238046,0.6379410574691077,-0.5981327728564066,-0.655813358457359,-0.7818958344120408,-0.5702252547356181,-0.9460043120237801,1.3475716757125766,-0.6760813010331371,-0.8602298956470043,-0.7481439644542967,0.04807386379134726,-0.8143200813973697,-0.6901225157214996,2.273608539439841,0.9707947336220538,-0.677239621147217,0.0075125862331092905,1.5239940513637609,1.3863924060511827,-0.9334695911768114,3.6348973990331066,-0.8683812658196267,-0.7585639347362142,-0.3479501716288497,-0.8812507836393977,-0.9078704656130906,-0.8543528693887047,-0.9509930810197224,-0.5797531904033443,0.20840688667828305,-1.0171369175817508,-0.17937727646212165,-0.6451950205110599,-0.7282840110169696,-0.8387497281504982,-0.7352996436609398,-0.8517946538762851,-0.5557874405944584,0.32331812055149395,1.149764706313241,0.2782418584949869,-0.8204097661918316,-0.191169079070174,-0.6516501076366941,2.1565153807355792,1.4240770666678275,-0.7138158543671527,0.5636094664307233,-0.7848845321576169,-0.4561657527911494,-0.6661142437635524,1.4980373719457445,-0.547197384560142,-0.6660928714112917,-0.6299473443855863,-0.7525371933113173,-0.5511876418501324
LS-411N,-0.4803724274044327,-0.6727695828046402,-0.8823544059716145,-0.7055576260362522,-0.9433092755541606,-0.6645800436690207,-0.8362563767125443,-0.8412368095405361,-0.7632984306223138,-0.8724124974515653,-0.5848951913232526,1.0716639125563974,-0.8282515357898843,0.5637763275063523,-0.6631300271471516,-0.8828366255160023,0.017108894085465266,-0.4473638778822975,0.3306830300109347,-0.8113032324977462,-0.5543206783141336,-0.7128955108230509,1.38949801442925,-0.7196081735638975,0.7166444263102763,-0.7995721870528756,-0.7724010121569267,-0.7788145351953081,-0.9084565062305912,-0.9629545114112122,-0.7741791349108627,-0.6477660221705167,-0.8297370270048827,-0.8770582950763355,0.02366492810300772,-0.6966995683431338,-0.235623525523618,1.8246735394365807,-0.5546972825022601,-0.6147590322956695,-0.691349576327335,1.403993183042962,1.5377567853685257,-0.9764836863751694,3.5833569055260885,-0.8437166071129921,-0.6853884966558288,-0.3400952913343228,-0.8762057316653841,-0.8915056773548522,-0.7840985841400532,-0.9550770718933216,-1.0002318400670054,0.6077342524992663,-1.0268785767421305,0.05299593983197013,-0.7269379063845873,-0.913979860463824,-0.9000579849934074,-0.3885017719763353,-0.8234898424536348,-0.4801150865267178,0.23586858864692095,0.0794459648947326,-0.9011536684245764,-0.6372759080325954,0.2575405535559408,-0.7590283877720718,2.7207517149905325,2.317277902581062,-0.8593614077875843,1.3531190597197635,-0.9552844966595571,-0.6611607669130959,-0.607499212641383,1.715277180609751,-0.5678425067983665,-0.8146630114608698,-0.6453596158750179,-0.5845852233313754,-0.8756833709705798
NCI-H2452,-0.2297662579040001,-0.6870822807454856,-0.8066169111425849,-0.7133619751839321,-0.8278957227590668,-0.5745289263984732,-0.8109661678998319,-0.8468480802578316,-0.8152370417214918,-0.8519976731056425,-0.5549727103202671,1.9297954815956218,-0.8353249135235741,0.8641375800425677,-0.7091937189080644,-0.8850464660893457,0.9742221811538768,0.5473894113460871,0.6804499637885314,-0.7045856509463503,-0.6578489438077979,-0.049835348078982565,1.3857860992494841,-0.6277567566161966,0.8255416582507507,-0.4989767625878773,-0.6757227940782174,-0.8485252980034506,-0.7574174425779495,-0.8775058155462905,-0.6316472280092845,-0.5221395563338193,-0.7955536501432809,-0.8814260817712796,0.012907220933069945,-0.7228390668366017,-0.5219957936100561,2.3945588510370017,-0.9360898956769113,-0.8298482889741817,-0.09795792891079326,2.7055822487808885,2.139546829484261,-0.8579958131443187,3.616943143877368,-0.7709692774767869,-0.7227433153782171,-0.2845907737811731,-0.8870104622144347,-0.93552061177719,-0.8165749180267972,-0.8507964145004464,-0.7492338948706266,0.2863206939590443,-0.9657255521233676,0.09932572322907987,-0.5726325031573226,-0.8024415662779262,-0.7507570533055659,-0.7572431245393845,-0.7620606139492843,-0.2893402887869656,-0.41010664197563795,0.3769179873469711,-0.6340186954059567,-0.7135298305055825,-0.3432883985421872,-0.7177358597450979,2.9035893667150847,0.7442930653530424,-0.8535497456185637,0.5732222878492852,-0.9462875254497688,-0.6656199337046214,-0.2888196281470741,1.6908668129961095,-0.4348996395261116,-0.8154410042531851,-0.5945911846368669,-0.6279784854902102,-0.7536820051533711
UACC-257,-0.3198848697700779,-0.7261344644023205,-0.8455656589684633,-0.8191729968730544,-0.8155307190994449,-0.70655023133971,-0.8561805916353357,-0.2699405710783969,-0.8052434929270647,-0.9299135269938684,-0.5406390225271187,1.8437340263295865,-0.803737205031325,1.2936302650171558,-0.6567815439381395,-0.4921101936854054,-0.41650714893881374,-0.5788268549552484,-0.4066945389120436,-0.7305566584646387,2.2190017358918013,-0.669300425479718,1.4470749540560353,-0.6901490174055535,0.4392955335958886,-0.7373248480487512,-0.827158196346645,-0.7221869948653433,-0.7714655562408,-0.8723915852474939,0.00046159288183046817,-0.53828235067554,-0.7099277300209418,-0.7265335269072044,-0.7445107636831466,-0.759198888690271,-0.5336019622842185,1.8671201638351391,-0.8841587635042452,-0.6713725398644114,-0.2348571028103196,0.7068001751855457,1.438804759428186,-0.9679808416247582,3.734232260423753,-0.8082355025067636,-0.7892908988243398,-0.2952991789222489,0.1203117510650938,0.3727667272244231,-0.9120078838300354,-0.9386579297222742,-0.7514883896860179,0.30759600317242364,-1.023416946445168,0.007792358489302232,-0.8342639753598267,-0.8451090454371593,-0.7952302465451294,-0.8023738097892542,-0.7809709074155805,-0.40015803045480974,0.1942040722491152,0.10548403064918087,-0.7220897666679856,-0.5973736892789753,-0.4205848501537541,-0.7696315771348898,2.7662245055215413,0.8039149994715615,-0.7746526530408264,-0.13688359332952854,-0.8116126515012576,-0.3758408054628427,-0.7150274882217929,1.7758398808283178,-0.4604912701591785,-0.6918065237414436,-0.6525001189351965,-0.664800406897105,-0.7433212368554334
H2369,-0.3583181666972049,-0.6848445271361532,-0.8700919363522939,-0.7525531406590942,-0.8960884826527384,-0.8910729947972235,-0.6524406428128969,-0.8602707582554839,-0.8009926084809159,-0.891115137418317,-0.5014983336530787,1.6170718044988983,-0.5958000339480174,1.3280056350465368,-0.7328346846018983,-0.8974000675174708,0.8813015624583144,0.1759465083225166,0.838333452790923,-0.7700974578917387,-0.5537881165513919,-0.3800312398423048,1.003210152154461,-0.7692990151096505,0.9620070518756622,-0.4694788817496065,-0.7757295226362455,-0.8844340190125195,-0.81369268506885,-0.9149498472120232,1.0575729019325435,-0.6429222863105994,-0.7033635169066418,-0.9269051305602408,-0.6271239351400193,-0.8296161693893063,-0.7043821053102319,1.331304289508258,-0.7860802038729654,-0.7230605388286809,-0.1454806744113722,2.1225187970515003,1.930415714995076,-0.8012149472166694,3.4447953907626347,-0.7886731877958917,-0.8627875282248563,-0.4290881931158256,-0.8869023192169447,-0.8741616935724007,-0.8270106845303858,-0.88592450758802,-0.8842821149031279,0.7224856622755118,-1.0786752525884309,-0.22856302068405934,-0.9032453345613592,-0.19723703169163298,-0.824970684111702,-0.8238104929538244,-0.820660210893078,-0.4671991782851333,0.17136625341300293,0.9319090738360136,-0.1956123991674326,-0.8183694037484261,-0.14250455278206675,-0.6768131852387822,2.821717945768678,0.4843786115017885,-0.8495230600585891,0.8507868465206296,-0.8164007612996992,-0.6092727930017379,-0.7137932467940855,1.7764159200367473,-0.5911216681232391,-0.7043760631603744,-0.5182370606205001,-0.7597506049050013,1.5933799242731814
H2804,-0.3120608328297861,-0.6925096927452905,-0.8226459588178195,-0.6840536786556686,-0.9433194533324551,-0.6576742885157884,-0.7569817100754294,-0.8773002181895229,-0.8154948988360905,-0.4054259566881213,-0.5514806672892354,2.335994649576475,-0.3394647441991134,0.9413676559474444,-0.718964481294838,-0.8657877975985601,1.3645746484942325,0.268776398500481,0.8885477296848168,-0.7047843681475613,-0.6830310547498313,-0.3971508371600096,1.4133172281555106,-0.6984890428991787,0.5268474700096938,-0.2661457906471915,-0.6214857394443959,-0.92054385536145,-0.5805735029432785,-0.904782862519354,-0.7394614689153333,-0.5689840722277715,-0.8134897459906086,-0.7403191693898159,-0.4863329401040762,-0.8091355343240874,2.0301698828287087,1.965522511379141,-0.9617882033913084,-0.6684832630621511,-0.3134753362539721,1.7157145991879543,1.8464586452364553,-0.7890732023286365,3.6792829724544704,-0.8345901642527981,-0.7814141266034597,0.2821176553803499,-0.9181146024754226,-0.8664093111301601,-0.8676047071973774,-0.8983110976546848,-0.7911824182313373,0.276806388134444,-1.029587103284883,0.5085862844905507,-0.8088705206438088,-0.8035217968686563,-0.8328855723546021,-0.3821158171773698,-0.8186465498806296,-0.2155950909729008,-0.15388363036337968,0.29645529184588804,-0.6865828592415982,-0.8279172651775171,-0.348076436629682,-0.7631003955059054,3.075515978263032,0.6824836832088343,-0.8829167401005129,0.5115269335886652,-0.9618975938320036,-0.6120945969037414,-0.2936207175719125,1.4231056836681144,0.3258817015106897,-0.8435806174854665,-0.3444063965508739,-0.7041812382674747,1.1998812763519966
