,CACNA2D1,CACNB1,CACNB2,CACNB3,CACNB4,CACNG1,ITGA9,CACNG8,RYR2,JUP,LMNA,CACNG6,ATP2A2,CACNG7,ITGA4,ITGA3,ITGA2B,ITGA7,LEF1,ITGA5,EMD,ACTN4,ITGA11,DSC2,DSG2,ACTN1,DMD,CACNA2D3,CACNA1D,SLC8A1,CACNA1C,CACNA1F,CACNA2D2,CACNA1S,ITGB4,ITGB5,ITGB6,ITGB7,ITGAV,ITGB1,TCF7,ACTG1,CACNA2D4,PKP2,CTNNA1,CDH2,TCF7L2,ITGA10,SGCD,SGCG,SGCA,ITGA8,SGCB,CACNG2,CTNNA2,DAG1,CACNG3,CTNNB1,GJA1,ITGB8,ACTB,ITGA6,ITGA2,ITGA1,CACNG5,CACNG4,TCF7L1,DSP,DES,CTNNA3,ACTN2,ACTN3
CAL-120,-0.43890455747611457,-0.7780059351957473,-0.8395182290297314,-0.7645283991724643,-0.8731321937813346,-0.6501986940714973,-0.8898567894647326,-0.3679482142878987,-0.9024266127157085,0.5595667042609959,1.7174056553095758,-0.6087285286012957,0.6306652163146815,-0.7048274952878715,0.0463206859465791,0.09244478435230967,-0.7463849057685006,-0.8347563335725519,-0.7343158379701136,-0.6147335707199766,1.3905482903291737,1.1197094807464507,-0.7728669401824929,-0.7938896767877941,0.9397825910033616,1.532067287582289,-0.8115579148242372,-0.4769036706918139,-0.9907102819046646,-0.3877192667482632,-0.9096473438901092,-0.6423919249589134,-0.8076118464901291,-0.7460302155710885,-0.2275309154240783,0.3883973049934869,-0.9504517289521606,-0.6833406302030632,-0.3249023251645329,1.9362940560627209,-0.7283472121965591,3.5671285504874595,-0.8244274370894245,0.9596276744132302,2.2856297150963103,1.2735912980980664,-0.7324263095986365,-0.8736110612135684,-0.8735725981834109,-0.808954414095566,-0.8907446709099556,-0.8076833799288934,0.6970337123392631,-0.9772357365253898,-0.956814039299832,0.1850380043114158,-0.7238219738513431,0.8319328535716037,-0.5495215308939359,0.012600235798529768,2.801423410907538,1.7626247190569757,0.9815055746181393,-0.8311807084052381,-0.6625734840247514,-0.4536621496392934,-0.6682948357636368,2.0392967597613407,-0.4598573273870936,-0.8331199941054415,-0.8629336032151217,-0.7928848963726551
ETK-1,-0.3350835607808205,-0.7042472715784823,-0.9223631387836908,-0.7022338963272128,-0.930983853934722,-0.6604678176561867,-0.932776450369254,-0.6858169516617552,-0.8747381211440322,2.367520443823637,2.098619154504864,-0.13631254725140826,0.5861406057500861,-0.74599238697898,-0.8412185989609842,0.14229359249513296,-0.8278505429900913,-0.6080747072355374,-0.9141744006817121,-0.6047509348712464,1.4831369019917457,0.8250789985615447,-0.7192418504144732,0.4167976012452017,1.5058728204288183,2.012978225364432,-0.6770317018249596,-0.7624530635027552,-0.9046864726741418,-0.5495180006821492,-0.9406139743340124,-0.6458546950074215,-0.8761977077461046,-0.7162140049205141,0.11170666993172253,1.6761937744810147,-0.09099042768044356,-0.6837527206691977,-0.2504136842326495,1.986350673626605,-0.6799690866837578,3.740175053533856,-0.8626012005898013,1.104189570134626,2.131274079014876,0.5165785349640138,-0.40685866755726735,-0.8952298221326339,-0.8655485151528997,-0.9168942466481076,-0.9146400282932556,-0.7915083879769759,0.19053196506621636,-1.0489302468565924,-0.9087846374850608,0.3299103086303,-0.7160632140737101,1.3261202141964368,-0.5592857703210715,-0.3830943338352469,3.1976371415033866,0.6773146618679514,1.158777661994942,-0.797241872555165,-0.711550758351103,0.043974507307703616,-0.6154459122395209,2.15433866763246,-0.4032831921643682,-0.8066505218697501,-0.8502224561807541,-0.6381383055339934
H2731,-0.4419855376037741,-0.7492634031879897,-0.8708786002251865,-0.7433040698502379,-0.8949232330395672,-0.7729472933560718,-0.8886400288804981,-0.6531606051973328,-0.8092912710275407,1.2669401100120448,2.0742772960205507,-0.7809544774050009,0.828407456310817,-0.7544935423939109,-0.8434992976957904,0.7837906112639994,-0.7951304376319235,-0.4988833430028888,-0.70005527769795,-0.3956673519694872,1.3332320907657913,0.9344095556888078,-0.663911835440769,-0.8895862630768899,-0.1954351041677081,2.0180229482891283,-0.7676415186042275,-0.746730040102361,-0.8801738949542911,-0.6644018577987867,-0.8554280541743314,-0.5288675635040292,-0.7183828885231089,-0.7149518126991187,-0.06494490322567069,1.6754394428385695,-0.964148410680808,-0.7574489228614882,-0.4058102582342173,1.724921573681595,-0.6241488090312866,3.6505503333987352,-0.7843778286432541,0.6015637415654539,2.1113685536082265,1.219209751172644,-0.4728929667464719,-0.8431261690358852,-0.8244354438632738,-0.834848507776793,-0.8943560602294601,-0.9217063530699432,0.7738385692822329,-0.928268104521702,-0.8131373236943368,-0.09762758287034104,-0.7489439344403839,1.1927718519053019,-0.00799461334435453,-0.7194668068953589,3.1420449715854173,0.16238917705883815,-0.6302731689570757,-0.9642679456231472,-0.7230439602441675,-0.21065644088637087,-0.4026382012610335,0.02310654733415762,-0.44740016885360656,-0.7139984360744497,-0.8665620031608225,-0.6267454600892226
NCI-H441,-0.31796936112451096,-0.5862642300636309,-0.8517064433976049,-0.8261795787724696,-0.9211853314390626,-0.7233074614956947,-0.9231008913595159,-0.6947436315989206,-0.8876115942704743,1.9596129104416928,2.077323623188852,-0.851938037725642,1.0321427913906684,-0.7153070605689378,-0.8283513602185241,0.6606923606965248,-0.7578041667158513,-0.7286908332028835,-0.8071681298860373,-0.6442147175010112,1.1694723403665443,0.6766374088632562,-0.735198943054164,0.6326048437962131,1.6983555536453658,1.2797073402002834,-0.8262691841458206,-0.6976458244374589,-0.8859511489369415,-0.8056349530192672,-0.8990277767201378,-0.5400976558176731,-0.8581534514313993,-0.7689758557542743,-0.23134993390509834,2.0309736513607075,-0.0977785159145014,-0.6057467446978729,0.36323562430378215,1.457650413631172,-0.7782275912055208,3.7680420128006427,-0.8195150252728443,0.3762895872526187,2.8143537272621404,-0.703452710975999,-0.2899896005358914,-0.8612223207671597,-0.8404174317571933,-0.8603843635794118,-0.9282607153491024,-0.8460362741507208,-0.19840055759921352,-1.0333860438532296,-0.8317265346425639,-0.08184284286888062,-0.7111257436554361,1.965975481119222,-0.4393564120845237,-0.780389097883672,2.722534048146595,-0.3827935803054596,1.598275884735909,-0.601976498192727,-0.6569942642242851,-0.7749228066574851,-0.7842548912083211,1.870596960978646,-0.5398454599005326,-0.7728986736953016,-0.9269344300664292,-0.7165815588102638
NCI-H358,-0.3648211326103175,-0.598054806758999,-0.8903192725350131,-0.8439602523442088,-0.9012151652526368,-0.7974144415898017,-0.9368408092824944,-0.6759717381513515,-0.8530121610922967,1.852018929042975,2.1634121308121594,-0.7749633021028141,1.0610886010680536,-0.7402796139853243,-0.8529473618444616,0.7599374948231941,-0.810371838829991,-0.7347344853878516,-0.8607666460040573,-0.7346874619960376,0.781196599152279,0.5194845797707421,-0.8193286147238046,0.8195633102607799,1.7718218049788013,1.2039487877348545,-0.5981327728564066,-0.655813358457359,-0.7818958344120408,-0.5702252547356181,-0.9460043120237801,-0.6760813010331371,-0.8602298956470043,-0.7481439644542967,0.04807386379134726,2.273608539439841,0.9707947336220538,-0.677239621147217,0.0075125862331092905,1.5239940513637609,-0.7404048738208631,3.6348973990331066,-0.8683812658196267,-0.1468062117480199,2.841512226231837,-0.6054101550857146,-0.47749953642489595,-0.8812507836393977,-0.9078704656130906,-0.8543528693887047,-0.9509930810197224,-0.5797531904033443,0.20840688667828305,-1.0171369175817508,-0.9189823448909504,-0.17937727646212165,-0.6451950205110599,1.9316286308543449,-0.7964786633484751,-0.8204097661918316,2.1565153807355792,1.4240770666678275,0.5636094664307233,-0.7848845321576169,-0.4561657527911494,-0.6661142437635524,-0.7774258581244594,1.9552930766473282,-0.547197384560142,-0.7761652997801972,-0.8804582303789072,-0.7673554100216768
LS-411N,-0.4803724274044327,-0.6727695828046402,-0.8823544059716145,-0.7055576260362522,-0.9433092755541606,-0.6645800436690207,-0.8412368095405361,-0.5848951913232526,-0.8724124974515653,1.6111693503786961,1.0716639125563974,-0.8282515357898843,0.5637763275063523,-0.6631300271471516,-0.8828366255160023,-0.4473638778822975,-0.8113032324977462,-0.5543206783141336,0.041122412538617016,-0.7128955108230509,1.38949801442925,0.7127050490302986,-0.7196081735638975,0.4131124098266368,1.5156702770303565,1.1586456558882074,-0.7995721870528756,-0.7724010121569267,-0.7788145351953081,-0.9084565062305912,-0.9629545114112122,-0.6477660221705167,-0.8297370270048827,-0.8770582950763355,0.02366492810300772,1.8246735394365807,-0.5546972825022601,-0.6147590322956695,-0.691349576327335,1.403993183042962,-0.5123515972319975,3.5833569055260885,-0.8437166071129921,0.8450333546121613,2.2442348121410127,-0.8349031484889091,0.13458436643053967,-0.8762057316653841,-0.8915056773548522,-0.7840985841400532,-0.9550770718933216,-1.0002318400670054,0.6077342524992663,-1.0268785767421305,-0.930336361996706,0.05299593983197013,-0.7269379063845873,2.019553040187649,-0.585741419505182,-0.6372759080325954,2.7207517149905325,2.317277902581062,1.3531190597197635,-0.9552844966595571,-0.6611607669130959,-0.607499212641383,-0.7962468428638921,2.385662054685913,-0.5678425067983665,-0.8256058565733191,-0.908878390128372,-0.8044100441668649
NCI-H2452,-0.2297662579040001,-0.6870822807454856,-0.8066169111425849,-0.7133619751839321,-0.8278957227590668,-0.5745289263984732,-0.8468480802578316,-0.5549727103202671,-0.8519976731056425,0.800188098762293,1.9297954815956218,-0.8353249135235741,0.8641375800425677,-0.7091937189080644,-0.8850464660893457,0.5473894113460871,-0.7045856509463503,-0.6578489438077979,-0.7774081002410316,-0.049835348078982565,1.3857860992494841,0.8094516987179663,-0.6277567566161966,-0.9347581860367832,0.9020254099142768,1.7130923259067246,-0.4989767625878773,-0.6757227940782174,-0.8485252980034506,-0.7574174425779495,-0.8775058155462905,-0.5221395563338193,-0.7955536501432809,-0.8814260817712796,0.012907220933069945,2.3945588510370017,-0.9360898956769113,-0.8298482889741817,-0.09795792891079326,2.7055822487808885,-0.5264059606994035,3.616943143877368,-0.7709692774767869,-0.16066293034509144,2.4294457728244048,1.9881609450961204,0.043821517432791085,-0.8870104622144347,-0.93552061177719,-0.8165749180267972,-0.8507964145004464,-0.7492338948706266,0.2863206939590443,-0.9657255521233676,-0.9205869988758508,0.09932572322907987,-0.5726325031573226,0.9191310614354068,-0.05893428960919031,-0.7135298305055825,2.9035893667150847,0.7442930653530424,0.5732222878492852,-0.9462875254497688,-0.6656199337046214,-0.2888196281470741,-0.4925700193423024,1.389725315098581,-0.4348996395261116,-0.8073202130380953,-0.8482765613470965,-0.6619846968409462
UACC-257,-0.3198848697700779,-0.7261344644023205,-0.8455656589684633,-0.8191729968730544,-0.8155307190994449,-0.70655023133971,-0.2699405710783969,-0.5406390225271187,-0.9299135269938684,0.09501969486007286,1.8437340263295865,-0.803737205031325,1.2936302650171558,-0.6567815439381395,-0.4921101936854054,-0.5788268549552484,-0.7305566584646387,2.2190017358918013,0.337385438404141,-0.669300425479718,1.4470749540560353,0.5527639555982773,-0.6901490174055535,-0.8461268223500348,0.7056831386501062,1.5713551462319568,-0.7373248480487512,-0.827158196346645,-0.7221869948653433,-0.7714655562408,-0.8723915852474939,-0.53828235067554,-0.7099277300209418,-0.7265335269072044,-0.7445107636831466,1.8671201638351391,-0.8841587635042452,-0.6713725398644114,-0.2348571028103196,0.7068001751855457,-0.7633688974775368,3.734232260423753,-0.8082355025067636,-0.9676242014474926,1.9911123016768,0.0645312733560681,-0.6206225138343399,0.1203117510650938,0.3727667272244231,-0.9120078838300354,-0.9386579297222742,-0.7514883896860179,0.30759600317242364,-1.023416946445168,-0.8898547056344818,0.007792358489302232,-0.8342639753598267,2.5880288683142822,-0.6995533021657651,-0.5973736892789753,2.7662245055215413,0.8039149994715615,-0.13688359332952854,-0.8116126515012576,-0.3758408054628427,-0.7150274882217929,-0.5104306070044764,-0.205258835528502,-0.4604912701591785,-0.7952925287636338,-0.8242444378587445,-0.7670166289747677
H2369,-0.3583181666972049,-0.6848445271361532,-0.8700919363522939,-0.7525531406590942,-0.8960884826527384,-0.8910729947972235,-0.8602707582554839,-0.5014983336530787,-0.891115137418317,0.3789485044501323,1.6170718044988983,-0.5958000339480174,1.3280056350465368,-0.7328346846018983,-0.8974000675174708,0.1759465083225166,-0.7700974578917387,-0.5537881165513919,-0.8093812838876036,-0.3800312398423048,1.003210152154461,0.3926891638648465,-0.7692990151096505,-0.8483305832842775,1.4464111210386708,1.8503783023136984,-0.4694788817496065,-0.7757295226362455,-0.8844340190125195,-0.81369268506885,-0.9149498472120232,-0.6429222863105994,-0.7033635169066418,-0.9269051305602408,-0.6271239351400193,1.331304289508258,-0.7860802038729654,-0.7230605388286809,-0.1454806744113722,2.1225187970515003,-0.7419374284012563,3.4447953907626347,-0.7886731877958917,0.2370600388313621,2.432821180489138,1.4585842127804818,0.0014695256899289535,-0.8869023192169447,-0.8741616935724007,-0.8270106845303858,-0.88592450758802,-0.8842821149031279,0.7224856622755118,-1.0786752525884309,-0.919820654655235,-0.22856302068405934,-0.9032453345613592,1.461760634841589,-0.07383991696857131,-0.8183694037484261,2.821717945768678,0.4843786115017885,0.8507868465206296,-0.8164007612996992,-0.6092727930017379,-0.7137932467940855,-0.710836111215367,1.270016152831819,-0.5911216681232391,-0.7903577383446687,-0.8562143837437188,-0.7074309775462814
H2804,-0.3120608328297861,-0.6925096927452905,-0.8226459588178195,-0.6840536786556686,-0.9433194533324551,-0.6576742885157884,-0.8773002181895229,-0.5514806672892354,-0.4054259566881213,1.0146192081342285,2.335994649576475,-0.3394647441991134,0.9413676559474444,-0.718964481294838,-0.8657877975985601,0.268776398500481,-0.7047843681475613,-0.6830310547498313,-0.7218601557418602,-0.3971508371600096,1.4133172281555106,0.7739922524966268,-0.6984890428991787,-0.8740135086525451,0.030426757412995144,1.8062763374135016,-0.2661457906471915,-0.6214857394443959,-0.92054385536145,-0.5805735029432785,-0.904782862519354,-0.5689840722277715,-0.8134897459906086,-0.7403191693898159,-0.4863329401040762,1.965522511379141,-0.9617882033913084,-0.6684832630621511,-0.3134753362539721,1.7157145991879543,-0.741868376361825,3.6792829724544704,-0.8345901642527981,0.6664566205769964,2.4693826697994514,1.679058407601192,-0.3860374950805125,-0.9181146024754226,-0.8664093111301601,-0.8676047071973774,-0.8983110976546848,-0.7911824182313373,0.276806388134444,-1.029587103284883,-0.9206001042106544,0.5085862844905507,-0.8088705206438088,1.2310694005799854,-0.24406497173551564,-0.8279172651775171,3.075515978263032,0.6824836832088343,0.5115269335886652,-0.9618975938320036,-0.6120945969037414,-0.2936207175719125,-0.34315360644445136,1.1343634773905542,0.3258817015106897,-0.7673173657476449,-0.5846225301989539,-0.7046985528251593
