,CASP9,CASP8,HLA-DOA,HLA-DOB,CD80,CD86,CD28,EIF4G3,ITGAL,ICAM1,CXADR,MYH13,HLA-C,HLA-B,MYH14,HLA-DMB,HLA-A,DMD,MYH15,BID,HLA-G,RAC3,ABL1,ABL2,CASP3,EIF4G2,PRF1,ITGB2,ACTG1,RAC1,SGCD,SGCG,HLA-DRB5,SGCA,SGCB,DAG1,CD55,ACTB,HLA-F,HLA-E,CD40LG,CCND1,HLA-DPA1,CD40,HLA-DPB1,MYH7B,HLA-DQA1,HLA-DQA2,HLA-DQB1,CAV1,MYH3,MYH2,MYH4,MYH7,MYH6,MYH9,MYH8,MYH11,FYN,MYH10,HLA-DRB1,HLA-DRA
CAL-120,0.07865542888154624,-0.09970353089763187,-0.7261123540613651,-0.9160101860392476,-0.8982653412963221,-0.8553655956743708,-0.9167600038169824,1.029782882119422,-0.8206057898272517,-0.7157752085140757,-0.7740645361604069,-0.7132145330433368,-0.32738279187231545,1.4718000078563611,-0.5802590256364554,-0.6592894134390843,0.022249505928719063,-0.8115579148242372,-0.9075906874679608,1.0946185024947717,-0.7469987365884971,1.4185581093828004,-0.15530134899420264,0.3113715271268944,0.9831462012512268,2.852772013362271,-0.8180699293320777,-0.6923847025298888,3.5671285504874595,2.47119643127688,-0.8735725981834109,-0.808954414095566,-0.9288026821617223,-0.8907446709099556,0.6970337123392631,0.1850380043114158,1.9951313139095888,2.801423410907538,-0.7246222463501474,1.6662306562366378,-0.7687601131324809,1.6214164799230069,-0.7186160878578132,-0.5576504324901532,-0.7833913662810502,-0.8664798278133806,-0.8863917062154072,-0.7695623213158388,-0.8693882359352185,3.4034065358157544,-0.7515387734809581,-0.866692646662996,-0.9915124445960236,-0.8594275002853006,-0.6387823563915337,0.5121435126785857,-0.9533638041840304,-0.7410701005565834,1.099675126965282,0.9474091003448694,-0.3030394486922637,-0.8666002091958132
ETK-1,0.5480063931414073,-0.1490011304985307,-0.7524780429829733,-0.1944405511326988,-0.8761366609199763,-0.8817000028446873,-0.9154365181906452,0.8463680640847022,-0.8492414178412646,0.9082694722796586,0.2429015682349152,-0.7986967423639472,0.5268833364167584,3.092813204690498,-0.439088539535372,-0.4461569257670246,0.3031251540737468,-0.6770317018249596,-0.9554689621807372,1.6516532756102518,-0.7411825881536964,1.3280286417157403,0.11491796000585375,0.21704803869289904,1.2026427417014658,2.800371271942472,-0.7940433786432742,0.06311942600154301,3.740175053533856,2.5460191308924163,-0.8655485151528997,-0.9168942466481076,-0.984755118746058,-0.9146400282932556,0.19053196506621636,0.3299103086303,1.9486810339199463,3.1976371415033866,-0.336049681595447,1.8158605714532137,-0.7638539419225092,1.1184704280462483,0.2588926877110535,0.6070148906749906,-0.6055782433258069,-0.8212371614789787,-0.8896495014976784,-0.7726143151305724,-0.7567333700784573,3.037711527172332,-0.8719661727108918,-0.917584357881403,-0.939000377173004,-0.6753024977508897,-0.6563525542399076,0.7223264331614416,-0.8895324241468177,-0.7617407785635668,1.2487188357186545,0.9535942341368532,-0.41606518151593214,-0.8543092736769233
H2731,0.12263794802164875,0.1824777109212319,-0.8202575197624979,-0.883869374469807,-0.8880484823370639,-0.8332402600489207,-0.8732299434677948,1.3063279134767911,-0.7450943452943815,1.0484865458345136,0.8458646310449889,-0.7758983954062959,0.003758925780242978,3.0807866725043165,-0.6126246658812492,-0.5796407278559721,0.5558452216491655,-0.7676415186042275,-0.8661809220540273,1.9055950560038157,-0.7331953302539869,1.113315885379529,0.5195856572724936,0.8077673201504859,1.2954142228620908,2.8322725867584246,-0.8276808610127707,0.3433475640925641,3.6505503333987352,2.79368386503489,-0.8244354438632738,-0.834848507776793,-0.9400371247739108,-0.8943560602294601,0.7738385692822329,-0.09762758287034104,1.5637976284622066,3.1420449715854173,-0.6003709108539329,1.910989518762752,-0.7731865082012005,1.6224056262988529,-0.6561572966141964,-0.6895267854373145,-0.7663550608436814,-0.8521766019461885,-0.6927626578906396,-0.7799211710705529,-0.7591457122466052,3.1122955953486984,-0.5123486820976694,-0.6184170659147652,-0.8874819778270481,-0.8026479601029951,-0.28027962990338,0.577673826011303,-0.8050090698822073,-0.7195773834671781,0.08673941991723325,-0.026586038756593117,-0.3716717343123031,-0.7333644453750829
NCI-H441,0.289470294262159,0.3089523012616001,-0.7531394151779213,-0.7537541549331402,-0.9015476044702893,-0.8775238543210631,-0.9310592189427862,0.9963435321237988,-0.80370076216459,1.079129165436952,0.020953704998588674,-0.7777953166796415,0.05926129975335225,2.5042881292078056,-0.4696269092599644,-0.4442559378080494,0.8231308987268295,-0.8262691841458206,-0.954750923879056,0.5377078092756719,-0.6724568419041905,1.2368674842873295,-0.07933140168785939,0.1715599161261104,0.6975340346678282,2.6902120190885435,-0.8154232363437225,1.6780383565745538,3.7680420128006427,2.4066435250136475,-0.8404174317571933,-0.8603843635794118,-0.8968224660415617,-0.9282607153491024,-0.19840055759921352,-0.08184284286888062,3.1957843806706467,2.722534048146595,-0.3907380861263018,1.1313871195966498,-0.7614796223259118,1.4751263340395302,-0.6148468622559222,1.4184242919383727,-0.7819368358539357,-0.910919203922068,-0.8584490234063792,-0.8340892319172492,-0.8172150130650189,2.8101299846089436,-0.8930892262055165,-0.7481667370685006,-0.951006229553942,-0.8149660250643935,-0.4706345279481176,1.0813902118370124,-0.8421835802914327,-0.7474406285949582,-0.2785213035236984,0.6460095773252011,-0.3504907045571886,-0.7687515060473901
NCI-H358,0.013784054796122864,0.237091339351624,-0.7448174949893543,-0.935024358000362,-0.8747876671812922,-0.8356311058069342,-0.9067366781388084,1.0899944289549979,-0.8370047382553395,-0.1885597648240576,0.2381255808139872,-0.7747461385755959,0.937921902913768,3.1601118187867816,-0.4343996371369676,-0.5528645269631969,1.18942208728552,-0.5981327728564066,-0.9319898171097186,1.5057158422200811,-0.6582695957780818,1.2308138120368102,0.3566484798380913,0.4040746633005673,0.8728224966373465,2.81444276342108,-0.8517867449580309,1.081826395235118,3.6348973990331066,2.376178543120388,-0.9078704656130906,-0.8543528693887047,-0.9579368498027392,-0.9509930810197224,0.20840688667828305,-0.17937727646212165,2.6457947756993416,2.1565153807355792,-0.053204838904988366,1.6422822363713128,-0.8506355339681615,1.5146227970828097,-0.7024505022243912,0.4866417270486959,-0.7939284246922921,-0.8716785594350618,-0.8881890639704929,-0.7900121129767509,-0.6033051918070031,2.0467311185823487,-0.8820244318677416,-0.8496688406649724,-0.8262155976611717,-0.6660928714112917,-0.6299473443855863,0.5841041635027161,-0.8214902968472587,-0.7688009663038755,0.8048074793599901,-0.5971960458260127,-0.29855361565371225,-0.7504576833492028
LS-411N,0.1514529122364529,-0.2338569292705988,-0.7034698719116148,-0.9271946007318421,-0.8967389080618622,-0.8769623941078213,-0.9026156835493134,0.8380904022966784,-0.8302825507507511,-0.7170011331870341,0.5112517607314129,-0.6930801448667223,0.8488076709933416,1.5291994515319218,-0.2915745721927719,-0.5340121456893316,0.15123203926929232,-0.7995721870528756,-0.8783035289382849,1.5025189311302047,-0.7648353901978121,1.293721491249474,0.37297209217774935,-0.1574798853700413,0.7552156809886026,2.9085447666277973,-0.7719212835167603,-0.8693239237196341,3.5833569055260885,2.5265829149444534,-0.8915056773548522,-0.7840985841400532,-1.001654378960626,-0.9550770718933216,0.6077342524992663,0.05299593983197013,2.367489030615914,2.7207517149905325,-0.6640877005202094,1.030204382531113,-0.8075630142695305,1.023387112447965,-0.675947476283666,-0.6643157511941148,-0.7508256237707306,-0.7813127595403908,-0.8548406751021973,-0.7708360108352759,-0.6964791106037422,0.8544660117051973,-0.5308419376231645,-0.8364645047765931,-0.4499159028917398,-0.8146630114608698,-0.6453596158750179,-0.06156008364084086,-0.8283359097950903,-0.7902583341152686,0.9868839130820148,-0.13792464342721944,-0.3545671715888125,-0.9398953528320176
NCI-H2452,0.04007327900862855,-0.5504474327643829,-0.6932223512252182,-0.8302953562405029,-0.8545635636919267,-0.8250112721767037,-0.9378629301048136,1.2160925132591998,-0.7685938559390947,1.7831676708839752,0.6163182469360349,-0.7355123191706354,0.9989729247201063,3.632629269411714,-0.5343272389478995,-0.6834287636121772,0.8662911547481317,-0.4989767625878773,-0.958835852277004,1.7751547817381923,-0.5599311878940524,0.907415902373851,0.4648295992891375,0.6594279821427793,0.9359360534512214,2.874481721780647,-0.7437678847011877,-0.7815575327147789,3.616943143877368,2.6942865242565985,-0.93552061177719,-0.8165749180267972,-0.9235996250579944,-0.8507964145004464,0.2863206939590443,0.09932572322907987,1.134734896071066,2.9035893667150847,-0.10896989247043172,1.9479215480554728,-0.7491181950761001,1.04083962102019,-0.6541186729486208,-0.5802703877303546,-0.7530530931956376,-0.8155205232873151,-0.8703745846653167,-0.7854294152968134,-0.8630561963519834,2.9699263687975015,-0.3916734024096639,-0.8062418071149539,-0.8686806210307104,-0.8154410042531851,-0.5945911846368669,1.3020288078727995,-0.829369421588018,-0.7173648541837088,-0.02009866582740437,-0.7855108350756147,-0.2198996546808584,-0.8143271711138356
UACC-257,1.3121664420007093,-0.016975187062175982,-0.7701024778010186,-0.8834764264891156,-0.8641944288316667,-0.8937067634924911,-0.9778814819297859,0.7075413517416701,-0.912827003475732,1.4036145547256182,0.10939332226815957,-0.8111974677430309,1.397689602519384,1.4796153845783888,-0.5070015413400689,-0.09405933392250213,0.36660768406336935,-0.7373248480487512,-0.909401641248614,1.3034084149212153,-0.7637069783206832,1.1446110672854743,0.1233794726866641,0.9424063374603407,0.5390662786749576,2.6945555139202355,-0.7797293300643546,-0.9033917628707651,3.734232260423753,2.5445795223269005,0.3727667272244231,-0.9120078838300354,-0.9664580248937836,-0.9386579297222742,0.30759600317242364,0.007792358489302232,1.018681903909027,2.7662245055215413,-0.32042855483586885,1.8229674310805108,-0.8633853463532406,2.214618837818719,1.5364023315817334,-0.4850017329686339,-0.2418211248411975,-0.9598464259570652,-0.76770636684338,-0.8224992124889512,-0.7580962666589979,1.7273223813737395,-0.7077528447883098,-0.888129940412544,-1.0412504360349504,-0.6918065237414436,-0.6525001189351965,0.2267703698636608,-0.9789164064613158,-0.7916100842576538,1.1796613542190295,1.007954594430061,-0.21507718968099265,-0.8939311604825204
H2369,0.11026183624539156,-0.16941712336643494,-0.7754905530920213,-0.8238784540909659,-0.8536684487728841,-0.8842105670911418,-0.9794258167950762,1.230941864398926,-0.8560295011637699,1.7892663621360168,-0.6053928242306758,-0.7512706575151479,2.4253223094568392,3.7020754528040736,-0.5607003313690605,-0.6257098877742256,1.1297611028180186,-0.4694788817496065,-0.9081421572911896,1.4057076494156968,-0.5521508163443054,0.345897037553967,0.6492618264655017,0.6126334096252605,1.0508982885031573,2.7401016377113856,-0.7431360618773069,-0.8375988133417724,3.4447953907626347,2.67986321891239,-0.8741616935724007,-0.8270106845303858,-0.7117642775368491,-0.88592450758802,0.7224856622755118,-0.22856302068405934,2.5047305976610517,2.821717945768678,0.8991133269253562,2.458007744291121,-0.8470138472800903,1.3709257978228937,0.14937128887264814,1.1656761104008115,-0.4256022144562254,-0.7934786420048823,-0.9228917328659338,-0.7831925952817068,-0.8610134863280102,2.6406088803261074,-0.6899037017536511,-0.8614911006988264,-0.8719044547481164,-0.7043760631603744,-0.5182370606205001,0.4461330819140974,-0.7763763504600626,-0.8050701700098667,1.8866319220254963,0.2778623654949295,-0.002064522264934839,-0.6501375324266279
H2804,0.04349367378848885,0.04030725745712358,-0.7587381633767756,-0.8435228065126127,-0.8634309479039259,-0.8096855239902163,-0.9223518247640698,1.013673207725036,-0.8731596225699373,1.1426135372778092,-0.0673634632606952,-0.7956046598777171,1.1223790833170653,3.381305764828654,-0.6248044160372997,-0.6224152429645899,0.9490681775405716,-0.2661457906471915,-0.8819024989487478,1.738404614639817,-0.6416093161459908,1.4365563810390836,0.3108279410952096,0.7134071229871903,0.5532253659842721,2.9047076478383693,-0.8162127837337685,-0.7579306290201651,3.6792829724544704,2.5822166518278937,-0.8664093111301601,-0.8676047071973774,-0.7861038816953004,-0.8983110976546848,0.276806388134444,0.5085862844905507,2.8076995763232118,3.075515978263032,0.3960139448573092,1.7287426447658765,-0.7945739741832494,1.3947262458240641,-0.5602730352533954,-0.6056697614110277,-0.8040031683478739,-0.8700260130892811,-0.8481626154328561,-0.7694478806231558,-0.7296121172127078,2.1769893053027567,-0.7216579507280882,-0.8505390003974966,-1.0563537926422857,-0.8435806174854665,-0.3444063965508739,0.7098011570695331,-0.8926122042564997,-0.7125745272609917,0.15531734844332815,1.043735724517511,-0.2953946178015958,-0.7757101537779334
