,SUV39H2,AASDHPPT,DLST,ALDH1B1,AASDH,ALDH2,ACAT2,PLOD2,PLOD1,TMLHE,EHMT2,ACAT1,HADH,SETMAR,OGDH,HADHA,BBOX1,AASS,ECHS1,ALDH9A1,ALDH3A2,SUV39H1,ASH1L,SETD1B,DOT1L,EHHADH,OGDHL,SETD1A,GCDH,SETD7,ALDH7A1,EHMT1,SETDB1,AADAT,SETD2,SETDB2,PLOD3,NSD1,PIPOX
CAL-120,0.6400422950776399,1.7920879769960991,0.3355170738252105,0.008274927054878218,1.1041390293582092,-0.5735240766781223,2.148961650695559,1.3100401258765513,0.14403229668279335,0.6427275685841898,0.4508859048906525,1.0231679697141698,1.6043990604311928,0.19086096197494407,-0.5574001496146767,1.6317527988806764,-1.0018909855877205,-0.2241869755481669,1.9720481464109896,1.2100817854131078,0.231842020673798,-0.3170652920447544,0.4329828662707214,0.6736122904475377,-0.432029417189504,-0.3866006648969344,-0.08109679383353972,-0.4624590493786078,0.2986323853855002,-0.2185174055319596,0.07660478013277394,0.07819190226118462,0.14847377606945844,-0.33223411959522964,1.0858684763463733,-0.5809723392695056,0.2809573681313796,-0.2709024904111123,-0.6751936368938001
ETK-1,0.3147495004990352,1.568841900142086,0.3841470457867076,0.2441318382017762,0.2441116521823431,0.9114722626628818,2.6394139256876348,1.4310789567594298,0.97091163338359,0.35421297050337125,0.7713962273704816,0.6077467699672938,1.4947323440474003,0.008604868434125211,-0.2334710059157156,1.4316281714788657,-0.9387563152760264,0.003883106157696529,2.254980495138031,1.385396250560643,1.42962632453344,-0.027258283082461792,0.07056387681515768,1.2220670775703857,-0.417155182006608,-0.32772303333266395,-0.6144289485459181,-0.4537480717000402,0.05154122173983068,-0.012430957014227877,-0.2643617845049873,0.05428018661319247,0.4514913706796382,-0.03760251211293108,0.5015955579327889,-0.4552514402315703,0.14441568091999188,-0.5654857603635483,-0.6988142386479829
H2731,0.2575352351571469,1.50643267203681,0.16315051304418074,-0.059105169668798085,0.799762484182958,0.5838356223205006,3.2032533866728885,2.3151854047070226,0.3823841177363527,0.0076531497769544736,0.9701186755986078,0.37044870974990585,1.3973591464886022,0.5943508393532714,0.010536280196644486,1.4227734448246203,-1.000466730815864,0.02451708660807188,2.3304501221137843,0.992163447020683,1.6319105319852691,-0.3497578737543522,0.4665247192347655,1.1048003111405589,-0.3091111175007205,-0.6526178510443982,-0.5595726097971911,-0.37724577389071057,-0.19215076814790608,-0.3380008416849963,-0.6458411413083338,0.3975149458743566,-0.17932271177617834,-0.6542632619075475,0.6678853919718218,-0.38581231492692186,0.4585487674472628,-0.01062480306320014,-0.5903508518546546
NCI-H441,0.24517496507688785,1.6582737149171722,0.1857549149679036,0.25347155570844954,0.9778542823661034,1.3361735785661355,1.7633955411096938,2.2088725218694485,0.7710788360830316,-0.7509813246700806,0.14955435472902406,0.7939214693011808,2.1130497678430142,0.10719297593984088,-0.4803968910342778,1.5158038255465662,-0.9650167372336788,-0.08988070696754001,1.9153961780485869,1.3771048331169842,1.3328593613159094,-0.4132413341560733,0.6987147222743731,1.0396618075794426,-0.15701917654511194,-0.4409448709338684,-0.6909962843982913,-0.5493401635553733,-0.08554515245202822,0.05745081010237426,0.07464304281000254,0.15737704708429195,0.0223230890286198,0.28386159443037484,0.6912013973995407,-0.30152782999998945,0.03157287317222938,-0.29087998138140586,0.13577017616337508
NCI-H358,0.08528266709904198,1.871660956173527,0.22556599466537494,-0.16216697369108254,1.3662329824549462,0.04045089275782979,0.6992948989218575,1.6886285015572813,0.7954112121879848,-0.6470194669224036,0.5207528263519487,0.46885229561265,1.6447343074538172,0.013854847111101916,-0.5141786277505381,1.6070449066401358,-0.7892434724805338,-0.9622334680372286,1.5877518834858992,1.5451495540176332,1.2986697096566218,-0.5588923240037825,1.0888070927628046,1.2880830073833391,-0.20937588961094647,-0.7142256778311348,-0.7650082665763905,-0.4475360664231429,-0.5929328348060037,-0.03796046971938656,-0.4721964057327893,0.4253014895912968,0.5891549031837274,0.2595091367508865,0.8957989016825579,-0.3586696879728016,-0.04053444215839902,-0.31309097158995003,-0.594576262102504
LS-411N,0.6246927792724408,1.3620836344330065,0.2784391114309925,0.4029477736862192,0.8920357781577952,2.0119444389177112,1.1352491825457456,0.9238863758047444,0.8280021685281299,0.13992886430786394,0.03411848462637973,0.7367144975114884,1.6484240528202183,0.3382664087370664,-0.3157377797942213,1.6600943362933116,-0.9683813122412068,-0.8338049736911266,2.3629744273952324,1.4349158543636866,1.8377274200970133,-0.3840040007392204,0.5824863876597179,1.378177715715076,-0.29246123190712114,-0.5260329101708265,-0.4971978676665815,-0.4229189030978772,0.06552325665681974,-0.07067615822837542,-0.2725748310220648,0.2855937637865992,-0.028948162642867887,0.4396358770294467,1.1462984420273568,0.2182701071026571,0.8201531762739341,-0.18366811579799508,-0.5891741134817868
NCI-H2452,0.3336429687680461,1.6474828293371069,0.212163670261093,0.17025646066846573,0.5438855918487184,1.6189478465302651,2.3628222902645795,2.9724802036019335,1.5455395959618097,0.034801204006015475,0.4044547461431448,0.8937033044428018,1.2950631564157438,0.16865740613253466,-0.23692084310384084,1.4565790685502111,-0.9758859825328188,-0.6133344088753089,2.452200054954455,1.3303801067668102,0.8754015206373441,-0.3695008369645704,0.5048607535375785,1.159827558115468,-0.36593894691887796,-0.6191519726192363,-0.09240100032758544,-0.32585457737060913,-0.013938515175990332,-0.19272068782437987,-0.2197578310959757,0.1780653340857578,-0.06506420366400087,-0.6880578197917618,0.6999584355105043,-0.4825357698840495,0.4314931800152845,-0.3513856379163919,-0.7220896539578036
UACC-257,0.4084803606358722,1.8820798036885809,0.499893642245916,1.4125574012038709,0.5697003361366662,2.4311657709511687,2.054133773691932,1.419492361719472,1.3798577770679437,0.5253546772720648,0.4054572747894949,0.9370394565712284,1.7547843262279164,0.3320975987599052,-0.34586812604375106,1.8471595766001685,-0.7839979435641891,0.2544332984439337,1.999831000808932,2.2583246093223224,0.6333516847457168,-0.20000018801101327,0.01941509342854737,0.7281619511567561,-0.2333949416755681,-0.2947082592835378,-0.7415161326108194,-0.4559880474270949,0.5618352825418375,-0.5702178384262656,-0.30141033445303145,0.002994519817645421,0.13420704036383105,-0.4272048174877889,-0.12752393924973562,0.31478412715962023,0.8393972407687467,-0.401312979980018,-0.5876848641888439
H2369,0.10240986919959284,1.854889829327508,0.4126473012584017,0.06292536632118594,1.267773230683234,1.1732035413419741,1.5754331950562548,2.5406654536668647,0.8862529405218076,0.2177781178240172,0.09398423603016734,0.8562469564193216,1.6080288761817063,-0.16478480324097775,-0.33904345968699107,1.5445579811135215,-1.026607777016484,-0.4867802048793765,2.009006829798833,1.5849192336089255,0.877434611492422,-0.5585450404861753,0.4989353440646108,1.0862429658239765,-0.7618858921655433,-0.5053301462911605,-0.7511715414995016,-0.650323086151271,-0.4676400506017951,0.08425690918147237,-0.36749352899912063,0.10916352989399436,0.0463987903624899,-0.7429738795079482,0.5218139091635337,-0.38335762509745336,0.4146163820528375,-0.4837327553037935,-0.6061625112571364
H2804,0.19823714985210608,1.4697290653555497,-0.10146096931818573,0.18817317512513027,0.14449424498905586,1.8835769076724005,2.2969168242446973,2.7375993969190824,1.15464839317982,0.3461201379224673,0.9172935865439408,0.6662347053463894,1.7826418781659603,0.5753769175976771,-0.13725471895815236,1.4674726062122696,-0.9476506014050058,-0.07307950374396482,2.5475734558473246,1.8753556015132349,0.7399248896399361,-0.11973540120506948,0.5909915483618288,1.2597871998249104,-0.2960482953764955,-0.6712312401415245,-0.5918396098791368,-0.2492892229084777,-0.1855699356598201,-0.3804314015617071,0.1213972550003646,0.2521104920399251,0.4633875728880109,-0.5952854737347302,-0.002909959529451129,-0.6852183873961228,0.3731858715621309,-0.2959213395395318,-0.6477270262823359
