,RPE,RPIA,PGM2,PGLS,PRPS2,FBP2,PFKM,PFKL,TALDO1,TKT,FBP1,TKTL2,PGD,RBKS,ALDOA,ALDOB,H6PD,PRPS1L1,PRPS1,DERA,G6PD,PGM1,TKTL1,PFKP,GPI
CAL-120,1.170843358236815,1.5822193849572423,0.9466139725362214,2.064235758797985,2.1685655778347717,-0.7754329172907843,1.8426890863142424,-0.2404349206244381,2.648698077049662,1.7507626848907027,-0.7386088451199401,-0.9252321107005672,1.859847623351432,-0.5488062342646536,3.237790329842684,-0.8337347529622158,-0.22997040066464375,-0.8778913588087395,2.2668206928549504,2.2361519556294214,0.0025511201128115635,1.5887970066611496,-0.9034336536282728,2.355118873536638,2.1841349992841588
ETK-1,1.016763304875005,1.7447107135711704,0.827111664982877,1.8396684799296068,1.738942907293462,-0.7457948149873509,1.3514044964285823,-0.22094683056871764,3.2241822141295637,2.4977116799005543,-0.4252835274228604,-0.9265907181988198,2.8813208296917967,0.006026641108493265,3.4215053797534094,-0.8325653954491582,0.08013776962073164,-0.934326289972034,1.8020514429417276,2.187354218735332,2.169781095150241,2.004356638791812,-0.8586938784848762,2.6112559513839946,2.5591609677482725
H2731,1.3092985745356394,1.6324058159907813,1.3731531801041508,2.1195555710519915,1.711258996212269,-0.5421912984700962,1.91238598483163,-0.08533006182874664,2.8490973263766493,2.177223528625314,-0.5073430625449925,-0.98119741291378,2.2326967150616257,-0.26260100006322795,3.1685874660692943,-0.7672908949383099,-0.01930258804505694,-0.8121397887822249,2.3821414108395094,1.9838033335844412,0.7866807984324679,-0.4198275960682925,-0.7596209273346918,1.959766967683869,1.8669866840345697
NCI-H441,1.157911956927428,1.9989677548690092,0.7002276743626271,2.065454305279021,1.5263311201129544,-0.7815841936583625,1.5517730098048632,0.014850454169408634,2.597544276614749,2.2418602246027866,1.082698927519928,-0.8964226534253059,1.3071985432909554,-0.5273206781318616,3.288967607397961,-0.8106188598999238,0.2108355349758699,-0.9046027082427558,1.978587444328103,2.0673101411820696,0.03455121353411642,1.593331987953483,-0.7652463444083172,1.9231340244522463,1.7208583041746073
NCI-H358,0.947494548802134,1.987581392848467,1.1160652254423256,1.6314897691586847,1.7071182555227458,-0.7475077866253905,2.116246355979805,-0.2709430478954833,2.407871690733089,2.077232247435971,1.1474035807625915,-0.9156169254092196,1.21090232459416,-0.6154936271340368,2.9666429140081827,-0.828791117212037,0.11840445631041815,-0.8812928794190508,1.5655724579778811,1.2679843634490555,0.31548326125797577,1.369509202176706,-0.8343998559083804,1.736903478747885,1.7159617520928552
LS-411N,0.9643667048854384,2.057001221660985,0.9783864756198788,2.0171314091822183,1.9124880659861372,-0.784916683183794,2.080448603869959,-0.29063048435098154,2.6084255843961808,1.3094308515190791,-0.4579461235713922,-0.8587041114772471,1.6935535998372708,-0.5495903221898595,2.7850049431186084,-0.8076030680279107,0.14735828323572764,-0.9064459779974856,1.8795594852632465,2.0048191488990224,-0.3157931049640979,1.311565620247123,-0.8468515550357903,1.7352924750376728,2.145073343866097
NCI-H2452,0.730737243932527,1.4060668390443944,1.7744675091939481,2.4001821201887905,1.1452164191066945,-0.7456702493306469,1.8441840773968952,0.17701089031270678,2.7389055131808138,1.7853450833053834,-0.6538514423102855,-0.8931032495310309,2.0081084296268283,-0.4441656721944223,3.258788961751568,-0.8205157288546311,0.2487759857382731,-0.9491423370899736,1.8476275791282188,2.1154761380379457,0.9474838882339311,1.519993972446024,-0.8370882194138313,2.337121191478163,2.3467999114796076
UACC-257,1.1413848611501929,1.6292989171740553,0.7254761902743785,2.051405437175566,1.4699278368869633,-0.749549510579941,2.396551699927829,0.010416083091794877,2.7289643044706393,1.8264874731918352,-0.6297721455964029,-0.8455651883966414,1.7477296274154452,-0.48430495180701794,3.1772906537817374,-0.9184322489084424,0.0770968614667515,-1.044939745516856,1.9956651322200067,2.3395918066641603,0.6687496070756752,2.2875559523946625,-0.6103113857629158,1.612124629695376,2.445855791214094
H2369,0.5293365030591102,1.4727649357201442,0.9490058317859024,2.3891926316477274,1.6691316785373078,-0.7552795354910582,2.0749295319099916,-0.1830991497700204,2.6318484651252705,1.519680096756712,-0.7471140140784757,-0.8945602801796999,0.9453611802940294,-0.4877770085636242,2.9741099537960545,-0.8315438327499644,0.6858415767702248,-0.8954104893266533,2.0170190489224042,1.476201956383592,0.322030628760318,1.5914192260898306,-0.869599835325567,2.086906784276749,2.0542250044789183
H2804,1.1529367487662985,1.8184439853052077,0.4895768454165171,1.6917933947416215,1.6064467374446465,-0.7269488915402462,1.8608504826171943,-0.2205601494654405,2.910384557629305,1.9673173602287992,-0.5113014984072791,-0.8919453597516583,2.403736636649417,-0.2828334199018776,3.3961766676965555,-0.8532229790800944,0.1034877497999651,-0.9108127787351762,2.553608065321767,1.7974962203191185,1.1667271207873011,1.8668812979035947,-0.8698759119246579,2.556870465514785,2.485411794140634
