,ALDH1A3,ALDH3B1,ALDH3B2,MAOB,MAOA,HPD,GOT2,AOC2,ALDH3A1,AOC3,PAH,GOT1,PRDX6,TAT,MIF,IL4I1,DDC
CAL-120,0.26215030705009257,1.0380030074562916,-0.8210362983548056,-0.9071785586178064,-0.6025741694593565,-0.9326861789808512,1.5833193000601793,-0.6477962115679241,-0.7341576777571872,-0.8605623741697189,-0.9038163000237748,1.2352312982197828,2.9566231273732617,-0.8767918708756722,3.2232938767656014,-0.7686109403188591,-0.7858464152442827
ETK-1,0.293383529379322,0.7299424465358245,-0.7166028459118817,-0.9279709369904648,-0.031187986987101606,-0.9677442527233996,1.8121071418495815,-0.7417133367284634,1.1422219991399114,-0.8342127295338907,-0.9274907304084646,1.6765775316438518,2.93371851863589,-0.9331828741401276,3.410654949869232,-0.4786883872479975,-0.831936416484487
H2731,-0.2404715129208805,0.6395120275603778,-0.8085089217977559,-0.8904752508634738,-0.5518860824305409,-0.88522149468261,1.5919892384055103,-0.7421090302624354,-0.3929515054452802,-0.6403123706089272,-0.9040903368812859,1.7051345950676935,2.9199160588695405,-0.8950271766287781,3.396171879619087,-0.7514117605826427,-0.8783131247341553
NCI-H441,-0.07826018769113466,0.7079025726690542,-0.771750275715789,-0.8907647498697455,0.8964739788782661,-0.9947069175447824,1.4223078372796416,-0.6727486982872444,-0.6922755296238474,-0.815018367648,-0.9116099189180448,1.5410338113365316,2.4117420164007792,-0.8406378221890212,3.5828464038124315,-0.7416683915864308,-0.7438795644795931
NCI-H358,0.7118488377842307,0.7065171904753171,-0.7468288683088035,-0.9695038882631988,1.2570908316934628,-1.0033840124816331,1.354144334436804,-0.6464240949885564,-0.5374025505450702,-0.7800597481158519,-0.9129248833159204,1.0817163642840586,2.562518608086134,-0.9198711119224456,3.524082687294018,-0.6988403588843085,-0.8039855307123613
LS-411N,0.7721967105174582,-0.040193954791244255,-0.8434304874367151,-0.5157812135292816,0.9851704303792521,-0.8845800406846804,1.5156208482797546,-0.4715651213646404,0.5845328326324422,-0.7707096387144868,-0.9472772027487972,2.1336117877167284,2.352438786168084,-0.8543122718723332,3.354953981604891,-0.5812341216113601,0.7592658574984692
NCI-H2452,0.2546918381964922,0.5642337407739508,-0.7709106064985324,-0.8804861350825718,-0.6283418533793509,-0.9327049303128172,1.740131230223578,-0.5534248315652405,-0.8039670542699752,-0.7365481486906869,-0.9585728468520603,1.4169450020212384,2.937558430974049,-0.9538597684138692,3.4262177977449566,-0.5474344559459627,-0.8611995592262962
UACC-257,-0.3555750903807554,-0.31856055607358824,-0.8731250284003639,-0.6750475200638192,-0.4821988103553751,-1.0518917596293798,1.8093666840787093,-0.6841690731387604,-0.6584501216803534,-0.7086090395650888,-0.91062144770567,1.1820528270799928,2.804478900704372,-0.8918640751025902,3.6841878688824337,-0.7342679023366324,-0.7743493421752614
H2369,-0.2599428776988585,1.2636415050522487,-0.8277738000664392,-0.9023000233336468,0.2512379289214665,-0.9681290483340259,1.5626370260680682,0.035843713464197534,-0.6437033712492898,-0.618035129256107,-0.9016969150669076,1.7384042679773783,2.959962371454814,-0.9316906453513704,3.3798548851231955,-0.6282164016549631,-0.8567435201328462
H2804,-0.5843108897450402,0.773127145939736,-0.8281723840304788,-0.7986785656536896,-0.18670033966901006,-0.7875801046157112,1.9343191837666576,-0.5243275731931071,-0.2572678442964914,-0.7744393037405071,-0.939161296908382,1.1887986450173418,3.225271583869697,-0.8932511155843872,3.3222055670101005,-0.8084306923782834,-0.8187772383757792
