,MAOB,MAOA,IDO2,AOX1,ALDH1B1,AANAT,ALDH2,WARS,IDO1,CAT,ACAT2,ACAT1,IL4I1,HADH,OGDH,HADHA,DDC,AFMID,CYP1A1,CYP1A2,CYP1B1,ASMT,ECHS1,ALDH9A1,KMO,ALDH3A2,WARS2,EHHADH,OGDHL,GCDH,ALDH7A1,TDO2,HAAO,KYNU,AADAT,TPH2,ACMSD
CAL-120,-0.9071785586178064,-0.6025741694593565,-0.7961919654383706,1.5275510862226551,0.008274927054878218,-0.885450603225741,-0.5735240766781223,1.0363462875736698,-0.7965040005179259,0.9830025488916722,2.148961650695559,1.0231679697141698,-0.7686109403188591,1.6043990604311928,-0.5574001496146767,1.6317527988806764,-0.7858464152442827,0.2343808936491397,-0.8818829932937149,-0.9984520147457684,0.2601353949959827,-0.7525556970753658,1.9720481464109896,1.2100817854131078,-0.8880176616788465,0.231842020673798,0.4724841189215101,-0.3866006648969344,-0.08109679383353972,0.2986323853855002,0.07660478013277394,-0.8758015723834659,-0.8418398986366028,-0.9310598268271816,-0.33223411959522964,-0.8251723840388359,-0.7358132303151165
ETK-1,-0.9279709369904648,-0.031187986987101606,-0.8762866134197065,-0.0997817861963555,0.2441318382017762,-0.7927214931894474,0.9114722626628818,1.262815009674541,-0.8518563785497782,0.6324081649172595,2.6394139256876348,0.6077467699672938,-0.4786883872479975,1.4947323440474003,-0.2334710059157156,1.4316281714788657,-0.831936416484487,-0.20994646242522624,-0.81441045991356,-0.8881503839600229,-0.06801663779305983,-0.8345906283733139,2.254980495138031,1.385396250560643,-0.7688850505942384,1.42962632453344,-0.03609386130578364,-0.32772303333266395,-0.6144289485459181,0.05154122173983068,-0.2643617845049873,0.3840594924932621,-0.92901670491142,1.9290031061001345,-0.03760251211293108,-0.8346288253034709,-0.6343917995287703
H2731,-0.8904752508634738,-0.5518860824305409,-0.7355059178430879,0.4597278525861146,-0.059105169668798085,-0.940891443393333,0.5838356223205006,1.2474056122084884,-0.7161470361504945,0.4615493829851742,3.2032533866728885,0.37044870974990585,-0.7514117605826427,1.3973591464886022,0.010536280196644486,1.4227734448246203,-0.8783131247341553,-0.02045982815362845,-0.9772779069810535,-0.7747444477061424,-0.47918939148378,-0.8535058411014742,2.3304501221137843,0.992163447020683,-0.7959410078361002,1.6319105319852691,0.1836319522473436,-0.6526178510443982,-0.5595726097971911,-0.19215076814790608,-0.6458411413083338,-0.5423749128780598,-0.8038799446907017,-0.8968224066636172,-0.6542632619075475,-0.8384057075281505,-0.6501561322294436
NCI-H441,-0.8907647498697455,0.8964739788782661,-0.7683999155126612,-0.6174218784769749,0.25347155570844954,-0.9540422758315446,1.3361735785661355,1.8733124999097657,1.0529421351123125,0.9383313394192144,1.7633955411096938,0.7939214693011808,-0.7416683915864308,2.1130497678430142,-0.4803968910342778,1.5158038255465662,-0.7438795644795931,0.16671458249047866,-0.9246806384217914,-0.9238735562091046,1.1758346388007288,-0.9001042282918936,1.9153961780485869,1.3771048331169842,-0.7536329334010675,1.3328593613159094,0.11671694322080205,-0.4409448709338684,-0.6909962843982913,-0.08554515245202822,0.07464304281000254,-0.7821874102878653,-0.8142751341006365,-0.8535152088407253,0.28386159443037484,-0.8260953680553356,-0.6922815816256727
NCI-H358,-0.9695038882631988,1.2570908316934628,-0.9081864817162666,-0.6259192428280425,-0.16216697369108254,-0.9462185818614756,0.04045089275782979,2.150060178349644,1.0277389450516996,0.858842729277318,0.6992948989218575,0.46885229561265,-0.6988403588843085,1.6447343074538172,-0.5141786277505381,1.6070449066401358,-0.8039855307123613,0.3455240203199996,-0.8045607147575348,-0.8401168797838978,1.709203023884717,-0.7769853135732679,1.5877518834858992,1.5451495540176332,-0.7474615738039901,1.2986697096566218,0.0530008954340507,-0.7142256778311348,-0.7650082665763905,-0.5929328348060037,-0.4721964057327893,-0.8865130320647827,-0.7869488305711511,0.33321311717424384,0.2595091367508865,-0.9363925886763412,-0.7257438248395272
LS-411N,-0.5157812135292816,0.9851704303792521,-0.9216556638974828,-0.7448573400361511,0.4029477736862192,-0.7831463836354504,2.0119444389177112,1.2593708072059668,-0.7249869157099712,1.3066805672721722,1.1352491825457456,0.7367144975114884,-0.5812341216113601,1.6484240528202183,-0.3157377797942213,1.6600943362933116,0.7592658574984692,0.6689556973846642,-0.6447140522923068,-0.8613710681114225,-0.5736581060110549,-0.8035289881778288,2.3629744273952324,1.4349158543636866,-0.7701783265782816,1.8377274200970133,0.28407956405658075,-0.5260329101708265,-0.4971978676665815,0.06552325665681974,-0.2725748310220648,-0.8842531810607035,-0.7829293508315645,-0.8513812817026174,0.4396358770294467,-0.8115805967867135,-0.7576439222130742
NCI-H2452,-0.8804861350825718,-0.6283418533793509,-0.8152893202951187,0.4454496311367607,0.17025646066846573,-0.8422505813431483,1.6189478465302651,1.3031242524985998,-0.7585058823420904,0.08774108921539088,2.3628222902645795,0.8937033044428018,-0.5474344559459627,1.2950631564157438,-0.23692084310384084,1.4565790685502111,-0.8611995592262962,0.19545144004369444,-0.9486324106384731,-0.925599593782102,-0.4469678291827772,-0.7957959883814569,2.452200054954455,1.3303801067668102,-0.8187766677513572,0.8754015206373441,0.09760401399569336,-0.6191519726192363,-0.09240100032758544,-0.013938515175990332,-0.2197578310959757,-0.8202770093863658,-0.8495563333356765,-0.9754464289670808,-0.6880578197917618,-0.7670344732611598,-0.6879740343745449
UACC-257,-0.6750475200638192,-0.4821988103553751,-0.8908243651891101,-0.5962763403384393,1.4125574012038709,-0.8662410855587058,2.4311657709511687,1.8849280165238664,-0.8001117400107923,1.1545816074219504,2.054133773691932,0.9370394565712284,-0.7342679023366324,1.7547843262279164,-0.34586812604375106,1.8471595766001685,-0.7743493421752614,0.8782753608378825,-0.9118260300527083,-0.7962078835889862,-0.7967391698283345,-0.7008453265762838,1.999831000808932,2.2583246093223224,-0.8420396555087962,0.6333516847457168,0.3849688032344961,-0.2947082592835378,-0.7415161326108194,0.5618352825418375,-0.30141033445303145,-0.6885204220575362,-0.8039520984158343,-0.7934549073577181,-0.4272048174877889,-0.9029381520137916,-0.5894305541093628
H2369,-0.9023000233336468,0.2512379289214665,-0.8557669454794827,1.6298849063799532,0.06292536632118594,-0.8097984435028492,1.1732035413419741,2.001102004450072,-0.8161290252982791,0.6989842499577816,1.5754331950562548,0.8562469564193216,-0.6282164016549631,1.6080288761817063,-0.33904345968699107,1.5445579811135215,-0.8567435201328462,0.09839268390274533,-0.9225949820592492,-0.9610568243994324,1.4493127811734514,-0.8144144275137892,2.009006829798833,1.5849192336089255,-0.8517966340735853,0.877434611492422,-0.3531338926487317,-0.5053301462911605,-0.7511715414995016,-0.4676400506017951,-0.36749352899912063,-0.5811193386968847,-0.8850560943918334,-0.3796538154110258,-0.7429738795079482,-0.8421114419936374,-0.7002910599162377
H2804,-0.7986785656536896,-0.18670033966901006,-0.7440024663974595,-0.3492256481117047,0.18817317512513027,-0.9329614632409771,1.8835769076724005,1.475219460245916,-0.3137700532425004,0.1717281897747517,2.2969168242446973,0.6662347053463894,-0.8084306923782834,1.7826418781659603,-0.13725471895815236,1.4674726062122696,-0.8187772383757792,0.21110604248894727,-0.8191278286058853,-0.8042608241594377,-0.20386698527880964,-0.5773157611113504,2.5475734558473246,1.8753556015132349,-0.8625930843794138,0.7399248896399361,-0.13632471539308574,-0.6712312401415245,-0.5918396098791368,-0.1855699356598201,0.1213972550003646,0.882387222319586,-0.777594027145229,-0.8662384849652605,-0.5952854737347302,-0.8908998164337509,-0.6745049553994991
