,CNDP1,SRM,ECHS1,ALDH9A1,ALDH3A2,GAD1,GAD2,AOC2,ALDH1B1,HIBCH,ABAT,EHHADH,ALDH2,ACADM,UPB1,ALDH7A1,AOC3,DPYD,HADHA,SMS
CAL-120,-0.9181627063859366,1.9671320958564684,1.9720481464109896,1.2100817854131078,0.231842020673798,-0.2084031630456833,-0.8167172515848038,-0.6477962115679241,0.008274927054878218,1.3345049690872892,-0.8139840272368037,-0.3866006648969344,-0.5735240766781223,0.8379265663628765,-0.7084019181016543,0.07660478013277394,-0.8605623741697189,0.6575152227700877,1.6317527988806764,-0.7695887985690437
ETK-1,-0.9260632867222556,1.6381117571314687,2.254980495138031,1.385396250560643,1.42962632453344,-0.1606068816966689,-0.9008315828623716,-0.7417133367284634,0.2441318382017762,0.6099668503699301,0.06584021091666144,-0.32772303333266395,0.9114722626628818,0.6562896545421132,-0.6834232989622141,-0.2643617845049873,-0.8342127295338907,-0.6590695806039254,1.4316281714788657,-0.8063639849460132
H2731,-0.9310301735145754,1.826558365116029,2.3304501221137843,0.992163447020683,1.6319105319852691,-0.4721087154318123,-0.8824989897035109,-0.7421090302624354,-0.059105169668798085,0.8804289561407744,-0.6896410114926524,-0.6526178510443982,0.5838356223205006,0.84761244141384,-0.7871922732822091,-0.6458411413083338,-0.6403123706089272,-0.5119138151065548,1.4227734448246203,-0.6107375397210023
NCI-H441,-0.8750735444390408,1.51181159108011,1.9153961780485869,1.3771048331169842,1.3328593613159094,-0.10657475554195253,-0.8774440773470842,-0.6727486982872444,0.25347155570844954,1.8139367540656293,-0.6735827441073942,-0.4409448709338684,1.3361735785661355,1.2350692078137306,-0.7324065140340892,0.07464304281000254,-0.815018367648,-0.01737587513379166,1.5158038255465662,-0.8703644246061023
NCI-H358,-0.8675764598268336,1.3897856566789022,1.5877518834858992,1.5451495540176332,1.2986697096566218,-0.04184800946501383,-0.9252258501803119,-0.6464240949885564,-0.16216697369108254,1.3190681062781142,-0.7015206078808988,-0.7142256778311348,0.04045089275782979,0.8637539660418657,-0.8089008236087415,-0.4721964057327893,-0.7800597481158519,-0.3495024865940339,1.6070449066401358,-0.8896992105326633
LS-411N,-0.8904090353856372,1.5353705051352422,2.3629744273952324,1.4349158543636866,1.8377274200970133,0.002328444111673949,-0.8866069477574633,-0.4715651213646404,0.4029477736862192,1.223854573266451,-0.3333939756864037,-0.5260329101708265,2.0119444389177112,0.9259579545420638,-0.6125299523018616,-0.2725748310220648,-0.7707096387144868,-0.8904627209144574,1.6600943362933116,-0.8236685277246047
NCI-H2452,-0.8544284553930981,1.954563366094876,2.452200054954455,1.3303801067668102,0.8754015206373441,-0.6591997210301488,-0.908867950897174,-0.5534248315652405,0.17025646066846573,0.3227973973868609,-0.7809529636111671,-0.6191519726192363,1.6189478465302651,0.6513580142219939,-0.8471212347064031,-0.2197578310959757,-0.7365481486906869,-0.2889667274664358,1.4565790685502111,-0.6272542680020218
UACC-257,-0.5281562402358857,2.479248480105833,1.999831000808932,2.2583246093223224,0.6333516847457168,-0.5486714482367274,-0.8628217824069528,-0.6841690731387604,1.4125574012038709,1.9710733688651365,-0.7611553734814708,-0.2947082592835378,2.4311657709511687,1.1328666066244713,-0.7840468950758325,-0.30141033445303145,-0.7086090395650888,-0.9137566218146864,1.8471595766001685,-0.7921218991983978
H2369,-0.8525219133078721,1.8643410939936371,2.009006829798833,1.5849192336089255,0.877434611492422,-0.2966214581014266,-0.8662284408808654,0.035843713464197534,0.06292536632118594,0.1437774909232701,-0.5277507680716312,-0.5053301462911605,1.1732035413419741,0.7449953703153405,-0.7688610791087633,-0.36749352899912063,-0.618035129256107,-0.2543412200123062,1.5445579811135215,-0.7427328147728554
H2804,-0.8751117904036351,2.095977275729426,2.5475734558473246,1.8753556015132349,0.7399248896399361,-0.8528781648503976,-0.8297554852285958,-0.5243275731931071,0.18817317512513027,0.8506536478594491,-0.6917293536665433,-0.6712312401415245,1.8835769076724005,1.0605702980878806,-0.8521260413430906,0.1213972550003646,-0.7744393037405071,-0.5153765376390406,1.4674726062122696,-0.6090803672817707
