,GGT7,CSAD,GGT5,GAD1,BAAT,GAD2,GGT6,CDO1,ADO
CAL-120,-0.7935460939168354,0.11404094760385645,-0.8044088012487987,-0.2084031630456833,-0.8246923178924308,-0.8167172515848038,-0.8725158627210782,-0.9401226896241568,1.4952767552974795
ETK-1,-0.6471657761197817,-0.22038245439987256,-0.8081646616682321,-0.1606068816966689,-0.8758516215367661,-0.9008315828623716,-0.8051834562930424,-0.9626855998714544,1.1172669351146107
H2731,-0.7960955704100997,0.3567427979057233,-0.6476350254803427,-0.4721087154318123,-0.8494254244385824,-0.8824989897035109,-0.7995194125687247,-0.9166078972330336,1.03358213387704
NCI-H441,-0.6086801630650871,0.381291975356691,-0.8229400916297285,-0.10657475554195253,-0.8685046160691875,-0.8774440773470842,-0.7516439437842379,-0.9083113001520486,1.1324286701242359
NCI-H358,-0.18647368127645134,1.0556909171029452,-0.6502685030174301,-0.04184800946501383,-0.841037473183299,-0.9252258501803119,-0.7840460818702106,-0.9850143780233794,1.148817526204278
LS-411N,-0.8472246085178619,0.7963520532980597,-0.7824874458344901,0.002328444111673949,-0.7870097030253941,-0.8866069477574633,-0.6896076135310647,-0.9436783672639336,1.6334962635728756
NCI-H2452,-0.8635570848990332,0.4158880967937749,-0.8265077804042921,-0.6591997210301488,-0.8366205182665633,-0.908867950897174,-0.8149787606346669,-0.8049454016445309,1.2230835923224468
UACC-257,-0.23401959612648546,0.4274094965854655,-0.8481461113424585,-0.5486714482367274,-0.7045108355914584,-0.8628217824069528,-0.8410758674492299,-0.9153902878519788,1.5618560217969106
H2369,-0.5090612137826012,0.4807819881958347,-0.8463375200372202,-0.2966214581014266,-0.8292364141967566,-0.8662284408808654,-0.7712126366267444,1.2879817844949348,1.2804887094183277
H2804,-0.8019740822252371,0.7068340978879826,-0.5104840848354046,-0.8528781648503976,-0.8338236083209055,-0.8297554852285958,-0.8407916853994546,-0.9412337395387416,1.289881922905064
