,METTL6,AHCY,SEPHS1,SEPHS2,METTL2B,HEMK1,GGT6,LCMT2,PAPSS1,PAPSS2,AHCYL1,GGT7,GGT5,MAT2B,MAT1A,LCMT1,CBS,AHCYL2,CTH,MAT2A,MARS
CAL-120,0.7342422428519263,2.131846223696216,1.5063512324335633,2.0425290131405713,0.3004105275074889,0.2860669653050988,-0.8725158627210782,0.2250790527384167,1.4028595543453115,0.5447291303399355,1.5254042123428713,-0.7935460939168354,-0.8044088012487987,1.3619672960283278,-0.8507841287635833,1.2798830271545103,0.8961332018380318,-0.42125102882259824,0.5387940076038976,0.8395421614784842,0.7713629365032555
ETK-1,0.2986013101526153,1.6723704336219478,1.2927090183989032,1.5612831015438091,0.6819279585702821,-0.27126606004777937,-0.8051834562930424,0.21753311825339716,1.3271072275388789,1.1930962557249989,1.803985750809412,-0.6471657761197817,-0.8081646616682321,1.3707111136685506,-0.7548093029073855,1.6575808106629912,0.9804325780254536,-0.17338739555738278,1.5744823732131683,0.5475267368825824,1.1065891721124976
H2731,1.041009856823197,1.461384798440427,1.2117627410765976,1.4864890652782887,0.597650524507943,-0.5199105666344509,-0.7995194125687247,0.3437003056630671,0.655713660939116,1.7714440701857084,1.8387002468007323,-0.7960955704100997,-0.6476350254803427,1.371074935401238,-0.6870880690205732,1.6106723950680126,1.209855709947804,-0.6080240269210908,-0.4161425402742934,0.96936915643712,0.9825310757122604
NCI-H441,0.2367855021518241,1.9693876419438223,0.528646629886469,1.6958373123691288,1.0197720426960122,-0.09339269357685548,-0.7516439437842379,0.021857338705460968,1.3051657496737008,1.1953007534221078,1.5318334962503146,-0.6086801630650871,-0.8229400916297285,1.3814476516008916,-0.8178180569512816,1.2547282664997006,1.1917058491363897,0.11167578324204193,1.833846044462941,0.4247522093642111,1.1712521807602947
NCI-H358,0.597955777337684,1.7111622217705793,0.6513827096214388,1.6442518629717788,0.7739536338364359,-0.09087200431976104,-0.7840460818702106,0.2495351310655608,1.324561366802805,0.03945512199807417,1.7944271079303664,-0.18647368127645134,-0.6502685030174301,1.2879527370044468,-0.8405639529409512,1.195623202553484,1.3238298419978445,-0.24808237028404045,1.4759645837694189,0.6835721395118979,1.644949373805792
LS-411N,0.14468364673739428,1.6588567166358954,1.2755513548157973,1.8648589578495252,1.1235917392284591,-0.2956561691451245,-0.6896076135310647,0.186975438864952,1.260796536140097,0.8523095202763127,1.3146342306787262,-0.8472246085178619,-0.7824874458344901,1.4400324111539446,-0.7387531108225117,1.4816553624369713,-0.8424550753299176,0.007370411105623316,0.14957959134942422,0.9818224784716664,1.1362961562454457
NCI-H2452,0.3936265715021891,1.588422587918236,1.1242691835859655,1.5315039019669656,0.5649317766491788,-0.18950441736616064,-0.8149787606346669,0.5404768058842709,0.7432476206276519,2.246542643716195,1.4110949637146042,-0.8635570848990332,-0.8265077804042921,1.5670954620459254,-0.9084981378691904,1.3395395765373443,0.9305126714939268,-0.4473090463883969,-0.6066506754608373,0.3511297855135529,1.0994200157692593
UACC-257,0.5206629706094782,2.009779553754937,0.5849389792273808,2.0150851496116995,0.7865449318833369,-0.08650559971427077,-0.8410758674492299,0.9019774627741264,1.4841010905523089,-0.3496031930773771,1.7198283912604069,-0.23401959612648546,-0.8481461113424585,1.1791727399512089,-0.9003490528825733,1.4800409167482411,-0.07394312080500316,0.3369637768727866,0.9657039611473004,1.167570353074799,0.8395312073789638
H2369,0.7764276745396564,1.5746073272603582,1.0307953700025,2.0372673189800588,0.584506637594595,-0.4015902887443956,-0.7712126366267444,0.04941353583774838,1.045886437207984,2.5206139458659558,1.2831680945599335,-0.5090612137826012,-0.8463375200372202,1.5655424904338873,-0.8213733744182632,1.4987177005685424,0.8898095575068811,-0.6103996195383606,1.563663239562236,0.4733191307970541,1.6240335703958484
H2804,0.6919664423270917,1.598899774626691,1.1892458793652751,1.5271278542979947,0.2935957042000558,-0.4544480912794559,-0.8407916853994546,0.3818901163751223,0.872533903318802,1.603407028033924,1.6874647905153437,-0.8019740822252371,-0.5104840848354046,1.3264931706056615,-0.7350853466508682,1.2147365327286077,0.379886050404032,-0.6187636306183857,-0.3526220107392096,0.7590792388709904,0.9650266330057709
