,SRM,GSTP1,GSTZ1,RRM2B,SMS,PGD,GSTO1,GSTA5,MGST2,LAP3,MGST1,MGST3,GSTA3,GPX7,GSTA4,GPX6,GSTM4,GGCT,GSTM3,GSTA1,GSTA2,GSR,GSS,RRM1,RRM2,GCLC,GSTK1,GPX5,TXNDC12,GPX1,GPX2,GPX3,IDH2,GPX4,IDH1,OPLAH,GCLM,GGT6,ANPEP,GGT7,GSTO2,GGT5,G6PD,ODC1
CAL-120,1.9671320958564684,3.0192711098533644,0.19064360302383768,-0.6496402734160119,-0.7695887985690437,1.859847623351432,2.16444335447265,-0.7876069483233337,0.7556798209952766,0.7485538764948821,3.028577662825334,2.0857777629149905,-0.30184087554621314,-0.6981126797234954,0.460214870860645,-0.6264640938862841,-0.7897381138158951,1.457655678773032,-0.5332510367985661,-0.8199648112019865,-0.8630360521065041,0.12077770122978647,1.4099484997480738,2.0698027552747327,2.2406269999227213,0.19409346101096825,-0.3460290751310591,-0.9294693128153324,2.166768950948867,3.107617267761862,-0.807920401886688,-0.6146080432826276,0.6592388791249838,2.8764184132050805,1.1558655138313991,0.13687222408481753,-0.1292350591344378,-0.8725158627210782,0.2894550888300302,-0.7935460939168354,0.6590581485117187,-0.8044088012487987,0.0025511201128115635,1.9521645781348045
ETK-1,1.6381117571314687,3.619078992952411,1.3622710230359458,-0.7158063831172196,-0.8063639849460132,2.8813208296917967,2.4268648796623364,-0.8572221512390698,2.4069511691396905,0.6154491854582638,3.351921897353388,2.6241036960863484,-0.4534359369394035,-0.7977173026260012,-0.3049317835293492,-0.6577314330543395,-0.016421748628770574,2.2450165375840454,-0.18508549906917532,-0.8339209204406381,-0.8210340444530874,1.939620919247524,1.6844721247649783,1.5253939396776248,2.2898356342109234,1.3478426514106827,0.12859425896948765,-0.9299789486579344,1.9055227708328482,2.8844137010597484,2.6704724660246946,0.26689764727213605,1.4182934472688922,3.15687501170443,2.5685234808710686,0.2039558719488522,1.7804828545887894,-0.8051834562930424,0.5020550690559558,-0.6471657761197817,0.33259401655507825,-0.8081646616682321,2.169781095150241,1.571884817049276
H2731,1.826558365116029,2.915636919029544,0.44962115355133375,-0.7397208327938782,-0.6107375397210023,2.2326967150616257,2.337021314520051,-0.7483047158237892,0.4069297917554349,0.5600585846431952,-0.4173968547919304,2.2710084386704352,-0.6942434071141036,-0.9686262676771866,-0.4147579827294903,-0.6570069125869626,-0.673516201594511,2.1135577069489084,0.3859306487691396,-0.7098839152659562,-0.9846694546533988,1.1472840451121935,1.290256841760329,1.9439662740672308,2.5158550296776663,0.642875120638656,-0.6698474790917873,-0.8476883795829783,1.9700829872919312,2.6698456166053397,-0.6467290472175702,-0.1207156119533066,0.1654164287319786,3.309515611325053,1.7667763464936113,-0.00109441397816336,0.8813888916468636,-0.7995194125687247,-0.9176363281724302,-0.7960955704100997,-0.7384948568862693,-0.6476350254803427,0.7866807984324679,2.8089873072594704
NCI-H441,1.51181159108011,2.9112018192872933,0.392920354680832,-0.5805362452666549,-0.8703644246061023,1.3071985432909554,1.974377214342096,-0.8334261493905601,1.9646881708572863,0.7371938307977227,3.4895313578704448,2.327820103852521,-0.44145002836618863,-0.916981635293358,0.9612835443653438,-0.6462990162426455,-0.9227923571924704,1.6142603294168825,-0.7363589387844728,-0.8336803026037699,-0.5948444821389502,1.331190598510542,1.195258842687591,1.6497051960233495,2.5516260601614684,0.8007830076752622,-0.2641718003643327,-0.8207575761490769,2.038209485640958,2.9838711828381985,-0.8304753456830438,1.4176374510875536,0.4091018229307477,3.3940522260785753,1.9320700460667521,0.6490553096617458,0.3026860554391255,-0.7516439437842379,-0.8827060147025289,-0.6086801630650871,0.3551954035266829,-0.8229400916297285,0.03455121353411642,2.1009620273923453
NCI-H358,1.3897856566789022,3.1544709749425346,0.09884561806825516,-0.430588176686982,-0.8896992105326633,1.21090232459416,1.7058338162747817,-0.727861358519177,1.7226727475429342,0.5190068881362605,3.0337154885623856,1.881450103545184,-0.5387250697351069,-0.9710822187903532,1.8732800949384287,-0.6910233372938032,-0.8517483028362303,1.8332002582542384,-0.7550460952191017,-0.7823577592806353,-0.9096424207963628,1.792533241551292,1.142774173239821,0.7222040669170015,0.0740705586811348,0.9312387582882664,-0.3168261465876571,-0.9443703594988996,1.9863282256881776,3.263580115341064,-0.05138646240098956,-0.1766143722417092,0.8913837311998359,3.1035987230534134,2.1354673854881145,0.7951867090159536,0.04387391193538809,-0.7840460818702106,-0.6966236249736448,-0.18647368127645134,0.4200451920646525,-0.6502685030174301,0.31548326125797577,1.870357412764847
LS-411N,1.5353705051352422,3.3294297456938,0.6239298995108712,-0.6811007992271406,-0.8236685277246047,1.6935535998372708,2.2883877961582653,-0.8279526568763527,2.3562252338585568,0.7126900434940439,2.820221506067568,2.377763387688719,-0.4074948459207625,-0.9731378267901384,0.1034934635909594,-0.6015650719117654,-0.3882181302573123,2.3405861256884894,-0.7381681760427609,-0.8558783140377563,-0.8642826725080746,1.0680770562539497,0.6334721388187755,1.443063128583698,1.8247257869271372,0.7747782643248401,0.02716580035226384,-0.7651227805265489,2.290689703773518,2.704439991472283,2.7251400621507487,-0.945585975884534,0.998437171683037,2.977162445511752,2.1304316132593235,1.2472895111269346,0.05280924593632591,-0.6896076135310647,-0.6041759797330152,-0.8472246085178619,1.5239275597904065,-0.7824874458344901,-0.3157931049640979,2.6450181881269117
NCI-H2452,1.954563366094876,3.2748026454044914,0.07598665287729578,-0.6818264455684206,-0.6272542680020218,2.0081084296268283,2.875784798129363,-0.7823920428900561,-0.30237176094797225,1.204705844416614,3.1216078196759085,2.6903053731414546,-0.5965501483449979,-0.8954395672599986,0.5625002796743249,-0.6644000164386651,-0.8587329329372952,1.7594112536222557,-0.19623035156808008,-0.6631886670950263,-0.8125510068639703,1.0341499383535355,1.1951020315183247,1.9889485060916277,1.9721921900698582,-0.028403248736661932,-0.3195306004766609,-0.8474122642037922,2.028799298682829,2.3782405791796903,-0.7869664368169453,-0.7609513242789446,-0.008436728541808762,3.2896681571545723,1.1907883157721728,0.2566907411343449,-0.06655676838992874,-0.8149787606346669,-0.799076890172053,-0.8635570848990332,-0.7046585684893132,-0.8265077804042921,0.9474838882339311,2.877611585376029
UACC-257,2.479248480105833,2.929828896232297,1.0398361804017908,-0.5200499356766011,-0.7921218991983978,1.7477296274154452,2.968387611509037,-0.8376182951367132,2.1000616483272823,0.6223672943773734,2.61982598062293,2.7972147816837856,-0.3607485792196856,-0.8216226256490193,1.213507157922052,-0.664372686753547,-0.3067678372533201,1.918951365678345,-0.0920867445517648,-0.7336086942044334,-0.7950197735715115,1.0735677620583328,1.3815722304679945,1.4849715104003067,2.4488413100521518,0.2551531769935161,-0.24050250478585314,-0.8160393146063974,2.216697997812223,2.967444133533085,-0.6458327340795509,-0.9499138599476418,0.5797250772542998,3.1569431004240336,2.1516639489373826,-0.16659241349446874,0.04658305594772957,-0.8410758674492299,-0.8513505808575027,-0.23401959612648546,-0.7813787171836768,-0.8481461113424585,0.6687496070756752,2.1623359736378847
H2369,1.8643410939936371,3.2491202821835343,0.13302628365119193,-0.04061344574464351,-0.7427328147728554,0.9453611802940294,2.6718161755548797,-0.7821283210010371,1.3213506571030034,0.4017044814833247,3.2837168488790947,2.7138977331051373,-0.521883192510683,-0.9622359443319568,1.0838662410728228,-0.7329442682576384,-0.6815946242000561,1.9046453846420577,-0.15192999061789872,-0.7819096802586909,-0.9910497052447402,1.0708331672456994,1.0929255923422487,1.5774534154135256,0.4355489250044479,0.6271230244853606,-0.3074335141321191,-0.9245809176849894,2.3629395884413524,3.0393581513325905,-0.7300072097438001,-0.41746883500832216,0.2992478045536559,2.808231914401373,2.069785643404556,0.6202214519070244,0.07095550034286867,-0.7712126366267444,0.22407751471726392,-0.5090612137826012,-0.3219867214531626,-0.8463375200372202,0.322030628760318,2.5205625176139024
H2804,2.095977275729426,3.320532179932305,-0.02755122354060129,-0.6647315848034581,-0.6090803672817707,2.403736636649417,1.975762388024933,-0.8661845264960584,-0.034818182352388906,1.0710506049407091,3.272379415365846,2.8887920323056124,-0.4263796510400804,-0.8560630241090713,0.6288467240329163,-0.5823226649567242,-0.2509969358397274,2.0558657254038155,-0.6342594444761136,-0.82891736410521,-0.8342305640314346,2.0207027830587267,1.1716431298829313,1.9547681744262828,2.2334935102956512,0.8982889527679664,-0.6100627396417079,-0.9009483191570864,1.8200618017397456,2.5199846486391544,-0.7169638637507348,-0.8625423667887305,0.05979666476232187,2.974011056937212,2.2336190435990857,1.087549145142804,0.894445845276306,-0.8407916853994546,-0.8275615395003505,-0.8019740822252371,-0.8100999629250614,-0.5104840848354046,1.1667271207873011,2.6419604611206267
