,ALG13,DOLPP1,RPN1,ALG14,MAN1B1,ALG3,B4GALT1,MGAT5,RPN2,STT3A,DAD1,MGAT2,ALG12,TUSC3,MAN1C1,DPM2,DPM1,GANAB,ALG1,MGAT4A,STT3B,MAN1A2,ALG8,ALG2,DPAGT1,RFT1,DPM3,DDOST,MGAT4B,ALG6,MAN2A2,MAN1A1,MAN2A1,ST6GAL1,B4GALT3,ALG5,B4GALT2,MGAT5B,ALG9,MOGS,FUT8,MGAT1
CAL-120,0.8256588686693342,-0.5246080915368787,2.3362586509603465,1.2239127433168742,0.3795851495123383,1.041377411049272,-0.6467878959695502,-0.9160639225531186,2.9360794228812304,2.7487983029634218,2.692391276829621,0.4711354499291801,-0.6720050726655619,1.4764096102037132,-0.8404373616585246,1.3115697493027814,2.5343998164732606,1.9564879006977836,-0.5507568779522245,-0.8765041271587742,0.9670797378611224,0.10831005164359997,1.4409313487629078,0.5024935656274528,0.8649661520802552,0.225589379252656,1.7667422813088902,2.584232848435148,1.5029114313626313,-0.7804397794284479,-0.2292919334478378,-0.9471634139629952,2.4538105356923055,-0.14093819156820234,0.7624981731647292,1.8188568607542912,1.0166097185033989,-0.639046170862086,0.074321431621023,0.05446138316319325,0.994911195069867,0.5235361235515986
ETK-1,0.8751737292597019,-0.429217358751313,2.151046211780533,1.0685225174156592,0.7379143109106409,0.9636685425122732,-0.3651518161546927,-0.8895678271992197,3.0282234273610324,2.6654331916227827,2.8937036983090785,0.1717258428668031,-0.687472435398782,0.05375710489467905,-0.8670691871680338,1.070419748293003,2.4016741578823666,2.053309261479498,-0.6388114858313435,-0.34990870163424403,1.1493023840705063,0.259990440500479,1.5041410085211382,0.2006846012423236,1.23121922070184,0.04280531632274863,1.6947786690609,2.610430296655169,1.8691009811163464,-0.9615443876290894,-0.3870519365523992,-0.2682811011745404,1.4162695534032137,-0.0902164380997794,1.451752231321282,1.4338837045456765,0.8606833994216839,-0.6568114208694062,0.4546089514662764,0.06014385937174047,1.4184446924309049,0.27615791237022863
H2731,0.6888069987167171,-0.3190178757832489,2.1440866499157947,1.115784496531251,0.4808480028127333,1.1014958381228646,-0.6334274796219519,-0.9498991995768248,2.767062906655364,2.3322455475905075,2.7537287127697154,0.1794671079325491,-0.7863321571710753,1.7306904363989453,-0.7425746988018204,1.3557158292903508,2.6293137903683337,1.7604266216979,-0.3013690272106322,-0.8526241777542106,1.3671824787178648,0.005855179387549094,1.4039650627116576,0.5526016598081676,0.5820770695950235,0.14129190835286945,0.656970918663321,2.3549477313234086,2.014200245369864,-0.6364616667031748,-0.26753971087428857,-0.5506149117451195,2.0393464872889115,-0.519106328839938,1.0075872087339324,2.087396844236281,0.736898088624105,-0.5341929181054571,-0.037773564754678704,-0.19984871589705447,0.3988397834190632,0.6241305336280071
NCI-H441,0.5525371926945635,-0.5167122725530336,1.9643550541755943,0.3959108681436654,0.27239570384667433,1.0695671693075586,-0.17603316314489936,-0.8981299517926092,2.924854477599237,2.3226898710102373,2.7741759298945605,0.2345140110045118,-0.620110016184424,0.8375154162499305,-0.9104106363078698,1.1338705091181216,2.4691124140736016,1.821476514644584,-0.17201867934915654,-0.29784203513121565,1.4017266152952756,0.3608957461807496,1.0848311733358509,0.2177890482999037,0.8863367979710275,0.13836106034811216,1.117519089619806,2.5361569122500174,1.6036337719784166,-0.7394543322688937,-0.05128052800487218,0.9819086670863492,2.4060405635834914,0.0144919700277899,1.5138255897722253,1.8046221806121745,1.1461157324404674,-0.684255757961152,0.054653044467811,0.1489259309453206,2.2205880043235307,0.7785438771494207
NCI-H358,0.3664622156055453,-0.4417102892991772,2.0004607405915182,0.6765297364915429,0.6597205925147421,0.7739287460449766,-0.3461594266737323,-0.9977049977989788,2.8811244087670778,2.680657873035755,2.9073976009383498,0.10669859806162396,-0.9285733893220892,1.825523366952326,-0.8158527636911863,1.7031295603378185,2.499602685466064,1.9369245723022752,-0.6610989812970722,-0.6772997373596287,1.3492220401799102,0.2061123661201934,1.400101900186011,0.6395166775050243,0.9252222427011004,0.30723906905956405,2.217668269600843,2.86951928942747,1.3108919139093267,-0.9241669978323362,-0.03196364302812569,-0.3071355983130029,2.3657858117526653,0.6588927208740393,1.821571231304273,1.9036756720624688,0.37900061025749177,-0.7605925207292361,0.31068124299992217,0.1899882220807699,2.373448749530022,0.3331066532015424
LS-411N,0.8411544156297533,-0.4068912027718248,2.280303165844352,0.4764176882172372,0.02043029638499402,1.033178143472984,-0.4136204986677969,-0.9312360477483356,2.943824459918949,2.4710992186889915,2.5785224248682264,0.2769252922493643,-0.7028334669217973,-0.7870979786919738,-0.9021625202385224,1.1687097292267417,2.279563156439884,1.6743496165425702,-0.5372043469554992,-0.4385967028203041,1.5483444932910655,0.7239133643293771,1.2106263297728928,0.473373208622578,0.591576583107197,0.12549922723657156,1.5968138568956982,2.530249852407334,1.6763527386474193,-0.8130561706239974,0.2610053856069889,0.4592933288134769,0.3824223802672528,0.8658263216377131,1.2065599889731091,2.4291324070254414,0.6876138096773116,-0.7117341469593275,0.016381888985866806,0.1915322191468154,1.6001835416767416,0.4914855521017432
NCI-H2452,0.943371068108504,-0.4630328051869767,2.2110889919378875,0.8148354948573018,1.0327641539383794,1.1981253243520562,-0.4191914599876405,-1.0481729898794487,2.9133628672177316,2.5056877038777152,2.603885946608927,0.20315678509352086,-0.6355715265514555,1.7797059416172338,-0.7577301939464212,1.5093316334987708,2.3512413041633953,1.7005107797616297,-0.08448673526720385,-0.7989054128424259,1.64905043901528,-0.03823528560653865,1.2239894782587477,0.25164746277839883,0.8361229720006585,-0.11051041433977976,1.0021732042212692,2.5466440424725194,2.3403364317688515,-0.7686477068249968,0.3577850581792656,-0.059276420411968525,2.1486099593935823,0.2301241498957333,0.8829594518128374,2.1346080268613408,1.072523164939965,-0.7644227612671932,0.11268174071965335,-0.17900379020442292,0.892805616826728,0.5544212761619931
UACC-257,0.8828345996800305,-0.5584541139628939,2.271229412558033,1.4599756272829534,0.4312002087370017,1.349235111056977,-0.5303836558270764,-0.8561391757570957,3.1567022241570215,2.5554949591022127,2.866831686455654,0.1971077949592287,-0.5700134907600701,1.0750331264162327,-0.1411691085093977,1.4252275461122403,2.3532552944140948,1.8357744795045319,-0.413014496793845,-0.553964807373481,1.1770719160537826,-0.08828246594429573,1.749716738743757,0.3348036062728064,1.1288660852093777,0.05264834462073861,1.8429361092792147,2.7583269486602493,1.3648431669225225,-0.3832509930337326,0.06706093361564518,-0.9331832707490391,0.9546968406778558,1.202040602343018,1.5845622566628212,2.357050828537319,0.8281089503937389,-0.6158208369454724,0.5604094096272184,-0.10151333562054182,0.3571069973854546,1.2544922031116517
H2369,0.9736336064279923,-0.7470448275133416,2.036897424949294,0.5377363763741365,0.43530062086757293,0.82310023824781,-0.3444879591203833,-0.9877127964592652,2.7940501004474183,2.2112011095228725,2.6188213526150235,-0.002593233241630163,-0.8479641179576167,1.0882584341257675,-0.8373508223749612,1.5865858558644097,2.555040601635364,1.640995399624267,-0.4970634303005621,-0.8549095943922274,1.3990720954065563,-0.0027306331428065,1.2263764592008846,0.7292633386795323,0.6593989372663488,-0.21509968860353929,1.8196474228181096,2.4146296488200765,1.6013259190139448,-0.8158643605660412,0.28728366283452145,-0.5346261050357368,1.8788771693417268,-0.5947863246231633,0.994577884942742,1.7916521997665025,0.9140087168836516,-0.6885546302475334,0.431658486745681,-0.3324974325924309,0.5293972899227568,0.5650560892888373
H2804,0.9340824640945364,-0.22625406078202576,2.1993276243646465,1.1359195187683264,0.7846381867007262,1.222447968065095,-0.422694138039276,-0.9241829578614704,2.9683651600302605,2.4633390053343054,2.6939834719777105,0.1558714780585539,-0.8091990101762678,1.5733930890625236,-0.6864954156739105,1.5428521427444537,2.4684562138438277,1.688588462974649,-0.12478522350232728,-0.8538011962562926,1.163738910029087,0.035360822766205405,1.2205166391078242,0.6680006278170207,0.6511318914013969,0.20225839132697487,2.1300332110225426,2.5308086318785272,2.250104518349583,-0.7597068715169674,-0.1944871844354368,-0.6853005173556749,1.4550449060588737,-0.10047628958865977,1.6532383229312648,1.9955539624821568,0.8683641241804939,-0.6720050818511811,0.006843173713378732,-0.1801291292413671,0.176370492490863,0.5692889374019071
