,ENGASE,GLB1,MANBA,MAN2B1,GBA,NEU4,NEU2,NEU1,FUCA1,FUCA2,AGA,MAN2C1,MAN2B2,NEU3,HEXB
CAL-120,-0.5085252865109265,1.0987193951135263,0.37373893724880736,0.3974180026214327,0.485194140324563,-0.3994399850240456,-0.6508600330957943,1.4408934839525365,0.8525190871686551,1.5449387368885494,0.34705288259270844,-0.22459435958283566,-0.1326577738654997,-0.7897862479901002,2.3021288023919166
ETK-1,-0.5303424797935892,1.5200194688503377,0.5389005217153783,0.2615180531106479,0.8555720579490945,-0.492732419231469,-0.5956602960967069,2.370236958451415,1.3660594730382196,2.1127570827387103,0.9671021332901863,-0.1289934975415194,-0.252887867863051,-0.8218972782617613,2.3377550246780907
H2731,-0.5370070593926723,2.0242291979011235,0.3821466359327629,0.04179104198623928,0.11649141887288142,-0.4425393652530196,-0.642810119737244,2.396622303939708,0.3160550331282789,1.8422508950807883,0.02051562012987736,-0.3124133994389064,0.0755481217055362,-0.8194767035010441,2.79174379403881
NCI-H441,-0.5550574682136431,1.4577923569816431,1.2601647892288583,0.02134431016983805,0.2738094667666329,-0.4921180675661929,-0.7083525020331412,1.3402903521561662,2.039397367197305,1.218614084329804,0.98900459224052,-0.10049815185462063,-0.00320662424770205,-0.7357985721520628,2.4151337400878403
NCI-H358,-0.4841305009314327,2.206337133368824,0.9968801620766898,-0.15840683546732867,0.12792107116754875,-0.4186433693083593,-0.7308572188022741,1.7113886309544268,2.1157649343158083,1.223917992476323,1.0685660822089549,0.19126799984604972,0.2510479707830702,-0.7967820439239569,2.207198335852345
LS-411N,-0.4549353828513271,2.1110961743092105,1.2233932445801912,0.04930222526430477,0.3687944920683114,-0.31342704512094177,-0.6150015058922558,1.5245184030116163,1.3111599353186378,1.8152588721559924,0.30529423649670817,-0.18144496505327493,-0.1027085331597586,-0.7621218975356657,2.5582742542463595
NCI-H2452,-0.6162463210318163,2.3685750862147827,0.6240903345371919,0.009037159994383284,0.8519481659884036,-0.4283224976894281,-0.599424116845528,2.0192149155675603,0.9182775701805242,1.8840451388201631,0.8061790359547105,-0.07384158767428686,-0.03103635231899135,-0.77277510796108,2.8795475278234983
UACC-257,-0.5332634507011172,1.7444006666428682,0.4393761926629833,0.7155333768224804,1.7420865982149534,-0.35587024451369115,-0.5840928607153849,2.290441711859174,1.6546723183879701,1.5251047386131844,1.2637934933170456,0.07992987983434002,-0.2289335155402653,-0.7245448690835058,2.7626763569334223
H2369,-0.3886814279568723,1.7562044262140506,0.5200139097179125,0.5766745891810335,0.2216649190605401,-0.34543108323858057,-0.702930300166139,1.8663053030997818,1.2635125067001711,1.3151264325726126,1.5610578687932943,0.1797669549196587,-0.19513227481707926,-0.8459318747336968,2.907486523967417
H2804,-0.3713230447277113,1.8205185709194225,0.3976873810671531,0.15149520196945002,0.5600047585460719,-0.3808689008762767,-0.623350009583337,1.777143893521976,-0.013043238914490626,1.6987768258150575,1.001584439271625,-0.281756770946024,-0.16220878652115964,-0.8000651065135279,2.8838783085390256
