,GALNTL5,GALNT6,GALNT5,GALNTL6,GALNT13,GCNT3,GALNT10,ST6GALNAC1,GALNT9,GALNT7,GCNT4,GALNT11,GCNT1,GALNT8,GALNT14,B3GNT6,C1GALT1,GALNT12,GALNT2,GALNT3,GALNT1,ST3GAL2,ST3GAL1,B4GALT5,C1GALT1C1
CAL-120,-0.6776241370096608,-0.8159871095515171,-0.5526438660504824,-0.9009209945074628,-0.7441392487426055,-0.7667418437688517,-0.134950188477713,-0.9858277034530998,-0.7905593581261964,1.103322794171908,-0.926538667294588,0.22786539627386265,-0.6536970155949055,-0.7866339472538726,0.8326873888696255,-0.7248281686127281,0.31612799629844435,-0.6935471732256053,-0.14752795963581786,0.5566956200496629,1.4615769930908538,-0.4407656501638335,-0.5944157822240465,-0.02043631129376352,1.7108907229449255
ETK-1,-0.6965246039190497,0.16289020538497573,0.013325960032894407,-0.933508200579076,-0.91128665791326,0.1874551228943157,-0.36396467076131017,-0.7733820343344925,-0.7535715300787396,1.799690700762412,-1.0097595630217973,0.2800630621226541,-0.3798666686607642,-0.7410123347924681,0.5337848860682979,-0.5898053237729964,1.1371837224858594,0.7975918783143877,1.1804140687215237,1.9122956642971736,1.6506185398774198,-0.5281754669904105,0.2080078808151475,0.39349691433879,1.2809626729512202
H2731,-0.6944870194016192,-0.9226927992023736,-0.95573519982321,-0.921051300881961,-0.5194938752754037,-0.7226119818099954,0.4196766059000884,-0.9255505907207604,-0.5568631818252789,0.7138207046399557,-0.9162882955664212,0.2616436375231576,-0.43807346679901815,-0.7948859880009815,-0.3941182175382326,-0.719287407455606,0.5868451017499174,-0.2522241294856848,0.10727011093826266,-0.8682156369401997,0.9878766710532432,-0.27450863724000096,-0.200375570713797,0.3412527373962632,0.8060938976488016
NCI-H441,-0.7145711365941856,1.2539149282178408,0.8612369767458222,-0.8809299778845945,-0.8309714799298141,0.7519812049032883,0.725952428115498,1.3168343265800682,-0.7870856107252554,2.13689173037705,-0.8925604296669646,0.8890952914664813,-0.1247885443229698,-0.7274529279681803,0.7900357215987666,0.9889132944440678,0.5094093254327499,1.2605146854978917,0.12239833571113785,2.2843344383549127,1.585876257056746,-0.5395945597880145,-0.14252540606288894,0.13405377814284805,1.3238322293889482
NCI-H358,-0.650153087161306,1.0010014862598515,-0.29810461680625444,-0.9060493317640724,-0.8297585728262451,1.085580583497206,0.6795827335551102,0.539013454082799,-0.7893032007436378,1.9738563929233128,-0.7394994558926309,0.12033916325634833,1.1094420499083633,-0.7535946943962453,1.4810127895979466,-0.07809224428849389,0.7711591314260317,0.7750544399971073,-0.3027445003659475,1.5779300757490329,1.2377725374838375,-0.5959750756470377,-0.3410871773588816,0.41374567448556815,0.9235392712818676
LS-411N,-0.6472556573042301,-0.36103321261690907,0.31506441781646194,-0.9088196645297516,-0.8340832738609449,1.2437176367787628,0.4100309176239716,-0.6980470892657088,-0.8295974540627413,1.5621488435815645,-0.8583383697955207,0.08039272998460946,-0.3025585419628363,-0.7319861711538291,-0.7650940114382131,-0.700907600763942,1.20800041965213,1.5254998835474112,-0.4684109638400255,1.5679536607440132,1.9786520631822535,-0.2329140797138473,-0.1840632110311978,-0.032576253652161574,1.1222948677706392
NCI-H2452,-0.7874910187546171,-0.7843725193827303,-0.8007443049045119,-0.8785454026105046,-0.9141513669942402,-0.7121801745791876,0.8456569930147206,-0.9290919241591484,-0.17397155642861156,1.4648460163449106,-0.9900017441826698,0.3052054938390383,-0.7083236024977937,-0.7670255898587094,-0.6557766653719508,-0.6980771537934111,0.4874535488049501,0.13809436576782175,0.29625535300052186,-0.8692335073648172,1.487974494918984,-0.3125221871215979,0.0008044339302228126,0.28744549812817505,1.2173285625693682
UACC-257,-0.6963175604668372,-0.4557697683339079,-0.8606557685647458,-0.9217587929056597,-0.7961266728968527,-0.554904060855748,-0.32440594134693607,-0.791338097913193,-0.855035826562673,0.4400514942588499,-0.907151490461548,0.4326482939384542,-0.6879324847140607,-0.7555619784922928,0.8527096082970962,-0.5859725955203707,0.3913084190688823,0.16567767911321266,0.3989756115707061,1.6016200827104172,1.4221626544058577,0.16307538914982836,0.1545182128691544,0.3437186510343596,0.8430078883348321
H2369,-0.7101118601765994,-0.7491540047972013,-0.8885593126477274,-0.8716212829584414,-0.8496951645608949,-0.1904677734652096,0.4128615405294549,-0.941155209121444,-0.6872312987339959,0.8873896434630059,-0.8341202727021364,-0.01492162223042572,0.4112058709119503,-0.7419599249127344,-0.7555702820239109,-0.7292811194082863,1.203929721900899,0.3060814219995863,0.0517903922311854,0.3979883288316432,1.216418626713935,-0.42017540959333455,0.21661095239653505,0.08621162295280926,1.0699509584001134
H2804,-0.7741839911144179,-0.7979533013059298,-0.8948827987361816,-0.9079568328302812,-0.4235472504069069,-0.5847192317140344,1.2951000729795736,-0.9213486268438684,-0.2589580708100939,0.9166434175483498,-0.891675425519636,0.4073056408662899,-0.7226122333313639,-0.8393800995924563,1.0878608356471229,-0.6586025559287323,0.4059957753902135,-0.06590954858639972,0.9361528505256884,-0.7986585854401743,1.209027628790243,0.18146580601449452,0.9034253709902736,0.5190018481598424,1.145408553931865
