,HPSE,HPSE2,GLB1,GUSB,HYAL3,GNS,HYAL4,HYAL1,HYAL2,SPAM1,HGSNAT,GALNS,IDUA,HS3ST3B1,SGSH,HEXB,NAGLU,IDS,ARSB
CAL-120,0.4359677114138859,-0.7078418319840887,1.0987193951135263,2.0132044839619603,-0.5625127811047231,1.5622907955243364,-0.7492708654085569,-0.7055542686386388,1.0615561537054574,-0.923839788495924,0.07850424077237271,0.3237745516892711,-0.8697835664098559,-0.7297640741501736,-0.4769968824328184,2.3021288023919166,0.24261743932301466,0.6077088181850024,-0.6615124054412828
ETK-1,0.31724704024922995,-0.6321849222886521,1.5200194688503377,2.2731443805454314,-0.7109241892323219,1.4515424966362431,-0.775411964299103,-0.6267789135334989,0.6803720681687866,-0.8945089892688703,-0.3048809135476451,0.2756998248292989,-0.9458823503867904,-0.7312676552991167,-0.6816037256672671,2.3377550246780907,0.9495428394459212,1.2535878498688142,-0.6790509657179494
H2731,-0.10745423545276812,-0.5043482574665008,2.0242291979011235,2.1740202380013063,-0.8560684259906676,1.3692517539350797,-0.8535648307417341,-0.7451715323339322,0.6310398353989035,-0.8681104734601782,-0.18448301941174225,0.5215795720444456,-0.830631297078566,-0.7236349116624339,-0.6050347308028089,2.79174379403881,0.7489614730676241,0.1804567302271587,-0.6387523539550537
NCI-H441,0.7241392800612213,-0.5242885773098559,1.4577923569816431,2.020678749426448,-0.8211615654665463,1.3019663016500542,-0.7894262853097848,-0.5703339737853619,1.0729215905890928,-0.9075435739165242,0.2788334063173033,0.46849520701129,-0.9031653251031596,-0.7231327333209032,-0.6142118866666193,2.4151337400878403,0.6391327090250463,1.383423119337558,-0.641925086470925
NCI-H358,0.6056722521195057,-0.7425958676697896,2.206337133368824,1.9598320680859704,-0.8652129887759007,1.2415552254953712,-0.8402468198436334,-0.028025330651118775,1.4091695372798854,-0.9080317166491392,-0.4817401953144354,0.3163536100681108,-0.9146281063449696,-0.8020920035546627,-0.4611051922521709,2.207198335852345,0.51696858748026,1.4469351171877631,-0.7840410146337818
LS-411N,0.7691187061355729,-0.7208007803116843,2.1110961743092105,2.2716085548405194,-0.8597695831578992,1.107631082003374,-0.7302616419127601,-0.7720939133057022,0.7995733496387288,-0.8497551346240578,-0.1699414981803582,0.2974046231294856,-0.8629127658149252,-0.6642700858497615,-0.6541506170578092,2.5582742542463595,0.10888485954897492,0.5749924294820767,-0.7846862978940702
NCI-H2452,-0.4165876428608693,-0.7522642651912099,2.3685750862147827,2.2889207032438685,-0.5864455500551865,2.037074528987468,-0.8561035651578295,-0.7012292689149375,0.6393294580291146,-0.9357676849928434,-0.2209689750537218,1.445157953625379,-0.8707910730252127,-0.5997656874629091,-0.53971425973827,2.8795475278234983,1.1379660954007331,0.8510595486574395,-0.6319855101394748
UACC-257,-0.2381100838338273,-0.7311429242591924,1.7444006666428682,2.390224516730657,-0.822655777662477,1.937207453311513,-0.8394969989447749,-0.6850115467637514,1.1190795469920678,-0.8335268412750209,-0.4228822081872269,0.633818209464433,-0.8857322083905591,-0.7544842703673758,-0.5409559146697762,2.7626763569334223,1.304537027245571,0.6575272263980173,-0.02266664486526971
H2369,-0.03530854440760884,-0.7432821575596325,1.7562044262140506,2.004906029480687,-0.7242034968569034,1.6302379368032618,-0.8394297113098728,-0.6547889245165839,0.36326551857199824,-0.9208734672810958,-0.12643251129953656,0.28110784986933146,-0.9733985512920026,-0.6181321473094683,-0.6724574196842203,2.907486523967417,1.0881819277877731,0.7545816837976548,-0.8121046458661189
H2804,-0.3226710177285461,-0.7098761345209296,1.8205185709194225,1.7822340697618344,-0.7216679162688213,1.6090740209569967,-0.6899289134060425,-0.718321793227673,0.7090874933954626,-0.8775714156202992,0.1514655239159915,0.7368772667550861,-0.8063461563762105,-0.10972248202380508,-0.6002098417071754,2.8838783085390256,0.6809499211489621,0.7676648183063073,-0.532867718799304
