,DSE,B3GALT6,CHPF,XYLT1,CHSY3,XYLT2,CHST14,B3GAT1,CHSY1,CHST11,CHPF2,CHST15,B4GALT7,CHST7,UST,CHST13,CSGALNACT2,B3GAT2,CSGALNACT1,CHST3,CHST12,B3GAT3
CAL-120,0.07883806060544551,1.0562239973902363,0.19461542710804816,-0.9413822748194636,-0.9499975218226954,-0.6457501538716818,0.3772099294538709,-0.7460884403255718,-0.4440945558439451,-0.6551643864050686,0.3139824248545885,-0.7358874596097359,-0.09571100522439784,1.2596517826373042,-0.7549271058141642,-0.6936342353581971,1.6686927409924213,-0.8090497157389999,-0.7092790188529756,-0.6752467146835268,0.29639838977860605,0.32583753604846794
ETK-1,0.6226759072010164,0.9463004161473614,-0.0023159012960729587,-0.9219074215829802,-0.8244894363892348,-0.4431900604907957,1.2730364137384842,-0.6971235948643635,-0.8580211607713634,1.076372974434399,0.4261482318892262,-0.6806947746106575,-0.0013666397559437993,-0.4128773830752308,-0.7411891451762348,-0.7783403712646344,0.9809029536673284,-0.8327475988162928,-0.8036891644189543,-0.5829093136433001,0.8892216346363381,0.17943482548641276
H2731,0.4969603062828365,1.075375183178085,-0.1443867562538871,-0.8079432449053856,-0.7811894809869782,-0.5224138423220102,1.018245994503169,-0.6114248773335483,-0.5608714679284494,-0.6375394291192155,0.20800735099860285,-0.4237933379005256,0.14543291570481895,-0.3351489467686602,-0.6348458939996412,-0.6632882438385003,1.3324898599192956,-0.6981582789437731,-0.8449120484270394,-0.40875867689516404,0.9477761169734592,0.19336024059689855
NCI-H441,-0.6855525548211693,1.038471855868109,0.1872424079271507,-0.8024648423255231,-0.8613264858620585,-0.3919719583821666,0.6378402164659165,-0.6890859883098411,-0.5567917495356521,-0.7407447205850383,0.523955801950355,0.20486043199170645,0.3531136190053233,-0.6345614217325712,-0.6627355723618608,-0.8032422689000975,1.2789652536680325,-0.8301031802768327,-0.8308789849075475,-0.6271893676611952,0.6599726713617738,0.26595344325775816
NCI-H358,-0.7084262597073554,0.9755920379211886,0.3043677803299609,-0.8892765791190723,-0.6341938698370604,-0.5513370913557909,0.07591050713450198,-0.7855167391285722,-0.4748204184785824,0.17637301743215547,0.07466481877475611,0.00596935902731232,-0.2791015988786012,0.2519890018017987,-0.7840534121442678,-0.8725536803028042,1.0322403799050048,-0.8271886012316028,-0.565481322984178,-0.8398859899729613,0.2766837678642032,0.4025217931180766
LS-411N,-0.5639281365876507,1.4987734943489823,-0.06474884286300849,0.6197329473829656,-0.9263639824321512,-0.6698300980365473,0.4661773321951357,-0.666984992043411,-0.6134268729509771,-0.7717794277466735,0.21022208665355746,0.28326504392479024,-0.02726164153918855,-0.6523772097746828,-0.5828349703138704,-0.6057161191764048,1.4693743792548275,-0.8338803093252871,-0.8816180235678365,-0.7748243563236977,0.6802814759031693,0.28680007073880137
NCI-H2452,1.531384320656611,1.3775046083757565,0.09487802464328314,-0.8701010920701508,-0.5077995655605149,-0.3707826475469124,1.2586840566199955,-0.6491576197247186,-0.5341050886627405,-0.06376626658841693,0.4005502826048105,-0.17334008038528242,0.27568356613014955,0.1833384008616912,-0.486337997968366,-0.7269113935604614,1.9460427805998215,-0.7470583480377457,-0.7381802190089076,-0.40024272542201456,0.8594840366836392,0.3426430581604991
UACC-257,-0.6188866535848552,1.0945917355463028,0.2745041490862512,0.2216624364037313,0.06667171282398746,-0.7143582364380661,1.3966419206746108,-0.5818031647583348,-0.012451590793389006,2.4673449444005353,0.362846466482871,-0.7694527200107967,-0.023916667961739118,-0.3920784234358236,-0.4290010304260449,-0.7947456779907556,1.12829985484382,-0.7896496987224759,0.1509445853179628,-0.6684461380009329,0.9583633570687312,0.7747237272572162
H2369,1.0673923446607263,1.3639176605851842,-0.1275223486640338,-0.9033593631072508,-0.9052539246693178,-0.5355442794769562,0.8041175632457985,-0.7358099660301041,-0.06590783843382356,0.5546933865711772,-0.11940159532776955,-0.14777502850723226,-0.32640765594274895,0.9595749468325367,-0.5217941547511132,-0.7041321803566113,2.2475647683265203,-0.8079826857830494,1.870048527409668,-0.5446023503519622,1.086298566905462,0.6364813173662083
H2804,0.3603033312359532,1.034464533512187,0.07292099951345596,-0.6258878043490644,-0.409542529950014,-0.4556237514158686,1.1962088783940164,-0.6010744252602921,-0.5003555276372015,0.1416445030384918,0.90287654396291,-0.3823431038725437,0.027230141819280542,0.5395105282896328,-0.9973387631642928,-0.6916533743966709,1.4772749633396594,-0.8804975624987673,-0.900858767962252,-0.5451241753949729,1.0669158606267295,0.5747995751556214
