,CHST2,B3GNT2,CHST1,B4GALT1,B3GNT7,ST3GAL2,B4GALT3,ST3GAL1,B4GALT2,B4GALT4,CHST4,ST3GAL3,FUT8,CHST6
CAL-120,-0.7096042293252551,0.7834408129173913,-0.9455771043216852,-0.6467878959695502,-0.8129765641584892,-0.4407656501638335,0.7624981731647292,-0.5944157822240465,1.0166097185033989,0.7760594840687629,-0.736637267379231,-0.6553449523372976,0.994911195069867,-0.9575165681447008
ETK-1,-0.8219873098469677,1.1445767121108197,-0.9325543366283536,-0.3651518161546927,-0.4398860988420702,-0.5281754669904105,1.451752231321282,0.2080078808151475,0.8606833994216839,0.8663987715687635,-0.6497465795826136,-0.7387785252506559,1.4184446924309049,-0.9659991894195341
H2731,-0.43988329986238855,0.8066085919974292,-0.8231624646457278,-0.6334274796219519,-0.7555371538879744,-0.27450863724000096,1.0075872087339324,-0.200375570713797,0.736898088624105,0.5468770114172834,-0.8246452734190911,-0.5101156261186442,0.3988397834190632,-0.8694933604863198
NCI-H441,-0.8040207121262193,0.7786106767299289,-0.8221473839578366,-0.17603316314489936,-0.5932113417535219,-0.5395945597880145,1.5138255897722253,-0.14252540606288894,1.1461157324404674,0.6232401047846223,-0.22027823233906266,-0.7700574085490638,2.2205880043235307,-0.8938372293088932
NCI-H358,-0.6103016317366105,1.4557455818421785,-0.8712057490274978,-0.3461594266737323,-0.2638789684418287,-0.5959750756470377,1.821571231304273,-0.3410871773588816,0.37900061025749177,0.2722562696831289,-0.9688865419060032,-0.8377415402016679,2.373448749530022,-0.9162662836752942
LS-411N,-0.8530696791919161,1.3295011372700516,-0.9026881694632736,-0.4136204986677969,-0.8507013078525272,-0.2329140797138473,1.2065599889731091,-0.1840632110311978,0.6876138096773116,0.6224193235448008,-0.7663158607634623,-0.812776494838798,1.6001835416767416,-0.9066416159362634
NCI-H2452,-0.27154533769235084,0.8009049024673595,-0.8683726236055314,-0.4191914599876405,-0.7825952162588369,-0.3125221871215979,0.8829594518128374,0.0008044339302228126,1.072523164939965,1.0189001898423002,-0.7452529935491369,-0.4924163000285399,0.892805616826728,-0.8985250175437755
UACC-257,0.17471059100021907,1.4449079805437357,-0.8450900789843085,-0.5303836558270764,-0.8137414169900782,0.16307538914982836,1.5845622566628212,0.1545182128691544,0.8281089503937389,0.6635640413073656,-0.8335466979237783,-0.5762823147144566,0.3571069973854546,-0.7641009585572612
H2369,-0.3883504764849573,0.6317786891757425,-0.9338452018088848,-0.3444879591203833,-0.7688944238682002,-0.42017540959333455,0.994577884942742,0.21661095239653505,0.9140087168836516,0.8518709807718876,-1.0296057771313898,-0.2609203636863449,0.5293972899227568,-0.9211720495321796
H2804,-0.5724802303119065,0.9897430199197712,-0.8494394935594287,-0.422694138039276,-0.6705848579871274,0.18146580601449452,1.6532383229312648,0.9034253709902736,0.8683641241804939,0.6877649101098182,-0.7378292448518226,-0.7029428452289302,0.176370492490863,-0.9006644089234381
