,MBOAT2,GPAM,LIPG,DGKZ,DGKE,DGKD,DGKH,MBOAT1,GK,DGAT2,GK2,GLA,ALDH7A1,AGK,AGPAT3,AWAT2,AGPAT4,PNLIPRP1,PNLIP,DGAT1,GLYCTK,LPL,ALDH1B1,DGKQ,ALDH2,DGKB,DGKG,AKR1A1,DGKA,LIPC,DGKI,LCLAT1,MGLL,ALDH9A1,ALDH3A2,PNPLA3,AGPAT1,AGPAT2,CEL,LIPF
CAL-120,0.6656862881705737,-0.2431493777032085,-0.7066669742719891,1.2648723793785217,-0.6350905032612878,1.1839863410960032,-0.7613751599362988,-0.8043667398015274,-0.06815623217269674,-0.44002133327860704,-0.9729756956074926,1.449901199983674,0.07660478013277394,0.4881241175678434,0.02718616936286632,-0.7426552906398003,-0.792731062448825,-0.9090326114186944,-0.9503282290932028,0.1465873984738255,-0.6941689151042119,-0.861593198299313,0.008274927054878218,-0.4583063290902564,-0.5735240766781223,-0.7914372727293782,-0.8639941672840826,1.530712210586992,-0.6119879234169148,-0.8865311560241023,-0.8862821942362741,-0.2566926651321941,0.9195621289997368,1.2100817854131078,0.231842020673798,0.08770535511879156,-0.2363023005208848,0.480613277092601,-0.62884770630871,-0.8229242668056399
ETK-1,1.1727713086302234,-0.550748440155898,-0.4961419836712982,1.4854321341229222,-0.7477298495756217,1.2671473673147464,-0.6555559596065549,-0.5739238426381225,-0.4313167608153016,-0.3868897915003216,-1.0012386304660197,2.048313419427798,-0.2643617845049873,0.2759945789324638,0.6230273147322746,-0.7237035335414471,-0.5430025238688447,-0.8890047735515938,-0.9051412844600126,1.1569993721254883,-0.6653811296063603,-0.8545316919789797,0.2441318382017762,-0.2585677285468196,0.9114722626628818,-0.7967400012473037,-0.5834547105531304,1.552482106859915,-0.33980110651599393,-0.8270748519093932,-0.7895036222056285,-0.4456374817857591,0.8029578802284404,1.385396250560643,1.42962632453344,-0.215416497928408,-0.3033056984422027,0.770531880512515,-0.6973288530057127,-0.9690096326657128
H2731,0.9472046782505747,-0.2051478011641344,-0.5308087196193839,1.6285249051987942,-0.7735444887257086,2.1223861887384023,-0.7193568560154476,-0.7701009486187317,-0.5635527332806556,-0.2825706121706142,-1.0102136018908887,1.560224100977163,-0.6458411413083338,0.3162883018161873,0.44275799366406204,-0.7185268763944204,-0.3941885752270266,-0.8415563274907221,-0.8979974921908362,0.7048406711003651,-0.6790749754018855,-0.3683346840966167,-0.059105169668798085,-0.4107505237808332,0.5838356223205006,-0.8372748261384846,-0.7474873486881254,1.4743747200582504,-0.7359605360427832,-0.7930343558467473,-0.8301764588909684,-0.44847518350496257,0.13119941173707128,0.992163447020683,1.6319105319852691,0.4399523920756533,-0.18098434338942407,0.5233129535225581,-0.49993737034521796,-0.9586799171298058
NCI-H441,2.251268616522049,-0.4220825957389522,-0.7780231000614843,1.2500536358910486,-0.650958150170417,2.0439225795100144,-0.6406283808193384,-0.556298448278015,0.00864149645433367,0.14963897081696084,-1.0343056933919994,1.0284496196945825,0.07464304281000254,0.3047095785025104,0.31030356291350564,-0.7461601580440214,-0.6557073703887195,-0.8681610970199191,-0.8804490408970895,1.1588260915806858,-0.7528564709640956,-0.8328172953430076,0.25347155570844954,-0.4501175821110127,1.3361735785661355,-0.8560060604095079,-0.6831375545786601,1.80613961803623,-0.17695592758976902,-0.9004742489180395,-0.904638063947133,-0.3540103784709995,1.1186711059943817,1.3771048331169842,1.3328593613159094,-0.3651871848551588,-0.4537134638931441,0.3263111436723978,-0.7230800544637899,-0.7797144374140781
NCI-H358,2.0222679638791097,-0.4406586510278821,-0.6857264957847372,1.2896960097085268,-0.7368641298328471,2.080325847517724,-0.7346009966227337,-0.582343080008881,-0.8065067898363798,-0.5429733395528523,-0.9860778646788462,0.6695545747380965,-0.4721964057327893,0.33324604694869514,0.3098113238389602,-0.7275426684707124,-0.31190075623290664,-0.8378554361211319,-0.918045337674945,1.4529678118540894,-0.7824721504445661,-0.8977319352180289,-0.16216697369108254,-0.039102887191614616,0.04045089275782979,-0.7985415753586257,-0.7209125046952951,1.3554716730067675,-0.5050505221038175,-0.8329505161833556,-0.918009920433254,-0.3806204192380665,1.064118453769358,1.5451495540176332,1.2986697096566218,-0.21231951355054104,-0.5184922501592742,0.6000333897216624,-0.6309782512643467,-0.7435798631372729
LS-411N,0.7406167280898601,-0.4076891424611464,-0.5122179447535007,1.6628314169445175,-0.4191910362774151,1.78174208338233,-0.4636873859160458,-0.5371420100775071,0.3127486319759801,0.7987914891592469,-0.8772050933515692,1.315644739242222,-0.2725748310220648,0.187549050596145,0.14885345184713522,-0.7426845400511318,-0.7136382108849654,-0.8512622098223799,-0.8680268381744455,1.0377761926786808,-0.5386831686322583,-0.8504450739406015,0.4029477736862192,-0.2673679376853093,2.0119444389177112,-0.8421442079861359,-0.8531911564339061,1.3395208825011014,-0.582413419800523,-0.8996482846551842,-0.8406010699324105,-0.5098058075749649,0.6226281942099594,1.4349158543636866,1.8377274200970133,0.12373562959388712,-0.5039444301943424,1.1885508032381875,-0.6452163179051414,-0.8443476936731903
NCI-H2452,0.7193463905836629,-0.2476141078931487,-0.6160607766188464,1.6700552487350913,-0.8068481011825183,1.227585527123985,-0.6899475666036494,-0.7801090755345217,-0.4140542795715077,-0.3812997495252651,-0.954064591808506,1.4170168352747132,-0.2197578310959757,0.29536455367573505,0.528254235885823,-0.6937570368535961,-0.4632610583011568,-0.8428561121523265,-0.9371640703731094,0.5765068361646425,-0.7616781067778909,-0.8069142631948943,0.17025646066846573,-0.248538006264776,1.6189478465302651,-0.7940842264864528,-0.7072275037826861,1.9586242573577908,-0.6952355155303664,-0.7809427290100831,-0.7317801998384221,-0.4462857333807129,1.8385939183938875,1.3303801067668102,0.8754015206373441,-0.41943505922118585,-0.3918943342568901,0.7560999856506573,-0.5267227605753863,-0.8290550123298162
UACC-257,0.3398974072937657,-0.12420072538184693,-0.6073524486748474,1.2463526440383683,-0.7105663682360709,1.0698052856055795,-0.8668648771402298,-0.4121727392161336,0.6065169597925756,-0.43229050299746996,-0.9376826297900436,1.7674977035329162,-0.30141033445303145,0.4962339074619428,0.4623842650785488,-0.7010043089883309,-0.6456930705860598,-0.8502549928560084,-0.9557397799434809,0.9999509486336942,-0.6947423430624513,-0.4837252925444172,1.4125574012038709,-0.5489320384988344,2.4311657709511687,-0.8395992427152199,-0.5348398079453192,2.5420559419849447,-0.7070248456326756,-0.7854800090533058,-0.5387893061285354,-0.3831380683018909,1.1069914841427548,2.2583246093223224,0.6333516847457168,2.241796428996957,0.035582234008011554,0.833714380164623,-0.7706559911483599,-0.9412710812799396
H2369,-0.023170604850691504,-0.07789775432634198,-0.6871550455187078,1.3923892758129348,-0.6679897415602588,1.52358083082775,-0.763417138115794,-0.7971310363725336,0.18379152003672375,0.16976037321659893,-0.9583954802553892,1.2286348671010263,-0.36749352899912063,0.3223378495166099,0.2824352752269317,-0.7798306656862313,-0.10607830800356527,-0.8879970624505376,-0.8559754368327293,0.7620992581960597,-0.7547243736534515,-0.8514005940377234,0.06292536632118594,-0.6442527934833396,1.1732035413419741,-0.8323527861291017,-0.7788989348612371,1.9143750805899509,-0.3278954770298753,-0.8938765389358085,-0.8238147419972106,-0.3734008166488981,1.941485422688571,1.5849192336089255,0.877434611492422,0.5019322296081836,-0.26180023207070263,0.6755135911250683,-0.6022835023199861,-0.8517544378717726
H2804,0.6907157281645321,-0.658829635075438,-0.7217985395606914,1.5325257666009988,-0.7842855569098021,2.6286967915520827,-0.8524886895882016,-0.8259644696474555,-0.6636544628942362,-0.5143760034105775,-0.9333400192496764,1.658771007199619,0.1213972550003646,-0.018916945979566318,0.3554370547941368,-0.6780091082322729,-0.4316392864718503,-0.8029528009056085,-0.9097183026515788,0.8600787943697606,-0.6986361828247016,-0.8215773734873087,0.18817317512513027,-0.5061540167495745,1.8835769076724005,-0.7958515038834433,-0.26272373195808346,1.3917869301789418,-0.7104679654072904,-0.8575941380892588,-0.8063811705375277,-0.3433340147364308,1.0435957105757987,1.8753556015132349,0.7399248896399361,-0.2978060931511063,-0.381004169213074,1.1080991714989123,-0.5932845894081931,-0.937812252985456
