,MPI,PMM2,PMM1,FBP2,PFKM,GMDS,PFKFB4,PFKL,MTMR6,TPI1,PHPT1,PFKFB3,FUK,PFKFB2,MTMR1,PFKFB1,AKR1B10,KHK,FBP1,MTMR2,HK2,HK3,HK1,ALDOA,ALDOB,MTMR7,TSTA3,GMPPA,PFKP
CAL-120,-0.12690860968324105,-0.6929665465606926,0.8994222815476981,-0.7754329172907843,1.8426890863142424,0.7842981269237873,-0.6930495872005806,-0.2404349206244381,-0.3104654570527009,2.701505162087813,2.3791631968980225,-0.3326296493248221,-0.5265744331485133,-0.802592130133254,0.9753810145551652,-0.7203496714767109,-0.9063141537735402,-0.6783840635644732,-0.7386088451199401,1.3207078467675522,1.16312834876063,-0.7882054210444986,1.3472207283961644,3.237790329842684,-0.8337347529622158,-0.7011966560265621,0.9765365445366079,0.8216977352048673,2.355118873536638
ETK-1,-0.30485357148946324,-0.7640028985118525,0.8305519616186445,-0.7457948149873509,1.3514044964285823,1.5090490179834914,-0.7351611003482865,-0.22094683056871764,-0.2381470973404025,2.8166813579040038,2.2106436846532658,-0.4666915629881184,-0.4990845676600586,-0.7301197927824569,0.7680807300660201,-0.5064207136784669,3.0974008695626774,-0.5690252024507935,-0.4252835274228604,1.35027136033959,0.5613872411402263,-0.8158526185432299,1.5357830195874924,3.4215053797534094,-0.8325653954491582,-0.7115183540547002,1.4404024800824529,0.8932004500609837,2.6112559513839946
H2731,-0.5281087988299171,-0.5600959915838691,0.6754396954939184,-0.5421912984700962,1.91238598483163,0.5053677877291898,-0.6230288172743585,-0.08533006182874664,-0.7349813027347585,2.6965418247414785,2.7311495759123408,-0.4390739778001007,-0.5990683235803786,-0.8497925962892209,0.5927077538780339,-0.5469849816775485,0.2570233274763281,-0.8157195759651413,-0.5073430625449925,0.9829687752212932,-0.2614908419971052,-0.8683097037672891,1.2638444036612504,3.1685874660692943,-0.7672908949383099,-0.513148184363124,1.358055060693749,0.6428031072514379,1.959766967683869
NCI-H441,-0.07472606691469225,-0.6204688941806298,1.0919189500762378,-0.7815841936583625,1.5517730098048632,1.0014893321262046,-0.5927561808212876,0.014850454169408634,-0.1654967403650704,2.661915165481157,2.3667063258124124,-0.08284796392011091,-0.2976673005073436,-0.7114076320625802,0.9428779424121461,-0.7562219418245444,-0.33268753382756244,-0.6001842585195477,1.082698927519928,0.8428107483284936,1.448139839248755,-0.7893490534195389,1.039842118815744,3.288967607397961,-0.8106188598999238,-0.8007441257240008,1.2780264093611045,0.6491627485865257,1.9231340244522463
NCI-H358,-0.04236395158933105,-0.6067278314689342,0.5488756033937531,-0.7475077866253905,2.116246355979805,1.5135455330730028,-0.4413978963988959,-0.2709430478954833,-0.1490092877814855,2.3014264806277223,2.135602511792883,-0.31083886635430075,-0.3701468416710112,-0.6777323308241628,0.710580751911493,-0.6580253085969696,-0.4891413361841344,-0.6775253514348106,1.1474035807625915,1.0306798847381735,1.4750716809546631,-0.7287631869792373,0.7985062249112391,2.9666429140081827,-0.828791117212037,-0.7084367751014534,1.6261207793862138,0.08765785581209667,1.736903478747885
LS-411N,-0.3211268087689978,-0.6299266151171616,0.5588580341150856,-0.784916683183794,2.080448603869959,1.9011441991657487,-0.812776494838798,-0.29063048435098154,0.2160010131161573,2.7845402301873152,2.312119354148705,-0.21255724657425304,-0.4909810049150811,-0.742822362378203,0.6606703187786305,-0.6052032523084951,0.4316886547396189,-0.5005899650369205,-0.4579461235713922,0.5361663451754933,1.3374173016325055,-0.7674035429682247,-0.036223733671261166,2.7850049431186084,-0.8076030680279107,-0.714984463467039,1.3737530684925017,0.28497334830262644,1.7352924750376728
NCI-H2452,-0.16394524439499178,-0.6362194242146031,0.9502690310364116,-0.7456702493306469,1.8441840773968952,0.4619061295503436,-0.6293872259421304,0.17701089031270678,0.14280595330796586,2.7735290275605236,2.5870267808257834,-0.41855755724522464,-0.4110119334955594,-0.73062068822887,0.4443723446592524,-0.6652448486428049,0.019154531528928258,-0.7688018933454077,-0.6538514423102855,1.231567078371555,0.7404583488285938,-0.7776345983235051,1.7520727185256004,3.258788961751568,-0.8205157288546311,-0.5974689245589848,1.7744957534548744,0.5668569298611372,2.337121191478163
UACC-257,0.022552600943899943,-0.6709680120568744,1.0728879886406768,-0.749549510579941,2.396551699927829,1.2921597489167642,-0.3263130424970533,0.010416083091794877,0.16299804816986996,2.754757726235628,2.6440210051528665,-0.1609051866693187,-0.4846695500207402,-0.6462671825664681,0.8354770551342005,-0.5696761139220112,-0.7362009215266785,-0.6973061100527117,-0.6297721455964029,1.3079381855925167,1.2966143221183333,-0.8451140637892142,1.0155707678684585,3.1772906537817374,-0.9184322489084424,-0.6745230427578861,1.4800702566234245,1.0100813836098632,1.612124629695376
H2369,-0.3548553127368217,-0.6268904058863703,1.131674691078114,-0.7552795354910582,2.0749295319099916,0.6396477951230359,-0.8067462806716171,-0.1830991497700204,-0.2710644201188263,2.2028836881580234,2.3836804362093718,-0.3636212204232445,-0.5122305271604044,-0.6607444791560013,0.5058879130159292,-0.713085594692499,-0.5011676482371469,-0.6723140640090005,-0.7471140140784757,1.201633441208674,1.0292304984559408,-0.7509407550243754,1.2970106788209097,2.9741099537960545,-0.8315438327499644,-0.6650361492375267,1.247171531580198,0.3074570247376929,2.086906784276749
H2804,-0.2709164643869477,-0.7272208158498402,0.7613804977185344,-0.7269488915402462,1.8608504826171943,0.6381480518105487,-0.6905692527775961,-0.2205601494654405,-0.2379978079164495,2.9260204878254448,2.444979405566039,-0.4976945280598177,-0.4457549654624029,-0.7473830135561593,0.8307827898872652,-0.6663484530353693,1.9111616112065384,-0.7842421241785268,-0.5113014984072791,1.341899042048876,0.6511449357308059,-0.7894295841712046,1.6537725765663882,3.3961766676965555,-0.8532229790800944,-0.6429452578830769,1.750473609050647,0.939964851461046,2.556870465514785
