,PIGP,PIGM,PIGN,PIGF,DPM2,PIGQ,PIGH,PIGO,PIGG,PIGZ,GPAA1,PIGU,PGAP1,PIGT,PIGK,PIGL,PIGV,PIGB,PIGX,PIGA,GPLD1,PIGC
CAL-120,1.7926273547008411,0.09195106469227236,0.26206504048669754,0.4341917779284444,1.3115697493027814,-0.4226459013087003,-0.7378116114866627,0.6488848469476991,-0.4038066382610656,-0.5004492443428413,0.4346736628449654,1.0278229639780334,-0.6919133235355955,1.1754239762669023,1.2615769403423267,-0.6910438941000501,0.03714025135302413,0.5469622593242507,0.6416791094812185,-0.5439727471389512,-0.8385052987229877,0.8241477409251007
ETK-1,1.926837273414015,0.0974976999371554,-0.6376493590114852,0.3660950932650284,1.070419748293003,-0.4577257736160246,-0.7779164267289704,1.1340773507441246,-0.6171581265785082,-0.4243825744270196,0.8241932189586878,1.119254124078239,-0.9415575387889852,0.970010930284082,0.5817993712776306,-0.8117610098361129,0.9049793366968112,0.6656580811125161,0.725974013752583,-0.5512931663880689,-0.7415830856146527,1.0177957727067393
H2731,1.4927642757716808,-0.04863351579830251,-0.4100837515636732,0.2455604840710929,1.3557158292903508,-0.41054267921059456,-0.7799058205462861,0.8928491716141195,-0.2129762045182325,-0.3385651287169556,0.2792912458271372,1.0264033047805865,-0.8414683675278047,1.1284299073680502,0.5239080671119389,-0.7062518376533247,0.8127893253284025,0.8710087601539079,0.9868290826410354,-0.6681468734954786,-0.7752079321130052,0.6043043670638609
NCI-H441,1.8715643945220857,0.2311026890210837,0.3291514525120597,1.0507352103209036,1.1338705091181216,-0.5027326292534388,-0.7988798203350671,1.0155241998272944,-0.4459079173408864,-0.6620252572269228,0.5509941809793405,1.038054617835119,-0.6082804458030998,0.8541566565249619,0.5727879748264812,-0.5911380497504793,0.653506876694515,0.5704859634035604,1.095510829282341,-0.6482203204516331,-0.6336213097205874,0.7878853902566099
NCI-H358,1.3807351718172225,0.6265743803014164,-0.3486814124998959,1.0019032622436772,1.7031295603378185,-0.5337270602364507,-0.7478858043371309,0.8623386669944431,-0.3052600690982482,-0.6777349719718051,0.7084359872827901,1.0177106437991907,-0.6373769091016057,1.1312813675674878,0.4075110512674944,-0.7760674161404332,0.6019447484913826,1.043490150797795,0.5619226127071868,-0.5142878411031166,-0.7420929897852635,1.0257545862168338
LS-411N,1.5129066194899825,0.603623671446426,-0.06574748044375281,0.5339127685928874,1.1687097292267417,-0.314842136733442,-0.7223114899089635,1.032687796006857,-0.3880603728358077,-0.17374300920605154,0.44091600805726094,0.4928000360603628,-0.5946725901154396,0.8741318905784125,0.2978405221204462,-0.7299097174205549,0.9973996136660294,0.97261321669265,1.121127303233885,-0.6101627891920498,-0.8459849002370243,0.7352084839645671
NCI-H2452,1.9497310759484208,-0.16545563328584406,0.0910151901424779,0.5023003579490922,1.5093316334987708,-0.39746381080796267,-0.7711776479413044,0.3008474138148502,-0.14479442768878648,0.0637933415795556,0.5052645496043883,0.9902804848920412,-0.9153183511346809,1.3701219726721432,0.2596218573344232,-0.7460035823084302,0.9671764934973118,1.0692670533191622,1.1791707464652599,-0.6602654402111735,-0.8775866968809941,0.6195918098816053
UACC-257,1.733543816059351,1.0917243140248365,0.4718610442994852,0.7860623141641134,1.4252275461122403,-0.3996070274413989,-0.6073305078005016,1.0217421000867406,-0.2736094440336703,0.010459080202513831,1.005903151857911,1.2403066474205628,-0.7201228098011093,1.6711443427285757,0.8370798232218923,-0.6689252403263314,0.7465316374213721,1.197699331812864,1.1079921189949111,-0.5218673039677364,-0.8251162805380766,1.178956324155698
H2369,1.8505769750002132,-0.2022591903466464,0.1376893415569719,0.7685716118021841,1.5865858558644097,-0.5926755958079699,-0.7035187573395884,0.26441791599878106,-0.3553056087933649,0.026960087090822846,0.27018341705697635,0.7687861235958582,-0.9276850713658228,1.4071684718252526,0.5249794423292402,-0.6807734761264471,0.7064396642556678,1.0077219470718644,1.2877272224996197,-0.5577096921363596,-0.8294365529625966,0.3687199706239202
H2804,1.4007291527291241,-0.009188290139854184,-0.07815683539685751,-0.1462269129765528,1.5428521427444537,-0.3856996929584751,-0.8476521926781878,0.5265683540538316,-0.3651635787782478,-0.2757673790278501,1.0319590648796029,1.0509634254446505,-0.8716492459878331,1.001394547575842,0.3796055775770985,-0.8355416109725757,0.7256426093815166,1.0459695966936131,1.1043078496460272,-0.7162087661473432,-0.7801948656766136,0.9835797607006214
