,ENPP2,PAFAH1B1,LPCAT1,PLA2G3,ENPP6,LPCAT4,PLA2G4E,CHPT1,AGPS,PLA2G6,PAFAH1B3,PLA2G2E,PLA2G10,PAFAH2,PLA2G2A,PLA2G4A,PLA2G5,PLA2G12B,PLA2G7,PLA2G2F,PLA2G2C,PAFAH1B2,PLA2G2D,LPCAT2,PLD1,PLA2G12A,PLD2,PLA2G1B
CAL-120,-0.8920320162328368,1.3511644197733297,2.020125370092833,-0.7224649188639339,-0.8011174719597856,0.12184285544143715,-0.7890022743646651,2.807465139593819,0.8714126935934259,-0.6657835805259128,1.6684902579249579,-0.7039974159764619,-0.9760416175009524,-0.6554618554014934,-0.8594288614059078,-1.0514522660900054,-0.9437674858307312,-0.8740885470537951,-0.8429952689411296,-0.8563236653599502,-0.8477441127438223,0.3522024167373501,-0.7709207460673351,-0.7330282597281979,0.2349294944017408,0.8649723530946268,-0.5018013561696494,-0.8294230167564386
ETK-1,-0.8829402976050786,1.5681730333126944,2.0606435608375024,-0.6729067076108366,-0.8644997535289966,0.24114768735730546,-0.6125778961222424,1.454509656826894,0.8115192624563206,-0.6767046940981807,1.6567617092817577,-0.9087447588077048,0.395072383934248,-0.1376944261999439,-0.7987808747419632,-0.6732506945072283,-1.0387554691303704,-0.8779779186936199,-0.8793358884429776,-0.9644294320683839,-0.8188838596873644,0.3252964156679679,-0.8018124512249273,-0.6638224632424713,-0.10475495704633776,1.0676691742649835,-0.4286375211655847,-0.926042079067813
H2731,-0.6136227449739615,1.4663075325721804,1.1277553174755357,-0.4257460241607632,-0.7611594217615861,-0.1509026186923265,-0.8178021555875638,2.1175057886154645,1.0053976205119028,-0.7320471851400012,1.5236897036298598,-0.7771294588236071,-1.0804976396613264,-0.4370857933656581,-0.7416387123366234,-0.8393929534902811,-0.9360304851065157,-0.8470604261995194,-0.8477402295737556,-0.9211055253526876,-0.974736713715495,0.2032838031763796,-0.8369097860864038,-0.6461866987686409,-0.2426496298158453,0.6921809198311195,-0.5241327981513108,-0.7944181853473764
NCI-H441,-0.9028471127081984,1.4933774998511544,2.947792273916572,-0.7149331958298955,-0.8849953969823497,0.26295623749149033,-0.8777051683894529,-0.07213150260797473,1.244750154016755,-0.7205994214637768,1.5126872376182423,-0.7161440388783268,-0.7559127401776198,-0.1209408342213121,-0.8982763860066665,0.8527634822959449,-0.9466690005806256,-0.8386665546466497,-0.9169520151251908,-0.981076887675956,-0.8159627871854117,0.2616696969734311,-0.8251047113713851,-0.8122806996168883,0.5770276361147131,1.582449696816324,-0.37946413907834703,-0.9154706018066876
NCI-H358,-0.9147809644632048,1.2520830002366692,2.0837151863232566,-0.5661155090588481,-0.841663474839482,0.7563113973021004,-0.7703363998517201,1.2393717680771397,1.0353778505876396,-0.7335375793108632,1.7378908743942645,-0.7496029457504015,-0.12144023247333473,-0.03881292694466062,-0.9162027729064398,0.5306415366028854,-0.9593689196925784,-0.9132874851965946,-0.8500443507623469,-0.9870765773875192,-0.849262160152628,0.2998615125091326,-0.7830431673144463,0.3299724201151824,-0.04540450475716927,1.78003330541997,-0.617701174892373,-0.908357049626692
LS-411N,-0.8298984225244779,1.3363758021884364,2.14134922334339,-0.591939388468414,-0.8965362995678327,0.3909785914167492,-0.8060558077519586,2.2761349203818986,0.8523547861142153,-0.725925341565091,1.482544173197625,-0.8440821934310992,0.7405080105475171,-0.3393650749241953,1.987673997126572,-0.3433377346981353,-0.9697881478494604,-0.9447567646428618,-0.7944870090898484,-0.8188275601014824,-0.9681524583928754,0.11589256843834647,-0.8149408224202429,-0.06805550688870014,0.149006643612748,1.1552204156662071,-0.3353983656693621,-0.9538201922333904
NCI-H2452,-0.7923358892495956,1.7332333861789455,2.0360862435261478,-0.6975026246895457,-0.8219852695444114,0.24031747211580956,-0.7032262729584419,1.9377237110464,0.9021794373068784,-0.7797411285576464,0.4206461320760584,-0.9078402091405282,-1.0314576612955844,-0.5603876844082152,-0.7798127147929521,-1.1306168569740265,-1.0056604109183558,-0.8530206525925407,-0.8403068568982084,-1.1146431805502082,-0.8243706763521149,0.258446957048068,-0.8184698693357149,-0.250863372854939,-0.1278945853220634,0.42655085206378335,-0.3710140022656245,-0.9070297254140784
UACC-257,-0.09783937483902724,1.4831399531645295,1.7474016587716907,-0.630517058011103,-0.7561674367623832,-0.13273911398990942,-0.729162526916241,1.9855648055035209,1.4196557381422197,-0.6891906307323885,1.861299096842792,-0.8421921823794553,-0.6657284930986713,-0.19553964790316608,-0.8639815752092663,0.41440734473047375,-1.016975700528982,-0.8121299738923274,-0.8134282245794197,-1.016975700528982,-0.9167305398531204,0.35233531667125023,-0.8326095050458759,-0.00447801110903241,0.3986215873281341,0.5729738597507309,-0.5392545228799052,-0.9039535783833654
H2369,-0.7605754385006429,1.079651082872125,1.880807867403444,-0.6968921185154024,-0.8545974862429502,0.16743991145357054,-0.8095652934713573,2.3834942104162296,0.1768422550757678,-0.7162037504932596,0.3073244637297131,-0.7220725925915448,-0.9977374621168436,-0.41578908362910544,-0.8955801739204582,-0.6738365749163685,-1.001245100320141,-0.835288320363869,-0.9091080199579052,-1.0503910109821537,-0.8469312041021748,0.23809881192317284,-0.7866889334961574,0.1755607751845923,0.044751343537719916,1.7429172222706808,-0.6452952719590009,-0.8919687022887408
H2804,-0.7854360834776959,1.5846799972222108,1.973775132102256,-0.6564723436515414,-0.8190250521654996,0.2749925375796465,-0.5981763268124624,2.0474971792183156,0.369462599892938,-0.6882234132537078,1.1846349926914568,-0.8758677641187036,-1.081298112774123,-0.6099304417275713,-0.8012064954386725,-0.7927701690661619,-0.974930126497612,-0.8737120679201582,-0.9030624721419404,-1.0186628764311243,-0.7712128571870507,0.28042331554997635,-0.7994730469565093,-0.4514529533615173,-0.4136445637988408,0.39913774537693947,-0.4882582143398749,-0.8711955551376541
