,EPHX2,CYP2E1,ALOX5,CYP4A11,CYP2J2,PLA2G3,AKR1C3,PTGIS,ALOX12B,CYP4F2,PTGES2,ALOX15B,ALOX15,PLA2G6,PLA2G2E,PLA2G10,PLA2G2A,PLA2G4A,PLA2G5,PTGS2,PLA2G12B,PTGS1,PLA2G2F,ALOX12,CYP2C9,GPX7,GPX6,CYP2C19,CYP2C8,CBR1,CYP2B6,CBR3,CYP2U1,PLA2G1B,LTA4H,PTGES,GPX5,GPX1,GPX2,GPX3,GPX4,CYP4F3,PLA2G4E,GGT6,GGT7,GGT5,HPGDS,PLA2G2C,PTGDS,PLA2G2D,PLA2G12A,TBXAS1
CAL-120,-0.3589484429794504,-0.6171118765007297,-0.907520388682047,-0.6808576477877409,-0.3948513058117514,-0.7224649188639339,-0.03073719471380288,-0.7521505821816029,-0.7022130450899826,-0.8437922296224135,0.9950921508685264,-0.8984598073088172,-0.8695674075376809,-0.6657835805259128,-0.7039974159764619,-0.9760416175009524,-0.8594288614059078,-1.0514522660900054,-0.9437674858307312,-0.8105352242091278,-0.8740885470537951,-0.5532611942953551,-0.8563236653599502,-0.8606515098276208,-0.7962146395604666,-0.6981126797234954,-0.6264640938862841,-0.8702489331815737,-0.9849350826514304,1.173520671553396,-0.7649133756681501,0.11755379244791632,-0.6538135597272301,-0.8294230167564386,2.273575133315136,-0.5384825015783221,-0.9294693128153324,3.107617267761862,-0.807920401886688,-0.6146080432826276,2.8764184132050805,-0.9009163866228929,-0.7890022743646651,-0.8725158627210782,-0.7935460939168354,-0.8044088012487987,-0.8528839411704966,-0.8477441127438223,-0.3488957416143781,-0.7709207460673351,0.8649723530946268,-0.8018174964701144
ETK-1,-0.6434806986757106,-0.6508458404780352,-0.3690983177784825,-0.5885541635751603,-0.19302120748701196,-0.6729067076108366,3.2391574907706526,-0.6416561008107393,-0.5365642172482137,-0.8468133873992769,1.1948505945927623,-0.845542827620468,-0.8315771836149259,-0.6767046940981807,-0.9087447588077048,0.395072383934248,-0.7987808747419632,-0.6732506945072283,-1.0387554691303704,-0.912538955506907,-0.8779779186936199,-0.6170283858228338,-0.9644294320683839,-0.8421577856364431,-0.9093555573547646,-0.7977173026260012,-0.6577314330543395,-0.8396729180190586,-0.9976254147550134,1.7650360630725412,-0.7576751563188973,0.9752140833938844,-0.6635308447870465,-0.926042079067813,2.285449523593815,-0.13570830480815022,-0.9299789486579344,2.8844137010597484,2.6704724660246946,0.26689764727213605,3.15687501170443,0.2841358551058567,-0.6125778961222424,-0.8051834562930424,-0.6471657761197817,-0.8081646616682321,-0.9171585574979696,-0.8188838596873644,-0.6392036494333331,-0.8018124512249273,1.0676691742649835,-0.6211334756102668
H2731,-0.6175778986726665,-0.8025430874701371,-0.9056232028598048,-0.6759385763835932,-0.8270800124545561,-0.4257460241607632,2.2675548546105317,-0.7602139225563552,-0.7237910697276416,-0.8184074747630886,0.8465816790658097,-0.749918828660707,-0.7555276633782964,-0.7320471851400012,-0.7771294588236071,-1.0804976396613264,-0.7416387123366234,-0.8393929534902811,-0.9360304851065157,-0.9855177757079014,-0.8470604261995194,-0.6754072801268833,-0.9211055253526876,-0.7111615452593261,-0.7846240437350049,-0.9686262676771866,-0.6570069125869626,-0.7884493744676545,-0.9408056365330651,2.107476789770963,-0.7421446048534903,1.217855435249009,-0.6238711662362249,-0.7944181853473764,1.813036894834324,-0.6723928303602685,-0.8476883795829783,2.6698456166053397,-0.6467290472175702,-0.1207156119533066,3.309515611325053,-0.9575728101801076,-0.8178021555875638,-0.7995194125687247,-0.7960955704100997,-0.6476350254803427,-0.8144227236604212,-0.974736713715495,-0.1221563118002134,-0.8369097860864038,0.6921809198311195,-0.7714438395285451
NCI-H441,0.1143783332634742,-0.6380061766729549,-0.8806782039216077,-0.4516492641729475,0.2502552313612475,-0.7149331958298955,1.1527214541991018,-0.6966201321999357,-0.6630782419750377,-0.8149057155625672,0.6476946540021352,-0.8811809696661916,-0.8621890117449929,-0.7205994214637768,-0.7161440388783268,-0.7559127401776198,-0.8982763860066665,0.8527634822959449,-0.9466690005806256,-0.3590236549269631,-0.8386665546466497,-0.7145808203498846,-0.981076887675956,-0.9743431102020338,-0.7905887584084766,-0.916981635293358,-0.6462990162426455,-0.9174014193313778,-0.8514656185921297,1.1319256441131706,-0.8065374894610805,0.2596739127891699,-0.7971499690710242,-0.9154706018066876,2.870159822039623,-0.3171152595838953,-0.8207575761490769,2.9838711828381985,-0.8304753456830438,1.4176374510875536,3.3940522260785753,-0.9322673326480287,-0.8777051683894529,-0.7516439437842379,-0.6086801630650871,-0.8229400916297285,-0.8689233102125264,-0.8159627871854117,-0.8965553713654744,-0.8251047113713851,1.582449696816324,-0.7317756442061099
NCI-H358,0.3252955037954253,-0.4322302442867535,-1.0053395543669548,-0.5721160742133053,0.09774803123088498,-0.5661155090588481,0.2874890898802209,-0.8797411013981982,-0.6194250281097899,-0.8579167493053032,0.9536601671769782,-0.9227922399561084,-0.8706771409205287,-0.7335375793108632,-0.7496029457504015,-0.12144023247333473,-0.9162027729064398,0.5306415366028854,-0.9593689196925784,-0.6634556116959607,-0.9132874851965946,-0.7055149953316953,-0.9870765773875192,-0.9210160107709218,-0.8262948944059634,-0.9710822187903532,-0.6910233372938032,-0.9439110762464844,-0.9627724050602471,1.2102989322300597,-0.7764973497158126,-0.2540468182013167,-0.734785342824575,-0.908357049626692,2.7606407539688878,0.17081038379351618,-0.9443703594988996,3.263580115341064,-0.05138646240098956,-0.1766143722417092,3.1035987230534134,-0.9607776995048954,-0.7703363998517201,-0.7840460818702106,-0.18647368127645134,-0.6502685030174301,-0.8973486764423318,-0.849262160152628,0.035936344468263305,-0.7830431673144463,1.78003330541997,-0.8362793616035388
LS-411N,1.1088423897220805,-0.6936084856737038,-0.2987707944892243,-0.5806248220244524,0.4849245728047034,-0.591939388468414,1.8826312612285976,-0.8027521460357363,0.3032662562127314,-0.7936169122470829,1.1416566648986342,-0.9063350238663694,-0.8777152057519741,-0.725925341565091,-0.8440821934310992,0.7405080105475171,1.987673997126572,-0.3433377346981353,-0.9697881478494604,-1.0234574707645419,-0.9447567646428618,-0.7562811895275355,-0.8188275601014824,-0.8599429888401551,-0.7126863137093341,-0.9731378267901384,-0.6015650719117654,-0.8104176580167749,-0.9592263375626447,0.9337175854339091,-0.7644160341955908,-0.29829140015827577,-0.7713512132437881,-0.9538201922333904,2.463712349047648,-0.6716463829043176,-0.7651227805265489,2.704439991472283,2.7251400621507487,-0.945585975884534,2.977162445511752,-0.5709289234729015,-0.8060558077519586,-0.6896076135310647,-0.8472246085178619,-0.7824874458344901,-0.8836770668654954,-0.9681524583928754,-0.8274700530844415,-0.8149408224202429,1.1552204156662071,-0.7329197664025995
NCI-H2452,-0.633919677664261,-0.5143904788913845,-0.9053331861293552,-0.5104488978664521,-0.8023689975209163,-0.6975026246895457,1.5315967164995972,-0.2261520023194827,-0.7490829667696529,-0.8949108299586416,0.8684603632983445,-0.8873491023821949,-0.8452065496988531,-0.7797411285576464,-0.9078402091405282,-1.0314576612955844,-0.7798127147929521,-1.1306168569740265,-1.0056604109183558,-0.9274056819239228,-0.8530206525925407,-0.7290165980379153,-1.1146431805502082,-0.8102422085317519,-0.8471781427890764,-0.8954395672599986,-0.6644000164386651,-0.7901510639702269,-0.5585499279820912,1.6894511486341766,-0.7346125716820809,1.4371014579089756,-0.6282392682142173,-0.9070297254140784,2.040832049096185,-0.5332324484114073,-0.8474122642037922,2.3782405791796903,-0.7869664368169453,-0.7609513242789446,3.2896681571545723,-0.9554235812285082,-0.7032262729584419,-0.8149787606346669,-0.8635570848990332,-0.8265077804042921,-0.7764170332811199,-0.8243706763521149,-0.7815281208998133,-0.8184698693357149,0.42655085206378335,-0.7281997778791196
UACC-257,-0.08418171087854606,-0.7475730468654158,-0.8968211050720134,-0.5917903661941609,-0.537631314560291,-0.630517058011103,-0.6538548136933403,-0.7596680242489073,-0.6827056670265911,-0.8276220439933841,0.9370038584613466,-0.9941926184129968,-0.783625964412918,-0.6891906307323885,-0.8421921823794553,-0.6657284930986713,-0.8639815752092663,0.41440734473047375,-1.016975700528982,-0.9879263200768614,-0.8121299738923274,-0.7332587240122105,-1.016975700528982,-0.5861275048924571,-0.8084452724016165,-0.8216226256490193,-0.664372686753547,-0.7533256132364274,-0.8818240112215947,1.6260418464367818,-0.8157487545698188,1.488195560520008,-0.3110804895135064,-0.9039535783833654,1.7031647043136962,-0.4376553607982781,-0.8160393146063974,2.967444133533085,-0.6458327340795509,-0.9499138599476418,3.1569431004240336,-0.979061968776382,-0.729162526916241,-0.8410758674492299,-0.23401959612648546,-0.8481461113424585,-0.9958286280461722,-0.9167305398531204,-0.7652577723064677,-0.8326095050458759,0.5729738597507309,-0.452057650476651
H2369,0.20226174303879785,0.22358884331844656,-0.9094351468750602,-0.5263425000330305,-0.9121144728931146,-0.6968921185154024,1.276079560839279,-0.8964688886662612,-0.7642462734117355,-0.7900439691931068,0.8289803909587052,-0.8725055842234793,-0.8204507153632558,-0.7162037504932596,-0.7220725925915448,-0.9977374621168436,-0.8955801739204582,-0.6738365749163685,-1.001245100320141,-0.7786279767040458,-0.835288320363869,-0.6924194282847137,-1.0503910109821537,-0.8025003158670869,-0.8208341482254911,-0.9622359443319568,-0.7329442682576384,-0.9058488036766841,-0.9826770888109209,1.4146321066063592,-0.7547087322406685,0.0684251139423643,-0.27260669676862137,-0.8919687022887408,2.444795454968874,-0.6173554088756439,-0.9245809176849894,3.0393581513325905,-0.7300072097438001,-0.41746883500832216,2.808231914401373,-0.9751642322871922,-0.8095652934713573,-0.7712126366267444,-0.5090612137826012,-0.8463375200372202,-0.918581605150566,-0.8469312041021748,1.116410662540725,-0.7866889334961574,1.7429172222706808,-0.7855980596218913
H2804,0.2594058289721755,-0.668170937973798,-0.9094153838251212,-0.4955866841810633,-0.6903602542249054,-0.6564723436515414,2.987235489743296,-0.8143562957440397,-0.7272968984347686,-0.8659432578299435,1.197399379164282,-0.8760942399054809,-0.7529365605781971,-0.6882234132537078,-0.8758677641187036,-1.081298112774123,-0.8012064954386725,-0.7927701690661619,-0.974930126497612,-0.9792241950260772,-0.8737120679201582,-0.3581207190477661,-1.0186628764311243,-0.8479136642591615,-0.8426573390417925,-0.8560630241090713,-0.5823226649567242,-0.8778701563858835,-0.932251851353822,1.602056763615801,-0.7137741854186616,1.1031259850961057,-0.6693166822025339,-0.8711955551376541,1.5886916258050714,-0.36946705219107423,-0.9009483191570864,2.5199846486391544,-0.7169638637507348,-0.8625423667887305,2.974011056937212,-0.8264452924089299,-0.5981763268124624,-0.8407916853994546,-0.8019740822252371,-0.5104840848354046,-0.8928656062428159,-0.7712128571870507,-0.7715055211906175,-0.7994730469565093,0.39913774537693947,-0.7965360037834461
