,CYP2E1,CYP3A5,CYP2J2,CYP3A4,PLA2G3,AKR1B10,CYP1A2,ALOX15,PLA2G4E,PLA2G6,PLA2G2E,PLA2G10,PLA2G2A,PLA2G4A,CYP3A43,PLA2G5,PLA2G12B,PLA2G2F,PLA2G2C,PLA2G2D,CYP2C9,PLA2G12A,CYP2C19,CYP2C8,CYP3A7,PLA2G1B
CAL-120,-0.6171118765007297,-0.7919675802393782,-0.3948513058117514,-0.8843767773292582,-0.7224649188639339,-0.9063141537735402,-0.9984520147457684,-0.8695674075376809,-0.7890022743646651,-0.6657835805259128,-0.7039974159764619,-0.9760416175009524,-0.8594288614059078,-1.0514522660900054,-0.8187547872648907,-0.9437674858307312,-0.8740885470537951,-0.8563236653599502,-0.8477441127438223,-0.7709207460673351,-0.7962146395604666,0.8649723530946268,-0.8702489331815737,-0.9849350826514304,-0.8708764284332824,-0.8294230167564386
ETK-1,-0.6508458404780352,-0.8453222564381835,-0.19302120748701196,-0.9288063353794456,-0.6729067076108366,3.0974008695626774,-0.8881503839600229,-0.8315771836149259,-0.6125778961222424,-0.6767046940981807,-0.9087447588077048,0.395072383934248,-0.7987808747419632,-0.6732506945072283,-0.9477626264410394,-1.0387554691303704,-0.8779779186936199,-0.9644294320683839,-0.8188838596873644,-0.8018124512249273,-0.9093555573547646,1.0676691742649835,-0.8396729180190586,-0.9976254147550134,-0.8823147923831866,-0.926042079067813
H2731,-0.8025430874701371,-0.7639961954042064,-0.8270800124545561,-0.8799665565877943,-0.4257460241607632,0.2570233274763281,-0.7747444477061424,-0.7555276633782964,-0.8178021555875638,-0.7320471851400012,-0.7771294588236071,-1.0804976396613264,-0.7416387123366234,-0.8393929534902811,-0.965795895450962,-0.9360304851065157,-0.8470604261995194,-0.9211055253526876,-0.974736713715495,-0.8369097860864038,-0.7846240437350049,0.6921809198311195,-0.7884493744676545,-0.9408056365330651,-0.8763251788129123,-0.7944181853473764
NCI-H441,-0.6380061766729549,-0.8151670231097966,0.2502552313612475,-0.8485418724643989,-0.7149331958298955,-0.33268753382756244,-0.9238735562091046,-0.8621890117449929,-0.8777051683894529,-0.7205994214637768,-0.7161440388783268,-0.7559127401776198,-0.8982763860066665,0.8527634822959449,-0.8514612327564335,-0.9466690005806256,-0.8386665546466497,-0.981076887675956,-0.8159627871854117,-0.8251047113713851,-0.7905887584084766,1.582449696816324,-0.9174014193313778,-0.8514656185921297,-0.8677332161607633,-0.9154706018066876
NCI-H358,-0.4322302442867535,-0.7876773412723713,0.09774803123088498,-0.8670351698069269,-0.5661155090588481,-0.4891413361841344,-0.8401168797838978,-0.8706771409205287,-0.7703363998517201,-0.7335375793108632,-0.7496029457504015,-0.12144023247333473,-0.9162027729064398,0.5306415366028854,-0.8164707135250828,-0.9593689196925784,-0.9132874851965946,-0.9870765773875192,-0.849262160152628,-0.7830431673144463,-0.8262948944059634,1.78003330541997,-0.9439110762464844,-0.9627724050602471,-0.8799943146931525,-0.908357049626692
LS-411N,-0.6936084856737038,1.8057208632699784,0.4849245728047034,-0.8853341313043442,-0.591939388468414,0.4316886547396189,-0.8613710681114225,-0.8777152057519741,-0.8060558077519586,-0.725925341565091,-0.8440821934310992,0.7405080105475171,1.987673997126572,-0.3433377346981353,-0.915830787257227,-0.9697881478494604,-0.9447567646428618,-0.8188275601014824,-0.9681524583928754,-0.8149408224202429,-0.7126863137093341,1.1552204156662071,-0.8104176580167749,-0.9592263375626447,-0.8472751012318219,-0.9538201922333904
NCI-H2452,-0.5143904788913845,-0.806443892493599,-0.8023689975209163,-0.9146687516366234,-0.6975026246895457,0.019154531528928258,-0.925599593782102,-0.8452065496988531,-0.7032262729584419,-0.7797411285576464,-0.9078402091405282,-1.0314576612955844,-0.7798127147929521,-1.1306168569740265,-0.934221382250739,-1.0056604109183558,-0.8530206525925407,-1.1146431805502082,-0.8243706763521149,-0.8184698693357149,-0.8471781427890764,0.42655085206378335,-0.7901510639702269,-0.5585499279820912,-0.8299645225869978,-0.9070297254140784
UACC-257,-0.7475730468654158,-0.8094861967238722,-0.537631314560291,-0.7512219446026539,-0.630517058011103,-0.7362009215266785,-0.7962078835889862,-0.783625964412918,-0.729162526916241,-0.6891906307323885,-0.8421921823794553,-0.6657284930986713,-0.8639815752092663,0.41440734473047375,-0.8683151132624893,-1.016975700528982,-0.8121299738923274,-1.016975700528982,-0.9167305398531204,-0.8326095050458759,-0.8084452724016165,0.5729738597507309,-0.7533256132364274,-0.8818240112215947,-0.8598188663063321,-0.9039535783833654
H2369,0.22358884331844656,-0.7997517233747231,-0.9121144728931146,-0.823854785270311,-0.6968921185154024,-0.5011676482371469,-0.9610568243994324,-0.8204507153632558,-0.8095652934713573,-0.7162037504932596,-0.7220725925915448,-0.9977374621168436,-0.8955801739204582,-0.6738365749163685,-0.8973760508840463,-1.001245100320141,-0.835288320363869,-1.0503910109821537,-0.8469312041021748,-0.7866889334961574,-0.8208341482254911,1.7429172222706808,-0.9058488036766841,-0.9826770888109209,-0.7958386061528919,-0.8919687022887408
H2804,-0.668170937973798,-0.8294871797010371,-0.6903602542249054,-0.8659544879469646,-0.6564723436515414,1.9111616112065384,-0.8042608241594377,-0.7529365605781971,-0.5981763268124624,-0.6882234132537078,-0.8758677641187036,-1.081298112774123,-0.8012064954386725,-0.7927701690661619,-0.8407916853994546,-0.974930126497612,-0.8737120679201582,-1.0186628764311243,-0.7712128571870507,-0.7994730469565093,-0.8426573390417925,0.39913774537693947,-0.8778701563858835,-0.932251851353822,-0.8572338991512586,-0.8711955551376541
