,GAL3ST1,SGPP2,GLB1,GALC,SGMS2,GBA,SPHK2,NEU2,NEU1,ACER2,UGCG,DEGS2,ARSA,SPHK1,SGPL1,NEU3,SMPD4,SGMS1,ACER3,CERK,SMPD2,ENPP7,DEGS1,SGPP1,NEU4,GLA,ACER1,ASAH1,SMPD1,B4GALT6,SPTLC2,SPTLC1,SMPD3,KDSR,UGT8
CAL-120,-0.9141523846976496,-0.9305750113160904,1.0987193951135263,-0.2394175089008825,-0.37523659843355694,0.485194140324563,-0.6476605512427382,-0.6508600330957943,1.4408934839525365,-0.7868721720201185,2.9932560917509705,-0.8045595453560628,-0.6586762422530721,-0.5261793342281503,0.7361177724254988,-0.7897862479901002,-0.3517939267742212,1.0832948816028642,-0.39645063298854943,0.4147870702606925,0.13057783829563668,-0.6888228628030043,2.309049628473351,0.7905548730879915,-0.3994399850240456,1.449901199983674,-0.7989895564156266,0.8966166334825155,0.4274674349747368,-0.3962133758371204,1.0292291548734644,0.6094957297996206,-0.7131022123881912,0.9237284309243624,-0.047376431939968315
ETK-1,-1.0342876277125077,-0.8889500820853378,1.5200194688503377,-0.7180487906547477,-0.5600604641132776,0.8555720579490945,-0.5435213936397856,-0.5956602960967069,2.370236958451415,-0.8345387638593276,2.36258052710134,-0.7399024707588776,-0.6970756501397366,-0.2968515877159673,1.2310605186148684,-0.8218972782617613,-0.193087590334844,0.7523067659097868,-0.2844962444448024,0.23283138544583476,0.7333613485542673,-0.8077237857372541,2.3550979946590003,0.9006498363271803,-0.492732419231469,2.048313419427798,-0.7304306119123979,1.5753786084969823,0.39675869633454736,-0.6994734417472971,0.6437730560151895,0.6997106813267755,-0.8154415014068478,0.2677102518080732,-0.5960991512667109
H2731,-0.9578694895704164,-0.9352108912301462,2.0242291979011235,-0.6704730163133791,-0.7173575369512136,0.11649141887288142,-0.679587027580021,-0.642810119737244,2.396622303939708,-0.8178021555875638,2.4617736344515224,-0.8367638914988933,-0.7551772819306378,0.4228807598029389,0.8780147537864852,-0.8194767035010441,-0.2323408545251945,0.053206378193458234,-0.3846626558330351,0.8733326929038702,0.22154097155951047,-0.7875009260351329,1.7273061559384328,0.5784839631866612,-0.4425393652530196,1.560224100977163,-0.8232877475246091,1.0791525996193148,-0.059876148071254374,-0.7214010285288958,0.560573582343562,0.7230872967369457,-0.3241489027974293,0.6556623500344824,-0.6408528128047898
NCI-H441,-0.9927971000702686,0.005062877019318232,1.4577923569816431,-0.33307059725928706,-0.10719714989561413,0.2738094667666329,-0.64534200948116,-0.7083525020331412,1.3402903521561662,-0.5642810179565861,1.6960379561757284,-0.8356674763436623,-0.4515095485192971,-0.5260003020499356,1.1029941078890158,-0.7357985721520628,-0.371233907186545,1.1892925496086573,-0.03098496391546716,0.8022310423933489,-0.1862478292991348,-0.8852146127601472,1.8655636205105421,0.6516235994913651,-0.4921180675661929,1.0284496196945825,-0.8272703560562644,1.9833453440880704,0.3783482946590869,-0.6772812625522386,0.8293899722499878,0.4671949511406392,-0.6992693087061063,0.915820655138456,0.35568365008679903
NCI-H358,-1.0223143526981544,-0.7346498651164484,2.206337133368824,-0.1209748469844662,-0.4529006491289616,0.12792107116754875,-0.6633710260963557,-0.7308572188022741,1.7113886309544268,-0.6408002328287411,2.214551378504492,-0.8246317646259617,-0.775892805217234,0.3062371468668835,1.1975932883210043,-0.7967820439239569,-0.6663501216280278,0.642067765620259,-0.4215735199746537,0.334715115395339,-0.06510326666274932,-0.8019318535824708,0.99377656855196,0.7803398904149059,-0.4186433693083593,0.6695545747380965,-0.8661083190850565,1.9690595702810485,-0.10257427825429924,-0.7693675526802124,0.8812087363810747,0.785718197061754,-0.7729253645636169,0.8446693213308861,0.7225729992120437
LS-411N,-0.2981245706111305,-0.3736213469005427,2.1110961743092105,-0.27279207375179354,-0.6776974823839902,0.3687944920683114,-0.4598238959035558,-0.6150015058922558,1.5245184030116163,-0.7553381092373136,0.5442902824851517,0.8943476877684479,-0.6562981251402635,-0.5249753486254114,0.960279698874689,-0.7621218975356657,-0.5993526588276794,0.638523847481584,-0.2829609551106374,0.9660144114405602,0.4016216749098639,-0.7365898712487952,1.2211188090444858,0.9802055292892972,-0.31342704512094177,1.315644739242222,-0.7319438350298948,1.454507923957825,-0.5011743375483344,-0.7035932343246669,1.2847224211887749,0.5700738942599386,-0.22322273803274464,0.7821580020362201,1.169070070173122
NCI-H2452,0.4802994964982374,-0.989816568446629,2.3685750862147827,-0.5678461459005321,0.13714266351222787,0.8519481659884036,-0.6682480788829271,-0.599424116845528,2.0192149155675603,-0.8110603636988518,2.7504192844356306,-0.7824047643257356,-0.6812291769156248,0.4402877697199129,0.9652956934614496,-0.77277510796108,-0.4595437526577621,0.6431204676029004,-0.5159799089703592,0.2311329114979351,0.33107410795018843,-0.7099499997245934,2.039910606566236,0.7427984513939941,-0.4283224976894281,1.4170168352747132,-0.7720114142865909,1.123526038677549,0.8002057809149001,-0.5428293179712887,0.35564257292417745,0.4422182106934523,-0.7198293789679538,1.3109897897558818,-0.6700287708740538
UACC-257,-1.0195121447112676,-0.8786399990754388,1.7444006666428682,-0.8038482113493034,-0.8195210801463781,1.7420865982149534,-0.4274689305543009,-0.5840928607153849,2.290441711859174,-0.7362234547842523,2.8299571458759427,-0.7754749657201241,-0.3684578309307144,-0.24332139303027786,0.1745479528564905,-0.7245448690835058,-0.4216781983074832,-0.35245727323927434,-0.16772685562937464,0.9918734698406141,0.7470266572091668,-0.7654450964812214,2.1961954896926303,0.8726463552334691,-0.35587024451369115,1.7674977035329162,-0.7689887324893627,2.6921917936808795,0.5915847543689687,-0.34215828184502994,1.0811798647725763,0.20856560049608264,-0.6280816927487398,1.1502769053244792,-0.4279081463598798
H2369,-0.8244170382389173,-0.870414749097775,1.7562044262140506,-0.11298226122866856,-0.13467685826381526,0.2216649190605401,-0.6653582063101107,-0.702930300166139,1.8663053030997818,-0.7453618238768704,3.157446231150918,-0.7463064718122357,-0.6408656666310136,0.10486763155470652,0.967599227160684,-0.8459318747336968,-0.6114346914034451,0.8026474843051569,-0.4400266714669666,0.3356525639257962,0.2741661333230964,-0.7959405323848618,2.30703441836172,1.2481019653822742,-0.34543108323858057,1.2286348671010263,-0.8852067398162344,2.2580289353734018,0.6564910211207384,-0.5289887427286037,0.3615239521336162,0.7294674969230921,-0.7440673862278825,1.5401016796542633,-0.6994987632121253
H2804,-0.7032983174398255,-0.8511810254115897,1.8205185709194225,-0.7822253747919578,-0.40987178263635504,0.5600047585460719,-0.6519012406212128,-0.623350009583337,1.777143893521976,-0.8018763360801439,1.654337996910135,-0.8538020847657761,-0.7121250557977085,-0.20754157902611786,0.411471624439022,-0.8000651065135279,-0.037870427323265066,1.0483293589544764,-0.5306164488269138,0.03562075885585475,0.1643540702907702,-0.8853799221101787,2.5793295011025985,0.5897988150679934,-0.3808689008762767,1.658771007199619,-0.7508727684026997,1.0236824571555037,0.5662504732819955,-0.5369522203126804,0.9187968316320982,0.9173202427467998,-0.6481082115444217,0.8723568805464206,-0.5729779994976683
