,ACSS2,PCK2,ME3,GRHPR,PDHB,PCK1,PDHA1,ALDH1B1,PDHA2,HAGH,ALDH2,ACAT2,ACAT1,LDHC,LDHD,ACSS1,LDHB,ACYP2,ME1,ACYP1,ALDH9A1,ALDH3A2,ME2,DLD,MDH2,DLAT,MDH1,ALDH7A1,PC,GLO1,LDHAL6B,LDHA,ACACB,PKLR,LDHAL6A,ACOT12
CAL-120,0.0529156946924686,0.37695222910797255,-0.4804396573157186,2.0756534557788755,2.129113910098035,-0.9211598780411252,2.2746743978824884,0.008274927054878218,-0.7913958158707727,1.4044927726063765,-0.5735240766781223,2.148961650695559,1.0231679697141698,-0.4394116181197518,-0.8094814216159649,-0.5380779516951859,3.4757920397194897,-0.4463727769524989,0.7091058199130172,1.5251318544749246,1.2100817854131078,0.231842020673798,1.5441747301563546,2.12904864591164,1.5485835581157232,1.2723637033313115,2.6869572302647646,0.07660478013277394,-0.7616985953107809,2.157561243901967,-0.8993553627993361,3.260091180989368,-0.6584137538742882,-0.7630049230800469,-0.8172340443317678,-0.8826550516547961
ETK-1,0.5862142475351564,0.7491918627807349,0.05664810320598699,2.1608755891342284,1.9694578551405724,-0.9026342886141934,2.0229226427707565,0.2441318382017762,-0.7950732528818141,1.5475118263550225,0.9114722626628818,2.6394139256876348,0.6077467699672938,-0.7833138025764202,-0.6587055781137247,0.08785550688063368,3.305533737480802,-0.7032668005587933,2.445620242587796,1.0077863827131388,1.385396250560643,1.42962632453344,0.811427171063838,2.328294752017856,1.6370430598438337,1.2930948702810057,2.7328237004818003,-0.2643617845049873,-0.5709127480077509,1.8584241184760228,-0.8587872772394257,3.353972728573812,-0.5661838333675199,-0.7773247149330986,-0.8647197344230672,-0.9782383777513032
H2731,0.11431593812768635,0.012341021582121171,-0.2581156625519004,2.458788356933304,2.5741114433117427,-0.9053213173978926,1.7385554420349525,-0.059105169668798085,-0.6847620216079526,1.7910470333189648,0.5838356223205006,3.2032533866728885,0.37044870974990585,-0.9192323515199128,-0.7210188951852278,0.06201522363121319,3.585114788242732,-0.39148116975441977,-0.7080662798106009,0.6307278883850318,0.992163447020683,1.6319105319852691,0.970710419436455,2.4666564210958533,1.8173037588862293,0.9004605200834189,2.9365273222272235,-0.6458411413083338,-0.7379069102711842,2.253488905007603,-0.901364127769042,3.221272456823172,-0.6420407530356308,-0.7756978308146651,-0.7698238703820975,-0.9608488292677996
NCI-H441,0.4874901388801053,0.9271694267268668,-0.2306948288915475,2.185796794911941,2.085754279157852,-0.9153702752969016,1.550025455352956,0.25347155570844954,-0.744539335403213,1.4009177678770022,1.3361735785661355,1.7633955411096938,0.7939214693011808,-0.8864721273467844,-0.6270566612372432,-0.553073781123303,3.455264097131125,-0.8966155353023305,1.5547759091883149,0.6970829297468641,1.3771048331169842,1.3328593613159094,1.7752863077414751,2.4727062565642064,1.4076546275509714,1.0379211637784251,2.460977078104775,0.07464304281000254,-0.4704911639572423,1.9697010935350947,-0.8597535517931614,3.3817632996378566,-0.583422898583989,-0.7791487917482597,-0.8323143421144273,-0.9161012583543464
NCI-H358,0.04964977947462232,0.6971939041584079,0.12871168140173578,1.7030251663651663,2.5138983457038235,-0.8842843715241333,1.8354555785963491,-0.16216697369108254,-0.7073646640704947,1.2193027085573342,0.04045089275782979,0.6992948989218575,0.46885229561265,0.06627319459450066,-0.5263480924501317,-0.38764418569844017,3.238677578997481,-0.7093411477218287,1.919518309682667,1.0014095691058646,1.5451495540176332,1.2986697096566218,1.4690538398740292,1.9667798995603485,1.5077757911971137,1.2107582712384741,2.3841517831823107,-0.4721964057327893,-0.5445266960775911,1.7665374870168922,-0.93529590330572,3.1978307337342704,-0.7386426084680654,-0.8755468019823944,-0.8749721127131495,-0.9537062560424612
LS-411N,-0.14279326577462034,0.4177190646047249,-0.18028284147994747,2.2594955627335342,2.120328674971533,-0.4528699862913691,2.30705855578937,0.4029477736862192,-0.6253621693052838,1.5308040183262912,2.0119444389177112,1.1352491825457456,0.7367144975114884,-0.8816914754181101,-0.5371917107144429,0.30512454243282705,3.434347972447244,-0.5820505102681109,1.8045136860965496,1.3847951747741296,1.4349158543636866,1.8377274200970133,1.6788207669633033,2.3300952994673114,1.880421624344428,0.6730735731293558,2.3646456220628,-0.2725748310220648,-0.848384652253211,1.6104165165397408,-0.9197439205700788,2.9055040139104413,-0.6053992051360374,-0.7326015474927845,-0.8639348350963254,-0.9216182605684689
NCI-H2452,0.07241966519074709,-0.022955060881824224,-0.1674323989550204,1.906388745381152,2.0114756152337585,-0.9232830079014432,1.894371823558977,0.17025646066846573,-0.8068671942066873,1.6148496522858358,1.6189478465302651,2.3628222902645795,0.8937033044428018,-0.8256023454843102,-0.6293477044229073,-0.4887070562440237,3.427975234872097,-0.5104488978664521,1.860287058117743,0.2891447046540214,1.3303801067668102,0.8754015206373441,1.399400806748344,2.4438045457675543,1.8111678690701385,0.9692958931930014,2.7414571507262573,-0.2197578310959757,-0.6076655038107549,1.7935463515595231,-0.8675597353838751,3.466270919494906,-0.6883954154519852,-0.8159776193062467,-0.8474555428045975,-0.8608426318501902
UACC-257,0.1895575400182451,0.5428927848535803,-0.5897070660023174,2.4083919937445306,2.2758768155320377,-0.9532545632471812,2.0769313578495594,1.4125574012038709,-0.7087559158685979,1.6780502245919342,2.4311657709511687,2.054133773691932,0.9370394565712284,-0.7459107630213168,-0.3806616312900905,1.0622549389586708,3.4837004987941427,-0.8955775463169956,0.3882192864294272,1.1627633011997207,2.2583246093223224,0.6333516847457168,1.4385096655062113,2.2652638244370897,1.8093270736029905,1.1489972218452476,3.0107662352325133,-0.30141033445303145,-0.30216761049392005,1.7888165731730101,-0.9258187545818788,3.293201261095774,-0.3829127000627373,-0.2358650190203577,-0.8180419784260474,-0.847417629109649
H2369,0.2580696899802488,0.8211222164018648,0.006856407374434724,1.9737517255828712,1.7909378667035558,-0.9549221531120796,2.0828258536291493,0.06292536632118594,-0.7567412382872525,1.5594541073447985,1.1732035413419741,1.5754331950562548,0.8562469564193216,-0.6281994567526227,-0.8116419033781064,-0.4910223890099077,3.4630577875514215,0.010715694449918932,1.5308467938655983,0.7644129941931624,1.5849192336089255,0.877434611492422,1.7083138402000615,2.2015376430387152,1.5414265520753714,0.9486776646637574,2.5138734175286053,-0.36749352899912063,-0.8620715410881674,1.8634317257283235,-0.8421114419936374,3.3325567780698906,-0.5453556079595505,-0.8141323832287242,-0.8188948342917995,-0.8735601848748809
H2804,0.3819152329540543,-0.09864636688454012,-0.205038915052926,2.1199777398134607,1.8461544554052167,-0.9406813120964638,2.176621722730561,0.18817317512513027,-0.8023832865305672,1.4812868646742685,1.8835769076724005,2.2969168242446973,0.6662347053463894,-0.3452842149922803,-0.73316204412552,0.6395803805257665,3.5671100828077185,-0.6208015673975046,1.6424704742057672,0.679596283609048,1.8753556015132349,0.7399248896399361,1.2156834441470066,2.333148580131776,1.833748983141782,1.0508818313458563,2.584385542507063,0.1213972550003646,-0.8648134493746557,2.062955626545691,-0.911850176694052,3.624590208709263,-0.472147480747024,-0.7905616315785554,-0.7994344029928838,-0.919238246924868
