,ACO1,GLYCTK,MTHFD2,GRHPR,CS,HAO1,MDH2,MDH1,MTHFD2L,PGP,MTHFD1L,MTHFD1,HAO2,AFMID,HYI,ACO2
CAL-120,0.9660173604810852,-0.6941689151042119,2.590796156536518,2.0756534557788755,-0.8385621573527439,-1.0077051582913392,1.5485835581157232,2.6869572302647646,-0.6866976012620617,0.8068732070243335,1.375164747822569,2.078171067613608,-0.8060590207796958,0.2343808936491397,1.8279017355599776,0.6662520344026436
ETK-1,1.6615663498608542,-0.6653811296063603,2.5460128742967205,2.1608755891342284,-0.6679071910724276,-0.7931326130820391,1.6370430598438337,2.7328237004818003,-0.8551844744881288,0.9897985414632476,1.662924689861028,1.9596356650626672,-0.9172052660626095,-0.20994646242522624,1.0140087531772255,0.48088604197146
H2731,1.9365724116590195,-0.6790749754018855,2.5047886980254033,2.458788356933304,-0.5799836199891665,-0.7323532952959054,1.8173037588862293,2.9365273222272235,-0.6779884088384224,0.8941507900146383,1.680094337762459,2.012631188834164,-0.8762580037701513,-0.02045982815362845,1.5487726960165902,0.6539194891618699
NCI-H441,1.3745773982152003,-0.7528564709640956,2.843045969416249,2.185796794911941,-0.6382210001659748,-0.8245492326816886,1.4076546275509714,2.460977078104775,-0.44914625654721785,0.7721174868274316,1.56158103514806,2.2032754626287847,-0.8571656318824196,0.16671458249047866,0.7116725123822065,0.44832147389210825
NCI-H358,0.7928962225684191,-0.7824721504445661,3.0774046528623287,1.7030251663651663,-0.7214291144859936,-0.8854679481689289,1.5077757911971137,2.3841517831823107,-0.1242160594351198,0.5654140107614584,1.6114638666566752,1.6267647541528365,-0.8591017774802381,0.3455240203199996,0.4218980440493417,0.3855660014917291
LS-411N,0.7262825434671091,-0.5386831686322583,2.620472312994648,2.2594955627335342,-0.5873046332204246,-0.8294163740650285,1.880421624344428,2.3646456220628,-0.8178451880744426,0.8240603974461923,1.87577035847512,1.754810363127395,-0.8360863011754902,0.6689556973846642,0.6491538106095058,0.7855274727298963
NCI-H2452,1.7315489595735176,-0.7616781067778909,1.9679428609508192,1.906388745381152,-0.6692642019966155,-0.7826070106825129,1.8111678690701385,2.7414571507262573,-0.7211289743958492,0.8899601419181961,1.6547646261182567,1.9326805080911311,-0.8269488382829212,0.19545144004369444,2.0146902204009542,0.6150267351083178
UACC-257,0.5814440876978084,-0.6947423430624513,2.209169753219771,2.4083919937445306,-0.5516121043505829,-0.8853064441769252,1.8093270736029905,3.0107662352325133,-0.8584233434215642,0.9834612824813886,1.2720575807007608,2.057547734278761,-0.8270098393166456,0.8782753608378825,1.1579003290889551,0.8877937337909751
H2369,1.4711011791093138,-0.7547243736534515,2.7833192219772185,1.9737517255828712,-0.6317892836215306,-0.8761955603844827,1.5414265520753714,2.5138734175286053,-0.3860202542549435,0.3172191587299272,1.8385139860928328,1.3944128505079678,-0.9355080281475794,0.09839268390274533,1.6515484815645871,0.5286892530561809
H2804,1.020095675695839,-0.6986361828247016,-0.3305621592738084,2.1199777398134607,-0.5702986810128731,-0.9601009257189996,1.833748983141782,2.584385542507063,-0.6169079374658226,1.0769115707338748,1.2085543080793837,1.7308452815657982,-0.8571395715865807,0.21110604248894727,1.7551986831980153,0.9411761369247312
