,MTHFD2,GART,TYMS,FTCD,ALDH1L1,MTFMT,AMT,MTHFD2L,SHMT1,MTHFD1L,MTHFD1,MTR,ATIC,MTHFR,SHMT2
CAL-120,2.590796156536518,1.283009697698553,2.658065243560978,-0.7786779402741082,-0.5762465021354212,-0.08595793463553834,-0.4156090578922888,-0.6866976012620617,0.3410440396175192,1.375164747822569,2.078171067613608,0.09522351571157828,2.117213829153394,-0.17077856316592072,1.7676387734796664
ETK-1,2.5460128742967205,0.94269839845642,2.152007272194411,-0.7601625601084431,-0.4918195658414939,-0.14485898852664372,-0.6684825590049894,-0.8551844744881288,1.666869962674724,1.662924689861028,1.9596356650626672,-0.16661485902219447,2.1105621757167023,0.5188505046865229,1.9247512660691093
H2731,2.5047886980254033,1.5421162761287202,2.6530103083051486,-0.7312207095789109,-0.6864139802373438,-0.06820470758398813,-0.6272962347695146,-0.6779884088384224,0.2411418908893701,1.680094337762459,2.012631188834164,0.18314625461992176,2.2093426465034054,-0.004127447396512714,2.0523951447504247
NCI-H441,2.843045969416249,1.3617517106209531,2.0230260739347368,-0.7423731678821276,-0.7507459848079555,-0.3420295029769043,-0.6148004505235489,-0.44914625654721785,0.8526801965612789,1.56158103514806,2.2032754626287847,0.2036419744212644,2.1467862821180925,0.4277620603962817,1.628319342937708
NCI-H358,3.0774046528623287,1.4312255190049212,-0.15629737469416727,0.06970396245038189,-0.6432466716182169,-0.10934149355635142,-0.5456451300363355,-0.1242160594351198,0.3674926787789984,1.6114638666566752,1.6267647541528365,-0.17490977124295734,2.1895660318510712,1.0939811909529165,2.359644304333589
LS-411N,2.620472312994648,1.0004537752810154,1.8521272671190416,-0.6673794676717023,-0.8035185815896697,0.07214054139419211,-0.5793086128823081,-0.8178451880744426,0.7195254855719776,1.87577035847512,1.754810363127395,-0.04768097478105399,2.0676804133238917,0.3759396394996224,1.7505054822974286
NCI-H2452,1.9679428609508192,1.3977798716761032,2.3307956667887235,-0.6142424855944675,-0.6448377484153298,-0.04382461196403429,-0.6500376834733718,-0.7211289743958492,0.6081962099907425,1.6547646261182567,1.9326805080911311,0.391912864917334,1.6969604546995167,0.2094461114444908,2.2533397159125865
UACC-257,2.209169753219771,1.0601375394467238,2.4135244177814417,-0.6395625711260143,-0.7978391652722058,0.5133382816774986,-0.6449164348684266,-0.8584233434215642,0.8961661800630109,1.2720575807007608,2.057547734278761,0.14498551758098194,2.2485841533327644,0.9989542863155091,2.2178634087603992
H2369,2.7833192219772185,1.314179018301685,1.3727967556925926,0.04739954747236445,-0.5206914945044061,0.2940406459953953,-0.6415565973911902,-0.3860202542549435,-0.07309215415608304,1.8385139860928328,1.3944128505079678,0.3093390918304042,1.793637155234609,0.5577702228615425,2.5937977157696297
H2804,-0.3305621592738084,1.0266288625093722,2.0679124418742787,-0.7448764084579568,-0.6905441586983871,-0.049771573338704654,-0.6586717154865388,-0.6169079374658226,0.5712893951520569,1.2085543080793837,1.7308452815657982,0.17334787047208194,2.2098994444800204,0.4010976407176639,2.2184836491363233
