,NMNAT1,NT5C2,ENPP3,ENPP1,BST1,NNT,AOX1,CD38,NT5M,NADSYN1,NUDT12,NT5C1A,QPRT,NAMPT,NT5C,NMNAT3,PNP,NMNAT2,NT5E,NADK,NNMT
CAL-120,-0.2894853801144563,0.04753954670446277,-0.9172803244684616,-0.5373948010770923,-0.7855840437799361,1.7554584368011488,1.5275510862226551,-0.8549158017237196,-0.1730891117987388,0.7606168715663347,-0.17388893392675422,-0.8311166192771754,0.9533362542474588,-0.3308341715668094,2.0766317689490497,0.3914675122332439,1.594857360681623,-0.6562715679449913,0.3103197075299641,0.2617327587381082,-0.5506166374925884
ETK-1,-0.051197525403654055,0.4829504089370225,-0.8738215758113544,-0.22919991192345576,-0.8674578007721129,0.7581657563276649,-0.0997817861963555,-0.7081679351157724,0.021923832178478948,0.90853584753048,-0.7053568710159555,-0.89035070234013,-0.6823336641286729,-0.4116509093276675,1.8111712676786436,-0.4760744495525981,2.12772844234665,-0.11971884043585125,0.3986384836209678,0.1884203727467217,1.8421198720038068
H2731,-0.005553202886289864,0.5188467961775305,-0.8390480198693522,-0.8187880181731372,-0.6303188741068221,0.5639089560198653,0.4597278525861146,-0.7496665669119997,0.04559634131518979,0.6254942284464067,-0.3000239808825071,-0.8459241451488961,-0.4474161890673621,-0.3683989691930379,1.7312423110187491,-0.5986187729756912,1.0165918392366795,-0.5378027885182511,0.5791289042675143,0.16750268701526186,2.4218005033855614
NCI-H441,-0.08768677983814271,0.7429049678313582,-0.7489774574841418,-0.7789871777795858,-0.8585980911487081,-0.9355835343725936,-0.6174218784769749,-0.8371899150299975,-0.4111337473224704,1.0909579342896436,-0.6587384269202595,-0.8415674530625114,2.233075133593708,0.1952062093982038,1.8060823985654777,-0.7246507585326235,1.9707525848603205,1.207538666711193,1.4571272936658044,0.24229374234636486,-0.6172761762336059
NCI-H358,-0.055978692854050084,0.7507523540687083,-0.9454720596297148,-0.5730812541393637,-0.8545799776309666,0.814006995791601,-0.6259192428280425,-0.8870271070659221,-0.3177693005512085,0.3677123892777587,-0.3330482914012978,-0.9346049365393162,-0.6368487109652213,-0.34615576786196434,1.881156798406795,-0.5170042874568536,2.040801983422832,1.078975244260643,1.9807184112290201,-0.11451884808425125,-0.6778603779911407
LS-411N,-0.001290041634319675,0.3082208945183533,-0.7484343862357651,-0.5868523345821592,-0.8717727914472245,1.2425351513234408,-0.7448573400361511,-0.9924247224698026,0.7124540868464275,0.8970797061550496,-1.0118966210785734,-0.7779582532301054,-0.691344810918219,-0.6167804882324083,1.9095241562999643,1.0563746388679387,1.8358598569117428,-0.4509822392449172,1.485758995129363,0.2570843449332507,-0.7807652710920837
NCI-H2452,0.11467967316290326,0.6697834278453179,-0.9039726965596888,-0.7853025996847026,-0.7422541198953655,0.3915640229917296,0.4454496311367607,-0.9841163758018032,-0.3247541660143308,1.2730949480838003,-0.33041942825477044,-0.7108461048516138,-0.4304769082785704,-0.359952514801261,1.646451572428658,-0.20346433136780487,0.5458789715713424,-0.8006471407242419,1.537549095728682,0.30584906082036245,2.7716458193288087
UACC-257,0.16234917455445905,-0.1003775146546186,-0.7631460960779853,-0.2277938512623582,-0.19038813513883585,1.5094096718872747,-0.5962763403384393,-0.8305929093360734,0.27902737112075515,0.7626430717456428,-0.6176095253661943,-0.8431628219832713,2.5084170828932004,-0.6105660869298338,1.4953027762593614,-0.4729598148738392,0.9047661793057776,-0.6973233864301914,1.035694596746256,0.6304943842237052,0.07629806487318272
H2369,0.3146865325629939,0.3364352590574691,-0.8124646634923088,-0.4784889406052895,-0.14924847102369032,0.4486748847029417,1.6298849063799532,-0.8592270187853184,0.6011600631337821,0.3731912931605696,0.08048847237194473,-0.838236992036618,1.700557357690498,-0.14523285157716162,1.5285952923353572,-0.07107387194274614,0.4228211227040163,-0.5174568496018106,1.8352934398478389,0.14937977033092215,3.413690028232472
H2804,-0.15257789381612774,0.2071262528513428,-0.8820771969027759,-0.7534541965605008,-0.8009915564998389,1.4674360409475748,-0.3492256481117047,-0.8950872785179023,-0.27322130895570873,0.4841527264459441,-0.4248848566643431,-0.930513125538588,2.302128035220853,-0.20068880063194536,1.771953797847419,-0.5552904526906102,1.4836046286760147,-0.5930890089558256,0.7912020167599308,0.07381254921460025,3.1476512484608636
