,PPCS,ENPP3,PANK3,PPCDC,ENPP1,VNN2,VNN1,PANK1,PANK4,UPB1,COASY,DPYD,PANK2,BCAT1,BCAT2
CAL-120,1.865114548689418,-0.9172803244684616,-0.08865816864085004,-0.3982143477780044,-0.5373948010770923,-0.8969747428405986,-0.9688372311468394,-0.269660132580872,0.7669530867935921,-0.7084019181016543,0.5661481764076909,0.6575152227700877,-0.05783875463621538,0.7192170148902866,1.7498041398137345
ETK-1,1.9083276807760905,-0.8738215758113544,0.15135274111610586,-0.15460558266690164,-0.22919991192345576,-0.8564456144614059,-0.615824526315324,0.36910431872595145,0.9611383715377556,-0.6834232989622141,1.020353680336774,-0.6590695806039254,0.20642234048933328,0.665562533433248,1.4629094962344849
H2731,1.6298925514630536,-0.8390480198693522,0.03716184442815031,-0.5695534525951469,-0.8187880181731372,-0.8649583196030107,-0.9184526907738618,-0.6782619279023611,0.9303485433483092,-0.7871922732822091,0.8029893098074691,-0.5119138151065548,-0.02954366726896745,0.9071461872471372,1.7521847267666877
NCI-H441,1.9297766183705791,-0.7489774574841418,-0.0063885924980751066,0.009445057008171562,-0.7789871777795858,-0.8790911514325591,-0.9318945052897224,-0.5726205645344279,1.1091516074658718,-0.7324065140340892,0.6945241592213801,-0.01737587513379166,-0.23528536901236055,-0.8991613505454781,1.3668722670779156
NCI-H358,1.6312537601036219,-0.9454720596297148,-0.172012124450244,-0.3111414602547972,-0.5730812541393637,-0.8721317690318292,-0.9479257944899876,0.029964574710610942,0.7395840487822384,-0.8089008236087415,0.7097410749920972,-0.3495024865940339,0.0929723607281098,0.8317497613301831,1.4026131939793216
LS-411N,1.88809032729076,-0.7484343862357651,0.4755497641531872,-0.16419033048017515,-0.5868523345821592,-0.8887403394829502,-0.8625562303524399,0.9278670793451296,0.7147855426800723,-0.6125299523018616,0.5048091666628992,-0.8904627209144574,-0.1194106147079894,-0.7851470226967373,1.5617535069798816
NCI-H2452,1.8202435076279528,-0.9039726965596888,-0.17031817575665142,-0.32528591934276435,-0.7853025996847026,-0.8572453895263854,-0.6931068609798119,-0.7242367645587106,0.6765031222942869,-0.8471212347064031,0.4510175210355522,-0.2889667274664358,0.19718383952029211,1.0677903167218352,1.1098315859425276
UACC-257,1.7234430525818139,-0.7631460960779853,-0.11452567563336866,-0.15231986361682048,-0.2277938512623582,-0.8928568223187987,-1.0252401727996894,-0.5171749896376006,1.3563877758826641,-0.7840468950758325,0.44442410737339694,-0.9137566218146864,0.29717864582806924,-0.7601963545932108,1.3110453352042768
H2369,1.5614624277015516,-0.8124646634923088,-0.41451667042698653,-0.6811661410389234,-0.4784889406052895,-0.8270448565576457,0.8962233677110091,-0.5821552988009551,1.0577425777501959,-0.7688610791087633,0.7618938643626468,-0.2543412200123062,-0.16177394929637756,0.7515517412600571,1.371292059450442
H2804,1.5200338453494844,-0.8820771969027759,0.20431736810249693,-0.5404775839560836,-0.7534541965605008,-0.8924351259235765,-0.9809309689382604,-0.41152240045329547,0.8272556717246186,-0.8521260413430906,0.8215961078428546,-0.5153765376390406,0.2018406196780056,0.7989182629046131,1.5322031742919489
