,ALAS1,COX10,ALAS2,ALAD,CPOX,BLVRA,UGT2B28,BLVRB,UROS,HCCS,UGT2A1,GUSB,FTMT,MMAB,FECH,HMOX1,HMOX2,UGT2B11,PPOX,FTH1,UGT2B10,UGT2B7,UROD,UGT2B4,COX15,HMBS,CP,UGT2A3,EARS2,UGT2B17,EPRS,UGT2B15
CAL-120,1.3266225249443604,-0.4093645222355122,-0.8517642247651944,-0.21793958435861946,0.04056419482297602,1.4491275635051502,-0.8235279024137608,1.2886046262626312,1.1883560513953495,1.6493832135044668,-0.8002899028968758,2.0132044839619603,-0.7794079467412379,0.3352563873845039,-0.06205269350749827,-0.3645094276885424,0.4040178262404875,-0.8881683598391918,0.2912554938264452,2.2526759124909916,-0.8699017682706207,-0.6676862465317549,1.6688742658959872,-1.0004279456158531,0.4029650440328599,1.6389300001260811,-0.8677724497532153,-0.9675383021962759,0.01841888309516162,-1.0213465255601326,2.5533895188317675,-0.8687990272047117
ETK-1,1.5702891462752318,-0.2328138267929533,-0.9123250750233242,-0.06882925059762593,0.12204248838872625,1.8065792879604008,-0.6765234535669182,2.3879231941205483,0.7051149017612941,1.4128183587148546,-0.8556797249212638,2.2731443805454314,-0.8291907521844268,0.8756765872905844,-0.06974706011175408,0.3779204638344172,0.6985330609342564,-0.9755841993963592,0.2863418113126146,2.9790500028881954,-0.8360938770097281,-0.7827725390621902,1.3231959470576606,-0.9866623670670396,0.7576027849069574,1.914725814264312,-0.9106521458579012,-0.9633988586713532,-0.2599521358582558,-1.0543651282849686,1.5797645068859545,-0.8205160359976335
H2731,1.066934730408044,-0.5360383197391609,-0.8600538671606497,0.04554384432841319,0.2594143343061827,1.6628492535966102,-0.7393881555094767,1.9977397214280028,1.2307074920693277,1.4313244523992563,-0.7986927837108012,2.1740202380013063,-0.9174374961592059,0.856459431827616,-0.030135793191066663,0.9695896630478916,0.402233373767608,-0.9450172493496566,0.02791949638740836,3.08156058994515,-0.9184842185137768,-0.8084079144681271,1.4693318808681408,-0.9454052677170643,0.6233846556136549,1.3682251190232313,-0.9038606940571424,-0.9346273967070744,0.1022059852555785,-1.0156142947072218,1.8773262608734909,-0.8610512849002576
NCI-H441,1.396295257358664,-0.2962747813206917,-0.8290108552136091,0.02614855072228793,0.5434065336710681,1.6260937526634278,-0.7871145666380842,2.2082155972937723,0.6098927279996814,0.4853814206934438,-0.9008546903377076,2.020678749426448,-0.7354669714650436,0.5917004842161812,0.13579777039882582,0.2608911118675287,0.3808409726997252,-0.8884505003944195,0.2770214504217057,2.308571586750268,-0.7613619215313905,-0.6907684227061798,1.1843193712348143,-0.9532158859917828,0.5469880584170528,1.6211979148929092,0.6437658932330106,-0.9678668371601732,0.09030898258412902,-0.9551615119882862,2.363729903130812,-0.7189093416819688
NCI-H358,1.3163296386472478,-0.4499535102187067,-0.8586938609651479,0.4235339316353832,-0.008714771063681886,1.6347811432674124,-0.8363099201081273,2.09879167700547,0.4040105766987427,1.0488866756003579,-0.9534178410332091,1.9598320680859704,-0.6877054247349078,0.6362913274019709,-0.2848048116650565,-0.1694731316386065,0.5749280491291643,-1.0842507979608569,0.20208968132828534,2.5745069210746845,-0.7854987707035105,-0.8498852058037598,0.8909475627918018,-0.930791758898252,0.2331873201940988,1.7205579126410764,-0.5651957206074066,-0.9951822206124517,-0.03189983801752569,-1.0626114686384025,2.410175708552613,-0.6894236812681691
LS-411N,1.2623688825542962,-0.4056345353496956,-0.925139983447773,0.2055531606571029,0.4698365740725398,1.8041202670333496,-0.8202534189676876,1.6168150303427342,1.381551953667435,1.4648542948426384,-0.9407201029183286,2.2716085548405194,-0.8513284552976217,0.5292976451103594,-0.2943109708161832,-0.5539280781466782,0.4297101475958492,-1.0664628461471013,0.19894331996410775,2.7222713237789478,-0.8740607695117661,-0.8254158741477278,0.8675406019662009,-0.9752012641963584,0.868457057740907,1.808428162657362,-0.8550762747834023,-0.9139913698562468,0.053937664389655166,-0.9794753936646646,2.292847310028851,-0.18873082152319512
NCI-H2452,0.8312906272696642,-0.4140070921626054,-0.8052863746074671,-0.13075826463696996,0.2910822402299035,1.8228970591337317,-0.8286386918867646,2.3218777507192607,1.822500830889464,1.3156694203612789,-0.7698602445388135,2.2889207032438685,-0.7442008483402799,0.9370056712635652,0.11778263629470008,0.07827029606343751,0.7607781017663847,-0.9104084690658748,0.2181069528379596,3.2687964957785716,-0.7206695321668974,-0.7885424071812199,1.925387929938344,-0.9377634303538828,0.8337949460332469,1.51878976858862,-0.8906433482422813,-0.9875358612610784,-0.03401924056667656,-1.0623165073048586,2.0947895830108583,-0.7923810833976588
UACC-257,1.53261006089262,-0.4005460322060788,-0.821426432399647,0.13368399052084526,1.0125319220345068,1.809951921192145,-0.7249677788344068,1.8524724741939065,1.1953953547420844,1.288667522880138,-0.8963626486221288,2.390224516730657,-0.7400386876182504,1.1164593891942984,0.14541304921791448,0.16258532518732102,0.7729049148293284,-0.9826267462425656,0.4791928057036269,3.1336998027717677,-0.925014559844037,0.3139097616410039,1.799806282948215,-0.9654102170691524,0.4728718251618034,1.8774261767538096,-0.86007343686178,-0.9450051279693498,0.2772376359556272,-1.0098857542196893,1.459610443633422,-0.785799438393246
H2369,1.0931497043226543,-0.4815108871444026,-0.8761542727453772,-0.3360245349156609,-0.3102435650947272,2.461493294766873,-0.6934550068571134,1.9626607093917658,1.1494614952444158,1.5912192189662744,-0.813987082942932,2.004906029480687,-0.8447326199984488,0.8727861792752803,0.2149073737640209,0.5604495534986246,0.5399035737241779,-0.9280542342045364,0.3250563190212102,3.3677921655051177,-0.7348079229829765,-0.7756152178725099,1.6481833957876293,-0.9992713533841366,0.4409628788090617,1.2345980847070464,-0.8848489776611671,-0.8614486130363794,-0.219991585140554,-1.0192349389206146,2.3696698519139154,-0.8620682066122235
H2804,2.056815464440508,-0.3633971521301419,-0.8537015794199149,-0.16450461788441698,0.2331442473837712,2.0161306124394844,-0.6459094582222275,2.733793518204366,1.6438215986643363,1.5877772985778686,-0.8836869790993651,1.7822340697618344,-0.8551595018000353,0.6164945683078012,0.15106326146408294,0.9134842497594988,0.8291451043602944,-1.006897380329423,0.2763900054990081,2.6182198596577564,-0.8033062384986636,-0.8297649447551424,1.324490114367054,-0.957635476288234,0.5599633967077012,1.4699681125183666,-0.9200028476767191,-0.9055147661222152,0.30194478766567623,-1.0378220084605143,1.9183577211445568,-0.8243609740572423
